"","Nation","iso_code3","efficfactor_enfu_industrial_energy_fuel_hydrogen","Year"
"1","Albania","ALB",1,2022
"2","Algeria","DZA",1,2022
"3","Angola","AGO",1,2022
"4","Argentina","ARG",1,2022
"5","Armenia","ARM",1,2022
"6","Australia","AUS",1,2022
"7","Austria","AUT",1,2022
"8","Azerbaijan","AZE",1,2022
"9","Bahrain","BHR",1,2022
"10","Bangladesh","BGD",1,2022
"11","Belarus","BLR",1,2022
"12","Belgium","BEL",1,2022
"13","Benin","BEN",1,2022
"14","Bolivia","BOL",1,2022
"15","Bosnia and Herzegovina","BIH",1,2022
"16","Botswana","BWA",1,2022
"17","Brazil","BRA",1,2022
"18","Brunei Darussalam","BRN",1,2022
"19","Bulgaria","BGR",1,2022
"20","Cambodia","KHM",1,2022
"21","Cameroon","CMR",1,2022
"22","Canada","CAN",1,2022
"23","Chile","CHL",1,2022
"24","China","CHN",1,2022
"25","Colombia","COL",1,2022
"26","Costa Rica","CRI",1,2022
"27","Croatia","HRV",1,2022
"28","Cuba","CUB",1,2022
"29","Cyprus","CYP",1,2022
"30","Denmark","DNK",1,2022
"31","Dominican Republic","DOM",1,2022
"32","Ecuador","ECU",1,2022
"33","Egypt","EGY",1,2022
"34","El Salvador","SLV",1,2022
"35","Eritrea","ERI",1,2022
"36","Estonia","EST",1,2022
"37","Ethiopia","ETH",1,2022
"38","Finland","FIN",1,2022
"39","France","FRA",1,2022
"40","Gabon","GAB",1,2022
"41","Georgia","GEO",1,2022
"42","Germany","DEU",1,2022
"43","Ghana","GHA",1,2022
"44","Gibraltar","GIB",1,2022
"45","Greece","GRC",1,2022
"46","Guatemala","GTM",1,2022
"47","Haiti","HTI",1,2022
"48","Honduras","HND",1,2022
"49","Hungary","HUN",1,2022
"50","Iceland","ISL",1,2022
"51","India","IND",1,2022
"52","Indonesia","IDN",1,2022
"53","Iraq","IRQ",1,2022
"54","Ireland","IRL",1,2022
"55","Israel","ISR",1,2022
"56","Italy","ITA",1,2022
"57","Jamaica","JAM",1,2022
"58","Japan","JPN",1,2022
"59","Jordan","JOR",1,2022
"60","Kazakhstan","KAZ",1,2022
"61","Kenya","KEN",1,2022
"62","Korea","KOR",1,2022
"63","Kosovo","XKX",1,2022
"64","Kuwait","KWT",1,2022
"65","Latvia","LVA",1,2022
"66","Lebanon","LBN",1,2022
"67","Libya","LBY",1,2022
"68","Lithuania","LTU",1,2022
"69","Luxembourg","LUX",1,2022
"70","Malaysia","MYS",1,2022
"71","Malta","MLT",1,2022
"72","Mauritius","MUS",1,2022
"73","Mexico","MEX",1,2022
"74","Mongolia","MNG",1,2022
"75","Montenegro","MNE",1,2022
"76","Morocco","MAR",1,2022
"77","Mozambique","MOZ",1,2022
"78","Myanmar","MMR",1,2022
"79","Namibia","NAM",1,2022
"80","Nepal","NPL",1,2022
"81","Netherlands","NLD",1,2022
"82","New Zealand","NZL",1,2022
"83","Nicaragua","NIC",1,2022
"84","Niger","NER",1,2022
"85","Nigeria","NGA",1,2022
"86","Norway","NOR",1,2022
"87","Oman","OMN",1,2022
"88","Pakistan","PAK",1,2022
"89","Panama","PAN",1,2022
"90","Paraguay","PRY",1,2022
"91","Peru","PER",1,2022
"92","Philippines","PHL",1,2022
"93","Poland","POL",1,2022
"94","Portugal","PRT",1,2022
"95","Qatar","QAT",1,2022
"96","Romania","ROU",1,2022
"97","Russian Federation","RUS",1,2022
"98","Saudi Arabia","SAU",1,2022
"99","Senegal","SEN",1,2022
"100","Serbia","SRB",1,2022
"101","Singapore","SGP",1,2022
"102","Slovak Republic","SVK",1,2022
"103","Slovenia","SVN",1,2022
"104","South Africa","ZAF",1,2022
"105","South Sudan","SSD",1,2022
"106","Spain","ESP",1,2022
"107","Sri Lanka","LKA",1,2022
"108","Sudan","SDN",1,2022
"109","Suriname","SUR",1,2022
"110","Sweden","SWE",1,2022
"111","Switzerland","CHE",1,2022
"112","Syrian Arab Republic","SYR",1,2022
"113","Tajikistan","TJK",1,2022
"114","Thailand","THA",1,2022
"115","Togo","TGO",1,2022
"116","Trinidad and Tobago","TTO",1,2022
"117","Tunisia","TUN",1,2022
"118","Turkey","TUR",1,2022
"119","Turkmenistan","TKM",1,2022
"120","Ukraine","UKR",1,2022
"121","United Arab Emirates","ARE",1,2022
"122","United Kingdom","GBR",1,2022
"123","United States","USA",1,2022
"124","Uruguay","URY",1,2022
"125","Uzbekistan","UZB",1,2022
"126","Venezuela","VEN",1,2022
"127","Vietnam","VNM",1,2022
"128","Zambia","ZMB",1,2022
"129","Zimbabwe","ZWE",1,2022
"130","Albania","ALB",1,2023
"131","Algeria","DZA",1,2023
"132","Angola","AGO",1,2023
"133","Argentina","ARG",1,2023
"134","Armenia","ARM",1,2023
"135","Australia","AUS",1,2023
"136","Austria","AUT",1,2023
