,Nation,iso_code3,Year,nemomod_entc_capital_cost_pp_nuclear_mm_usd_per_gw
0,Afghanistan,AFG,2021,4050.5
1,Afghanistan,AFG,2022,4050.5
2,Afghanistan,AFG,2023,4050.5
3,Afghanistan,AFG,2024,4050.5
4,Afghanistan,AFG,2025,4050.5
5,Afghanistan,AFG,2026,4050.5
6,Afghanistan,AFG,2027,4050.5
7,Afghanistan,AFG,2028,4050.5
8,Afghanistan,AFG,2029,4050.5
9,Afghanistan,AFG,2030,4050.5
10,Afghanistan,AFG,2031,4050.5
11,Afghanistan,AFG,2032,4050.5
12,Afghanistan,AFG,2033,4050.5
13,Afghanistan,AFG,2034,4050.5
14,Afghanistan,AFG,2035,4050.5
15,Afghanistan,AFG,2036,4050.5
16,Afghanistan,AFG,2037,4050.5
17,Afghanistan,AFG,2038,4050.5
18,Afghanistan,AFG,2039,4050.5
19,Afghanistan,AFG,2040,4050.5
20,Afghanistan,AFG,2041,4050.5
21,Afghanistan,AFG,2042,4050.5
22,Afghanistan,AFG,2043,4050.5
23,Afghanistan,AFG,2044,4050.5
24,Afghanistan,AFG,2045,4050.5
25,Afghanistan,AFG,2046,4050.5
26,Afghanistan,AFG,2047,4050.5
27,Afghanistan,AFG,2048,4050.5
28,Afghanistan,AFG,2049,4050.5
29,Afghanistan,AFG,2050,4050.5
30,Åland Islands,ALA,2021,6256.666666666667
31,Åland Islands,ALA,2022,6256.666666666667
32,Åland Islands,ALA,2023,6256.666666666667
33,Åland Islands,ALA,2024,6256.666666666667
34,Åland Islands,ALA,2025,6256.666666666667
35,Åland Islands,ALA,2026,6256.666666666667
36,Åland Islands,ALA,2027,6256.666666666667
37,Åland Islands,ALA,2028,6256.666666666667
38,Åland Islands,ALA,2029,6256.666666666667
39,Åland Islands,ALA,2030,6256.666666666667
40,Åland Islands,ALA,2031,6256.666666666667
41,Åland Islands,ALA,2032,6256.666666666667
42,Åland Islands,ALA,2033,6256.666666666667
43,Åland Islands,ALA,2034,6256.666666666667
44,Åland Islands,ALA,2035,6256.666666666667
45,Åland Islands,ALA,2036,6256.666666666667
46,Åland Islands,ALA,2037,6256.666666666667
47,Åland Islands,ALA,2038,6256.666666666667
48,Åland Islands,ALA,2039,6256.666666666667
49,Åland Islands,ALA,2040,6256.666666666667
50,Åland Islands,ALA,2041,6256.666666666667
51,Åland Islands,ALA,2042,6256.666666666667
52,Åland Islands,ALA,2043,6256.666666666667
53,Åland Islands,ALA,2044,6256.666666666667
54,Åland Islands,ALA,2045,6256.666666666667
55,Åland Islands,ALA,2046,6256.666666666667
56,Åland Islands,ALA,2047,6256.666666666667
57,Åland Islands,ALA,2048,6256.666666666667
58,Åland Islands,ALA,2049,6256.666666666667
59,Åland Islands,ALA,2050,6256.666666666667
60,Albania,ALB,2021,6256.666666666667
61,Albania,ALB,2022,6256.666666666667
62,Albania,ALB,2023,6256.666666666667
63,Albania,ALB,2024,6256.666666666667
64,Albania,ALB,2025,6256.666666666667
65,Albania,ALB,2026,6256.666666666667
66,Albania,ALB,2027,6256.666666666667
67,Albania,ALB,2028,6256.666666666667
68,Albania,ALB,2029,6256.666666666667
69,Albania,ALB,2030,6256.666666666667
70,Albania,ALB,2031,6256.666666666667
71,Albania,ALB,2032,6256.666666666667
72,Albania,ALB,2033,6256.666666666667
73,Albania,ALB,2034,6256.666666666667
74,Albania,ALB,2035,6256.666666666667
75,Albania,ALB,2036,6256.666666666667
76,Albania,ALB,2037,6256.666666666667
77,Albania,ALB,2038,6256.666666666667
78,Albania,ALB,2039,6256.666666666667
79,Albania,ALB,2040,6256.666666666667
80,Albania,ALB,2041,6256.666666666667
81,Albania,ALB,2042,6256.666666666667
82,Albania,ALB,2043,6256.666666666667
83,Albania,ALB,2044,6256.666666666667
84,Albania,ALB,2045,6256.666666666667
85,Albania,ALB,2046,6256.666666666667
86,Albania,ALB,2047,6256.666666666667
87,Albania,ALB,2048,6256.666666666667
88,Albania,ALB,2049,6256.666666666667
89,Albania,ALB,2050,6256.666666666667
90,Algeria,DZA,2021,5153.583333333334
91,Algeria,DZA,2022,5153.583333333334
92,Algeria,DZA,2023,5153.583333333334
93,Algeria,DZA,2024,5153.583333333334
94,Algeria,DZA,2025,5153.583333333334
95,Algeria,DZA,2026,5153.583333333334
96,Algeria,DZA,2027,5153.583333333334
97,Algeria,DZA,2028,5153.583333333334
98,Algeria,DZA,2029,5153.583333333334
99,Algeria,DZA,2030,5153.583333333334
100,Algeria,DZA,2031,5153.583333333334
101,Algeria,DZA,2032,5153.583333333334
102,Algeria,DZA,2033,5153.583333333334
103,Algeria,DZA,2034,5153.583333333334
104,Algeria,DZA,2035,5153.583333333334
105,Algeria,DZA,2036,5153.583333333334
106,Algeria,DZA,2037,5153.583333333334
107,Algeria,DZA,2038,5153.583333333334
108,Algeria,DZA,2039,5153.583333333334
109,Algeria,DZA,2040,5153.583333333334
110,Algeria,DZA,2041,5153.583333333334
111,Algeria,DZA,2042,5153.583333333334
112,Algeria,DZA,2043,5153.583333333334
113,Algeria,DZA,2044,5153.583333333334
114,Algeria,DZA,2045,5153.583333333334
115,Algeria,DZA,2046,5153.583333333334
116,Algeria,DZA,2047,5153.583333333334
117,Algeria,DZA,2048,5153.583333333334
118,Algeria,DZA,2049,5153.583333333334
119,Algeria,DZA,2050,5153.583333333334
120,American Samoa,ASM,2021,5153.583333333334
121,American Samoa,ASM,2022,5153.583333333334
122,American Samoa,ASM,2023,5153.583333333334
123,American Samoa,ASM,2024,5153.583333333334
124,American Samoa,ASM,2025,5153.583333333334
125,American Samoa,ASM,2026,5153.583333333334
126,American Samoa,ASM,2027,5153.583333333334
127,American Samoa,ASM,2028,5153.583333333334
128,American Samoa,ASM,2029,5153.583333333334
129,American Samoa,ASM,2030,5153.583333333334
130,American Samoa,ASM,2031,5153.583333333334
131,American Samoa,ASM,2032,5153.583333333334
132,American Samoa,ASM,2033,5153.583333333334
133,American Samoa,ASM,2034,5153.583333333334
134,American Samoa,ASM,2035,5153.583333333334
135,American Samoa,ASM,2036,5153.583333333334
136,American Samoa,ASM,2037,5153.583333333334
137,American Samoa,ASM,2038,5153.583333333334
138,American Samoa,ASM,2039,5153.583333333334
139,American Samoa,ASM,2040,5153.583333333334
140,American Samoa,ASM,2041,5153.583333333334
141,American Samoa,ASM,2042,5153.583333333334
142,American Samoa,ASM,2043,5153.583333333334
143,American Samoa,ASM,2044,5153.583333333334
144,American Samoa,ASM,2045,5153.583333333334
145,American Samoa,ASM,2046,5153.583333333334
146,American Samoa,ASM,2047,5153.583333333334
