Year,iso_code3,cost_enfu_fuel_electricity_usd_per_mmbtu
2021,ABW,60.6868329613944
2022,ABW,60.6868329613944
2023,ABW,60.6868329613944
2024,ABW,60.6868329613944
2025,ABW,60.6868329613944
2026,ABW,60.6868329613944
2027,ABW,60.6868329613944
2028,ABW,60.6868329613944
2029,ABW,60.6868329613944
2030,ABW,60.6868329613944
2031,ABW,60.6868329613944
2032,ABW,60.6868329613944
2033,ABW,60.6868329613944
2034,ABW,60.6868329613944
2035,ABW,60.6868329613944
2036,ABW,60.6868329613944
2037,ABW,60.6868329613944
2038,ABW,60.6868329613944
2039,ABW,60.6868329613944
2040,ABW,60.6868329613944
2041,ABW,60.6868329613944
2042,ABW,60.6868329613944
2043,ABW,60.6868329613944
2044,ABW,60.6868329613944
2045,ABW,60.6868329613944
2046,ABW,60.6868329613944
2047,ABW,60.6868329613944
2048,ABW,60.6868329613944
2049,ABW,60.6868329613944
2050,ABW,60.6868329613944
2021,AFG,60.6868329613944
2022,AFG,60.6868329613944
2023,AFG,60.6868329613944
2024,AFG,60.6868329613944
2025,AFG,60.6868329613944
2026,AFG,60.6868329613944
2027,AFG,60.6868329613944
2028,AFG,60.6868329613944
2029,AFG,60.6868329613944
2030,AFG,60.6868329613944
2031,AFG,60.6868329613944
2032,AFG,60.6868329613944
2033,AFG,60.6868329613944
2034,AFG,60.6868329613944
2035,AFG,60.6868329613944
2036,AFG,60.6868329613944
2037,AFG,60.6868329613944
2038,AFG,60.6868329613944
2039,AFG,60.6868329613944
2040,AFG,60.6868329613944
2041,AFG,60.6868329613944
2042,AFG,60.6868329613944
2043,AFG,60.6868329613944
2044,AFG,60.6868329613944
2045,AFG,60.6868329613944
2046,AFG,60.6868329613944
2047,AFG,60.6868329613944
2048,AFG,60.6868329613944
2049,AFG,60.6868329613944
2050,AFG,60.6868329613944
2021,AGO,60.6868329613944
2022,AGO,60.6868329613944
2023,AGO,60.6868329613944
2024,AGO,60.6868329613944
2025,AGO,60.6868329613944
2026,AGO,60.6868329613944
2027,AGO,60.6868329613944
2028,AGO,60.6868329613944
2029,AGO,60.6868329613944
2030,AGO,60.6868329613944
2031,AGO,60.6868329613944
2032,AGO,60.6868329613944
2033,AGO,60.6868329613944
2034,AGO,60.6868329613944
2035,AGO,60.6868329613944
2036,AGO,60.6868329613944
2037,AGO,60.6868329613944
2038,AGO,60.6868329613944
2039,AGO,60.6868329613944
2040,AGO,60.6868329613944
2041,AGO,60.6868329613944
2042,AGO,60.6868329613944
2043,AGO,60.6868329613944
2044,AGO,60.6868329613944
2045,AGO,60.6868329613944
2046,AGO,60.6868329613944
2047,AGO,60.6868329613944
2048,AGO,60.6868329613944
2049,AGO,60.6868329613944
2050,AGO,60.6868329613944
2021,ALB,97.77915086672796
2022,ALB,97.77915086672796
2023,ALB,97.77915086672796
2024,ALB,97.77915086672796
2025,ALB,97.77915086672796
2026,ALB,97.77915086672796
2027,ALB,97.77915086672796
2028,ALB,97.77915086672796
2029,ALB,97.77915086672796
2030,ALB,97.77915086672796
2031,ALB,97.77915086672796
2032,ALB,97.77915086672796
2033,ALB,97.77915086672796
2034,ALB,97.77915086672796
2035,ALB,97.77915086672796
2036,ALB,97.77915086672796
2037,ALB,97.77915086672796
2038,ALB,97.77915086672796
2039,ALB,97.77915086672796
2040,ALB,97.77915086672796
2041,ALB,97.77915086672796
2042,ALB,97.77915086672796
2043,ALB,97.77915086672796
2044,ALB,97.77915086672796
2045,ALB,97.77915086672796
2046,ALB,97.77915086672796
2047,ALB,97.77915086672796
2048,ALB,97.77915086672796
2049,ALB,97.77915086672796
2050,ALB,97.77915086672796
2021,AND,60.6868329613944
2022,AND,60.6868329613944
2023,AND,60.6868329613944
2024,AND,60.6868329613944
2025,AND,60.6868329613944
2026,AND,60.6868329613944
2027,AND,60.6868329613944
2028,AND,60.6868329613944
2029,AND,60.6868329613944
2030,AND,60.6868329613944
2031,AND,60.6868329613944
2032,AND,60.6868329613944
2033,AND,60.6868329613944
2034,AND,60.6868329613944
2035,AND,60.6868329613944
2036,AND,60.6868329613944
2037,AND,60.6868329613944
2038,AND,60.6868329613944
2039,AND,60.6868329613944
2040,AND,60.6868329613944
2041,AND,60.6868329613944
2042,AND,60.6868329613944
2043,AND,60.6868329613944
2044,AND,60.6868329613944
2045,AND,60.6868329613944
2046,AND,60.6868329613944
2047,AND,60.6868329613944
2048,AND,60.6868329613944
2049,AND,60.6868329613944
2050,AND,60.6868329613944
2021,ARE,60.6868329613944
2022,ARE,60.6868329613944
2023,ARE,60.6868329613944
2024,ARE,60.6868329613944
2025,ARE,60.6868329613944
2026,ARE,60.6868329613944
2027,ARE,60.6868329613944
2028,ARE,60.6868329613944
2029,ARE,60.6868329613944
2030,ARE,60.6868329613944
2031,ARE,60.6868329613944
2032,ARE,60.6868329613944
2033,ARE,60.6868329613944
2034,ARE,60.6868329613944
2035,ARE,60.6868329613944
2036,ARE,60.6868329613944
2037,ARE,60.6868329613944
2038,ARE,60.6868329613944
2039,ARE,60.6868329613944
2040,ARE,60.6868329613944
2041,ARE,60.6868329613944
2042,ARE,60.6868329613944
2043,ARE,60.6868329613944
2044,ARE,60.6868329613944
2045,ARE,60.6868329613944
2046,ARE,60.6868329613944
2047,ARE,60.6868329613944
2048,ARE,60.6868329613944
2049,ARE,60.6868329613944
2050,ARE,60.6868329613944
2021,ARG,23.48656366436312
2022,ARG,23.48656366436312
2023,ARG,23.48656366436312
2024,ARG,23.48656366436312
2025,ARG,23.48656366436312
2026,ARG,23.48656366436312
2027,ARG,23.48656366436312
2028,ARG,23.48656366436312
2029,ARG,23.48656366436312
2030,ARG,23.48656366436312
2031,ARG,23.48656366436312
2032,ARG,23.48656366436312
2033,ARG,23.48656366436312
2034,ARG,23.48656366436312
2035,ARG,23.48656366436312
2036,ARG,23.48656366436312
2037,ARG,23.48656366436312
2038,ARG,23.48656366436312
2039,ARG,23.48656366436312
2040,ARG,23.48656366436312
2041,ARG,23.48656366436312
2042,ARG,23.48656366436312
2043,ARG,23.48656366436312
2044,ARG,23.48656366436312
2045,ARG,23.48656366436312
2046,ARG,23.48656366436312
2047,ARG,23.48656366436312
2048,ARG,23.48656366436312
2049,ARG,23.48656366436312
2050,ARG,23.48656366436312
2021,ARM,47.812849014214365
2022,ARM,47.812849014214365
2023,ARM,47.812849014214365
2024,ARM,47.812849014214365
2025,ARM,47.812849014214365
2026,ARM,47.812849014214365
2027,ARM,47.812849014214365
2028,ARM,47.812849014214365
2029,ARM,47.812849014214365
2030,ARM,47.812849014214365
2031,ARM,47.812849014214365
2032,ARM,47.812849014214365
2033,ARM,47.812849014214365
2034,ARM,47.812849014214365
