,Nation,iso_code3,Year,frac_trns_mtkm_dem_freight_water_borne
120,Africa Western and Central,AFW,2035,0.09697775308733297
121,Africa Western and Central,AFW,2036,0.09697775308733297
122,Africa Western and Central,AFW,2037,0.09697775308733297
123,Africa Western and Central,AFW,2038,0.09697775308733297
124,Africa Western and Central,AFW,2039,0.09697775308733297
125,Africa Western and Central,AFW,2040,0.09697775308733297
126,Africa Western and Central,AFW,2041,0.09697775308733297
127,Africa Western and Central,AFW,2042,0.09697775308733297
128,Africa Western and Central,AFW,2043,0.09697775308733297
129,Africa Western and Central,AFW,2044,0.09697775308733297
130,Africa Western and Central,AFW,2045,0.09697775308733297
131,Africa Western and Central,AFW,2046,0.09697775308733297
132,Africa Western and Central,AFW,2047,0.09697775308733297
133,Africa Western and Central,AFW,2048,0.09697775308733297
134,Africa Western and Central,AFW,2049,0.09697775308733297
135,Africa Western and Central,AFW,2050,0.09697775308733297
136,Angola,AGO,2017,0.09697775308733297
137,Angola,AGO,2018,0.09697775308733297
138,Angola,AGO,2019,0.09697775308733297
139,Angola,AGO,2020,0.09697775308733297
140,Angola,AGO,2021,0.09697775308733297
141,Angola,AGO,2022,0.09697775308733297
142,Angola,AGO,2023,0.09697775308733297
143,Angola,AGO,2024,0.09697775308733297
144,Angola,AGO,2025,0.09697775308733297
145,Angola,AGO,2026,0.09697775308733297
146,Angola,AGO,2027,0.09697775308733297
147,Angola,AGO,2028,0.09697775308733297
148,Angola,AGO,2029,0.09697775308733297
149,Angola,AGO,2030,0.09697775308733297
150,Angola,AGO,2031,0.09697775308733297
151,Angola,AGO,2032,0.09697775308733297
152,Angola,AGO,2033,0.09697775308733297
153,Angola,AGO,2034,0.09697775308733297
154,Angola,AGO,2035,0.09697775308733297
155,Angola,AGO,2036,0.09697775308733297
156,Angola,AGO,2037,0.09697775308733297
157,Angola,AGO,2038,0.09697775308733297
158,Angola,AGO,2039,0.09697775308733297
159,Angola,AGO,2040,0.09697775308733297
160,Angola,AGO,2041,0.09697775308733297
161,Angola,AGO,2042,0.09697775308733297
162,Angola,AGO,2043,0.09697775308733297
163,Angola,AGO,2044,0.09697775308733297
164,Angola,AGO,2045,0.09697775308733297
165,Angola,AGO,2046,0.09697775308733297
166,Angola,AGO,2047,0.09697775308733297
167,Angola,AGO,2048,0.09697775308733297
168,Angola,AGO,2049,0.09697775308733297
169,Angola,AGO,2050,0.09697775308733297
170,Albania,ALB,2017,0.0
171,Albania,ALB,2018,0.0
172,Albania,ALB,2019,0.0
173,Albania,ALB,2020,0.0
174,Albania,ALB,2021,0.0
175,Albania,ALB,2022,0.0
176,Albania,ALB,2023,0.0
177,Albania,ALB,2024,0.0
178,Albania,ALB,2025,0.0
179,Albania,ALB,2026,0.0
180,Albania,ALB,2027,0.0
181,Albania,ALB,2028,0.0
182,Albania,ALB,2029,0.0
183,Albania,ALB,2030,0.0
184,Albania,ALB,2031,0.0
185,Albania,ALB,2032,0.0
186,Albania,ALB,2033,0.0
187,Albania,ALB,2034,0.0
188,Albania,ALB,2035,0.0
189,Albania,ALB,2036,0.0
190,Albania,ALB,2037,0.0
191,Albania,ALB,2038,0.0
192,Albania,ALB,2039,0.0
193,Albania,ALB,2040,0.0
194,Albania,ALB,2041,0.0
195,Albania,ALB,2042,0.0
196,Albania,ALB,2043,0.0
197,Albania,ALB,2044,0.0
198,Albania,ALB,2045,0.0
199,Albania,ALB,2046,0.0
200,Albania,ALB,2047,0.0
201,Albania,ALB,2048,0.0
202,Albania,ALB,2049,0.0
203,Albania,ALB,2050,0.0
204,Andorra,AND,2017,0.09697775308733297
205,Andorra,AND,2018,0.09697775308733297
206,Andorra,AND,2019,0.09697775308733297
207,Andorra,AND,2020,0.09697775308733297
208,Andorra,AND,2021,0.09697775308733297
209,Andorra,AND,2022,0.09697775308733297
210,Andorra,AND,2023,0.09697775308733297
211,Andorra,AND,2024,0.09697775308733297
212,Andorra,AND,2025,0.09697775308733297
213,Andorra,AND,2026,0.09697775308733297
214,Andorra,AND,2027,0.09697775308733297
215,Andorra,AND,2028,0.09697775308733297
216,Andorra,AND,2029,0.09697775308733297
217,Andorra,AND,2030,0.09697775308733297
218,Andorra,AND,2031,0.09697775308733297
219,Andorra,AND,2032,0.09697775308733297
220,Andorra,AND,2033,0.09697775308733297
221,Andorra,AND,2034,0.09697775308733297
222,Andorra,AND,2035,0.09697775308733297
223,Andorra,AND,2036,0.09697775308733297
224,Andorra,AND,2037,0.09697775308733297
225,Andorra,AND,2038,0.09697775308733297
226,Andorra,AND,2039,0.09697775308733297
227,Andorra,AND,2040,0.09697775308733297
228,Andorra,AND,2041,0.09697775308733297
229,Andorra,AND,2042,0.09697775308733297
230,Andorra,AND,2043,0.09697775308733297
231,Andorra,AND,2044,0.09697775308733297
232,Andorra,AND,2045,0.09697775308733297
233,Andorra,AND,2046,0.09697775308733297
234,Andorra,AND,2047,0.09697775308733297
235,Andorra,AND,2048,0.09697775308733297
236,Andorra,AND,2049,0.09697775308733297
237,Andorra,AND,2050,0.09697775308733297
238,Arab World,ARB,2017,0.09697775308733297
239,Arab World,ARB,2018,0.09697775308733297
240,Arab World,ARB,2019,0.09697775308733297
241,Arab World,ARB,2020,0.09697775308733297
242,Arab World,ARB,2021,0.09697775308733297
243,Arab World,ARB,2022,0.09697775308733297
244,Arab World,ARB,2023,0.09697775308733297
245,Arab World,ARB,2024,0.09697775308733297
246,Arab World,ARB,2025,0.09697775308733297
247,Arab World,ARB,2026,0.09697775308733297
248,Arab World,ARB,2027,0.09697775308733297
249,Arab World,ARB,2028,0.09697775308733297
250,Arab World,ARB,2029,0.09697775308733297
251,Arab World,ARB,2030,0.09697775308733297
252,Arab World,ARB,2031,0.09697775308733297
253,Arab World,ARB,2032,0.09697775308733297
254,Arab World,ARB,2033,0.09697775308733297
255,Arab World,ARB,2034,0.09697775308733297
256,Arab World,ARB,2035,0.09697775308733297
257,Arab World,ARB,2036,0.09697775308733297
258,Arab World,ARB,2037,0.09697775308733297
259,Arab World,ARB,2038,0.09697775308733297
260,Arab World,ARB,2039,0.09697775308733297
261,Arab World,ARB,2040,0.09697775308733297
262,Arab World,ARB,2041,0.09697775308733297
263,Arab World,ARB,2042,0.09697775308733297
264,Arab World,ARB,2043,0.09697775308733297
265,Arab World,ARB,2044,0.09697775308733297
266,Arab World,ARB,2045,0.09697775308733297
267,Arab World,ARB,2046,0.09697775308733297
268,Arab World,ARB,2047,0.09697775308733297
269,Arab World,ARB,2048,0.09697775308733297
270,Arab World,ARB,2049,0.09697775308733297
271,Arab World,ARB,2050,0.09697775308733297
272,United Arab Emirates,ARE,2017,0.09697775308733297
273,United Arab Emirates,ARE,2018,0.09697775308733297
274,United Arab Emirates,ARE,2019,0.09697775308733297
275,United Arab Emirates,ARE,2020,0.09697775308733297
276,United Arab Emirates,ARE,2021,0.09697775308733297
277,United Arab Emirates,ARE,2022,0.09697775308733297
278,United Arab Emirates,ARE,2023,0.09697775308733297
279,United Arab Emirates,ARE,2024,0.09697775308733297
280,United Arab Emirates,ARE,2025,0.09697775308733297
281,United Arab Emirates,ARE,2026,0.09697775308733297
282,United Arab Emirates,ARE,2027,0.09697775308733297
283,United Arab Emirates,ARE,2028,0.09697775308733297
284,United Arab Emirates,ARE,2029,0.09697775308733297
285,United Arab Emirates,ARE,2030,0.09697775308733297
286,United Arab Emirates,ARE,2031,0.09697775308733297
287,United Arab Emirates,ARE,2032,0.09697775308733297
288,United Arab Emirates,ARE,2033,0.09697775308733297
289,United Arab Emirates,ARE,2034,0.09697775308733297
290,United Arab Emirates,ARE,2035,0.09697775308733297
291,United Arab Emirates,ARE,2036,0.09697775308733297
292,United Arab Emirates,ARE,2037,0.09697775308733297
293,United Arab Emirates,ARE,2038,0.09697775308733297
294,United Arab Emirates,ARE,2039,0.09697775308733297
295,United Arab Emirates,ARE,2040,0.09697775308733297
296,United Arab Emirates,ARE,2041,0.09697775308733297
297,United Arab Emirates,ARE,2042,0.09697775308733297
298,United Arab Emirates,ARE,2043,0.09697775308733297
299,United Arab Emirates,ARE,2044,0.09697775308733297
300,United Arab Emirates,ARE,2045,0.09697775308733297
301,United Arab Emirates,ARE,2046,0.09697775308733297
302,United Arab Emirates,ARE,2047,0.09697775308733297
303,United Arab Emirates,ARE,2048,0.09697775308733297
304,United Arab Emirates,ARE,2049,0.09697775308733297
305,United Arab Emirates,ARE,2050,0.09697775308733297
306,Argentina,ARG,2017,0.0
307,Argentina,ARG,2018,0.0
308,Argentina,ARG,2019,0.0
309,Argentina,ARG,2020,0.0
310,Argentina,ARG,2021,0.0
311,Argentina,ARG,2022,0.0
312,Argentina,ARG,2023,0.0
313,Argentina,ARG,2024,0.0
314,Argentina,ARG,2025,0.0
315,Argentina,ARG,2026,0.0
316,Argentina,ARG,2027,0.0
317,Argentina,ARG,2028,0.0
318,Argentina,ARG,2029,0.0
319,Argentina,ARG,2030,0.0
320,Argentina,ARG,2031,0.0
321,Argentina,ARG,2032,0.0
322,Argentina,ARG,2033,0.0
323,Argentina,ARG,2034,0.0
324,Argentina,ARG,2035,0.0
325,Argentina,ARG,2036,0.0
326,Argentina,ARG,2037,0.0
327,Argentina,ARG,2038,0.0
328,Argentina,ARG,2039,0.0
329,Argentina,ARG,2040,0.0
330,Argentina,ARG,2041,0.0
331,Argentina,ARG,2042,0.0
332,Argentina,ARG,2043,0.0
333,Argentina,ARG,2044,0.0
334,Argentina,ARG,2045,0.0
335,Argentina,ARG,2046,0.0
336,Argentina,ARG,2047,0.0
337,Argentina,ARG,2048,0.0
338,Argentina,ARG,2049,0.0
339,Argentina,ARG,2050,0.0
340,Armenia,ARM,2017,0.0
341,Armenia,ARM,2018,0.0
342,Armenia,ARM,2019,0.0
343,Armenia,ARM,2020,0.0
344,Armenia,ARM,2021,0.0
345,Armenia,ARM,2022,0.0
346,Armenia,ARM,2023,0.0
347,Armenia,ARM,2024,0.0
348,Armenia,ARM,2025,0.0
349,Armenia,ARM,2026,0.0
350,Armenia,ARM,2027,0.0
351,Armenia,ARM,2028,0.0
352,Armenia,ARM,2029,0.0
353,Armenia,ARM,2030,0.0
354,Armenia,ARM,2031,0.0
355,Armenia,ARM,2032,0.0
356,Armenia,ARM,2033,0.0
357,Armenia,ARM,2034,0.0
358,Armenia,ARM,2035,0.0
359,Armenia,ARM,2036,0.0
360,Armenia,ARM,2037,0.0
361,Armenia,ARM,2038,0.0
362,Armenia,ARM,2039,0.0
363,Armenia,ARM,2040,0.0
364,Armenia,ARM,2041,0.0
365,Armenia,ARM,2042,0.0
366,Armenia,ARM,2043,0.0
367,Armenia,ARM,2044,0.0
368,Armenia,ARM,2045,0.0
369,Armenia,ARM,2046,0.0
370,Armenia,ARM,2047,0.0
371,Armenia,ARM,2048,0.0
372,Armenia,ARM,2049,0.0
373,Armenia,ARM,2050,0.0
374,American Samoa,ASM,2017,0.09697775308733297
375,American Samoa,ASM,2018,0.09697775308733297
376,American Samoa,ASM,2019,0.09697775308733297
377,American Samoa,ASM,2020,0.09697775308733297
378,American Samoa,ASM,2021,0.09697775308733297
379,American Samoa,ASM,2022,0.09697775308733297
380,American Samoa,ASM,2023,0.09697775308733297
381,American Samoa,ASM,2024,0.09697775308733297
382,American Samoa,ASM,2025,0.09697775308733297
383,American Samoa,ASM,2026,0.09697775308733297
384,American Samoa,ASM,2027,0.09697775308733297
385,American Samoa,ASM,2028,0.09697775308733297
386,American Samoa,ASM,2029,0.09697775308733297
387,American Samoa,ASM,2030,0.09697775308733297
388,American Samoa,ASM,2031,0.09697775308733297
389,American Samoa,ASM,2032,0.09697775308733297
390,American Samoa,ASM,2033,0.09697775308733297
391,American Samoa,ASM,2034,0.09697775308733297
392,American Samoa,ASM,2035,0.09697775308733297
393,American Samoa,ASM,2036,0.09697775308733297
394,American Samoa,ASM,2037,0.09697775308733297
395,American Samoa,ASM,2038,0.09697775308733297
396,American Samoa,ASM,2039,0.09697775308733297
397,American Samoa,ASM,2040,0.09697775308733297
398,American Samoa,ASM,2041,0.09697775308733297
399,American Samoa,ASM,2042,0.09697775308733297
400,American Samoa,ASM,2043,0.09697775308733297
401,American Samoa,ASM,2044,0.09697775308733297
402,American Samoa,ASM,2045,0.09697775308733297
403,American Samoa,ASM,2046,0.09697775308733297
404,American Samoa,ASM,2047,0.09697775308733297
405,American Samoa,ASM,2048,0.09697775308733297
406,American Samoa,ASM,2049,0.09697775308733297
407,American Samoa,ASM,2050,0.09697775308733297
408,Antigua and Barbuda,ATG,2017,0.09697775308733297
409,Antigua and Barbuda,ATG,2018,0.09697775308733297
410,Antigua and Barbuda,ATG,2019,0.09697775308733297
411,Antigua and Barbuda,ATG,2020,0.09697775308733297
412,Antigua and Barbuda,ATG,2021,0.09697775308733297
413,Antigua and Barbuda,ATG,2022,0.09697775308733297
414,Antigua and Barbuda,ATG,2023,0.09697775308733297
415,Antigua and Barbuda,ATG,2024,0.09697775308733297
416,Antigua and Barbuda,ATG,2025,0.09697775308733297
417,Antigua and Barbuda,ATG,2026,0.09697775308733297
418,Antigua and Barbuda,ATG,2027,0.09697775308733297
419,Antigua and Barbuda,ATG,2028,0.09697775308733297
420,Antigua and Barbuda,ATG,2029,0.09697775308733297
421,Antigua and Barbuda,ATG,2030,0.09697775308733297
422,Antigua and Barbuda,ATG,2031,0.09697775308733297
423,Antigua and Barbuda,ATG,2032,0.09697775308733297
424,Antigua and Barbuda,ATG,2033,0.09697775308733297
425,Antigua and Barbuda,ATG,2034,0.09697775308733297
426,Antigua and Barbuda,ATG,2035,0.09697775308733297
427,Antigua and Barbuda,ATG,2036,0.09697775308733297
428,Antigua and Barbuda,ATG,2037,0.09697775308733297
429,Antigua and Barbuda,ATG,2038,0.09697775308733297
430,Antigua and Barbuda,ATG,2039,0.09697775308733297
431,Antigua and Barbuda,ATG,2040,0.09697775308733297
432,Antigua and Barbuda,ATG,2041,0.09697775308733297
433,Antigua and Barbuda,ATG,2042,0.09697775308733297
434,Antigua and Barbuda,ATG,2043,0.09697775308733297
435,Antigua and Barbuda,ATG,2044,0.09697775308733297
436,Antigua and Barbuda,ATG,2045,0.09697775308733297
437,Antigua and Barbuda,ATG,2046,0.09697775308733297
438,Antigua and Barbuda,ATG,2047,0.09697775308733297
439,Antigua and Barbuda,ATG,2048,0.09697775308733297
440,Antigua and Barbuda,ATG,2049,0.09697775308733297
441,Antigua and Barbuda,ATG,2050,0.09697775308733297
442,Australia,AUS,2017,0.15148784277785166
443,Australia,AUS,2018,0.15148784277785166
444,Australia,AUS,2019,0.15148784277785166
445,Australia,AUS,2020,0.15148784277785166
446,Australia,AUS,2021,0.15148784277785166
447,Australia,AUS,2022,0.15148784277785166
448,Australia,AUS,2023,0.15148784277785166
449,Australia,AUS,2024,0.15148784277785166
450,Australia,AUS,2025,0.15148784277785166
451,Australia,AUS,2026,0.15148784277785166
452,Australia,AUS,2027,0.15148784277785166
453,Australia,AUS,2028,0.15148784277785166
454,Australia,AUS,2029,0.15148784277785166
455,Australia,AUS,2030,0.15148784277785166
456,Australia,AUS,2031,0.15148784277785166
457,Australia,AUS,2032,0.15148784277785166
458,Australia,AUS,2033,0.15148784277785166
459,Australia,AUS,2034,0.15148784277785166
460,Australia,AUS,2035,0.15148784277785166
461,Australia,AUS,2036,0.15148784277785166
462,Australia,AUS,2037,0.15148784277785166
463,Australia,AUS,2038,0.15148784277785166
464,Australia,AUS,2039,0.15148784277785166
465,Australia,AUS,2040,0.15148784277785166
466,Australia,AUS,2041,0.15148784277785166
467,Australia,AUS,2042,0.15148784277785166
468,Australia,AUS,2043,0.15148784277785166
469,Australia,AUS,2044,0.15148784277785166
470,Australia,AUS,2045,0.15148784277785166
471,Australia,AUS,2046,0.15148784277785166
472,Australia,AUS,2047,0.15148784277785166
473,Australia,AUS,2048,0.15148784277785166
474,Australia,AUS,2049,0.15148784277785166
475,Australia,AUS,2050,0.15148784277785166
476,Austria,AUT,2017,0.0
477,Austria,AUT,2018,0.0
478,Austria,AUT,2019,0.0
479,Austria,AUT,2020,0.0
480,Austria,AUT,2021,0.0
481,Austria,AUT,2022,0.0
482,Austria,AUT,2023,0.0
483,Austria,AUT,2024,0.0
484,Austria,AUT,2025,0.0
485,Austria,AUT,2026,0.0
486,Austria,AUT,2027,0.0
487,Austria,AUT,2028,0.0
488,Austria,AUT,2029,0.0
489,Austria,AUT,2030,0.0
490,Austria,AUT,2031,0.0
491,Austria,AUT,2032,0.0
492,Austria,AUT,2033,0.0
493,Austria,AUT,2034,0.0
494,Austria,AUT,2035,0.0
495,Austria,AUT,2036,0.0
496,Austria,AUT,2037,0.0
497,Austria,AUT,2038,0.0
498,Austria,AUT,2039,0.0
499,Austria,AUT,2040,0.0
500,Austria,AUT,2041,0.0
501,Austria,AUT,2042,0.0
502,Austria,AUT,2043,0.0
503,Austria,AUT,2044,0.0
504,Austria,AUT,2045,0.0
505,Austria,AUT,2046,0.0
506,Austria,AUT,2047,0.0
507,Austria,AUT,2048,0.0
508,Austria,AUT,2049,0.0
509,Austria,AUT,2050,0.0
510,Azerbaijan,AZE,2017,0.12163695299837926
511,Azerbaijan,AZE,2018,0.12163695299837926
512,Azerbaijan,AZE,2019,0.12163695299837926
513,Azerbaijan,AZE,2020,0.12163695299837926
514,Azerbaijan,AZE,2021,0.12163695299837926
515,Azerbaijan,AZE,2022,0.12163695299837926
516,Azerbaijan,AZE,2023,0.12163695299837926
517,Azerbaijan,AZE,2024,0.12163695299837926
518,Azerbaijan,AZE,2025,0.12163695299837926
519,Azerbaijan,AZE,2026,0.12163695299837926
520,Azerbaijan,AZE,2027,0.12163695299837926
521,Azerbaijan,AZE,2028,0.12163695299837926
522,Azerbaijan,AZE,2029,0.12163695299837926
523,Azerbaijan,AZE,2030,0.12163695299837926
524,Azerbaijan,AZE,2031,0.12163695299837926
525,Azerbaijan,AZE,2032,0.12163695299837926
526,Azerbaijan,AZE,2033,0.12163695299837926
527,Azerbaijan,AZE,2034,0.12163695299837926
528,Azerbaijan,AZE,2035,0.12163695299837926
529,Azerbaijan,AZE,2036,0.12163695299837926
530,Azerbaijan,AZE,2037,0.12163695299837926
531,Azerbaijan,AZE,2038,0.12163695299837926
532,Azerbaijan,AZE,2039,0.12163695299837926
533,Azerbaijan,AZE,2040,0.12163695299837926
534,Azerbaijan,AZE,2041,0.12163695299837926
535,Azerbaijan,AZE,2042,0.12163695299837926
536,Azerbaijan,AZE,2043,0.12163695299837926
537,Azerbaijan,AZE,2044,0.12163695299837926
538,Azerbaijan,AZE,2045,0.12163695299837926
539,Azerbaijan,AZE,2046,0.12163695299837926
540,Azerbaijan,AZE,2047,0.12163695299837926
541,Azerbaijan,AZE,2048,0.12163695299837926
542,Azerbaijan,AZE,2049,0.12163695299837926
543,Azerbaijan,AZE,2050,0.12163695299837926
544,Burundi,BDI,2017,0.09697775308733297
545,Burundi,BDI,2018,0.09697775308733297
546,Burundi,BDI,2019,0.09697775308733297
547,Burundi,BDI,2020,0.09697775308733297
548,Burundi,BDI,2021,0.09697775308733297
549,Burundi,BDI,2022,0.09697775308733297
550,Burundi,BDI,2023,0.09697775308733297
551,Burundi,BDI,2024,0.09697775308733297
552,Burundi,BDI,2025,0.09697775308733297
553,Burundi,BDI,2026,0.09697775308733297
554,Burundi,BDI,2027,0.09697775308733297
555,Burundi,BDI,2028,0.09697775308733297
556,Burundi,BDI,2029,0.09697775308733297
557,Burundi,BDI,2030,0.09697775308733297
558,Burundi,BDI,2031,0.09697775308733297
559,Burundi,BDI,2032,0.09697775308733297
560,Burundi,BDI,2033,0.09697775308733297
561,Burundi,BDI,2034,0.09697775308733297
562,Burundi,BDI,2035,0.09697775308733297
563,Burundi,BDI,2036,0.09697775308733297
564,Burundi,BDI,2037,0.09697775308733297
565,Burundi,BDI,2038,0.09697775308733297
566,Burundi,BDI,2039,0.09697775308733297
567,Burundi,BDI,2040,0.09697775308733297
568,Burundi,BDI,2041,0.09697775308733297
569,Burundi,BDI,2042,0.09697775308733297
570,Burundi,BDI,2043,0.09697775308733297
571,Burundi,BDI,2044,0.09697775308733297
572,Burundi,BDI,2045,0.09697775308733297
573,Burundi,BDI,2046,0.09697775308733297
574,Burundi,BDI,2047,0.09697775308733297
575,Burundi,BDI,2048,0.09697775308733297
576,Burundi,BDI,2049,0.09697775308733297
577,Burundi,BDI,2050,0.09697775308733297
578,Belgium,BEL,2017,0.0
579,Belgium,BEL,2018,0.0
580,Belgium,BEL,2019,0.0
581,Belgium,BEL,2020,0.0
582,Belgium,BEL,2021,0.0
583,Belgium,BEL,2022,0.0
584,Belgium,BEL,2023,0.0
585,Belgium,BEL,2024,0.0
586,Belgium,BEL,2025,0.0
587,Belgium,BEL,2026,0.0
588,Belgium,BEL,2027,0.0
589,Belgium,BEL,2028,0.0
590,Belgium,BEL,2029,0.0
591,Belgium,BEL,2030,0.0
592,Belgium,BEL,2031,0.0
593,Belgium,BEL,2032,0.0
594,Belgium,BEL,2033,0.0
595,Belgium,BEL,2034,0.0
596,Belgium,BEL,2035,0.0
597,Belgium,BEL,2036,0.0
598,Belgium,BEL,2037,0.0
599,Belgium,BEL,2038,0.0
600,Belgium,BEL,2039,0.0
601,Belgium,BEL,2040,0.0
