Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,01/03/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,127.499998,138.8,150.5000026,213.0999978,261.3000076,270.8000022,304.2000042,326.200002,391.1000073,462.2000008,454.3999968,516.0999969,528.3000108,613.5999867,682.6999923,664.4999903,608.1000159,694.2000133,701.5999988,695.3000009,652.4999981,618.8000042,764.6000095,850.6999936,894.1000067,887.299995,968.199994,1093.299987,1150.799971,1392.600019,1442.264,1490.063,1373.718,1534.583,1713.396,1732.591,2118.846,1817.78,1678.541,1713.188,2052.237887,2138.537709,2485.776263,2642.201982,2722.613272,2739.366939,2870.646839,3607.123878,3526.787055,3732.431229,3297.129486,
Afghanistan,AFG,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,7.599999905,2.099999905,0.800000012,1.100000024,13.30000019,10.5,12.89999962,13.89999962,12.89999962,19.10000038,21.39999962,19.39999962,18.29999924,11.39999962,19.79999924,19.89999962,7.5,8.100000382,8.800000191,11.5,9.399999619,8.399999619,8.399999619,6.699999809,12.30000019,12.89999962,13.5,35.40000153,15,7.400000095,7.813,,,,,,,,,,108.0194871,109.4211175,116.6607234,84.621216,34.283472,33.10203859,29.0108809,21.46255651,29.5593488,20.01420595,19.87890239,
Africa Western and Central,AFW,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,81.500002,98.19999991,105.1000007,111.9000009,140.4000007,146.3000022,160.9999997,154.6000013,165.4000006,192.1000009,251.7000031,294.6999998,318.2000003,307.5999995,304.8999965,320.4000004,284.1000046,282.3999966,271.1999977,263.3000023,259.9000045,248.2000022,207.2999996,215.4000004,221.6999985,237.600004,261.3999968,249.900001,266.1999996,266.6999979,269.328,194.191,126.154,108.286,109.01,,,,,,85.99349159,77.26276853,73.39515976,65.83319218,70.81819198,42.88631012,39.60398069,41.32919758,39.66322867,32.2950492,21.73137738,
Angola,AGO,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,,,,,,,14.19999981,13.39999962,13.60000038,16,20.89999962,33.20000076,20.79999924,46.20000076,25.10000038,33.20000076,24.79999924,25.60000038,26.89999962,51.59999847,39.90000153,41.5,41.5,28.79999924,55.5,58.29999924,62.20000076,41.5,38,51.79999924,60.611,50.818,51.298,56.455,63.692,68.112,80.997,72.888,70.934,64.323,47.908,50.973,70.977,70.431,65.517,46.043,43.940435,67.32035,78.15964,68.04358,28.89977,
Albania,ALB,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,0.003,0.144,0.088,0.099,0.1,0.105,0.107,0.106,0.153,0,0,0,0,,,,,0,0,0,
Andorra,AND,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,199.3000062,271.0000023,355.1000046,492.9000114,556.5999878,654.7999929,838.3000017,885.1000145,929.6999979,1108.200023,1143.299975,1221.700003,1373.699998,1626.699971,1638.299994,1387.700009,1307.700005,1569.80002,1748.300023,1923.000017,1753.599989,1562.200001,1970.600016,2225.699981,2637.099971,2924.400073,2919.999978,3156.50006,3255.200013,3685.199973,4069.469,3977.352,4574.315,5348.805,6842.743,7614.616,8798.176,10073.09,13176.421,14557.538,15792.09456,17136.92745,19711.76462,22234.01364,24698.89969,25918.4579,27869.69502,30342.72508,31869.18039,31621.85052,27332.22072,
United Arab Emirates,ARE,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,,,,,2.200000048,4,6.800000191,8.199999809,9.600000382,14,26.20000076,21.39999962,21.60000038,23.79999924,30.70000076,32.59999847,48.59999847,68.09999847,96.19999695,117.8000031,145.1000061,184.3999939,267,365.3999939,465.8999939,557.2000122,651.2999878,809.4000244,902,1129.699951,1456.349,1631.164,2079.338,2772.739,3733.658,4641.933,5735.78,6538.02,9289.48,8959.601,9774.150415,10434.84919,12032.54363,14082.25474,15527.19287,15962.692,16138.874,16616.24461,15962.90443,14765.59958,12171.5568,
Argentina,ARG,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,47.90000153,57.40000153,79.69999695,85.90000153,98.19999695,74.59999847,96.30000305,119.8000031,120.5,136.8000031,195.3999939,195.5,170.6999969,174.3000031,179.8000031,187.1000061,192,197.5,193.6000061,201.1999969,213.6000061,201.8999939,206.6999969,232,206.1999969,177,176.6000061,220.3000031,251,241,296.646,124.402,76.419,111.811,123.637,132.558,124.583,132.675,131.685,111.663,193.3012538,192.20126,180.1204601,268.7107679,261.60894,243.7725665,254.1814135,305.102,311.720805,280.283172,81.12423,
Armenia,ARM,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.80000019,10.69999981,10.39999962,11.30000019,8.786,8.262,5.358,5.025,6.966,7.036,7.388,6.148,7.174,5.698,5.9795,4.4857,3.0115,0.999996,0,,,,0,0.3265,0.11692,
American Samoa,ASM,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009,0.00953562,0.010562811,0.010932,0.011652,,,,,,,
Antigua and Barbuda,ATG,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,,,,,,,,,,,,,0.100000002,0.100000002,0.100000002,0.100000002,0.100000002,0.100000002,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003,0.215,0.221,0.194,0.196,0.196,0.188,0.182,0.186,0.193,0.165,0.785,0.737832657,0.647650744,0.592524,0.591624,0.52654536,0.54918681,0.322269,0.29449121,0.180927311,0.094624983,
Australia,AUS,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,234.6999969,230.6999969,220.1999969,266.6000061,315.2999878,326.5,354.2000122,376.1000061,459.8999939,528.2999878,516.5,556.4000244,576,624.9000244,734.0999756,814.7999878,859.2999878,990.7999878,1027.099976,1125.300049,1222.300049,1222.599976,1361.5,1525.800049,1645.5,1737.5,1833.699951,1953.800049,1904.400024,1693,1730.735,1678.089,1544.717,1355.351,1898.071,2444.586,2569.506,2348.084,2212.439,2769.286,2938.314378,2846.598798,2731.69798,1984.693734,1925.772009,1907.051909,1868.732628,1982.586171,2027.63711,1931.155531,1200.644145,
Austria,AUT,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,5.900000095,3.099999905,4.699999809,6.300000191,6.800000191,6.5,8.100000382,9.199999809,10.30000019,11.69999981,11.69999981,13.5,16.60000038,17.20000076,19.5,19.39999962,19.60000038,19.5,22.89999962,41.59999847,53.90000153,59.20000076,100.5999985,129.6000061,136.3999939,173.3000031,192.1000061,236.3000031,265.5,340.7999878,407.769,357.975,396.021,430.701,502.302,537.472,571.977,453.759,420.794,341.511,357.885,383.371,322.104,326.399,369.955,351.379,387.739,391.268,373.511,320.036527,74.560823,
Azerbaijan,AZE,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.89999962,26.89999962,24.89999962,34.40000153,27.60000038,33,92.5,58.20000076,47.211,65.995,75.954,67.109,34.361,11.916,15.746,11.897,12.032,7.388,7.8084,9.5921,13.0443,17.9216,385.14865,686.94149,732.789755,61.6255,44.0886,1620.43791,2030.37809,
Burundi,BDI,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,,,,,,,,,,,0.100000002,,,,,,,0.100000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,BEL,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,184,202.3999939,224.5,238.6000061,286.1000061,281.2000122,316.7000122,338.8999939,375.7999878,395.2000122,394.5,441.5,479.1000061,489.1000061,525.4000244,565,574.7999878,535.5,650.5,660.7000122,656.4000244,485.7999878,386.2999878,478.2000122,515.2000122,594.5999756,590.9000244,677.5999756,473,535.4000244,1017.479,852.778,655.425,604.608,712.952,705.13,740.386,755.193,981.682,1427.499,1067.351,1241.293,1369.89982,1560.81076,1596.3044,1479.976316,1505.405908,1574.378609,1285.344187,1353.426977,1265.065944,
Benin,BEN,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,5.800000191,7.099999905,8,8.300000191,10.80000019,11.5,13.10000038,13,14.60000038,17.10000038,18,21,21,18.70000076,17.39999962,18.39999962,16.5,16.29999924,15.89999962,18,17.70000076,16.10000038,15.19999981,14.19999981,14.39999962,15.30000019,16.39999962,15.30000019,13.5,13.69999981,12.273,7.364,,,,,,,,,0,0.441834952,0.441834952,1.265124,0.553884,0.805347336,0.006442778,,,,,
Burkina Faso,BFA,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,5.800000191,7.099999905,8,8.300000191,10.80000019,11.5,13.10000038,13,14.69999981,17.10000038,18,21,21,18.79999924,17.39999962,18.39999962,16.5,16.29999924,15.89999962,18,17.70000076,16.10000038,15.19999981,14.30000019,14.5,15.30000019,16.5,15.30000019,13.5,13.69999981,12.273,7.364,0,0,0,0,0,,,0,0.101,0.085805956,0.071111103,0.062208,0.05088,0.055868736,0.022020102,0.022108182,0.104614,0.04808,0,
