"iso_code3","frac_waso_isw_incinerated_recovered_for_energy","Year"
"ABW",0.0182500464730083,2021
"ABW",0.0182500464730083,2022
"ABW",0.0182500464730083,2023
"ABW",0.0182500464730083,2024
"ABW",0.0182500464730083,2025
"ABW",0.0182500464730083,2026
"ABW",0.0182500464730083,2027
"ABW",0.0182500464730083,2028
"ABW",0.0182500464730083,2029
"ABW",0.0182500464730083,2030
"ABW",0.0182500464730083,2031
"ABW",0.0182500464730083,2032
"ABW",0.0182500464730083,2033
"ABW",0.0182500464730083,2034
"ABW",0.0182500464730083,2035
"ABW",0.0182500464730083,2036
"ABW",0.0182500464730083,2037
"ABW",0.0182500464730083,2038
"ABW",0.0182500464730083,2039
"ABW",0.0182500464730083,2040
"ABW",0.0182500464730083,2041
"ABW",0.0182500464730083,2042
"ABW",0.0182500464730083,2043
"ABW",0.0182500464730083,2044
"ABW",0.0182500464730083,2045
"ABW",0.0182500464730083,2046
"ABW",0.0182500464730083,2047
"ABW",0.0182500464730083,2048
"ABW",0.0182500464730083,2049
"ABW",0.0182500464730083,2050
"AFG",0.0413353570889438,2021
"AFG",0.0413353570889438,2022
"AFG",0.0413353570889438,2023
"AFG",0.0413353570889438,2024
"AFG",0.0413353570889438,2025
"AFG",0.0413353570889438,2026
"AFG",0.0413353570889438,2027
"AFG",0.0413353570889438,2028
"AFG",0.0413353570889438,2029
"AFG",0.0413353570889438,2030
"AFG",0.0413353570889438,2031
"AFG",0.0413353570889438,2032
"AFG",0.0413353570889438,2033
"AFG",0.0413353570889438,2034
"AFG",0.0413353570889438,2035
"AFG",0.0413353570889438,2036
"AFG",0.0413353570889438,2037
"AFG",0.0413353570889438,2038
"AFG",0.0413353570889438,2039
"AFG",0.0413353570889438,2040
"AFG",0.0413353570889438,2041
"AFG",0.0413353570889438,2042
"AFG",0.0413353570889438,2043
"AFG",0.0413353570889438,2044
"AFG",0.0413353570889438,2045
"AFG",0.0413353570889438,2046
"AFG",0.0413353570889438,2047
"AFG",0.0413353570889438,2048
"AFG",0.0413353570889438,2049
"AFG",0.0413353570889438,2050
"AGO",0.0366142157413762,2021
"AGO",0.0366142157413762,2022
"AGO",0.0366142157413762,2023
"AGO",0.0366142157413762,2024
"AGO",0.0366142157413762,2025
"AGO",0.0366142157413762,2026
"AGO",0.0366142157413762,2027
"AGO",0.0366142157413762,2028
"AGO",0.0366142157413762,2029
"AGO",0.0366142157413762,2030
"AGO",0.0366142157413762,2031
"AGO",0.0366142157413762,2032
"AGO",0.0366142157413762,2033
"AGO",0.0366142157413762,2034
"AGO",0.0366142157413762,2035
"AGO",0.0366142157413762,2036
"AGO",0.0366142157413762,2037
"AGO",0.0366142157413762,2038
"AGO",0.0366142157413762,2039
"AGO",0.0366142157413762,2040
"AGO",0.0366142157413762,2041
"AGO",0.0366142157413762,2042
"AGO",0.0366142157413762,2043
"AGO",0.0366142157413762,2044
"AGO",0.0366142157413762,2045
"AGO",0.0366142157413762,2046
"AGO",0.0366142157413762,2047
"AGO",0.0366142157413762,2048
"AGO",0.0366142157413762,2049
"AGO",0.0366142157413762,2050
"ALB",0.0297939882164055,2021
"ALB",0.0297939882164055,2022
"ALB",0.0297939882164055,2023
"ALB",0.0297939882164055,2024
"ALB",0.0297939882164055,2025
"ALB",0.0297939882164055,2026
"ALB",0.0297939882164055,2027
"ALB",0.0297939882164055,2028
"ALB",0.0297939882164055,2029
"ALB",0.0297939882164055,2030
"ALB",0.0297939882164055,2031
"ALB",0.0297939882164055,2032
"ALB",0.0297939882164055,2033
"ALB",0.0297939882164055,2034
"ALB",0.0297939882164055,2035
"ALB",0.0297939882164055,2036
"ALB",0.0297939882164055,2037
"ALB",0.0297939882164055,2038
"ALB",0.0297939882164055,2039
"ALB",0.0297939882164055,2040
"ALB",0.0297939882164055,2041
"ALB",0.0297939882164055,2042
"ALB",0.0297939882164055,2043
"ALB",0.0297939882164055,2044
"ALB",0.0297939882164055,2045
"ALB",0.0297939882164055,2046
"ALB",0.0297939882164055,2047
"ALB",0.0297939882164055,2048
"ALB",0.0297939882164055,2049
"ALB",0.0297939882164055,2050
"AND",0.0141210517513356,2021
"AND",0.0141210517513356,2022
"AND",0.0141210517513356,2023
"AND",0.0141210517513356,2024
"AND",0.0141210517513356,2025
"AND",0.0141210517513356,2026
"AND",0.0141210517513356,2027
"AND",0.0141210517513356,2028
"AND",0.0141210517513356,2029
"AND",0.0141210517513356,2030
"AND",0.0141210517513356,2031
"AND",0.0141210517513356,2032
"AND",0.0141210517513356,2033
"AND",0.0141210517513356,2034
"AND",0.0141210517513356,2035
"AND",0.0141210517513356,2036
"AND",0.0141210517513356,2037
"AND",0.0141210517513356,2038
"AND",0.0141210517513356,2039
"AND",0.0141210517513356,2040
"AND",0.0141210517513356,2041
"AND",0.0141210517513356,2042
"AND",0.0141210517513356,2043
"AND",0.0141210517513356,2044
"AND",0.0141210517513356,2045
"AND",0.0141210517513356,2046
"AND",0.0141210517513356,2047
"AND",0.0141210517513356,2048
"AND",0.0141210517513356,2049
"AND",0.0141210517513356,2050
"ARE",0.00398723954334661,2021
"ARE",0.00398723954334661,2022
"ARE",0.00398723954334661,2023
"ARE",0.00398723954334661,2024
