,Nation,iso_code3,Year,frac_scoe_heat_energy_commercial_municipal_natural_gas
9,Afghanistan,AFG,2020,0.2783762856769427
10,Afghanistan,AFG,2021,0.2783762856769427
11,Afghanistan,AFG,2022,0.2783762856769427
12,Afghanistan,AFG,2023,0.2783762856769427
13,Afghanistan,AFG,2024,0.2783762856769427
14,Afghanistan,AFG,2025,0.2783762856769427
15,Afghanistan,AFG,2026,0.2783762856769427
16,Afghanistan,AFG,2027,0.2783762856769427
17,Afghanistan,AFG,2028,0.2783762856769427
18,Afghanistan,AFG,2029,0.2783762856769427
19,Afghanistan,AFG,2030,0.2783762856769427
20,Afghanistan,AFG,2031,0.2783762856769427
21,Afghanistan,AFG,2032,0.2783762856769427
22,Afghanistan,AFG,2033,0.2783762856769427
23,Afghanistan,AFG,2034,0.2783762856769427
24,Afghanistan,AFG,2035,0.2783762856769427
25,Afghanistan,AFG,2036,0.2783762856769427
26,Afghanistan,AFG,2037,0.2783762856769427
27,Afghanistan,AFG,2038,0.2783762856769427
28,Afghanistan,AFG,2039,0.2783762856769427
29,Afghanistan,AFG,2040,0.2783762856769427
30,Afghanistan,AFG,2041,0.2783762856769427
31,Afghanistan,AFG,2042,0.2783762856769427
32,Afghanistan,AFG,2043,0.2783762856769427
33,Afghanistan,AFG,2044,0.2783762856769427
34,Afghanistan,AFG,2045,0.2783762856769427
35,Afghanistan,AFG,2046,0.2783762856769427
36,Afghanistan,AFG,2047,0.2783762856769427
37,Afghanistan,AFG,2048,0.2783762856769427
38,Afghanistan,AFG,2049,0.2783762856769427
39,Afghanistan,AFG,2050,0.2783762856769427
49,Albania,ALB,2020,0.0
50,Albania,ALB,2021,0.0
51,Albania,ALB,2022,0.0
52,Albania,ALB,2023,0.0
53,Albania,ALB,2024,0.0
54,Albania,ALB,2025,0.0
55,Albania,ALB,2026,0.0
56,Albania,ALB,2027,0.0
57,Albania,ALB,2028,0.0
58,Albania,ALB,2029,0.0
59,Albania,ALB,2030,0.0
60,Albania,ALB,2031,0.0
61,Albania,ALB,2032,0.0
62,Albania,ALB,2033,0.0
63,Albania,ALB,2034,0.0
64,Albania,ALB,2035,0.0
65,Albania,ALB,2036,0.0
66,Albania,ALB,2037,0.0
67,Albania,ALB,2038,0.0
68,Albania,ALB,2039,0.0
69,Albania,ALB,2040,0.0
70,Albania,ALB,2041,0.0
71,Albania,ALB,2042,0.0
72,Albania,ALB,2043,0.0
73,Albania,ALB,2044,0.0
74,Albania,ALB,2045,0.0
75,Albania,ALB,2046,0.0
76,Albania,ALB,2047,0.0
77,Albania,ALB,2048,0.0
78,Albania,ALB,2049,0.0
79,Albania,ALB,2050,0.0
89,Algeria,DZA,2020,0.2783762856769427
90,Algeria,DZA,2021,0.2783762856769427
91,Algeria,DZA,2022,0.2783762856769427
92,Algeria,DZA,2023,0.2783762856769427
93,Algeria,DZA,2024,0.2783762856769427
94,Algeria,DZA,2025,0.2783762856769427
95,Algeria,DZA,2026,0.2783762856769427
96,Algeria,DZA,2027,0.2783762856769427
97,Algeria,DZA,2028,0.2783762856769427
98,Algeria,DZA,2029,0.2783762856769427
99,Algeria,DZA,2030,0.2783762856769427
100,Algeria,DZA,2031,0.2783762856769427
101,Algeria,DZA,2032,0.2783762856769427
102,Algeria,DZA,2033,0.2783762856769427
103,Algeria,DZA,2034,0.2783762856769427
104,Algeria,DZA,2035,0.2783762856769427
105,Algeria,DZA,2036,0.2783762856769427
106,Algeria,DZA,2037,0.2783762856769427
107,Algeria,DZA,2038,0.2783762856769427
108,Algeria,DZA,2039,0.2783762856769427
109,Algeria,DZA,2040,0.2783762856769427
110,Algeria,DZA,2041,0.2783762856769427
111,Algeria,DZA,2042,0.2783762856769427
112,Algeria,DZA,2043,0.2783762856769427
113,Algeria,DZA,2044,0.2783762856769427
114,Algeria,DZA,2045,0.2783762856769427
115,Algeria,DZA,2046,0.2783762856769427
116,Algeria,DZA,2047,0.2783762856769427
117,Algeria,DZA,2048,0.2783762856769427
118,Algeria,DZA,2049,0.2783762856769427
119,Algeria,DZA,2050,0.2783762856769427
129,Angola,AGO,2020,0.2783762856769427
130,Angola,AGO,2021,0.2783762856769427
131,Angola,AGO,2022,0.2783762856769427
132,Angola,AGO,2023,0.2783762856769427
133,Angola,AGO,2024,0.2783762856769427
134,Angola,AGO,2025,0.2783762856769427
135,Angola,AGO,2026,0.2783762856769427
136,Angola,AGO,2027,0.2783762856769427
137,Angola,AGO,2028,0.2783762856769427
138,Angola,AGO,2029,0.2783762856769427
139,Angola,AGO,2030,0.2783762856769427
140,Angola,AGO,2031,0.2783762856769427
141,Angola,AGO,2032,0.2783762856769427
142,Angola,AGO,2033,0.2783762856769427
143,Angola,AGO,2034,0.2783762856769427
144,Angola,AGO,2035,0.2783762856769427
145,Angola,AGO,2036,0.2783762856769427
146,Angola,AGO,2037,0.2783762856769427
147,Angola,AGO,2038,0.2783762856769427
148,Angola,AGO,2039,0.2783762856769427
149,Angola,AGO,2040,0.2783762856769427
150,Angola,AGO,2041,0.2783762856769427
151,Angola,AGO,2042,0.2783762856769427
152,Angola,AGO,2043,0.2783762856769427
153,Angola,AGO,2044,0.2783762856769427
154,Angola,AGO,2045,0.2783762856769427
155,Angola,AGO,2046,0.2783762856769427
156,Angola,AGO,2047,0.2783762856769427
157,Angola,AGO,2048,0.2783762856769427
158,Angola,AGO,2049,0.2783762856769427
159,Angola,AGO,2050,0.2783762856769427
169,Argentina,ARG,2020,0.609844284818975
170,Argentina,ARG,2021,0.609844284818975
171,Argentina,ARG,2022,0.609844284818975
172,Argentina,ARG,2023,0.609844284818975
173,Argentina,ARG,2024,0.609844284818975
174,Argentina,ARG,2025,0.609844284818975
175,Argentina,ARG,2026,0.609844284818975
176,Argentina,ARG,2027,0.609844284818975
177,Argentina,ARG,2028,0.609844284818975
178,Argentina,ARG,2029,0.609844284818975
179,Argentina,ARG,2030,0.609844284818975
180,Argentina,ARG,2031,0.609844284818975
181,Argentina,ARG,2032,0.609844284818975
182,Argentina,ARG,2033,0.609844284818975
183,Argentina,ARG,2034,0.609844284818975
184,Argentina,ARG,2035,0.609844284818975
185,Argentina,ARG,2036,0.609844284818975
186,Argentina,ARG,2037,0.609844284818975
187,Argentina,ARG,2038,0.609844284818975
188,Argentina,ARG,2039,0.609844284818975
189,Argentina,ARG,2040,0.609844284818975
190,Argentina,ARG,2041,0.609844284818975
191,Argentina,ARG,2042,0.609844284818975
192,Argentina,ARG,2043,0.609844284818975
193,Argentina,ARG,2044,0.609844284818975
194,Argentina,ARG,2045,0.609844284818975
195,Argentina,ARG,2046,0.609844284818975
196,Argentina,ARG,2047,0.609844284818975
197,Argentina,ARG,2048,0.609844284818975
198,Argentina,ARG,2049,0.609844284818975
199,Argentina,ARG,2050,0.609844284818975
209,Armenia,ARM,2020,0.2783762856769427
210,Armenia,ARM,2021,0.2783762856769427
211,Armenia,ARM,2022,0.2783762856769427
212,Armenia,ARM,2023,0.2783762856769427
213,Armenia,ARM,2024,0.2783762856769427
214,Armenia,ARM,2025,0.2783762856769427
215,Armenia,ARM,2026,0.2783762856769427
216,Armenia,ARM,2027,0.2783762856769427
217,Armenia,ARM,2028,0.2783762856769427
218,Armenia,ARM,2029,0.2783762856769427
219,Armenia,ARM,2030,0.2783762856769427
220,Armenia,ARM,2031,0.2783762856769427
221,Armenia,ARM,2032,0.2783762856769427
222,Armenia,ARM,2033,0.2783762856769427
223,Armenia,ARM,2034,0.2783762856769427
224,Armenia,ARM,2035,0.2783762856769427
225,Armenia,ARM,2036,0.2783762856769427
226,Armenia,ARM,2037,0.2783762856769427
227,Armenia,ARM,2038,0.2783762856769427
228,Armenia,ARM,2039,0.2783762856769427
229,Armenia,ARM,2040,0.2783762856769427
