,Nation,iso_code3,Year,cost_enfu_fuel_oil_usd_per_m3
116,Angola,AGO,2022.0,445.9649123840332
117,Angola,AGO,2023.0,445.9649123840332
118,Angola,AGO,2024.0,445.9649123840332
119,Angola,AGO,2025.0,445.9649123840332
120,Angola,AGO,2026.0,445.9649123840332
121,Angola,AGO,2027.0,445.9649123840332
122,Angola,AGO,2028.0,445.9649123840332
123,Angola,AGO,2029.0,445.9649123840332
124,Angola,AGO,2030.0,445.9649123840332
125,Angola,AGO,2031.0,445.9649123840332
126,Angola,AGO,2032.0,445.9649123840332
127,Angola,AGO,2033.0,445.9649123840332
128,Angola,AGO,2034.0,445.9649123840332
129,Angola,AGO,2035.0,445.9649123840332
130,Angola,AGO,2036.0,445.9649123840332
131,Angola,AGO,2037.0,445.9649123840332
132,Angola,AGO,2038.0,445.9649123840332
133,Angola,AGO,2039.0,445.9649123840332
134,Angola,AGO,2040.0,445.9649123840332
135,Angola,AGO,2041.0,445.9649123840332
136,Angola,AGO,2042.0,445.9649123840332
137,Angola,AGO,2043.0,445.9649123840332
138,Angola,AGO,2044.0,445.9649123840332
139,Angola,AGO,2045.0,445.9649123840332
140,Angola,AGO,2046.0,445.9649123840332
141,Angola,AGO,2047.0,445.9649123840332
142,Angola,AGO,2048.0,445.9649123840332
143,Angola,AGO,2049.0,445.9649123840332
144,Angola,AGO,2050.0,445.9649123840332
145,Albania,ALB,2022.0,445.9649123840332
146,Albania,ALB,2023.0,445.9649123840332
147,Albania,ALB,2024.0,445.9649123840332
148,Albania,ALB,2025.0,445.9649123840332
149,Albania,ALB,2026.0,445.9649123840332
150,Albania,ALB,2027.0,445.9649123840332
151,Albania,ALB,2028.0,445.9649123840332
152,Albania,ALB,2029.0,445.9649123840332
153,Albania,ALB,2030.0,445.9649123840332
154,Albania,ALB,2031.0,445.9649123840332
155,Albania,ALB,2032.0,445.9649123840332
156,Albania,ALB,2033.0,445.9649123840332
157,Albania,ALB,2034.0,445.9649123840332
158,Albania,ALB,2035.0,445.9649123840332
159,Albania,ALB,2036.0,445.9649123840332
160,Albania,ALB,2037.0,445.9649123840332
161,Albania,ALB,2038.0,445.9649123840332
162,Albania,ALB,2039.0,445.9649123840332
163,Albania,ALB,2040.0,445.9649123840332
164,Albania,ALB,2041.0,445.9649123840332
165,Albania,ALB,2042.0,445.9649123840332
166,Albania,ALB,2043.0,445.9649123840332
167,Albania,ALB,2044.0,445.9649123840332
168,Albania,ALB,2045.0,445.9649123840332
169,Albania,ALB,2046.0,445.9649123840332
170,Albania,ALB,2047.0,445.9649123840332
171,Albania,ALB,2048.0,445.9649123840332
172,Albania,ALB,2049.0,445.9649123840332
173,Albania,ALB,2050.0,445.9649123840332
174,Andorra,AND,2022.0,445.9649123840332
175,Andorra,AND,2023.0,445.9649123840332
176,Andorra,AND,2024.0,445.9649123840332
177,Andorra,AND,2025.0,445.9649123840332
178,Andorra,AND,2026.0,445.9649123840332
179,Andorra,AND,2027.0,445.9649123840332
180,Andorra,AND,2028.0,445.9649123840332
181,Andorra,AND,2029.0,445.9649123840332
182,Andorra,AND,2030.0,445.9649123840332
183,Andorra,AND,2031.0,445.9649123840332
184,Andorra,AND,2032.0,445.9649123840332
185,Andorra,AND,2033.0,445.9649123840332
186,Andorra,AND,2034.0,445.9649123840332
187,Andorra,AND,2035.0,445.9649123840332
188,Andorra,AND,2036.0,445.9649123840332
189,Andorra,AND,2037.0,445.9649123840332
190,Andorra,AND,2038.0,445.9649123840332
191,Andorra,AND,2039.0,445.9649123840332
192,Andorra,AND,2040.0,445.9649123840332
193,Andorra,AND,2041.0,445.9649123840332
194,Andorra,AND,2042.0,445.9649123840332
195,Andorra,AND,2043.0,445.9649123840332
196,Andorra,AND,2044.0,445.9649123840332
197,Andorra,AND,2045.0,445.9649123840332
198,Andorra,AND,2046.0,445.9649123840332
199,Andorra,AND,2047.0,445.9649123840332
200,Andorra,AND,2048.0,445.9649123840332
201,Andorra,AND,2049.0,445.9649123840332
202,Andorra,AND,2050.0,445.9649123840332
203,Arab World,ARB,2022.0,445.9649123840332
204,Arab World,ARB,2023.0,445.9649123840332
205,Arab World,ARB,2024.0,445.9649123840332
206,Arab World,ARB,2025.0,445.9649123840332
207,Arab World,ARB,2026.0,445.9649123840332
208,Arab World,ARB,2027.0,445.9649123840332
209,Arab World,ARB,2028.0,445.9649123840332
210,Arab World,ARB,2029.0,445.9649123840332
211,Arab World,ARB,2030.0,445.9649123840332
212,Arab World,ARB,2031.0,445.9649123840332
213,Arab World,ARB,2032.0,445.9649123840332
214,Arab World,ARB,2033.0,445.9649123840332
215,Arab World,ARB,2034.0,445.9649123840332
216,Arab World,ARB,2035.0,445.9649123840332
217,Arab World,ARB,2036.0,445.9649123840332
218,Arab World,ARB,2037.0,445.9649123840332
219,Arab World,ARB,2038.0,445.9649123840332
220,Arab World,ARB,2039.0,445.9649123840332
221,Arab World,ARB,2040.0,445.9649123840332
222,Arab World,ARB,2041.0,445.9649123840332
223,Arab World,ARB,2042.0,445.9649123840332
224,Arab World,ARB,2043.0,445.9649123840332
225,Arab World,ARB,2044.0,445.9649123840332
226,Arab World,ARB,2045.0,445.9649123840332
227,Arab World,ARB,2046.0,445.9649123840332
228,Arab World,ARB,2047.0,445.9649123840332
229,Arab World,ARB,2048.0,445.9649123840332
230,Arab World,ARB,2049.0,445.9649123840332
231,Arab World,ARB,2050.0,445.9649123840332
232,United Arab Emirates,ARE,2022.0,445.9649123840332
233,United Arab Emirates,ARE,2023.0,445.9649123840332
234,United Arab Emirates,ARE,2024.0,445.9649123840332
235,United Arab Emirates,ARE,2025.0,445.9649123840332
236,United Arab Emirates,ARE,2026.0,445.9649123840332
237,United Arab Emirates,ARE,2027.0,445.9649123840332
238,United Arab Emirates,ARE,2028.0,445.9649123840332
239,United Arab Emirates,ARE,2029.0,445.9649123840332
240,United Arab Emirates,ARE,2030.0,445.9649123840332
241,United Arab Emirates,ARE,2031.0,445.9649123840332
242,United Arab Emirates,ARE,2032.0,445.9649123840332
243,United Arab Emirates,ARE,2033.0,445.9649123840332
244,United Arab Emirates,ARE,2034.0,445.9649123840332
245,United Arab Emirates,ARE,2035.0,445.9649123840332
246,United Arab Emirates,ARE,2036.0,445.9649123840332
247,United Arab Emirates,ARE,2037.0,445.9649123840332
248,United Arab Emirates,ARE,2038.0,445.9649123840332
249,United Arab Emirates,ARE,2039.0,445.9649123840332
250,United Arab Emirates,ARE,2040.0,445.9649123840332
251,United Arab Emirates,ARE,2041.0,445.9649123840332
252,United Arab Emirates,ARE,2042.0,445.9649123840332
253,United Arab Emirates,ARE,2043.0,445.9649123840332
254,United Arab Emirates,ARE,2044.0,445.9649123840332
255,United Arab Emirates,ARE,2045.0,445.9649123840332
256,United Arab Emirates,ARE,2046.0,445.9649123840332
257,United Arab Emirates,ARE,2047.0,445.9649123840332
258,United Arab Emirates,ARE,2048.0,445.9649123840332
259,United Arab Emirates,ARE,2049.0,445.9649123840332
260,United Arab Emirates,ARE,2050.0,445.9649123840332
261,Argentina,ARG,2022.0,445.9649123840332
262,Argentina,ARG,2023.0,445.9649123840332
263,Argentina,ARG,2024.0,445.9649123840332
264,Argentina,ARG,2025.0,445.9649123840332
265,Argentina,ARG,2026.0,445.9649123840332
266,Argentina,ARG,2027.0,445.9649123840332
267,Argentina,ARG,2028.0,445.9649123840332
268,Argentina,ARG,2029.0,445.9649123840332
269,Argentina,ARG,2030.0,445.9649123840332
270,Argentina,ARG,2031.0,445.9649123840332
271,Argentina,ARG,2032.0,445.9649123840332
272,Argentina,ARG,2033.0,445.9649123840332
273,Argentina,ARG,2034.0,445.9649123840332
274,Argentina,ARG,2035.0,445.9649123840332
275,Argentina,ARG,2036.0,445.9649123840332
276,Argentina,ARG,2037.0,445.9649123840332
277,Argentina,ARG,2038.0,445.9649123840332
278,Argentina,ARG,2039.0,445.9649123840332
279,Argentina,ARG,2040.0,445.9649123840332
280,Argentina,ARG,2041.0,445.9649123840332
281,Argentina,ARG,2042.0,445.9649123840332
282,Argentina,ARG,2043.0,445.9649123840332
283,Argentina,ARG,2044.0,445.9649123840332
284,Argentina,ARG,2045.0,445.9649123840332
285,Argentina,ARG,2046.0,445.9649123840332
286,Argentina,ARG,2047.0,445.9649123840332
287,Argentina,ARG,2048.0,445.9649123840332
288,Argentina,ARG,2049.0,445.9649123840332
289,Argentina,ARG,2050.0,445.9649123840332
290,Armenia,ARM,2022.0,445.9649123840332
291,Armenia,ARM,2023.0,445.9649123840332
292,Armenia,ARM,2024.0,445.9649123840332
293,Armenia,ARM,2025.0,445.9649123840332
294,Armenia,ARM,2026.0,445.9649123840332
295,Armenia,ARM,2027.0,445.9649123840332
296,Armenia,ARM,2028.0,445.9649123840332
297,Armenia,ARM,2029.0,445.9649123840332
298,Armenia,ARM,2030.0,445.9649123840332
299,Armenia,ARM,2031.0,445.9649123840332
300,Armenia,ARM,2032.0,445.9649123840332
301,Armenia,ARM,2033.0,445.9649123840332
302,Armenia,ARM,2034.0,445.9649123840332
303,Armenia,ARM,2035.0,445.9649123840332
304,Armenia,ARM,2036.0,445.9649123840332
305,Armenia,ARM,2037.0,445.9649123840332
306,Armenia,ARM,2038.0,445.9649123840332
307,Armenia,ARM,2039.0,445.9649123840332
308,Armenia,ARM,2040.0,445.9649123840332
309,Armenia,ARM,2041.0,445.9649123840332
310,Armenia,ARM,2042.0,445.9649123840332
311,Armenia,ARM,2043.0,445.9649123840332
312,Armenia,ARM,2044.0,445.9649123840332
313,Armenia,ARM,2045.0,445.9649123840332
314,Armenia,ARM,2046.0,445.9649123840332
315,Armenia,ARM,2047.0,445.9649123840332
316,Armenia,ARM,2048.0,445.9649123840332
317,Armenia,ARM,2049.0,445.9649123840332
318,Armenia,ARM,2050.0,445.9649123840332
319,American Samoa,ASM,2022.0,445.9649123840332
320,American Samoa,ASM,2023.0,445.9649123840332
321,American Samoa,ASM,2024.0,445.9649123840332
322,American Samoa,ASM,2025.0,445.9649123840332
323,American Samoa,ASM,2026.0,445.9649123840332
324,American Samoa,ASM,2027.0,445.9649123840332
325,American Samoa,ASM,2028.0,445.9649123840332
326,American Samoa,ASM,2029.0,445.9649123840332
327,American Samoa,ASM,2030.0,445.9649123840332
328,American Samoa,ASM,2031.0,445.9649123840332
329,American Samoa,ASM,2032.0,445.9649123840332
330,American Samoa,ASM,2033.0,445.9649123840332
331,American Samoa,ASM,2034.0,445.9649123840332
332,American Samoa,ASM,2035.0,445.9649123840332
333,American Samoa,ASM,2036.0,445.9649123840332
334,American Samoa,ASM,2037.0,445.9649123840332
335,American Samoa,ASM,2038.0,445.9649123840332
336,American Samoa,ASM,2039.0,445.9649123840332
337,American Samoa,ASM,2040.0,445.9649123840332
338,American Samoa,ASM,2041.0,445.9649123840332
339,American Samoa,ASM,2042.0,445.9649123840332
340,American Samoa,ASM,2043.0,445.9649123840332
341,American Samoa,ASM,2044.0,445.9649123840332
342,American Samoa,ASM,2045.0,445.9649123840332
343,American Samoa,ASM,2046.0,445.9649123840332
344,American Samoa,ASM,2047.0,445.9649123840332
345,American Samoa,ASM,2048.0,445.9649123840332
346,American Samoa,ASM,2049.0,445.9649123840332
347,American Samoa,ASM,2050.0,445.9649123840332
348,Antigua and Barbuda,ATG,2022.0,445.9649123840332
349,Antigua and Barbuda,ATG,2023.0,445.9649123840332
350,Antigua and Barbuda,ATG,2024.0,445.9649123840332
351,Antigua and Barbuda,ATG,2025.0,445.9649123840332
352,Antigua and Barbuda,ATG,2026.0,445.9649123840332
353,Antigua and Barbuda,ATG,2027.0,445.9649123840332
354,Antigua and Barbuda,ATG,2028.0,445.9649123840332
355,Antigua and Barbuda,ATG,2029.0,445.9649123840332
356,Antigua and Barbuda,ATG,2030.0,445.9649123840332
357,Antigua and Barbuda,ATG,2031.0,445.9649123840332
358,Antigua and Barbuda,ATG,2032.0,445.9649123840332
359,Antigua and Barbuda,ATG,2033.0,445.9649123840332
360,Antigua and Barbuda,ATG,2034.0,445.9649123840332
361,Antigua and Barbuda,ATG,2035.0,445.9649123840332
362,Antigua and Barbuda,ATG,2036.0,445.9649123840332
363,Antigua and Barbuda,ATG,2037.0,445.9649123840332
364,Antigua and Barbuda,ATG,2038.0,445.9649123840332
365,Antigua and Barbuda,ATG,2039.0,445.9649123840332
366,Antigua and Barbuda,ATG,2040.0,445.9649123840332
367,Antigua and Barbuda,ATG,2041.0,445.9649123840332
368,Antigua and Barbuda,ATG,2042.0,445.9649123840332
369,Antigua and Barbuda,ATG,2043.0,445.9649123840332
370,Antigua and Barbuda,ATG,2044.0,445.9649123840332
371,Antigua and Barbuda,ATG,2045.0,445.9649123840332
372,Antigua and Barbuda,ATG,2046.0,445.9649123840332
373,Antigua and Barbuda,ATG,2047.0,445.9649123840332
374,Antigua and Barbuda,ATG,2048.0,445.9649123840332
375,Antigua and Barbuda,ATG,2049.0,445.9649123840332
376,Antigua and Barbuda,ATG,2050.0,445.9649123840332
377,Australia,AUS,2022.0,445.9649123840332
378,Australia,AUS,2023.0,445.9649123840332
379,Australia,AUS,2024.0,445.9649123840332
380,Australia,AUS,2025.0,445.9649123840332
381,Australia,AUS,2026.0,445.9649123840332
382,Australia,AUS,2027.0,445.9649123840332
383,Australia,AUS,2028.0,445.9649123840332
384,Australia,AUS,2029.0,445.9649123840332
385,Australia,AUS,2030.0,445.9649123840332
386,Australia,AUS,2031.0,445.9649123840332
387,Australia,AUS,2032.0,445.9649123840332
388,Australia,AUS,2033.0,445.9649123840332
389,Australia,AUS,2034.0,445.9649123840332
390,Australia,AUS,2035.0,445.9649123840332
391,Australia,AUS,2036.0,445.9649123840332
392,Australia,AUS,2037.0,445.9649123840332
393,Australia,AUS,2038.0,445.9649123840332
394,Australia,AUS,2039.0,445.9649123840332
395,Australia,AUS,2040.0,445.9649123840332
396,Australia,AUS,2041.0,445.9649123840332
397,Australia,AUS,2042.0,445.9649123840332
398,Australia,AUS,2043.0,445.9649123840332
399,Australia,AUS,2044.0,445.9649123840332
400,Australia,AUS,2045.0,445.9649123840332
401,Australia,AUS,2046.0,445.9649123840332
402,Australia,AUS,2047.0,445.9649123840332
403,Australia,AUS,2048.0,445.9649123840332
404,Australia,AUS,2049.0,445.9649123840332
405,Australia,AUS,2050.0,445.9649123840332
406,Austria,AUT,2022.0,445.9649123840332
407,Austria,AUT,2023.0,445.9649123840332
408,Austria,AUT,2024.0,445.9649123840332
409,Austria,AUT,2025.0,445.9649123840332
410,Austria,AUT,2026.0,445.9649123840332
411,Austria,AUT,2027.0,445.9649123840332
412,Austria,AUT,2028.0,445.9649123840332
413,Austria,AUT,2029.0,445.9649123840332
414,Austria,AUT,2030.0,445.9649123840332
415,Austria,AUT,2031.0,445.9649123840332
416,Austria,AUT,2032.0,445.9649123840332
417,Austria,AUT,2033.0,445.9649123840332
418,Austria,AUT,2034.0,445.9649123840332
419,Austria,AUT,2035.0,445.9649123840332
420,Austria,AUT,2036.0,445.9649123840332
421,Austria,AUT,2037.0,445.9649123840332
422,Austria,AUT,2038.0,445.9649123840332
423,Austria,AUT,2039.0,445.9649123840332
424,Austria,AUT,2040.0,445.9649123840332
425,Austria,AUT,2041.0,445.9649123840332
426,Austria,AUT,2042.0,445.9649123840332
427,Austria,AUT,2043.0,445.9649123840332
428,Austria,AUT,2044.0,445.9649123840332
429,Austria,AUT,2045.0,445.9649123840332
430,Austria,AUT,2046.0,445.9649123840332
431,Austria,AUT,2047.0,445.9649123840332
432,Austria,AUT,2048.0,445.9649123840332
433,Austria,AUT,2049.0,445.9649123840332
434,Austria,AUT,2050.0,445.9649123840332
435,Azerbaijan,AZE,2022.0,445.9649123840332
436,Azerbaijan,AZE,2023.0,445.9649123840332
437,Azerbaijan,AZE,2024.0,445.9649123840332
438,Azerbaijan,AZE,2025.0,445.9649123840332
439,Azerbaijan,AZE,2026.0,445.9649123840332
440,Azerbaijan,AZE,2027.0,445.9649123840332
441,Azerbaijan,AZE,2028.0,445.9649123840332
442,Azerbaijan,AZE,2029.0,445.9649123840332
443,Azerbaijan,AZE,2030.0,445.9649123840332
444,Azerbaijan,AZE,2031.0,445.9649123840332
445,Azerbaijan,AZE,2032.0,445.9649123840332
446,Azerbaijan,AZE,2033.0,445.9649123840332
447,Azerbaijan,AZE,2034.0,445.9649123840332
448,Azerbaijan,AZE,2035.0,445.9649123840332
449,Azerbaijan,AZE,2036.0,445.9649123840332
450,Azerbaijan,AZE,2037.0,445.9649123840332
451,Azerbaijan,AZE,2038.0,445.9649123840332
452,Azerbaijan,AZE,2039.0,445.9649123840332
453,Azerbaijan,AZE,2040.0,445.9649123840332
454,Azerbaijan,AZE,2041.0,445.9649123840332
455,Azerbaijan,AZE,2042.0,445.9649123840332
456,Azerbaijan,AZE,2043.0,445.9649123840332
457,Azerbaijan,AZE,2044.0,445.9649123840332
458,Azerbaijan,AZE,2045.0,445.9649123840332
459,Azerbaijan,AZE,2046.0,445.9649123840332
460,Azerbaijan,AZE,2047.0,445.9649123840332
461,Azerbaijan,AZE,2048.0,445.9649123840332
462,Azerbaijan,AZE,2049.0,445.9649123840332
463,Azerbaijan,AZE,2050.0,445.9649123840332
464,Burundi,BDI,2022.0,445.9649123840332
465,Burundi,BDI,2023.0,445.9649123840332
466,Burundi,BDI,2024.0,445.9649123840332
467,Burundi,BDI,2025.0,445.9649123840332
468,Burundi,BDI,2026.0,445.9649123840332
469,Burundi,BDI,2027.0,445.9649123840332
470,Burundi,BDI,2028.0,445.9649123840332
471,Burundi,BDI,2029.0,445.9649123840332
472,Burundi,BDI,2030.0,445.9649123840332
473,Burundi,BDI,2031.0,445.9649123840332
474,Burundi,BDI,2032.0,445.9649123840332
475,Burundi,BDI,2033.0,445.9649123840332
476,Burundi,BDI,2034.0,445.9649123840332
477,Burundi,BDI,2035.0,445.9649123840332
478,Burundi,BDI,2036.0,445.9649123840332
479,Burundi,BDI,2037.0,445.9649123840332
480,Burundi,BDI,2038.0,445.9649123840332
481,Burundi,BDI,2039.0,445.9649123840332
482,Burundi,BDI,2040.0,445.9649123840332
483,Burundi,BDI,2041.0,445.9649123840332
484,Burundi,BDI,2042.0,445.9649123840332
485,Burundi,BDI,2043.0,445.9649123840332
486,Burundi,BDI,2044.0,445.9649123840332
487,Burundi,BDI,2045.0,445.9649123840332
488,Burundi,BDI,2046.0,445.9649123840332
489,Burundi,BDI,2047.0,445.9649123840332
490,Burundi,BDI,2048.0,445.9649123840332
491,Burundi,BDI,2049.0,445.9649123840332
492,Burundi,BDI,2050.0,445.9649123840332
493,Belgium,BEL,2022.0,445.9649123840332
494,Belgium,BEL,2023.0,445.9649123840332
495,Belgium,BEL,2024.0,445.9649123840332
496,Belgium,BEL,2025.0,445.9649123840332
497,Belgium,BEL,2026.0,445.9649123840332
498,Belgium,BEL,2027.0,445.9649123840332
499,Belgium,BEL,2028.0,445.9649123840332
500,Belgium,BEL,2029.0,445.9649123840332
501,Belgium,BEL,2030.0,445.9649123840332
502,Belgium,BEL,2031.0,445.9649123840332
503,Belgium,BEL,2032.0,445.9649123840332
504,Belgium,BEL,2033.0,445.9649123840332
505,Belgium,BEL,2034.0,445.9649123840332
506,Belgium,BEL,2035.0,445.9649123840332
507,Belgium,BEL,2036.0,445.9649123840332
508,Belgium,BEL,2037.0,445.9649123840332
509,Belgium,BEL,2038.0,445.9649123840332
510,Belgium,BEL,2039.0,445.9649123840332
511,Belgium,BEL,2040.0,445.9649123840332
512,Belgium,BEL,2041.0,445.9649123840332
513,Belgium,BEL,2042.0,445.9649123840332
514,Belgium,BEL,2043.0,445.9649123840332
515,Belgium,BEL,2044.0,445.9649123840332
516,Belgium,BEL,2045.0,445.9649123840332
517,Belgium,BEL,2046.0,445.9649123840332
518,Belgium,BEL,2047.0,445.9649123840332
519,Belgium,BEL,2048.0,445.9649123840332
520,Belgium,BEL,2049.0,445.9649123840332
521,Belgium,BEL,2050.0,445.9649123840332
522,Benin,BEN,2022.0,445.9649123840332
523,Benin,BEN,2023.0,445.9649123840332
524,Benin,BEN,2024.0,445.9649123840332
525,Benin,BEN,2025.0,445.9649123840332
526,Benin,BEN,2026.0,445.9649123840332
527,Benin,BEN,2027.0,445.9649123840332
528,Benin,BEN,2028.0,445.9649123840332
529,Benin,BEN,2029.0,445.9649123840332
530,Benin,BEN,2030.0,445.9649123840332
531,Benin,BEN,2031.0,445.9649123840332
532,Benin,BEN,2032.0,445.9649123840332
533,Benin,BEN,2033.0,445.9649123840332
534,Benin,BEN,2034.0,445.9649123840332
535,Benin,BEN,2035.0,445.9649123840332
536,Benin,BEN,2036.0,445.9649123840332
537,Benin,BEN,2037.0,445.9649123840332
538,Benin,BEN,2038.0,445.9649123840332
539,Benin,BEN,2039.0,445.9649123840332
540,Benin,BEN,2040.0,445.9649123840332
541,Benin,BEN,2041.0,445.9649123840332
542,Benin,BEN,2042.0,445.9649123840332
543,Benin,BEN,2043.0,445.9649123840332
544,Benin,BEN,2044.0,445.9649123840332
545,Benin,BEN,2045.0,445.9649123840332
546,Benin,BEN,2046.0,445.9649123840332
547,Benin,BEN,2047.0,445.9649123840332
548,Benin,BEN,2048.0,445.9649123840332
549,Benin,BEN,2049.0,445.9649123840332
550,Benin,BEN,2050.0,445.9649123840332
551,Burkina Faso,BFA,2022.0,445.9649123840332
552,Burkina Faso,BFA,2023.0,445.9649123840332
553,Burkina Faso,BFA,2024.0,445.9649123840332
