Year,prodinit_ippu_mining_tonne,iso_code3
2021,523.6209,"ABW"
2022,1751.19791499623,"ABW"
2023,5856.70689899339,"ABW"
2024,19587.1725331461,"ABW"
2025,65507.3464422769,"ABW"
2026,219082.791589585,"ABW"
2027,732700.562264098,"ABW"
2028,2450444.00816211,"ABW"
2029,8195265.76939248,"ABW"
2030,27408249.6099756,"ABW"
2031,91664159.2623315,"ABW"
2032,306561645.228594,"ABW"
2033,1025264869.951,"ABW"
2034,3428896177.70618,"ABW"
2035,11467601536.0303,"ABW"
2036,38352250454.296,"ABW"
2037,128265279386.243,"ABW"
2038,428970443745.843,"ABW"
2039,1434648897098.5,"ABW"
2040,4798040256511.03,"ABW"
2041,16046567456092.9,"ABW"
2042,53666145625501.5,"ABW"
2043,179481075574451,"ABW"
2044,600256569833746,"ABW"
2045,2007498275098727,"ABW"
2046,6713877909975348,"ABW"
2047,22453895552083672,"ABW"
2048,75094815876050720,"ABW"
2049,251147127605421248,"ABW"
2050,839936538476414720,"ABW"
2021,176023.3,"AGO"
2022,202251.576460925,"AGO"
2023,232387.986027585,"AGO"
2024,267014.858400329,"AGO"
2025,306801.293067209,"AGO"
2026,352516.088399055,"AGO"
2027,405042.597238819,"AGO"
2028,465395.796041653,"AGO"
2029,534741.897394899,"AGO"
2030,614420.88489322,"AGO"
2031,705972.405813153,"AGO"
2032,811165.521914555,"AGO"
2033,932032.893247474,"AGO"
2034,1070910.05550253,"AGO"
2035,1230480.54986609,"AGO"
2036,1413827.77743017,"AGO"
2037,1624494.58014648,"AGO"
2038,1866551.69961507,"AGO"
2039,2144676.43654543,"AGO"
2040,2464243.0308369,"AGO"
2041,2831426.50870431,"AGO"
2042,3253322.00350011,"AGO"
2043,3738081.85588449,"AGO"
2044,4295073.14254772,"AGO"
2045,4935058.67743223,"AGO"
2046,5670404.9829644,"AGO"
2047,6515321.24995064,"AGO"
2048,7486133.90359051,"AGO"
2049,8601602.08108108,"AGO"
2050,9883280.11682672,"AGO"
2021,2468907,"ALB"
2022,2402366.75837476,"ALB"
2023,2337619.8624509,"ALB"
2024,2274617.97923884,"ALB"
2025,2213314.07838569,"ALB"
2026,2153662.39706747,"ALB"
2027,2095618.4058276,"ALB"
2028,2039138.77533602,"ALB"
2029,1984181.34404426,"ALB"
2030,1930705.08671217,"ALB"
2031,1878670.08378298,"ALB"
2032,1828037.49158367,"ALB"
2033,1778769.51332853,"ALB"
2034,1730829.37090417,"ALB"
2035,1684181.27741502,"ALB"
2036,1638790.41046868,"ALB"
2037,1594622.88618133,"ALB"
2038,1551645.73388372,"ALB"
2039,1509826.87150883,"ALB"
2040,1469135.08164292,"ALB"
2041,1429539.98822197,"ALB"
2042,1391012.03385625,"ALB"
2043,1353522.45776593,"ALB"
2044,1317043.2743115,"ALB"
2045,1281547.25210265,"ALB"
2046,1247007.89367033,"ALB"
2047,1213399.41568659,"ALB"
2048,1180696.72971757,"ALB"
2049,1148875.42349521,"ALB"
2050,1117911.74269368,"ALB"
2021,9968923,"ARE"
2022,10867492.8193122,"ARE"
2023,11847057.1171833,"ARE"
2024,12914916.5011077,"ARE"
2025,14079029.6341746,"ARE"
2026,15348072.5502922,"ARE"
2027,16731503.3159132,"ARE"
2028,18239632.5201815,"ARE"
2029,19883700.118856,"ARE"
2030,21675959.204723,"ARE"
2031,23629767.328831,"ARE"
2032,25759686.0531563,"ARE"
2033,28081589.476658,"ARE"
