Year,iso_code3,frac_lndu_initial_croplands
1992,ABW,0.21034008631181247
1993,ABW,0.20735960099193465
1994,ABW,0.20391785214565625
1995,ABW,0.20266401512105434
1996,ABW,0.2043833126761827
1997,ABW,0.2044300490613659
1998,ABW,0.20025063261208317
1999,ABW,0.19718550508581462
2000,ABW,0.1957783265278422
2001,ABW,0.19440361466321346
2002,ABW,0.1970627951850967
2003,ABW,0.19417469056378844
2004,ABW,0.19756389750700498
2005,ABW,0.18860674624231769
2006,ABW,0.18345603794098927
2007,ABW,0.18671889760371735
2008,ABW,0.18793688715658677
2009,ABW,0.19124263478704012
2010,ABW,0.18947651702099189
2011,ABW,0.1953072720926371
2012,ABW,0.19251182222497024
2013,ABW,0.19582996098271563
2014,ABW,0.19553812888080957
2019,ABW,0.19214666938090197
2020,ABW,0.19076752908286662
2021,ABW,0.19076752908286662
2022,ABW,0.19076752908286662
2023,ABW,0.19076752908286662
2024,ABW,0.19076752908286662
2025,ABW,0.19076752908286662
2026,ABW,0.19076752908286662
2027,ABW,0.19076752908286662
2028,ABW,0.19076752908286662
2029,ABW,0.19076752908286662
2030,ABW,0.19076752908286662
2031,ABW,0.19076752908286662
2032,ABW,0.19076752908286662
2033,ABW,0.19076752908286662
2034,ABW,0.19076752908286662
2035,ABW,0.19076752908286662
2036,ABW,0.19076752908286662
2037,ABW,0.19076752908286662
2038,ABW,0.19076752908286662
2039,ABW,0.19076752908286662
2040,ABW,0.19076752908286662
2041,ABW,0.19076752908286662
2042,ABW,0.19076752908286662
2043,ABW,0.19076752908286662
2044,ABW,0.19076752908286662
2045,ABW,0.19076752908286662
2046,ABW,0.19076752908286662
2047,ABW,0.19076752908286662
2048,ABW,0.19076752908286662
2049,ABW,0.19076752908286662
2050,ABW,0.19076752908286662
1992,AFG,0.0847201467098867
1993,AFG,0.09600864419222428
1994,AFG,0.09933150905086627
1995,AFG,0.09691253844219941
1996,AFG,0.09780745967780811
1997,AFG,0.09868350747539834
1998,AFG,0.10046767528429619
1999,AFG,0.09308120245623398
2000,AFG,0.08857260526312798
2001,AFG,0.0792024774472082
2002,AFG,0.08340800206952628
2003,AFG,0.10451791432504112
