Year,iso_code3,nemomod_entc_total_annual_max_capacity_pp_hydropower_gw
2015,ARG,14.999565
2016,ARG,14.999565
2017,ARG,14.999565
2018,ARG,14.999565
2019,ARG,14.999565
2020,ARG,14.999565
2015,BOL,0.67365
2016,BOL,0.67365
2017,BOL,0.67365
2018,BOL,0.67365
2019,BOL,0.67365
2020,BOL,0.67365
2015,BRA,146.88955035
2016,BRA,146.88955035
2017,BRA,146.88955035
2018,BRA,146.88955035
2019,BRA,146.88955035
2020,BRA,146.88955035
2015,CHL,9.597
2016,CHL,9.597
2017,CHL,9.597
2018,CHL,9.597
2019,CHL,9.597
2020,CHL,9.597
2015,COL,10.041
2016,COL,10.041
2017,COL,10.041
2018,COL,10.041
2019,COL,10.041
2020,COL,10.041
2015,CRI,1.947
2016,CRI,1.947
2017,CRI,1.947
2018,CRI,1.947
2019,CRI,1.947
2020,CRI,1.947
2015,DOM,0.3406349999999999
2016,DOM,0.3406349999999999
2017,DOM,0.3406349999999999
2018,DOM,0.3406349999999999
2019,DOM,0.3406349999999999
2020,DOM,0.3406349999999999
2015,ECU,4.881480000000001
2016,ECU,4.881480000000001
2017,ECU,4.881480000000001
2018,ECU,4.881480000000001
2019,ECU,4.881480000000001
2020,ECU,4.881480000000001
2015,SLV,0.70395
2016,SLV,0.70395
2017,SLV,0.70395
2018,SLV,0.70395
2019,SLV,0.70395
2020,SLV,0.70395
2015,GTM,1.5114
2016,GTM,1.5114
2017,GTM,1.5114
2018,GTM,1.5114
2019,GTM,1.5114
2020,GTM,1.5114
2015,GUY,0.0
2016,GUY,0.0
2017,GUY,0.0
2018,GUY,0.0
2019,GUY,0.0
2020,GUY,0.0
2015,HND,0.7727550000000001
2016,HND,0.7727550000000001
2017,HND,0.7727550000000001
2018,HND,0.7727550000000001
2019,HND,0.7727550000000001
2020,HND,0.7727550000000001
2015,JAM,0.0222
2016,JAM,0.0222
2017,JAM,0.0222
2018,JAM,0.0222
2019,JAM,0.0222
2020,JAM,0.0222
2015,MEX,18.66435
2016,MEX,18.66435
2017,MEX,18.66435
2018,MEX,18.66435
2019,MEX,18.66435
2020,MEX,18.66435
2015,NIC,0.1566
2016,NIC,0.1566
2017,NIC,0.1566
2018,NIC,0.1566
2019,NIC,0.1566
2020,NIC,0.1566
2015,PAN,1.5943500000000004
2016,PAN,1.5943500000000004
2017,PAN,1.5943500000000004
2018,PAN,1.5943500000000004
2019,PAN,1.5943500000000004
2020,PAN,1.5943500000000004
2015,PRY,13.14
2016,PRY,13.14
2017,PRY,13.14
2018,PRY,13.14
2019,PRY,13.14
2020,PRY,13.14
2015,PER,4.1031
2016,PER,4.1031
2017,PER,4.1031
2018,PER,4.1031
2019,PER,4.1031
2020,PER,4.1031
2015,SUR,0.0
2016,SUR,0.0
2017,SUR,0.0
2018,SUR,0.0
2019,SUR,0.0
2020,SUR,0.0
2015,TTO,0.0
2016,TTO,0.0
2017,TTO,0.0
2018,TTO,0.0
2019,TTO,0.0
2020,TTO,0.0
2015,URY,2.307
2016,URY,2.307
2017,URY,2.307
2018,URY,2.307
2019,URY,2.307
2020,URY,2.307
2015,VEN,26.499
2016,VEN,26.499
2017,VEN,26.499
2018,VEN,26.499
2019,VEN,26.499
2020,VEN,26.499
