,Nation,iso_code3,Year,frac_scoe_heat_energy_commercial_municipal_solid_biomass
0,Aruba,ABW,2020,0.0040331276370672
1,Aruba,ABW,2021,0.0040331276370672
2,Aruba,ABW,2022,0.0040331276370672
3,Aruba,ABW,2023,0.0040331276370672
4,Aruba,ABW,2024,0.0040331276370672
5,Aruba,ABW,2025,0.0040331276370672
6,Aruba,ABW,2026,0.0040331276370672
7,Aruba,ABW,2027,0.0040331276370672
8,Aruba,ABW,2028,0.0040331276370672
9,Aruba,ABW,2029,0.0040331276370672
10,Aruba,ABW,2030,0.0040331276370672
11,Aruba,ABW,2031,0.0040331276370672
12,Aruba,ABW,2032,0.0040331276370672
13,Aruba,ABW,2033,0.0040331276370672
14,Aruba,ABW,2034,0.0040331276370672
15,Aruba,ABW,2035,0.0040331276370672
16,Aruba,ABW,2036,0.0040331276370672
17,Aruba,ABW,2037,0.0040331276370672
18,Aruba,ABW,2038,0.0040331276370672
19,Aruba,ABW,2039,0.0040331276370672
20,Aruba,ABW,2040,0.0040331276370672
21,Aruba,ABW,2041,0.0040331276370672
22,Aruba,ABW,2042,0.0040331276370672
23,Aruba,ABW,2043,0.0040331276370672
24,Aruba,ABW,2044,0.0040331276370672
25,Aruba,ABW,2045,0.0040331276370672
26,Aruba,ABW,2046,0.0040331276370672
27,Aruba,ABW,2047,0.0040331276370672
28,Aruba,ABW,2048,0.0040331276370672
29,Aruba,ABW,2049,0.0040331276370672
30,Aruba,ABW,2050,0.0040331276370672
31,Africa Eastern and Southern,AFE,2020,0.0040331276370672
32,Africa Eastern and Southern,AFE,2021,0.0040331276370672
33,Africa Eastern and Southern,AFE,2022,0.0040331276370672
34,Africa Eastern and Southern,AFE,2023,0.0040331276370672
35,Africa Eastern and Southern,AFE,2024,0.0040331276370672
36,Africa Eastern and Southern,AFE,2025,0.0040331276370672
37,Africa Eastern and Southern,AFE,2026,0.0040331276370672
38,Africa Eastern and Southern,AFE,2027,0.0040331276370672
39,Africa Eastern and Southern,AFE,2028,0.0040331276370672
40,Africa Eastern and Southern,AFE,2029,0.0040331276370672
41,Africa Eastern and Southern,AFE,2030,0.0040331276370672
42,Africa Eastern and Southern,AFE,2031,0.0040331276370672
43,Africa Eastern and Southern,AFE,2032,0.0040331276370672
44,Africa Eastern and Southern,AFE,2033,0.0040331276370672
45,Africa Eastern and Southern,AFE,2034,0.0040331276370672
46,Africa Eastern and Southern,AFE,2035,0.0040331276370672
47,Africa Eastern and Southern,AFE,2036,0.0040331276370672
48,Africa Eastern and Southern,AFE,2037,0.0040331276370672
49,Africa Eastern and Southern,AFE,2038,0.0040331276370672
50,Africa Eastern and Southern,AFE,2039,0.0040331276370672
51,Africa Eastern and Southern,AFE,2040,0.0040331276370672
52,Africa Eastern and Southern,AFE,2041,0.0040331276370672
53,Africa Eastern and Southern,AFE,2042,0.0040331276370672
54,Africa Eastern and Southern,AFE,2043,0.0040331276370672
55,Africa Eastern and Southern,AFE,2044,0.0040331276370672
56,Africa Eastern and Southern,AFE,2045,0.0040331276370672
57,Africa Eastern and Southern,AFE,2046,0.0040331276370672
58,Africa Eastern and Southern,AFE,2047,0.0040331276370672
59,Africa Eastern and Southern,AFE,2048,0.0040331276370672
60,Africa Eastern and Southern,AFE,2049,0.0040331276370672
61,Africa Eastern and Southern,AFE,2050,0.0040331276370672
62,Afghanistan,AFG,2020,0.0040331276370672
63,Afghanistan,AFG,2021,0.0040331276370672
64,Afghanistan,AFG,2022,0.0040331276370672
65,Afghanistan,AFG,2023,0.0040331276370672
66,Afghanistan,AFG,2024,0.0040331276370672
67,Afghanistan,AFG,2025,0.0040331276370672
68,Afghanistan,AFG,2026,0.0040331276370672
69,Afghanistan,AFG,2027,0.0040331276370672
70,Afghanistan,AFG,2028,0.0040331276370672
71,Afghanistan,AFG,2029,0.0040331276370672
72,Afghanistan,AFG,2030,0.0040331276370672
73,Afghanistan,AFG,2031,0.0040331276370672
74,Afghanistan,AFG,2032,0.0040331276370672
75,Afghanistan,AFG,2033,0.0040331276370672
76,Afghanistan,AFG,2034,0.0040331276370672
77,Afghanistan,AFG,2035,0.0040331276370672
78,Afghanistan,AFG,2036,0.0040331276370672
79,Afghanistan,AFG,2037,0.0040331276370672
80,Afghanistan,AFG,2038,0.0040331276370672
81,Afghanistan,AFG,2039,0.0040331276370672
82,Afghanistan,AFG,2040,0.0040331276370672
83,Afghanistan,AFG,2041,0.0040331276370672
84,Afghanistan,AFG,2042,0.0040331276370672
85,Afghanistan,AFG,2043,0.0040331276370672
86,Afghanistan,AFG,2044,0.0040331276370672
87,Afghanistan,AFG,2045,0.0040331276370672
88,Afghanistan,AFG,2046,0.0040331276370672
89,Afghanistan,AFG,2047,0.0040331276370672
90,Afghanistan,AFG,2048,0.0040331276370672
91,Afghanistan,AFG,2049,0.0040331276370672
