,Nation,iso_code3,Year,nemomod_entc_capital_cost_pp_geothermal_mm_usd_per_gw
0,Afghanistan,ABW,2021,11368.025855622782
1,Afghanistan,ABW,2022,11108.37978624005
2,Afghanistan,ABW,2023,10854.664041277943
3,Afghanistan,ABW,2024,10606.743171939499
4,Afghanistan,ABW,2025,10364.484823082554
5,Afghanistan,ABW,2026,10127.759662560571
6,Afghanistan,ABW,2027,9896.441312177316
7,Afghanistan,ABW,2028,9670.406280218554
8,Afghanistan,ABW,2029,9449.533895524697
9,Afghanistan,ABW,2030,9233.70624306925
10,Afghanistan,ABW,2031,9022.808101008648
11,Afghanistan,ABW,2032,8816.72687916987
12,Afghanistan,ABW,2033,8615.352558942997
13,Afghanistan,ABW,2034,8418.57763454664
14,Afghanistan,ABW,2035,8226.297055634843
15,Afghanistan,ABW,2036,8038.408171214874
16,Afghanistan,ABW,2037,7854.810674845911
17,Afghanistan,ABW,2038,7675.406551089408
18,Afghanistan,ABW,2039,7500.100023182531
19,Afghanistan,ABW,2040,7328.797501906729
20,Afghanistan,ABW,2041,7161.407535624159
21,Afghanistan,ABW,2042,6997.840761455275
22,Afghanistan,ABW,2043,6838.0098575715165
23,Afghanistan,ABW,2044,6681.829496577646
24,Afghanistan,ABW,2045,6529.216299958826
25,Afghanistan,ABW,2046,6380.08879356813
26,Afghanistan,ABW,2047,6234.3673641307205
27,Afghanistan,ABW,2048,6091.974216741468
28,Afghanistan,ABW,2049,5952.833333333333
29,Afghanistan,ABW,2050,5816.870432094327
30,Afghanistan,AFG,2021,11368.025855622782
31,Afghanistan,AFG,2022,11108.37978624005
32,Afghanistan,AFG,2023,10854.664041277943
33,Afghanistan,AFG,2024,10606.743171939499
34,Afghanistan,AFG,2025,10364.484823082554
35,Afghanistan,AFG,2026,10127.759662560571
36,Afghanistan,AFG,2027,9896.441312177316
37,Afghanistan,AFG,2028,9670.406280218554
38,Afghanistan,AFG,2029,9449.533895524697
39,Afghanistan,AFG,2030,9233.70624306925
40,Afghanistan,AFG,2031,9022.808101008648
41,Afghanistan,AFG,2032,8816.72687916987
42,Afghanistan,AFG,2033,8615.352558942997
43,Afghanistan,AFG,2034,8418.57763454664
44,Afghanistan,AFG,2035,8226.297055634843
45,Afghanistan,AFG,2036,8038.408171214874
46,Afghanistan,AFG,2037,7854.810674845911
47,Afghanistan,AFG,2038,7675.406551089408
48,Afghanistan,AFG,2039,7500.100023182531
49,Afghanistan,AFG,2040,7328.797501906729
50,Afghanistan,AFG,2041,7161.407535624159
51,Afghanistan,AFG,2042,6997.840761455275
52,Afghanistan,AFG,2043,6838.0098575715165
53,Afghanistan,AFG,2044,6681.829496577646
54,Afghanistan,AFG,2045,6529.216299958826
55,Afghanistan,AFG,2046,6380.08879356813
56,Afghanistan,AFG,2047,6234.3673641307205
57,Afghanistan,AFG,2048,6091.974216741468
58,Afghanistan,AFG,2049,5952.833333333333
59,Afghanistan,AFG,2050,5816.870432094327
60,Afghanistan,AGO,2021,11368.025855622782
61,Afghanistan,AGO,2022,11108.37978624005
62,Afghanistan,AGO,2023,10854.664041277943
63,Afghanistan,AGO,2024,10606.743171939499
64,Afghanistan,AGO,2025,10364.484823082554
65,Afghanistan,AGO,2026,10127.759662560571
66,Afghanistan,AGO,2027,9896.441312177316
67,Afghanistan,AGO,2028,9670.406280218554
68,Afghanistan,AGO,2029,9449.533895524697
69,Afghanistan,AGO,2030,9233.70624306925
70,Afghanistan,AGO,2031,9022.808101008648
71,Afghanistan,AGO,2032,8816.72687916987
72,Afghanistan,AGO,2033,8615.352558942997
73,Afghanistan,AGO,2034,8418.57763454664
74,Afghanistan,AGO,2035,8226.297055634843
75,Afghanistan,AGO,2036,8038.408171214874
76,Afghanistan,AGO,2037,7854.810674845911
77,Afghanistan,AGO,2038,7675.406551089408
78,Afghanistan,AGO,2039,7500.100023182531
79,Afghanistan,AGO,2040,7328.797501906729
80,Afghanistan,AGO,2041,7161.407535624159
81,Afghanistan,AGO,2042,6997.840761455275
82,Afghanistan,AGO,2043,6838.0098575715165
83,Afghanistan,AGO,2044,6681.829496577646
84,Afghanistan,AGO,2045,6529.216299958826
85,Afghanistan,AGO,2046,6380.08879356813
86,Afghanistan,AGO,2047,6234.3673641307205
87,Afghanistan,AGO,2048,6091.974216741468
88,Afghanistan,AGO,2049,5952.833333333333
89,Afghanistan,AGO,2050,5816.870432094327
90,Afghanistan,AIA,2021,11368.025855622782
91,Afghanistan,AIA,2022,11108.37978624005
92,Afghanistan,AIA,2023,10854.664041277943
93,Afghanistan,AIA,2024,10606.743171939499
94,Afghanistan,AIA,2025,10364.484823082554
95,Afghanistan,AIA,2026,10127.759662560571
96,Afghanistan,AIA,2027,9896.441312177316
97,Afghanistan,AIA,2028,9670.406280218554
98,Afghanistan,AIA,2029,9449.533895524697
99,Afghanistan,AIA,2030,9233.70624306925
100,Afghanistan,AIA,2031,9022.808101008648
101,Afghanistan,AIA,2032,8816.72687916987
102,Afghanistan,AIA,2033,8615.352558942997
103,Afghanistan,AIA,2034,8418.57763454664
104,Afghanistan,AIA,2035,8226.297055634843
105,Afghanistan,AIA,2036,8038.408171214874
106,Afghanistan,AIA,2037,7854.810674845911
107,Afghanistan,AIA,2038,7675.406551089408
108,Afghanistan,AIA,2039,7500.100023182531
109,Afghanistan,AIA,2040,7328.797501906729
110,Afghanistan,AIA,2041,7161.407535624159
111,Afghanistan,AIA,2042,6997.840761455275
112,Afghanistan,AIA,2043,6838.0098575715165
113,Afghanistan,AIA,2044,6681.829496577646
114,Afghanistan,AIA,2045,6529.216299958826
115,Afghanistan,AIA,2046,6380.08879356813
116,Afghanistan,AIA,2047,6234.3673641307205
117,Afghanistan,AIA,2048,6091.974216741468
118,Afghanistan,AIA,2049,5952.833333333333
119,Afghanistan,AIA,2050,5816.870432094327
120,Afghanistan,ALA,2021,11368.025855622782
121,Afghanistan,ALA,2022,11108.37978624005
122,Afghanistan,ALA,2023,10854.664041277943
123,Afghanistan,ALA,2024,10606.743171939499
124,Afghanistan,ALA,2025,10364.484823082554
125,Afghanistan,ALA,2026,10127.759662560571
126,Afghanistan,ALA,2027,9896.441312177316
127,Afghanistan,ALA,2028,9670.406280218554
128,Afghanistan,ALA,2029,9449.533895524697
129,Afghanistan,ALA,2030,9233.70624306925
130,Afghanistan,ALA,2031,9022.808101008648
131,Afghanistan,ALA,2032,8816.72687916987
132,Afghanistan,ALA,2033,8615.352558942997
133,Afghanistan,ALA,2034,8418.57763454664
134,Afghanistan,ALA,2035,8226.297055634843
135,Afghanistan,ALA,2036,8038.408171214874
136,Afghanistan,ALA,2037,7854.810674845911
137,Afghanistan,ALA,2038,7675.406551089408
138,Afghanistan,ALA,2039,7500.100023182531
139,Afghanistan,ALA,2040,7328.797501906729
140,Afghanistan,ALA,2041,7161.407535624159
141,Afghanistan,ALA,2042,6997.840761455275
142,Afghanistan,ALA,2043,6838.0098575715165
143,Afghanistan,ALA,2044,6681.829496577646
144,Afghanistan,ALA,2045,6529.216299958826
145,Afghanistan,ALA,2046,6380.08879356813
146,Afghanistan,ALA,2047,6234.3673641307205
147,Afghanistan,ALA,2048,6091.974216741468
148,Afghanistan,ALA,2049,5952.833333333333
149,Afghanistan,ALA,2050,5816.870432094327
150,Afghanistan,ALB,2021,11368.025855622782
151,Afghanistan,ALB,2022,11108.37978624005
152,Afghanistan,ALB,2023,10854.664041277943
153,Afghanistan,ALB,2024,10606.743171939499
154,Afghanistan,ALB,2025,10364.484823082554
155,Afghanistan,ALB,2026,10127.759662560571
156,Afghanistan,ALB,2027,9896.441312177316
157,Afghanistan,ALB,2028,9670.406280218554
