"iso_code3","frac_waso_initial_composition_mun_other","Year"
"BHR",0.0304,2012
"BHR",0.0304,2013
"BHR",0.0304,2014
"BHR",0.0304,2015
"BHR",0.0304,2016
"BHR",0.0304,2017
"BHR",0.0304,2018
"BHR",0.0304,2019
"BHR",0.0304,2020
"BHS",0.024,2010
"BHS",0.024,2011
"BHS",0.024,2012
"BHS",0.024,2013
"BHS",0.024,2014
"BHS",0.024,2015
"BHS",0.024,2016
"BHS",0.024,2017
"BHS",0.024,2018
"BHS",0.024,2019
"BHS",0.024,2020
"BIH",0.1854,2010
"BIH",0.1854,2011
"BIH",0.1854,2012
"BIH",0.1854,2013
"BIH",0.1854,2014
"BIH",0.1854,2015
"BIH",0.1854,2016
"BIH",0.1854,2017
"BIH",0.1854,2018
"BIH",0.1854,2019
"BIH",0.1854,2020
"BLR",0.07,2010
"BLR",0.07,2011
"BLR",0.07,2012
"BLR",0.07,2013
"BLR",0.07,2014
"BLR",0.07,2015
"BLR",0.07,2016
"BLR",0.07,2017
"BLR",0.07,2018
"BLR",0.07,2019
"BLR",0.07,2020
"BLZ",0.01,2010
"BLZ",0.01,2011
"BLZ",0.01,2012
"BLZ",0.01,2013
"BLZ",0.01,2014
"BLZ",0.01,2015
"BLZ",0.01,2016
"BLZ",0.01,2017
"BLZ",0.01,2018
"BLZ",0.01,2019
"BLZ",0.01,2020
"BMU",0.052,2010
"BMU",0.052,2011
"BMU",0.052,2012
"BMU",0.052,2013
"BMU",0.052,2014
"BMU",0.052,2015
"BMU",0.052,2016
"BMU",0.052,2017
"BMU",0.052,2018
"BMU",0.052,2019
"BMU",0.052,2020
"BOL",0.0454054054054054,2010
"BOL",0.0454054054054054,2011
"BOL",0.0454054054054054,2012
"BOL",0.0454054054054054,2013
"BOL",0.0454054054054054,2014
"BOL",0.0454054054054054,2015
"BOL",0.0454054054054054,2016
"BOL",0.0454054054054054,2017
"BOL",0.0454054054054054,2018
"BOL",0.0454054054054054,2019
"BOL",0.0454054054054054,2020
"BRA",0.0334,2010
"BRA",0.0334,2011
"BRA",0.0334,2012
"BRA",0.0334,2013
"BRA",0.0334,2014
"BRA",0.0334,2015
"BRA",0.0334,2016
"BRA",0.0334,2017
"BRA",0.0334,2018
"BRA",0.0334,2019
"BRA",0.0334,2020
"BRB",0.0114,2010
"BRB",0.0114,2011
"BRB",0.0114,2012
"BRB",0.0114,2013
"BRB",0.0114,2014
"BRB",0.0114,2015
"BRB",0.0114,2016
"BRB",0.0114,2017
"BRB",0.0114,2018
"BRB",0.0114,2019
"BRB",0.0114,2020
"BRN",0.03,2010
"BRN",0.03,2011
"BRN",0.03,2012
"BRN",0.03,2013
"BRN",0.03,2014
"BRN",0.03,2015
"BRN",0.03,2016
"BRN",0.03,2017
"BRN",0.03,2018
"BRN",0.03,2019
"BRN",0.03,2020
"BTN",0.014,2010
"BTN",0.014,2011
"BTN",0.014,2012
"BTN",0.014,2013
"BTN",0.014,2014
"BTN",0.014,2015
"BTN",0.014,2016
"BTN",0.014,2017
"BTN",0.014,2018
"BTN",0.014,2019
"BTN",0.014,2020
"BWA",0.1838,2010
"BWA",0.1838,2011
"BWA",0.1838,2012
"BWA",0.1838,2013
"BWA",0.1838,2014
"BWA",0.1838,2015
"BWA",0.1838,2016
"BWA",0.1838,2017
"BWA",0.1838,2018
"BWA",0.1838,2019
"BWA",0.1838,2020
"CAF",0.0392845349969609,2010
"CAF",0.0392845349969609,2011
"CAF",0.0392845349969609,2012
"CAF",0.0392845349969609,2013
"CAF",0.0392845349969609,2014
"CAF",0.0392845349969609,2015
"CAF",0.0392845349969609,2016
"CAF",0.0392845349969609,2017
"CAF",0.0392845349969609,2018
"CAF",0.0392845349969609,2019
"CAF",0.0392845349969609,2020
"CAN",0.016,2010
"CAN",0.016,2011
"CAN",0.016,2012
"CAN",0.016,2013
"CAN",0.016,2014
"CAN",0.016,2015
"CAN",0.016,2016
"CAN",0.016,2017
"CAN",0.016,2018
"CAN",0.016,2019
"CAN",0.016,2020
"CHE",0.058,2010
"CHE",0.058,2011
"CHE",0.058,2012
"CHE",0.058,2013
"CHE",0.058,2014
"CHE",0.058,2015
"CHE",0.058,2016
"CHE",0.058,2017
"CHE",0.058,2018
"CHE",0.058,2019
"CHE",0.058,2020
"CHI",0.0358342997366015,2010
"CHI",0.0358342997366015,2011
"CHI",0.0358342997366015,2012
"CHI",0.0358342997366015,2013
