Year,prodinit_ippu_glass_tonne,iso_code3
2021,369.7868,"ABW"
2022,372.303389244415,"ABW"
2023,374.837105172166,"ABW"
2024,377.388064339134,"ABW"
2025,379.956384094427,"ABW"
2026,382.542182585771,"ABW"
2027,385.145578764949,"ABW"
2028,387.766692393272,"ABW"
2029,390.405644047088,"ABW"
2030,393.06255512333,"ABW"
2031,395.737547845097,"ABW"
2032,398.430745267283,"ABW"
2033,401.14227128223,"ABW"
2034,403.872250625433,"ABW"
2035,406.620808881276,"ABW"
2036,409.388072488809,"ABW"
2037,412.174168747564,"ABW"
2038,414.979225823414,"ABW"
2039,417.803372754465,"ABW"
2040,420.646739456993,"ABW"
2041,423.509456731422,"ABW"
2042,426.39165626834,"ABW"
2043,429.293470654557,"ABW"
2044,432.215033379205,"ABW"
2045,435.156478839878,"ABW"
2046,438.117942348813,"ABW"
2047,441.099560139119,"ABW"
2048,444.10146937104,"ABW"
2049,447.123808138265,"ABW"
2050,450.166715474284,"ABW"
2021,17276.42,"AGO"
2022,17583.524753912,"AGO"
2023,17896.0885861444,"AGO"
2024,18214.2085369927,"AGO"
2025,18537.983371736,"AGO"
2026,18867.5136112996,"AGO"
2027,19202.9015634639,"AGO"
2028,19544.2513546269,"AGO"
2029,19891.6689621322,"AGO"
2030,20245.2622471713,"AGO"
2031,20605.1409882705,"AGO"
2032,20971.4169153738,"AGO"
2033,21344.2037445306,"AGO"
2034,21723.6172132013,"AGO"
2035,22109.7751161893,"AGO"
2036,22502.7973422122,"AGO"
2037,22902.8059111236,"AGO"
2038,23309.9250117955,"AGO"
2039,23724.281040675,"AGO"
2040,24146.002641026,"AGO"
2041,24575.2207428684,"AGO"
2042,25012.0686036272,"AGO"
2043,25456.681849505,"AGO"
2044,25909.1985175883,"AGO"
2045,26369.7590987042,"AGO"
2046,26838.5065810371,"AGO"
2047,27315.5864945224,"AGO"
2048,27801.1469560279,"AGO"
2049,28295.3387153393,"AGO"
2050,28798.3152019628,"AGO"
2021,7973.935,"ALB"
2022,8429.75411942245,"ALB"
2023,8911.62951716057,"ALB"
2024,9421.05066482871,"ALB"
2025,9959.59217765475,"ALB"
2026,10528.9186815986,"ALB"
2027,11130.7899586929,"ALB"
2028,11767.0663865102,"ALB"
2029,12439.7146885699,"ALB"
2030,13150.8140134591,"ALB"
2031,13902.5623614584,"ALB"
2032,14697.2833785366,"ALB"
2033,15537.4335387156,"ALB"
2034,16425.6097370044,"ALB"
2035,17364.5573163737,"ALB"
2036,18357.1785535809,"ALB"
2037,19406.5416300762,"ALB"
2038,20515.8901157181,"ALB"
2039,21688.6529946122,"ALB"
2040,22928.4552640642,"ALB"
2041,24239.1291394072,"ALB"
2042,25624.725899337,"ALB"
2043,27089.5284083715,"ALB"
2044,28638.0643551372,"ALB"
2045,30275.1202474064,"ALB"
2046,32005.7562071404,"ALB"
2047,33835.3216112713,"ALB"
2048,35769.471626568,"ALB"
2049,37814.1846896954,"ALB"
2050,39975.7809864967,"ALB"
2021,81945.92,"ARE"
2022,77705.199579379,"ARE"
2023,73683.9374269167,"ARE"
2024,69870.7765261899,"ARE"
2025,66254.947589017,"ARE"
2026,62826.2386403846,"ARE"
2027,59574.9661773615,"ARE"
2028,56491.9478205459,"ARE"
2029,53568.4763808056,"ARE"
2030,50796.2952680713,"ARE"
2031,48167.5751727304,"ARE"
2032,45674.8919537636,"ARE"
2033,43311.2056711764,"ARE"
2034,41069.8407035066,"ARE"
2035,38944.4668942552,"ARE"
2036,36929.0816739945,"ARE"
2037,35017.9931076609,"ARE"
2038,33205.8038191542,"ARE"
2039,31487.395747843,"ARE"
2040,29857.9156939239,"ARE"
2041,28312.7616118122,"ARE"
2042,26847.5696128525,"ARE"
2043,25458.2016406427,"ARE"
2044,24140.7337841618,"ARE"
2045,22891.4451956967,"ARE"
2046,21706.8075822693,"ARE"
2047,20583.4752408834,"ARE"
2048,19518.2756094513,"ARE"
2049,18508.2003067113,"ARE"
2050,17550.3966358316,"ARE"
2021,92851.44,"ARG"
2022,89653.2270615416,"ARG"
2023,86565.1746763253,"ARG"
2024,83583.4884292436,"ARG"
2025,80704.5046015733,"ARG"
2026,77924.6856692162,"ARG"
2027,75240.6159559991,"ARG"
2028,72648.997436695,"ARG"
2029,70146.6456846051,"ARG"
2030,67730.4859587252,"ARG"
2031,65397.5494256863,"ARG"
2032,63144.9695118293,"ARG"
2033,60969.9783809293,"ARG"
2034,58869.9035332434,"ARG"
2035,56842.1645217018,"ARG"
2036,54884.2697812078,"ARG"
2037,52993.8135671513,"ARG"
2038,51168.4729993721,"ARG"
2039,49406.0052079437,"ARG"
2040,47704.2445772675,"ARG"
2041,46061.1000850938,"ARG"
2042,44474.5527331973,"ARG"
2043,42942.6530665528,"ARG"
2044,41463.5187779604,"ARG"
2045,40035.3323951786,"ARG"
2046,38656.3390477223,"ARG"
2047,37324.8443105824,"ARG"
2048,36039.2121222173,"ARG"
2049,34797.8627742576,"ARG"
2050,33599.2709704543,"ARG"
2021,8568.579,"ARM"
2022,8986.85573993895,"ARM"
2023,9425.55073489707,"ARM"
2024,9885.66070570108,"ARM"
2025,10368.2310282859,"ARM"
2026,10874.3581088024,"ARM"
2027,11405.191874667,"ARM"
2028,11961.9383872117,"ARM"
2029,12545.8625818715,"ARM"
2030,13158.2911421342,"ARM"
2031,13800.6155137831,"ARM"
2032,14474.2950662802,"ARM"
2033,15180.8604084727,"ARM"
2034,15921.9168661565,"ARM"
2035,16699.1481293981,"ARM"
2036,17514.3200778999,"ARM"
2037,18369.2847931031,"ARM"
2038,19265.9847661406,"ARM"
2039,20206.4573112026,"ARM"
2040,21192.8391943416,"ARM"
2041,22227.371488233,"ARM"
2042,23312.4046639217,"ARM"
2043,24450.4039311237,"ARM"
2044,25643.9548392149,"ARM"
2045,26895.7691516334,"ARM"
2046,28208.691007042,"ARM"
2047,29585.7033812491,"ARM"
2048,31029.9348645685,"ARM"
2049,32544.6667700186,"ARM"
2050,34133.3405885085,"ARM"
2021,1.770711,"ASM"
2022,2.02306512244362,"ASM"
2023,2.31138366997653,"ASM"
2024,2.64079213791254,"ASM"
2025,3.01714648513178,"ASM"
2026,3.44713723660918,"ASM"
2027,3.93840842218787,"ASM"
2028,4.49969346599557,"ASM"
2029,5.14097044223653,"ASM"
2030,5.8736394573718,"ASM"
2031,6.71072531204558,"ASM"
2032,7.66710904551844,"ASM"
2033,8.75979247881802,"ASM"
2034,10.0082004594429,"ASM"
2035,11.4345261806829,"ASM"
2036,13.0641257143645,"ASM"
2037,14.9259687707083,"ASM"
2038,17.053153698544,"ASM"
2039,19.4834958811431,"ASM"
2040,22.2601999876968,"ASM"
2041,25.4326280311859,"ASM"
2042,29.0571768865581,"ASM"
2043,33.1982808690242,"ASM"
2044,37.9295571955051,"ASM"
2045,43.3351146923223,"ASM"
2046,49.5110490142837,"ASM"
2047,56.5671509559685,"ASM"
2048,64.6288582241954,"ASM"
2049,73.8394853687152,"ASM"
2050,84.362771513044,"ASM"
2021,133.4705,"ATG"
2022,225.045219676509,"ATG"
2023,379.449772790602,"ATG"
2024,639.791995039072,"ATG"
2025,1078.75620508532,"ATG"
2026,1818.89576461332,"ATG"
2027,3066.84845652092,"ATG"
2028,5171.02719037025,"ATG"
2029,8718.89256434998,"ATG"
2030,14700.9645762923,"ATG"
2031,24787.3635187421,"ATG"
2032,41794.086845234,"ATG"
2033,70469.2007242407,"ATG"
2034,118818.441209217,"ATG"
2035,200340.31642609,"ATG"
2036,337794.722580426,"ATG"
2037,569557.224620252,"ATG"
2038,960333.03788483,"ATG"
2039,1619221.92149876,"ATG"
2040,2730177.47763519,"ATG"
2041,4603364.71512632,"ATG"
2042,7761754.27204283,"ATG"
2043,13087129.3299041,"ATG"
2044,22066268.5386144,"ATG"
2045,37206036.1706394,"ATG"
2046,62733267.5258853,"ATG"
2047,105774848.909595,"ATG"
2048,178347455.87309,"ATG"
2049,300712459.949621,"ATG"
2050,507032652.225218,"ATG"
2021,252840,"AUS"
2022,246158.137194648,"AUS"
2023,239652.8575666,"AUS"
2024,233319.494510238,"AUS"
2025,227153.50474544,"AUS"
2026,221150.465058429,"AUS"
2027,215306.069128749,"AUS"
2028,209616.124440101,"AUS"
2029,204076.549272808,"AUS"
2030,198683.369775772,"AUS"
2031,193432.717115802,"AUS"
2032,188320.824702283,"AUS"
2033,183344.025485183,"AUS"
2034,178498.749324477,"AUS"
2035,173781.520429077,"AUS"
2036,169188.954863452,"AUS"
2037,164717.758120142,"AUS"
2038,160364.722756418,"AUS"
2039,156126.726093403,"AUS"
2040,152000.727975997,"AUS"
2041,147983.768592002,"AUS"
2042,144072.966348881,"AUS"
2043,140265.515806628,"AUS"
2044,136558.685665267,"AUS"
2045,132949.816805535,"AUS"
2046,129436.320381349,"AUS"
2047,126015.675962674,"AUS"
2048,122685.429727481,"AUS"
2049,119443.192701477,"AUS"
2050,116286.639044364,"AUS"
2021,204758.3,"AUT"
2022,201343.792482748,"AUT"
2023,197986.224594246,"AUT"
2024,194684.646820894,"AUT"
2025,191438.125482987,"AUT"
2026,188245.742470673,"AUT"
2027,185106.594984311,"AUT"
2028,182019.795279162,"AUT"
2029,178984.470414337,"AUT"
2030,175999.76200593,"AUT"
2031,173064.825984271,"AUT"
2032,170178.83235522,"AUT"
2033,167340.964965454,"AUT"
2034,164550.421271651,"AUT"
2035,161806.412113542,"AUT"
2036,159108.161490728,"AUT"
2037,156454.906343239,"AUT"
2038,153845.896335733,"AUT"
2039,151280.393645308,"AUT"
2040,148757.672752848,"AUT"
2041,146277.020237841,"AUT"
2042,143837.734576633,"AUT"
2043,141439.125944034,"AUT"
2044,139080.516018236,"AUT"
2045,136761.23778899,"AUT"
2046,134480.63536897,"AUT"
2047,132238.063808295,"AUT"
2048,130032.888912135,"AUT"
2049,127864.487061366,"AUT"
2050,125732.245036205,"AUT"
2021,10663.97,"AZE"
2022,9890.56185189168,"AZE"
2023,9173.24539979903,"AZE"
2024,8507.95257388132,"AZE"
2025,7890.91034248353,"AZE"
2026,7318.61931438902,"AZE"
2027,6787.8338929511,"AZE"
2028,6295.54386955322,"AZE"
2029,5838.95735200996,"AZE"
2030,5415.48493109153,"AZE"
2031,5022.72499537678,"AZE"
2032,4658.45011115151,"AZE"
2033,4320.59439010947,"AZE"
2034,4007.24177321521,"AZE"
2035,3716.61516428395,"AZE"
2036,3447.06635165225,"AZE"
2037,3197.0666607831,"AZE"
2038,2965.19828479412,"AZE"
2039,2750.14624374219,"AZE"
2040,2550.69092706372,"AZE"
2041,2365.70117687715,"AZE"
2042,2194.12787292128,"AZE"
2043,2034.99798274822,"AZE"
2044,1887.40904342811,"AZE"
2045,1750.52404347024,"AZE"
2046,1623.56667593457,"AZE"
2047,1505.81693581293,"AZE"
2048,1396.60703671182,"AZE"
2049,1295.31762367912,"AZE"
2050,1201.37426069688,"AZE"
2021,3539.875,"BDI"
2022,6601.64959428661,"BDI"
2023,12311.671278151,"BDI"
2024,22960.511232288,"BDI"
2025,42819.9441113732,"BDI"
2026,79856.5674410035,"BDI"
2027,148927.596609491,"BDI"
2028,277740.826366786,"BDI"
2029,517969.593192167,"BDI"
2030,965981.497863589,"BDI"
2031,1801496.20070187,"BDI"
2032,3359679.83685084,"BDI"
2033,6265596.67555473,"BDI"
2034,11684953.2119466,"BDI"
2035,21791720.5073358,"BDI"
2036,40640221.1507639,"BDI"
2037,75791517.9128243,"BDI"
2038,141346528.755835,"BDI"
2039,263602600.152486,"BDI"
2040,491602669.119547,"BDI"
2041,916808802.893682,"BDI"
2042,1709792142.84727,"BDI"
2043,3188657397.82962,"BDI"
2044,5946650324.29136,"BDI"
2045,11090137844.0545,"BDI"
2046,20682426356.5197,"BDI"
2047,38571455648.9652,"BDI"
2048,71933397234.6581,"BDI"
2049,134151370505.975,"BDI"
2050,250184071661.786,"BDI"
2021,288925.8,"BEL"
2022,279190.340548968,"BEL"
2023,269782.920929348,"BEL"
2024,260692.487720238,"BEL"
2025,251908.359949755,"BEL"
2026,243420.216545231,"BEL"
2027,235218.084206279,"BEL"
2028,227292.32568648,"BEL"
2029,219633.628469923,"BEL"
2030,212232.993829292,"BEL"
2031,205081.726252647,"BEL"
2032,198171.423226471,"BEL"
2033,191493.965362982,"BEL"
2034,185041.506860112,"BEL"
2035,178806.466282931,"BEL"
2036,172781.517655706,"BEL"
2037,166959.581854109,"BEL"
2038,161333.818287471,"BEL"
2039,155897.616861299,"BEL"
2040,150644.59021063,"BEL"
2041,145568.566195077,"BEL"
2042,140663.580646756,"BEL"
2043,135923.870362581,"BEL"
2044,131343.86633268,"BEL"
2045,126918.187196987,"BEL"
2046,122641.632922309,"BEL"
2047,118509.178692456,"BEL"
2048,114515.96900424,"BEL"
2049,110657.31196241,"BEL"
2050,106928.673766824,"BEL"
2021,4030.854,"BEN"
2022,4310.80217496359,"BEN"
2023,4610.19312326142,"BEN"
2024,4930.37717137796,"BEN"
2025,5272.79842776913,"BEN"
2026,5639.00129614513,"BEN"
2027,6030.63744110923,"BEN"
2028,6449.47323756964,"BEN"
2029,6897.39773752278,"BEN"
2030,7376.43119014039,"BEN"
2031,7888.73415358791,"BEN"
2032,8436.61723967087,"BEN"
2033,9022.5515352599,"BEN"
2034,9649.17974749754,"BEN"
2035,10319.3281230546,"BEN"
2036,11036.0191951945,"BEN"
2037,11802.4854161387,"BEN"
2038,12622.1837362174,"BEN"
2039,13498.811195562,"BEN"
2040,14436.3215986616,"BEN"
2041,15438.9433469891,"BEN"
2042,16511.1985101272,"BEN"
2043,17657.9232214096,"BEN"
2044,18884.2894900665,"BEN"
2045,20195.8285282525,"BEN"
2046,21598.4556981679,"BEN"
2047,23098.4971917903,"BEN"
2048,24702.71856355,"BEN"
2049,26418.3552446367,"BEN"
2050,28253.1451765657,"BEN"
2021,1343.546,"BFA"
2022,1449.18956127936,"BFA"
2023,1563.13991818745,"BFA"
2024,1686.05023739889,"BFA"
2025,1818.62504434613,"BFA"
2026,1961.62426157916,"BFA"
2027,2115.86756466311,"BFA"
2028,2282.23908058181,"BFA"
2029,2461.69245557872,"BFA"
2030,2655.25632148423,"BFA"
2031,2864.04019186242,"BFA"
2032,3089.2408217743,"BFA"
2033,3332.14906761168,"BFA"
2034,3594.15728632262,"BFA"
2035,3876.7673164409,"BFA"
2036,4181.59908666705,"BFA"
2037,4510.39990134555,"BFA"
2038,4865.05445606287,"BFA"
2039,5247.59564077595,"BFA"
2040,5660.21619239506,"BFA"
2041,6105.28126361386,"BFA"
2042,6585.34198003172,"BFA"
2043,7103.15006327788,"BFA"
2044,7661.67360395785,"BFA"
2045,8264.11407483284,"BFA"
2046,8913.92468175234,"BFA"
2047,9614.83015752789,"BFA"
2048,10370.8481122071,"BFA"
2049,11186.3120621284,"BFA"
2050,12065.8962697592,"BFA"
2021,53238.07,"BGD"
2022,57730.3044263876,"BGD"
2023,62601.5941066869,"BGD"
2024,67883.9237665112,"BGD"
2025,73611.9770062735,"BGD"
2026,79823.3640325507,"BGD"
2027,86558.8686054455,"BGD"
2028,93862.7158233958,"BGD"
2029,101782.862503696,"BGD"
2030,110371.312065361,"BGD"
2031,119684.45598184,"BGD"
2032,129783.444045552,"BGD"
