,Nation,Year,Oil and oil products (PJ),Gas (PJ),Coal and coal products (PJ),Biofuels and waste (PJ),Heat (PJ),Electricity (PJ),Other sources (PJ),Total final energy use (PJ),Pseudo Total (PJ),frac_scoe_heat_energy_commercial_municipal_coal,frac_scoe_heat_energy_commercial_municipal_diesel,frac_scoe_heat_energy_commercial_municipal_electricity,frac_scoe_heat_energy_commercial_municipal_gasoline,frac_scoe_heat_energy_commercial_municipal_hydrocarbon_gas_liquids,frac_scoe_heat_energy_commercial_municipal_hydrogen,frac_scoe_heat_energy_commercial_municipal_kerosene,frac_scoe_heat_energy_commercial_municipal_natural_gas,frac_scoe_heat_energy_commercial_municipal_solid_biomass,gdp_mmm_usd,gdp_class
0,Albania,2011,1.14,0.06,0.05,0.67,0.0,4.67,0.25,6.84,2.637,0.018960940462646948,0.3458475540386803,0.1770951839211225,0.043230944254835035,0.09480470231323473,0.0,0.043230944254835035,0.022753128555176336,0.2540766021994691,21.159910106,2
1,Albania,2012,0.51,0.0,0.04,1.03,0.0,4.76,0.25,6.58,2.306,0.017346053772766695,0.17692974848222032,0.20641803989592367,0.02211621856027754,0.10841283607979184,0.0,0.02211621856027754,0.0,0.44666088464874243,21.865577182,2
2,Albania,2013,1.41,0.0,0.16,0.82,0.0,5.32,0.26,7.96,3.182,0.0502828409805154,0.35449402891263354,0.1671904462602137,0.04431175361407919,0.08170961659333753,0.0,0.04431175361407919,0.0,0.2576995600251414,22.571244258,2
3,Albania,2014,1.64,0.0,0.14,0.47,0.0,4.94,0.28,7.47,3.024,0.0462962962962963,0.4338624338624339,0.16335978835978837,0.05423280423280424,0.0925925925925926,0.0,0.05423280423280424,0.0,0.1554232804232804,23.276911334,2
4,Albania,2015,1.98,0.0,0.12,0.94,0.0,4.94,0.23,8.2,3.7640000000000002,0.03188097768331562,0.4208289054197662,0.13124335812964932,0.052603613177470775,0.06110520722635494,0.0,0.052603613177470775,0.0,0.24973432518597233,23.98257841,2
5,Albania,2016,2.02,0.0,0.15,0.91,0.0,4.15,0.23,7.47,3.725,0.040268456375838924,0.4338255033557047,0.11140939597315437,0.054228187919463086,0.06174496644295302,0.0,0.054228187919463086,0.0,0.2442953020134228,24.52576748,2
6,Albania,2017,2.54,0.0,0.14,0.78,0.0,5.24,0.21,8.91,4.194,0.03338102050548403,0.48450166905102526,0.12494039103481164,0.06056270863137816,0.050071530758226034,0.0,0.06056270863137816,0.0,0.18597997138769673,25.06895655,2
7,Albania,2018,2.66,0.0,0.14,0.6,0.0,5.38,0.21,8.98,4.148,0.03375120540019287,0.5130183220829316,0.12970106075216975,0.06412729026036645,0.0506268081002893,0.0,0.06412729026036645,0.0,0.14464802314368372,25.61214562,2
8,Albania,2019,2.64,0.0,0.18,0.82,0.0,5.66,0.22,9.53,4.426000000000001,0.04066877541798462,0.4771802982376863,0.12788070492544057,0.05964753727971079,0.049706281066425655,0.0,0.05964753727971079,0.0,0.18526886579304105,26.15533469,2
9,Argentina,2011,16.3,58.4,0.0,6.89,0.0,102.1,0.0,183.68,91.8,0.0,0.1420479302832244,0.11122004357298476,0.01775599128540305,0.0,0.0,0.01775599128540305,0.6361655773420479,0.07505446623093681,579.43003814,2
10,Argentina,2012,16.84,62.1,0.0,6.01,0.0,102.98,0.0,187.93,95.248,0.0,0.141441290105829,0.10811775575340166,0.017680161263228626,0.0,0.0,0.017680161263228626,0.6519821938518394,0.0630984377624727,599.33317778,2
