Year,iso_code3,prodinit_ippu_cement_tonne
2010,ABW,157649.6918
2011,ABW,201611.942
2012,ABW,220618.9462
2013,ABW,127891.1703
2014,ABW,209124.8494
2015,ABW,308493.8248
2016,ABW,306228.1122
2017,ABW,306935.3168
2018,ABW,274336.0202
2019,ABW,320920.3364
2020,ABW,170508.712
2010,AGO,13893926.22
2011,AGO,14871153.8
2012,AGO,20972194.6
2013,AGO,16368105.79
2014,AGO,10277123.6
2015,AGO,7421069.34
2016,AGO,8977907.332
2017,AGO,4133149.621
2018,AGO,3108241.523
2019,AGO,3221873.724
2020,AGO,1308792.55
2010,ALB,6611765.245
2011,ALB,5618446.043
2012,ALB,6377292.199
2013,ALB,5628763.549
2014,ALB,3512166.29
2015,ALB,4108712.919
2016,ALB,4026581.751
2017,ALB,3969537.617
2018,ALB,3103060.035
2019,ALB,3358594.454
2020,ALB,4939345.349
2010,ARE,13714300.17
2011,ARE,18717104.88
2012,ARE,21587780.44
2013,ARE,30017166.82
2014,ARE,24218990.49
2015,ARE,22720582.79
2016,ARE,20980947.71
2017,ARE,17268225.03
2018,ARE,23258061.94
2019,ARE,21794607.38
2020,ARE,17740668.95
2010,ARG,11663903.07
2011,ARG,13065098.0
2012,ARG,12609656.95
2013,ARG,13996280.93
2014,ARG,10273342.17
2015,ARG,32306001.75
2016,ARG,24693603.2
2017,ARG,26129009.39
2018,ARG,14319311.69
2019,ARG,7067560.438
2020,ARG,6792529.907
2010,ARM,365338.7918
2011,ARM,854182.461
2012,ARM,1071586.376
2013,ARM,1096756.459
2014,ARM,514674.9757
2015,ARM,120019.9239
2016,ARM,159577.275
2017,ARM,211701.7155
2018,ARM,695629.7955
2019,ARM,1325864.202
2020,ARM,474899.4868
2010,ASM,41154.03412
2011,ASM,77109.97088
2012,ASM,34658.53182
2013,ASM,30786.35102
2014,ASM,41189.52748
2015,ASM,23638.4265
2016,ASM,34881.24601
2017,ASM,35355.13493
2018,ASM,28983.62823
2019,ASM,33482.26878
2020,ASM,39407.69151
2010,ATG,110036.7046
2011,ATG,117885.5149
2012,ATG,127499.9382
2013,ATG,39194.88224
2014,ATG,41948.65386
2015,ATG,66632.82209
2016,ATG,55408.74854
2017,ATG,76813.97665
2018,ATG,73444.74542
2019,ATG,112937.2502
2020,ATG,73596.05666
2010,AUS,40364251.8
2011,AUS,45038024.2
2012,AUS,55600737.56
2013,AUS,56505294.58
2014,AUS,70618486.49
2015,AUS,53987347.83
2016,AUS,66723794.39
2017,AUS,75045314.58
2018,AUS,77694376.23
2019,AUS,70766071.16
