Year,Nation,Region,density_wali_kg_n_per_m3_ww_industrial
1990,Argentina,South America,345206
1991,Argentina,South America,328361
1992,Argentina,South America,311471
1993,Argentina,South America,294449
1994,Argentina,South America,277459
1995,Argentina,South America,260258
1996,Argentina,South America,271286
1997,Argentina,South America,277466
1998,Argentina,South America,281481
1999,Argentina,South America,276494
2000,Argentina,South America,274965
2001,Argentina,South America,273651
2002,Argentina,South America,276453
2003,Argentina,South America,287623
2004,Argentina,South America,295891
2005,Argentina,South America,304620
2006,Argentina,South America,315153
2007,Argentina,South America,345665
2008,Argentina,South America,367071
2009,Argentina,South America,380142
2010,Argentina,South America,365780
2011,Argentina,South America,373790
2012,Argentina,South America,371821
2013,Argentina,South America,359090
2014,Argentina,South America,310344
2015,Argentina,South America,317032
2016,Argentina,South America,317963
2017,Argentina,South America,349650
2018,Argentina,South America,376350
2019,Argentina,South America,404733
1990,Bahamas,Caribbean,125
1991,Bahamas,Caribbean,125
1992,Bahamas,Caribbean,115
1993,Bahamas,Caribbean,109
1994,Bahamas,Caribbean,96
1995,Bahamas,Caribbean,166
1996,Bahamas,Caribbean,208
1997,Bahamas,Caribbean,199
1998,Bahamas,Caribbean,255
1999,Bahamas,Caribbean,238
2000,Bahamas,Caribbean,150
2001,Bahamas,Caribbean,155
2002,Bahamas,Caribbean,158
2003,Bahamas,Caribbean,182
2004,Bahamas,Caribbean,191
2005,Bahamas,Caribbean,181
2006,Bahamas,Caribbean,189
2007,Bahamas,Caribbean,199
2008,Bahamas,Caribbean,209
2009,Bahamas,Caribbean,222
2010,Bahamas,Caribbean,234
2011,Bahamas,Caribbean,241
2012,Bahamas,Caribbean,253
2013,Bahamas,Caribbean,264
2014,Bahamas,Caribbean,186
2015,Bahamas,Caribbean,199
2016,Bahamas,Caribbean,210
2017,Bahamas,Caribbean,217
2018,Bahamas,Caribbean,226
2019,Bahamas,Caribbean,237
1990,Barbados,Caribbean,4138
1991,Barbados,Caribbean,3519
1992,Barbados,Caribbean,2896
1993,Barbados,Caribbean,2280
1994,Barbados,Caribbean,1662
1995,Barbados,Caribbean,1034
1996,Barbados,Caribbean,1128
1997,Barbados,Caribbean,1200
1998,Barbados,Caribbean,457
1999,Barbados,Caribbean,525
2000,Barbados,Caribbean,1112
2001,Barbados,Caribbean,1149
2002,Barbados,Caribbean,1217
2003,Barbados,Caribbean,1363
2004,Barbados,Caribbean,1385
2005,Barbados,Caribbean,1412
2006,Barbados,Caribbean,1364
2007,Barbados,Caribbean,1407
2008,Barbados,Caribbean,1414
2009,Barbados,Caribbean,1338
2010,Barbados,Caribbean,1339
2011,Barbados,Caribbean,1351
2012,Barbados,Caribbean,1386
2013,Barbados,Caribbean,1348
2014,Barbados,Caribbean,1206
2015,Barbados,Caribbean,1167
2016,Barbados,Caribbean,2434
2017,Barbados,Caribbean,3725
2018,Barbados,Caribbean,5021
2019,Barbados,Caribbean,6196
1990,Belize,Central America,67597
1991,Belize,Central America,54222
1992,Belize,Central America,40867
1993,Belize,Central America,27445
1994,Belize,Central America,14086
1995,Belize,Central America,707
1996,Belize,Central America,779
1997,Belize,Central America,741
1998,Belize,Central America,693
1999,Belize,Central America,597
2000,Belize,Central America,731
2001,Belize,Central America,1488
2002,Belize,Central America,1602
2003,Belize,Central America,1100
2004,Belize,Central America,1169
2005,Belize,Central America,1200
2006,Belize,Central America,1286
2007,Belize,Central America,1375
2008,Belize,Central America,1385
2009,Belize,Central America,1460
2010,Belize,Central America,1555
2011,Belize,Central America,1625
2012,Belize,Central America,1709
2013,Belize,Central America,1784
2014,Belize,Central America,2398
2015,Belize,Central America,3252
2016,Belize,Central America,4096
2017,Belize,Central America,4947
2018,Belize,Central America,5794
2019,Belize,Central America,7046
1990,Bolivia,South America,20774
1991,Bolivia,South America,21605
1992,Bolivia,South America,21773
1993,Bolivia,South America,22488
1994,Bolivia,South America,23543
1995,Bolivia,South America,24339
1996,Bolivia,South America,24783
1997,Bolivia,South America,25181
1998,Bolivia,South America,24397
1999,Bolivia,South America,25099
2000,Bolivia,South America,38978
2001,Bolivia,South America,41965
2002,Bolivia,South America,40355
2003,Bolivia,South America,38498
2004,Bolivia,South America,37084
2005,Bolivia,South America,36159
2006,Bolivia,South America,36629
2007,Bolivia,South America,36785
2008,Bolivia,South America,35502
2009,Bolivia,South America,31561
2010,Bolivia,South America,31219
2011,Bolivia,South America,29218
2012,Bolivia,South America,35978
2013,Bolivia,South America,40549
2014,Bolivia,South America,36498
2015,Bolivia,South America,42927
2016,Bolivia,South America,47162
2017,Bolivia,South America,52375
2018,Bolivia,South America,56785
2019,Bolivia,South America,60543
1990,Brazil,South America,3734679
1991,Brazil,South America,3142135
1992,Brazil,South America,2527088
1993,Brazil,South America,1915894
1994,Brazil,South America,1311227
1995,Brazil,South America,721016
1996,Brazil,South America,765611
1997,Brazil,South America,756968
1998,Brazil,South America,766780
1999,Brazil,South America,801966
2000,Brazil,South America,955561
2001,Brazil,South America,994948
2002,Brazil,South America,1004294
2003,Brazil,South America,1062483
2004,Brazil,South America,1029025
2005,Brazil,South America,1053223
2006,Brazil,South America,1105876
2007,Brazil,South America,1171760
2008,Brazil,South America,1186138
