Year,Nation,Region,ef_waso_incineration_kg_ch4_per_kg_msw
1990,Argentina,South America,3752764
1991,Argentina,South America,3795781
1992,Argentina,South America,3823150
1993,Argentina,South America,3828145
1994,Argentina,South America,3840396
1995,Argentina,South America,3840732
1996,Argentina,South America,3848518
1997,Argentina,South America,3859238
1998,Argentina,South America,3862246
1999,Argentina,South America,3854502
2000,Argentina,South America,3854853
2001,Argentina,South America,3846652
2002,Argentina,South America,3698813
2003,Argentina,South America,3737789
2004,Argentina,South America,3775072
2005,Argentina,South America,3802568
2006,Argentina,South America,3825538
2007,Argentina,South America,3856554
2008,Argentina,South America,3890040
2009,Argentina,South America,3878003
2010,Argentina,South America,3913197
2011,Argentina,South America,3945987
2012,Argentina,South America,3950284
2013,Argentina,South America,3951893
2014,Argentina,South America,3944923
2015,Argentina,South America,3962789
2016,Argentina,South America,3953344
2017,Argentina,South America,3974122
2018,Argentina,South America,3943122
2019,Argentina,South America,3921915
1990,Bahamas,Caribbean,35334260
1991,Bahamas,Caribbean,35306036
1992,Bahamas,Caribbean,35304915
1993,Bahamas,Caribbean,35296058
1994,Bahamas,Caribbean,35381023
1995,Bahamas,Caribbean,35463154
1996,Bahamas,Caribbean,35545793
1997,Bahamas,Caribbean,36453941
1998,Bahamas,Caribbean,36576897
1999,Bahamas,Caribbean,36766407
2000,Bahamas,Caribbean,36846896
2001,Bahamas,Caribbean,36894459
2002,Bahamas,Caribbean,37000306
2003,Bahamas,Caribbean,36998292
2004,Bahamas,Caribbean,37031669
2005,Bahamas,Caribbean,37165281
2006,Bahamas,Caribbean,37218749
2007,Bahamas,Caribbean,37288867
2008,Bahamas,Caribbean,37274759
2009,Bahamas,Caribbean,37189041
2010,Bahamas,Caribbean,37207351
2011,Bahamas,Caribbean,37203297
2012,Bahamas,Caribbean,37304333
2013,Bahamas,Caribbean,37280381
2014,Bahamas,Caribbean,37333124
2015,Bahamas,Caribbean,37452758
2016,Bahamas,Caribbean,37478135
2017,Bahamas,Caribbean,37506566
2018,Bahamas,Caribbean,37542599
2019,Bahamas,Caribbean,37594096
1990,Barbados,Caribbean,12838342
1991,Barbados,Caribbean,12840854
1992,Barbados,Caribbean,12821693
1993,Barbados,Caribbean,12853404
1994,Barbados,Caribbean,12878434
1995,Barbados,Caribbean,12896443
1996,Barbados,Caribbean,12934835
1997,Barbados,Caribbean,12968059
1998,Barbados,Caribbean,13040009
1999,Barbados,Caribbean,13068008
2000,Barbados,Caribbean,13089480
2001,Barbados,Caribbean,13088500
2002,Barbados,Caribbean,13098617
2003,Barbados,Caribbean,13118165
2004,Barbados,Caribbean,13160513
2005,Barbados,Caribbean,13222444
2006,Barbados,Caribbean,13281848
2007,Barbados,Caribbean,13343439
2008,Barbados,Caribbean,13357505
2009,Barbados,Caribbean,13316091
2010,Barbados,Caribbean,13324685
2011,Barbados,Caribbean,13341320
2012,Barbados,Caribbean,13335177
2013,Barbados,Caribbean,13343824
2014,Barbados,Caribbean,13346317
2015,Barbados,Caribbean,13348673
2016,Barbados,Caribbean,13363115
2017,Barbados,Caribbean,13381202
2018,Barbados,Caribbean,13394124
2019,Barbados,Caribbean,13408386
1990,Belize,Central America,0
1991,Belize,Central America,0
1992,Belize,Central America,0
1993,Belize,Central America,0
1994,Belize,Central America,0
1995,Belize,Central America,0
1996,Belize,Central America,0
1997,Belize,Central America,0
1998,Belize,Central America,0
1999,Belize,Central America,0
2000,Belize,Central America,0
2001,Belize,Central America,0
2002,Belize,Central America,0
2003,Belize,Central America,0
2004,Belize,Central America,0
2005,Belize,Central America,0
2006,Belize,Central America,0
2007,Belize,Central America,0
2008,Belize,Central America,0
2009,Belize,Central America,0
2010,Belize,Central America,0
2011,Belize,Central America,0
2012,Belize,Central America,0
2013,Belize,Central America,0
2014,Belize,Central America,0
2015,Belize,Central America,0
2016,Belize,Central America,0
2017,Belize,Central America,0
2018,Belize,Central America,0
2019,Belize,Central America,0
1990,Bolivia,South America,448410
1991,Bolivia,South America,450284
1992,Bolivia,South America,451385
1993,Bolivia,South America,451705
1994,Bolivia,South America,452552
1995,Bolivia,South America,454879
1996,Bolivia,South America,456822
1997,Bolivia,South America,458210
1998,Bolivia,South America,459611
1999,Bolivia,South America,459102
2000,Bolivia,South America,459374
2001,Bolivia,South America,458750
2002,Bolivia,South America,458159
2003,Bolivia,South America,458604
2004,Bolivia,South America,460253
2005,Bolivia,South America,461956
2006,Bolivia,South America,465609
2007,Bolivia,South America,468343
2008,Bolivia,South America,473162
2009,Bolivia,South America,473949
2010,Bolivia,South America,476463
2011,Bolivia,South America,480452
2012,Bolivia,South America,482914
2013,Bolivia,South America,485406
2014,Bolivia,South America,486883
2015,Bolivia,South America,486885
2016,Bolivia,South America,487450
2017,Bolivia,South America,489459
2018,Bolivia,South America,490896
2019,Bolivia,South America,491197
1990,Brazil,South America,20531896
1991,Brazil,South America,20735409
1992,Brazil,South America,20422963
1993,Brazil,South America,20490845
1994,Brazil,South America,20676451
1995,Brazil,South America,20921781
1996,Brazil,South America,20998416
