Year,Nation,Region,factor_waso_waste_per_capita_scalar_food
2019,Argentina,South America,0.416703543
2019,Bahamas,Caribbean,0.682456222
2019,Barbados,Caribbean,0.282165923
2019,Belize,Central America,0.206910307
2019,Bolivia,South America,0.379239902
2019,Brazil,South America,0.62300364
2019,Chile,South America,0.387238032
2019,Colombia,South America,0.261818522
2019,Costa Rica,Central America,0.30687903
2019,Dominican Republic,Caribbean,0.385995243
2019,Ecuador,South America,0.328115114
2019,El Salvador,Central America,0.169620244
2019,Guatemala,Central America,0.24010456
2019,Guyana,South America,0.23725
2019,Haiti,Caribbean,0.21294195
2019,Honduras,Central America,0.365
2019,Jamaica,Caribbean,0.421793617
2019,Mexico,Central America,0.26645
2019,Nicaragua,Central America,0.370917072
2019,Panama,Central America,0.269803236
2019,Paraguay,South America,0.27390703
2019,Peru,South America,0.267493305
2019,Suriname,South America,0.149438036
2019,Trinidad and Tobago,Caribbean,0.548056622
2019,Uruguay,South America,0.367221452
2019,Venezuela,South America,0.327135683
