"iso_code3","frac_waso_non_recycled_landfilled","Year"
"BLR",0.769,2016
"BLR",0.769,2017
"BLR",0.769,2018
"BLR",0.769,2019
"BLR",0.769,2020
"BLZ",0,2010
"BLZ",0,2011
"BLZ",0,2012
"BLZ",0,2013
"BLZ",0,2014
"BLZ",0,2015
"BLZ",0,2016
"BLZ",0,2017
"BLZ",0,2018
"BLZ",0,2019
"BLZ",0,2020
"BMU",0.122,2010
"BMU",0.122,2011
"BMU",0.122,2012
"BMU",0.122,2013
"BMU",0.122,2014
"BMU",0.122,2015
"BMU",0.122,2016
"BMU",0.122,2017
"BMU",0.122,2018
"BMU",0.122,2019
"BMU",0.122,2020
"BOL",4e-04,2010
"BOL",4e-04,2011
"BOL",4e-04,2012
"BOL",4e-04,2013
"BOL",4e-04,2014
"BOL",4e-04,2015
"BOL",4e-04,2016
"BOL",4e-04,2017
"BOL",4e-04,2018
"BOL",4e-04,2019
"BOL",4e-04,2020
"BRA",0.2188521,2010
"BRA",0.2188521,2011
"BRA",0.2188521,2012
"BRA",0.2188521,2013
"BRA",0.2188521,2014
"BRA",0.2188521,2015
"BRA",0.2188521,2016
"BRA",0.2188521,2017
"BRA",0.2188521,2018
"BRA",0.2188521,2019
"BRA",0.2188521,2020
"BRB",0.9,2010
"BRB",0.9,2011
"BRB",0.9,2012
"BRB",0.9,2013
"BRB",0.9,2014
"BRB",0.9,2015
"BRB",0.9,2016
"BRB",0.9,2017
"BRB",0.9,2018
"BRB",0.9,2019
"BRB",0.9,2020
"BRN",0,2010
"BRN",0,2011
"BRN",0,2012
"BRN",0,2013
"BRN",0,2014
"BRN",0,2015
"BRN",0,2016
"BRN",0,2017
"BRN",0,2018
"BRN",0,2019
"BRN",0,2020
"BTN",0.98,2010
"BTN",0.98,2011
"BTN",0.98,2012
"BTN",0.98,2013
"BTN",0.98,2014
"BTN",0.98,2015
"BTN",0.98,2016
"BTN",0.98,2017
"BTN",0.98,2018
"BTN",0.98,2019
"BTN",0.98,2020
"BWA",0,2010
"BWA",0,2011
"BWA",0,2012
"BWA",0,2013
"BWA",0,2014
"BWA",0,2015
"BWA",0,2016
"BWA",0,2017
"BWA",0,2018
"BWA",0,2019
"BWA",0,2020
"CAF",0,2010
"CAF",0,2011
"CAF",0,2012
"CAF",0,2013
"CAF",0,2014
"CAF",0,2015
