Year,iso_code3,qty_soil_organic_c_stock_temperate_crop_grass_tonne_per_ha
2021,ABW,35.520325203252035
2022,ABW,35.520325203252035
2023,ABW,35.520325203252035
2024,ABW,35.520325203252035
2025,ABW,35.520325203252035
2026,ABW,35.520325203252035
2027,ABW,35.520325203252035
2028,ABW,35.520325203252035
2029,ABW,35.520325203252035
2030,ABW,35.520325203252035
2031,ABW,35.520325203252035
2032,ABW,35.520325203252035
2033,ABW,35.520325203252035
2034,ABW,35.520325203252035
2035,ABW,35.520325203252035
2036,ABW,35.520325203252035
2037,ABW,35.520325203252035
2038,ABW,35.520325203252035
2039,ABW,35.520325203252035
2040,ABW,35.520325203252035
2041,ABW,35.520325203252035
2042,ABW,35.520325203252035
2043,ABW,35.520325203252035
2044,ABW,35.520325203252035
2045,ABW,35.520325203252035
2046,ABW,35.520325203252035
2047,ABW,35.520325203252035
2048,ABW,35.520325203252035
2049,ABW,35.520325203252035
2050,ABW,35.520325203252035
2021,AFG,33.06377765244093
2022,AFG,33.06377765244093
2023,AFG,33.06377765244093
2024,AFG,33.06377765244093
2025,AFG,33.06377765244093
2026,AFG,33.06377765244093
2027,AFG,33.06377765244093
2028,AFG,33.06377765244093
2029,AFG,33.06377765244093
2030,AFG,33.06377765244093
2031,AFG,33.06377765244093
2032,AFG,33.06377765244093
2033,AFG,33.06377765244093
2034,AFG,33.06377765244093
2035,AFG,33.06377765244093
2036,AFG,33.06377765244093
2037,AFG,33.06377765244093
2038,AFG,33.06377765244093
2039,AFG,33.06377765244093
2040,AFG,33.06377765244093
2041,AFG,33.06377765244093
2042,AFG,33.06377765244093
2043,AFG,33.06377765244093
2044,AFG,33.06377765244093
2045,AFG,33.06377765244093
2046,AFG,33.06377765244093
2047,AFG,33.06377765244093
2048,AFG,33.06377765244093
2049,AFG,33.06377765244093
2050,AFG,33.06377765244093
2021,AGO,29.934128733503496
2022,AGO,29.934128733503496
2023,AGO,29.934128733503496
2024,AGO,29.934128733503496
2025,AGO,29.934128733503496
2026,AGO,29.934128733503496
2027,AGO,29.934128733503496
2028,AGO,29.934128733503496
2029,AGO,29.934128733503496
2030,AGO,29.934128733503496
2031,AGO,29.934128733503496
2032,AGO,29.934128733503496
2033,AGO,29.934128733503496
2034,AGO,29.934128733503496
2035,AGO,29.934128733503496
2036,AGO,29.934128733503496
2037,AGO,29.934128733503496
2038,AGO,29.934128733503496
2039,AGO,29.934128733503496
2040,AGO,29.934128733503496
2041,AGO,29.934128733503496
2042,AGO,29.934128733503496
2043,AGO,29.934128733503496
2044,AGO,29.934128733503496
2045,AGO,29.934128733503496
2046,AGO,29.934128733503496
2047,AGO,29.934128733503496
2048,AGO,29.934128733503496
2049,AGO,29.934128733503496
2050,AGO,29.934128733503496
2021,ALB,62.95695096887845
2022,ALB,62.95695096887845
2023,ALB,62.95695096887845
2024,ALB,62.95695096887845
2025,ALB,62.95695096887845
2026,ALB,62.95695096887845
2027,ALB,62.95695096887845
2028,ALB,62.95695096887845
2029,ALB,62.95695096887845
2030,ALB,62.95695096887845
2031,ALB,62.95695096887845
2032,ALB,62.95695096887845
2033,ALB,62.95695096887845
2034,ALB,62.95695096887845
2035,ALB,62.95695096887845
2036,ALB,62.95695096887845
2037,ALB,62.95695096887845
2038,ALB,62.95695096887845
2039,ALB,62.95695096887845
2040,ALB,62.95695096887845
2041,ALB,62.95695096887845
2042,ALB,62.95695096887845
2043,ALB,62.95695096887845
2044,ALB,62.95695096887845
2045,ALB,62.95695096887845
2046,ALB,62.95695096887845
2047,ALB,62.95695096887845
2048,ALB,62.95695096887845
2049,ALB,62.95695096887845
2050,ALB,62.95695096887845
2021,AND,72.95132743362832
2022,AND,72.95132743362832
2023,AND,72.95132743362832
2024,AND,72.95132743362832
2025,AND,72.95132743362832
