,SUBJECT,LOCATION,TIME,Value,INDICATOR,MEASURE,FREQUENCY
19,COAST,CHL,2011,29728.9319706452,FREIGHTTRANSP,MLN_TONNEKM,A
28,COAST,CHL,2013,34608.1935824816,FREIGHTTRANSP,MLN_TONNEKM,A
160,COAST,CHL,2015,39476.3673281731,FREIGHTTRANSP,MLN_TONNEKM,A
215,COAST,CHL,2019,12442.0,FREIGHTTRANSP,MLN_TONNEKM,A
331,COAST,CHL,2017,10005.0,FREIGHTTRANSP,MLN_TONNEKM,A
334,COAST,CHL,2018,13658.0,FREIGHTTRANSP,MLN_TONNEKM,A
431,COAST,CHL,2012,32176.2968949872,FREIGHTTRANSP,MLN_TONNEKM,A
463,COAST,CHL,2020,9009.8772842607,FREIGHTTRANSP,MLN_TONNEKM,A
693,COAST,CHL,2016,40189.509849541,FREIGHTTRANSP,MLN_TONNEKM,A
714,COAST,CHL,2021,61629.203849724,FREIGHTTRANSP,MLN_TONNEKM,A
1050,COAST,CHL,2014,37061.8477925876,FREIGHTTRANSP,MLN_TONNEKM,A
1812,INLAND,CHL,2021,230355.774869157,FREIGHTTRANSP,MLN_TONNEKM,A
2031,INLAND,CHL,2017,208631.021617516,FREIGHTTRANSP,MLN_TONNEKM,A
2146,INLAND,CHL,2016,205580.623305244,FREIGHTTRANSP,MLN_TONNEKM,A
2371,INLAND,CHL,2011,151499.788867935,FREIGHTTRANSP,MLN_TONNEKM,A
2380,INLAND,CHL,2013,177143.81121268,FREIGHTTRANSP,MLN_TONNEKM,A
2381,INLAND,CHL,2014,189836.630338759,FREIGHTTRANSP,MLN_TONNEKM,A
2404,INLAND,CHL,2019,214981.386557707,FREIGHTTRANSP,MLN_TONNEKM,A
2738,INLAND,CHL,2012,164337.556347826,FREIGHTTRANSP,MLN_TONNEKM,A
2766,INLAND,CHL,2018,211687.907546652,FREIGHTTRANSP,MLN_TONNEKM,A
3445,INLAND,CHL,2020,218669.319362673,FREIGHTTRANSP,MLN_TONNEKM,A
3472,INLAND,CHL,2015,202370.313684071,FREIGHTTRANSP,MLN_TONNEKM,A
3711,RAIL,CHL,2013,3981.463012,FREIGHTTRANSP,MLN_TONNEKM,A
3719,RAIL,CHL,2015,4085.724617,FREIGHTTRANSP,MLN_TONNEKM,A
3729,RAIL,CHL,2017,3760.2204401392,FREIGHTTRANSP,MLN_TONNEKM,A
3734,RAIL,CHL,2018,3816.070253512,FREIGHTTRANSP,MLN_TONNEKM,A
3744,RAIL,CHL,2021,94498.1125695769,FREIGHTTRANSP,MLN_TONNEKM,A
4074,RAIL,CHL,2012,4089.738747,FREIGHTTRANSP,MLN_TONNEKM,A
4106,RAIL,CHL,2020,3585.4572606123,FREIGHTTRANSP,MLN_TONNEKM,A
4464,RAIL,CHL,2019,3079.8397523271,FREIGHTTRANSP,MLN_TONNEKM,A
4798,RAIL,CHL,2011,4118.699224,FREIGHTTRANSP,MLN_TONNEKM,A
4810,RAIL,CHL,2014,4103.932874,FREIGHTTRANSP,MLN_TONNEKM,A
4819,RAIL,CHL,2016,4076.755917,FREIGHTTRANSP,MLN_TONNEKM,A
5659,ROAD,CHL,2014,41859.7027500934,FREIGHTTRANSP,MLN_TONNEKM,A
6023,ROAD,CHL,2013,38317.2970041324,FREIGHTTRANSP,MLN_TONNEKM,A
6049,ROAD,CHL,2020,53145.2224998849,FREIGHTTRANSP,MLN_TONNEKM,A
6741,ROAD,CHL,2011,31295.6723913011,FREIGHTTRANSP,MLN_TONNEKM,A
6748,ROAD,CHL,2012,34802.63155069,FREIGHTTRANSP,MLN_TONNEKM,A
6760,ROAD,CHL,2015,45441.0245656843,FREIGHTTRANSP,MLN_TONNEKM,A
6761,ROAD,CHL,2016,46993.9671202979,FREIGHTTRANSP,MLN_TONNEKM,A
6765,ROAD,CHL,2017,48586.0153970927,FREIGHTTRANSP,MLN_TONNEKM,A
6770,ROAD,CHL,2018,50176.4771510554,FREIGHTTRANSP,MLN_TONNEKM,A
6775,ROAD,CHL,2019,51709.0809374036,FREIGHTTRANSP,MLN_TONNEKM,A
6783,ROAD,CHL,2021,54471.0699323318,FREIGHTTRANSP,MLN_TONNEKM,A
