Year,iso_code3,fuelefficiency_trns_road_heavy_regional_diesel_km_per_litre
2015.0,ABW,2.750132522500469
2016.0,ABW,2.7495008628924302
2017.0,ABW,2.748871981808376
2018.0,ABW,2.748345906111714
2019.0,ABW,2.748022662665855
2020.0,ABW,2.7480022783342064
2021.0,ABW,2.748384779980179
2022.0,ABW,2.7492701944671807
2023.0,ABW,2.750758548658622
2024.0,ABW,2.75294986941791
2025.0,ABW,2.7559441836084573
2026.0,ABW,2.7598415180936704
2027.0,ABW,2.7647418997369595
2028.0,ABW,2.7707453554017345
2029.0,ABW,2.7779519119514036
2030.0,ABW,2.786461596249374
2031.0,ABW,2.7963744351590596
2032.0,ABW,2.8077904555438673
2033.0,ABW,2.820809684267206
2034.0,ABW,2.8355321481924856
2035.0,ABW,2.852057874183115
2036.0,ABW,2.870479167764439
2037.0,ABW,2.890764815564028
2038.0,ABW,2.912784262329378
2039.0,ABW,2.9364041389092757
2040.0,ABW,2.9614910761525084
2041.0,ABW,2.987911704907865
2042.0,ABW,3.0155326560241256
2043.0,ABW,3.0442205603500914
2044.0,ABW,3.073842048734543
2045.0,ABW,3.1042637520262684
2046.0,ABW,3.1353523010740556
2047.0,ABW,3.166974326726685
2048.0,ABW,3.198996459832958
2049.0,ABW,3.231285331241656
2050.0,ABW,3.263707571801566
2015.0,AFE,
2016.0,AFE,
2017.0,AFE,
2018.0,AFE,
2019.0,AFE,
2020.0,AFE,
2021.0,AFE,
2022.0,AFE,
2023.0,AFE,
2024.0,AFE,
2025.0,AFE,
2026.0,AFE,
2027.0,AFE,
2028.0,AFE,
2029.0,AFE,
2030.0,AFE,
2031.0,AFE,
2032.0,AFE,
2033.0,AFE,
2034.0,AFE,
2035.0,AFE,
2036.0,AFE,
2037.0,AFE,
2038.0,AFE,
2039.0,AFE,
2040.0,AFE,
2041.0,AFE,
2042.0,AFE,
2043.0,AFE,
2044.0,AFE,
2045.0,AFE,
2046.0,AFE,
2047.0,AFE,
2048.0,AFE,
2049.0,AFE,
2050.0,AFE,
2015.0,AFG,2.750132522500469
2016.0,AFG,2.7495008628924302
2017.0,AFG,2.748871981808376
2018.0,AFG,2.748345906111714
2019.0,AFG,2.748022662665855
2020.0,AFG,2.7480022783342064
2021.0,AFG,2.748384779980179
2022.0,AFG,2.7492701944671807
2023.0,AFG,2.750758548658622
2024.0,AFG,2.75294986941791
2025.0,AFG,2.7559441836084573
2026.0,AFG,2.7598415180936704
2027.0,AFG,2.7647418997369595
2028.0,AFG,2.7707453554017345
2029.0,AFG,2.7779519119514036
2030.0,AFG,2.786461596249374
2031.0,AFG,2.7963744351590596
2032.0,AFG,2.8077904555438673
2033.0,AFG,2.820809684267206
2034.0,AFG,2.8355321481924856
2035.0,AFG,2.852057874183115
2036.0,AFG,2.870479167764439
2037.0,AFG,2.890764815564028
2038.0,AFG,2.912784262329378
2039.0,AFG,2.9364041389092757
2040.0,AFG,2.9614910761525084
2041.0,AFG,2.987911704907865
2042.0,AFG,3.0155326560241256
2043.0,AFG,3.0442205603500914
2044.0,AFG,3.073842048734543
2045.0,AFG,3.1042637520262684
2046.0,AFG,3.1353523010740556
2047.0,AFG,3.166974326726685
2048.0,AFG,3.198996459832958
2049.0,AFG,3.231285331241656
2050.0,AFG,3.263707571801566
2051.0,AFG,
2052.0,AFG,
2053.0,AFG,
2054.0,AFG,
2055.0,AFG,
2015.0,AFW,
2016.0,AFW,
2017.0,AFW,
2018.0,AFW,
2019.0,AFW,
2020.0,AFW,
2021.0,AFW,
2022.0,AFW,
2023.0,AFW,
2024.0,AFW,
2025.0,AFW,
2026.0,AFW,
2027.0,AFW,
2028.0,AFW,
2029.0,AFW,
2030.0,AFW,
2031.0,AFW,
2032.0,AFW,
2033.0,AFW,
2034.0,AFW,
2035.0,AFW,
2036.0,AFW,
2037.0,AFW,
2038.0,AFW,
2039.0,AFW,
2040.0,AFW,
2041.0,AFW,
2042.0,AFW,
2043.0,AFW,
2044.0,AFW,
2045.0,AFW,
2046.0,AFW,
2047.0,AFW,
2048.0,AFW,
2049.0,AFW,
2050.0,AFW,
2015.0,AGO,2.750132522500469
2016.0,AGO,2.7495008628924302
2017.0,AGO,2.748871981808376
2018.0,AGO,2.748345906111714
2019.0,AGO,2.748022662665855
2020.0,AGO,2.7480022783342064
