Year,iso_code3,cost_enfu_fuel_biogas_usd_per_mmbtu
2015,ABW,22000.0
2016,ABW,22000.0
2017,ABW,22000.0
2018,ABW,22000.0
2019,ABW,22000.0
2020,ABW,22000.0
2015,AFG,22000.0
2016,AFG,22000.0
2017,AFG,22000.0
2018,AFG,22000.0
2019,AFG,22000.0
2020,AFG,22000.0
2015,AGO,22000.0
2016,AGO,22000.0
2017,AGO,22000.0
2018,AGO,22000.0
2019,AGO,22000.0
2020,AGO,22000.0
2015,ALB,22000.0
2016,ALB,22000.0
2017,ALB,22000.0
2018,ALB,22000.0
2019,ALB,22000.0
2020,ALB,22000.0
2015,AND,22000.0
2016,AND,22000.0
2017,AND,22000.0
2018,AND,22000.0
2019,AND,22000.0
2020,AND,22000.0
2015,ARE,22000.0
2016,ARE,22000.0
2017,ARE,22000.0
2018,ARE,22000.0
2019,ARE,22000.0
2020,ARE,22000.0
2015,ARG,22000.0
2016,ARG,22000.0
2017,ARG,22000.0
2018,ARG,22000.0
2019,ARG,22000.0
2020,ARG,22000.0
2015,ARM,22000.0
2016,ARM,22000.0
2017,ARM,22000.0
2018,ARM,22000.0
2019,ARM,22000.0
2020,ARM,22000.0
2015,ASM,22000.0
2016,ASM,22000.0
2017,ASM,22000.0
2018,ASM,22000.0
2019,ASM,22000.0
2020,ASM,22000.0
2015,ATG,22000.0
2016,ATG,22000.0
2017,ATG,22000.0
2018,ATG,22000.0
2019,ATG,22000.0
2020,ATG,22000.0
2015,AUS,22000.0
2016,AUS,22000.0
2017,AUS,22000.0
2018,AUS,22000.0
2019,AUS,22000.0
2020,AUS,22000.0
2015,AUT,22000.0
2016,AUT,22000.0
2017,AUT,22000.0
2018,AUT,22000.0
2019,AUT,22000.0
2020,AUT,22000.0
2015,AZE,22000.0
2016,AZE,22000.0
2017,AZE,22000.0
2018,AZE,22000.0
2019,AZE,22000.0
2020,AZE,22000.0
2015,BDI,22000.0
2016,BDI,22000.0
2017,BDI,22000.0
2018,BDI,22000.0
2019,BDI,22000.0
2020,BDI,22000.0
2015,BEL,22000.0
2016,BEL,22000.0
2017,BEL,22000.0
2018,BEL,22000.0
2019,BEL,22000.0
2020,BEL,22000.0
2015,BEN,22000.0
2016,BEN,22000.0
2017,BEN,22000.0
