,Nation,Year,Oil and oil products (PJ),Gas (PJ),Coal and coal products (PJ),Biofuels and waste (PJ),Heat (PJ),Electricity (PJ),Other sources (PJ),Total final energy use (PJ),Pseudo Total (PJ),frac_scoe_heat_energy_other_se_coal,frac_scoe_heat_energy_other_se_diesel,frac_scoe_heat_energy_other_se_electricity,frac_scoe_heat_energy_other_se_gasoline,frac_scoe_heat_energy_other_se_hydrocarbon_gas_liquids,frac_scoe_heat_energy_other_se_hydrogen,frac_scoe_heat_energy_other_se_kerosene,frac_scoe_heat_energy_other_se_natural_gas,frac_scoe_heat_energy_other_se_solid_biomass,gdp_mmm_usd,gdp_class
0,Albania,2011,3.04,0.0,0.0,6.45,0.0,10.57,0.22,20.27,10.767000000000001,0.0,0.22587535989597846,0.09817033528373735,0.028234419986997307,0.020432803937958575,0.0,0.028234419986997307,0.0,0.599052660908331,21.159910106,2
1,Albania,2012,3.17,0.0,0.0,6.73,0.0,11.04,0.23,21.17,11.234000000000002,0.0,0.22574327933060348,0.09827309951931633,0.028217909916325435,0.02047356239985757,0.0,0.028217909916325435,0.0,0.5990742389175716,21.865577182,2
2,Albania,2013,3.08,0.0,0.0,6.2,0.0,14.64,0.21,24.13,10.954,0.0,0.22494066094577325,0.13364980828920944,0.028117582618221656,0.019171079057878397,0.0,0.028117582618221656,0.0,0.5660032864706956,22.571244258,2
3,Albania,2014,3.58,0.0,0.0,6.7,0.0,12.6,0.23,23.1,11.77,0.0,0.24333050127442654,0.10705182667799491,0.030416312659303318,0.01954120645709431,0.0,0.030416312659303318,0.0,0.5692438402718777,23.276911334,2
4,Albania,2015,3.4,0.0,0.0,6.75,0.0,11.67,0.25,22.07,11.567,0.0,0.23515172473415752,0.10089046425175068,0.02939396559176969,0.0216132099939483,0.0,0.02939396559176969,0.0,0.5835566698366041,23.98257841,2
5,Albania,2016,3.84,0.0,0.0,6.28,0.0,10.77,0.27,21.16,11.467000000000002,0.0,0.26789918897706455,0.09392168832301384,0.03348739862213307,0.02354582715618732,0.0,0.03348739862213307,0.0,0.547658498299468,24.52576748,2
6,Albania,2017,4.29,0.0,0.0,5.44,0.0,10.56,0.31,20.61,11.096,0.0,0.3093006488824802,0.09516943042537852,0.038662581110310026,0.027937995674116797,0.0,0.038662581110310026,0.0,0.4902667627974045,25.06895655,2
7,Albania,2018,4.38,0.0,0.0,5.23,0.0,11.33,0.32,21.26,11.063,0.0,0.31673144716622975,0.10241345023953718,0.03959143089577872,0.028925246316550662,0.0,0.03959143089577872,0.0,0.47274699448612495,25.61214562,2
8,Albania,2019,4.38,0.0,0.0,4.98,0.0,11.23,0.33,20.92,10.812999999999999,0.0,0.3240543789882549,0.10385646906501435,0.04050679737353186,0.030518819938962365,0.0,0.04050679737353186,0.0,0.4605567372607048,26.15533469,2
9,Argentina,2011,54.97,362.47,0.0,11.39,0.0,130.04,0.0,558.87,441.834,0.0,0.09953059293761911,0.029431868077151147,0.012441324117202389,0.0,0.0,0.012441324117202389,0.8203759783085955,0.025778912442229435,579.43003814,2
10,Argentina,2012,58.55,381.16,0.0,9.9,0.0,135.17,0.0,584.78,463.127,0.0,0.10113856458379668,0.029186378682305284,0.012642320572974585,0.0,0.0,0.012642320572974585,0.8230139896831755,0.02137642590477342,599.33317778,2
11,Argentina,2013,59.62,399.74,0.0,11.46,0.0,144.24,0.0,615.06,485.24399999999997,0.0,0.09829281763401505,0.029725251625986108,0.012286602204251882,0.0,0.0,0.012286602204251882,0.8237917418865561,0.023616984444939045,619.23631742,2
12,Argentina,2014,56.93,386.04,0.0,11.68,0.0,157.85,0.0,612.5,470.435,0.0,0.09681252457831582,0.03355405103786921,0.012101565572289478,0.0,0.0,0.012101565572289478,0.8206022085941735,0.02482808464506255,639.13945706,2
