Year,iso_code3,cost_enfu_fuel_biomass_usd_per_tonne
2015,ABW,209.78
2016,ABW,209.78
2017,ABW,209.78
2018,ABW,209.78
2019,ABW,209.78
2020,ABW,209.78
2015,AFG,209.78
2016,AFG,209.78
2017,AFG,209.78
2018,AFG,209.78
2019,AFG,209.78
2020,AFG,209.78
2015,AGO,209.78
2016,AGO,209.78
2017,AGO,209.78
2018,AGO,209.78
2019,AGO,209.78
2020,AGO,209.78
2015,ALB,209.78
2016,ALB,209.78
2017,ALB,209.78
2018,ALB,209.78
2019,ALB,209.78
2020,ALB,209.78
2015,AND,209.78
2016,AND,209.78
2017,AND,209.78
2018,AND,209.78
2019,AND,209.78
2020,AND,209.78
2015,ARE,209.78
2016,ARE,209.78
2017,ARE,209.78
2018,ARE,209.78
2019,ARE,209.78
2020,ARE,209.78
2015,ARG,209.78
2016,ARG,209.78
2017,ARG,209.78
2018,ARG,209.78
2019,ARG,209.78
2020,ARG,209.78
2015,ARM,209.78
2016,ARM,209.78
2017,ARM,209.78
2018,ARM,209.78
2019,ARM,209.78
2020,ARM,209.78
2015,ASM,209.78
2016,ASM,209.78
2017,ASM,209.78
2018,ASM,209.78
2019,ASM,209.78
2020,ASM,209.78
2015,ATG,209.78
2016,ATG,209.78
2017,ATG,209.78
2018,ATG,209.78
2019,ATG,209.78
2020,ATG,209.78
2015,AUS,209.78
2016,AUS,209.78
2017,AUS,209.78
2018,AUS,209.78
2019,AUS,209.78
2020,AUS,209.78
2015,AUT,209.78
2016,AUT,209.78
2017,AUT,209.78
2018,AUT,209.78
2019,AUT,209.78
2020,AUT,209.78
2015,AZE,209.78
2016,AZE,209.78
2017,AZE,209.78
2018,AZE,209.78
2019,AZE,209.78
2020,AZE,209.78
2015,BDI,209.78
2016,BDI,209.78
2017,BDI,209.78
2018,BDI,209.78
2019,BDI,209.78
2020,BDI,209.78
2015,BEL,209.78
2016,BEL,209.78
2017,BEL,209.78
2018,BEL,209.78
2019,BEL,209.78
2020,BEL,209.78
2015,BEN,209.78
2016,BEN,209.78
2017,BEN,209.78
2018,BEN,209.78
2019,BEN,209.78
2020,BEN,209.78
2015,BFA,209.78
2016,BFA,209.78
2017,BFA,209.78
2018,BFA,209.78
2019,BFA,209.78
2020,BFA,209.78
2015,BGD,209.78
2016,BGD,209.78
2017,BGD,209.78
2018,BGD,209.78
2019,BGD,209.78
2020,BGD,209.78
2015,BGR,209.78
2016,BGR,209.78
2017,BGR,209.78
2018,BGR,209.78
2019,BGR,209.78
2020,BGR,209.78
2015,BHR,209.78
2016,BHR,209.78
2017,BHR,209.78
2018,BHR,209.78
2019,BHR,209.78
2020,BHR,209.78
2015,BHS,209.78
2016,BHS,209.78
2017,BHS,209.78
2018,BHS,209.78
2019,BHS,209.78
2020,BHS,209.78
2015,BIH,209.78
2016,BIH,209.78
2017,BIH,209.78
2018,BIH,209.78
2019,BIH,209.78
2020,BIH,209.78
2015,BLR,209.78
2016,BLR,209.78
2017,BLR,209.78
2018,BLR,209.78
2019,BLR,209.78
2020,BLR,209.78
2015,BLZ,209.78
2016,BLZ,209.78
2017,BLZ,209.78
2018,BLZ,209.78
2019,BLZ,209.78
2020,BLZ,209.78
2015,BMU,209.78
2016,BMU,209.78
2017,BMU,209.78
2018,BMU,209.78
2019,BMU,209.78
2020,BMU,209.78
2015,BOL,209.78
2016,BOL,209.78
2017,BOL,209.78
2018,BOL,209.78
2019,BOL,209.78
2020,BOL,209.78
2015,BRA,209.78
2016,BRA,209.78
2017,BRA,209.78
2018,BRA,209.78
2019,BRA,209.78
2020,BRA,209.78
2015,BRB,209.78
2016,BRB,209.78
2017,BRB,209.78
2018,BRB,209.78
2019,BRB,209.78
2020,BRB,209.78
2015,BRN,209.78
2016,BRN,209.78
2017,BRN,209.78
2018,BRN,209.78
2019,BRN,209.78
2020,BRN,209.78
2015,BTN,209.78
2016,BTN,209.78
2017,BTN,209.78
2018,BTN,209.78
2019,BTN,209.78
2020,BTN,209.78
2015,BWA,209.78
2016,BWA,209.78
2017,BWA,209.78
2018,BWA,209.78
2019,BWA,209.78
2020,BWA,209.78
2015,CAF,209.78
2016,CAF,209.78
2017,CAF,209.78
2018,CAF,209.78
2019,CAF,209.78
2020,CAF,209.78
2015,CAN,209.78
2016,CAN,209.78
2017,CAN,209.78
2018,CAN,209.78
2019,CAN,209.78
2020,CAN,209.78
2015,CHE,209.78
2016,CHE,209.78
2017,CHE,209.78
2018,CHE,209.78
2019,CHE,209.78
2020,CHE,209.78
2015,CHL,209.78
2016,CHL,209.78
2017,CHL,209.78
2018,CHL,209.78
2019,CHL,209.78
2020,CHL,209.78
2015,CHN,209.78
2016,CHN,209.78
2017,CHN,209.78
2018,CHN,209.78
2019,CHN,209.78
2020,CHN,209.78
2015,CIV,209.78
2016,CIV,209.78
2017,CIV,209.78
2018,CIV,209.78
2019,CIV,209.78
2020,CIV,209.78
2015,CMR,209.78
2016,CMR,209.78
2017,CMR,209.78
2018,CMR,209.78
2019,CMR,209.78
2020,CMR,209.78
2015,COD,209.78
2016,COD,209.78
2017,COD,209.78
2018,COD,209.78
2019,COD,209.78
2020,COD,209.78
2015,COG,209.78
2016,COG,209.78
2017,COG,209.78
2018,COG,209.78
2019,COG,209.78
2020,COG,209.78
2015,COL,209.78
2016,COL,209.78
2017,COL,209.78
2018,COL,209.78
2019,COL,209.78
2020,COL,209.78
2015,COM,209.78
2016,COM,209.78
2017,COM,209.78
2018,COM,209.78
2019,COM,209.78
2020,COM,209.78
2015,CPV,209.78
2016,CPV,209.78
2017,CPV,209.78
2018,CPV,209.78
2019,CPV,209.78
2020,CPV,209.78
2015,CRI,209.78
2016,CRI,209.78
2017,CRI,209.78
2018,CRI,209.78
2019,CRI,209.78
2020,CRI,209.78
2015,CUB,209.78
2016,CUB,209.78
2017,CUB,209.78
2018,CUB,209.78
2019,CUB,209.78
2020,CUB,209.78
2015,CUW,209.78
2016,CUW,209.78
2017,CUW,209.78
2018,CUW,209.78
2019,CUW,209.78
2020,CUW,209.78
2015,CYM,209.78
2016,CYM,209.78
2017,CYM,209.78
2018,CYM,209.78
2019,CYM,209.78
2020,CYM,209.78
2015,CYP,209.78
2016,CYP,209.78
2017,CYP,209.78
2018,CYP,209.78
2019,CYP,209.78
2020,CYP,209.78
2015,CZE,209.78
2016,CZE,209.78
2017,CZE,209.78
2018,CZE,209.78
2019,CZE,209.78
2020,CZE,209.78
2015,DEU,209.78
2016,DEU,209.78
2017,DEU,209.78
2018,DEU,209.78
2019,DEU,209.78
2020,DEU,209.78
2015,DJI,209.78
2016,DJI,209.78
2017,DJI,209.78
2018,DJI,209.78
2019,DJI,209.78
2020,DJI,209.78
2015,DMA,209.78
2016,DMA,209.78
2017,DMA,209.78
2018,DMA,209.78
2019,DMA,209.78
2020,DMA,209.78
2015,DNK,209.78
2016,DNK,209.78
2017,DNK,209.78
2018,DNK,209.78
2019,DNK,209.78
2020,DNK,209.78
2015,DOM,209.78
2016,DOM,209.78
2017,DOM,209.78
