Year,iso_code3,ef_frst_sequestration_secondary_kt_co2_ha
2020,AFG,0.005430464534515516
2021,AFG,0.005430464534515516
2022,AFG,0.005430464534515516
2023,AFG,0.005430464534515516
2024,AFG,0.005430464534515516
2025,AFG,0.005430464534515516
2026,AFG,0.005430464534515516
2027,AFG,0.005430464534515516
2028,AFG,0.005430464534515516
2029,AFG,0.005430464534515516
2030,AFG,0.005430464534515516
2031,AFG,0.005430464534515516
2032,AFG,0.005430464534515516
2033,AFG,0.005430464534515516
2034,AFG,0.005430464534515516
2035,AFG,0.005430464534515516
2036,AFG,0.005430464534515516
2037,AFG,0.005430464534515516
2038,AFG,0.005430464534515516
2039,AFG,0.005430464534515516
2040,AFG,0.005430464534515516
2041,AFG,0.005430464534515516
2042,AFG,0.005430464534515516
2043,AFG,0.005430464534515516
2044,AFG,0.005430464534515516
2045,AFG,0.005430464534515516
2046,AFG,0.005430464534515516
2047,AFG,0.005430464534515516
2048,AFG,0.005430464534515516
2049,AFG,0.005430464534515516
2050,AFG,0.005430464534515516
2020,AGO,0.0021539481219000896
2021,AGO,0.0021539481219000896
2022,AGO,0.0021539481219000896
2023,AGO,0.0021539481219000896
2024,AGO,0.0021539481219000896
2025,AGO,0.0021539481219000896
2026,AGO,0.0021539481219000896
2027,AGO,0.0021539481219000896
2028,AGO,0.0021539481219000896
2029,AGO,0.0021539481219000896
2030,AGO,0.0021539481219000896
2031,AGO,0.0021539481219000896
2032,AGO,0.0021539481219000896
2033,AGO,0.0021539481219000896
2034,AGO,0.0021539481219000896
2035,AGO,0.0021539481219000896
2036,AGO,0.0021539481219000896
2037,AGO,0.0021539481219000896
2038,AGO,0.0021539481219000896
2039,AGO,0.0021539481219000896
2040,AGO,0.0021539481219000896
2041,AGO,0.0021539481219000896
2042,AGO,0.0021539481219000896
2043,AGO,0.0021539481219000896
2044,AGO,0.0021539481219000896
2045,AGO,0.0021539481219000896
2046,AGO,0.0021539481219000896
2047,AGO,0.0021539481219000896
2048,AGO,0.0021539481219000896
2049,AGO,0.0021539481219000896
2050,AGO,0.0021539481219000896
2020,ALB,0.005720636314141826
2021,ALB,0.005720636314141826
2022,ALB,0.005720636314141826
2023,ALB,0.005720636314141826
2024,ALB,0.005720636314141826
2025,ALB,0.005720636314141826
2026,ALB,0.005720636314141826
2027,ALB,0.005720636314141826
2028,ALB,0.005720636314141826
2029,ALB,0.005720636314141826
2030,ALB,0.005720636314141826
2031,ALB,0.005720636314141826
2032,ALB,0.005720636314141826
2033,ALB,0.005720636314141826
2034,ALB,0.005720636314141826
2035,ALB,0.005720636314141826
2036,ALB,0.005720636314141826
2037,ALB,0.005720636314141826
2038,ALB,0.005720636314141826
2039,ALB,0.005720636314141826
2040,ALB,0.005720636314141826
2041,ALB,0.005720636314141826
2042,ALB,0.005720636314141826
2043,ALB,0.005720636314141826
2044,ALB,0.005720636314141826
2045,ALB,0.005720636314141826
2046,ALB,0.005720636314141826
2047,ALB,0.005720636314141826
2048,ALB,0.005720636314141826
2049,ALB,0.005720636314141826
2050,ALB,0.005720636314141826
2020,ARG,0.0034878855258422686
2021,ARG,0.0034878855258422686
2022,ARG,0.0034878855258422686
2023,ARG,0.0034878855258422686
2024,ARG,0.0034878855258422686
2025,ARG,0.0034878855258422686
2026,ARG,0.0034878855258422686
2027,ARG,0.0034878855258422686
2028,ARG,0.0034878855258422686
2029,ARG,0.0034878855258422686
2030,ARG,0.0034878855258422686
2031,ARG,0.0034878855258422686
2032,ARG,0.0034878855258422686
2033,ARG,0.0034878855258422686
2034,ARG,0.0034878855258422686
2035,ARG,0.0034878855258422686
2036,ARG,0.0034878855258422686
2037,ARG,0.0034878855258422686
2038,ARG,0.0034878855258422686
2039,ARG,0.0034878855258422686
2040,ARG,0.0034878855258422686
2041,ARG,0.0034878855258422686
2042,ARG,0.0034878855258422686
2043,ARG,0.0034878855258422686
2044,ARG,0.0034878855258422686
2045,ARG,0.0034878855258422686
2046,ARG,0.0034878855258422686
2047,ARG,0.0034878855258422686
2048,ARG,0.0034878855258422686
2049,ARG,0.0034878855258422686
2050,ARG,0.0034878855258422686
2020,AUS,0.004530360680226027
2021,AUS,0.004530360680226027
2022,AUS,0.004530360680226027
2023,AUS,0.004530360680226027
