Year,iso_code3,pij_lndu_forests_primary_to_croplands
2019,AFG,0.0007993265945271
2020,AFG,0.0022557488300388
2021,AFG,0.0022557488300388
2022,AFG,0.0022557488300388
2023,AFG,0.0022557488300388
2024,AFG,0.0022557488300388
2025,AFG,0.0022557488300388
2026,AFG,0.0022557488300388
2027,AFG,0.0022557488300388
2028,AFG,0.0022557488300388
2029,AFG,0.0022557488300388
2030,AFG,0.0022557488300388
2031,AFG,0.0022557488300388
2032,AFG,0.0022557488300388
2033,AFG,0.0022557488300388
2034,AFG,0.0022557488300388
2035,AFG,0.0022557488300388
2036,AFG,0.0022557488300388
2037,AFG,0.0022557488300388
2038,AFG,0.0022557488300388
2039,AFG,0.0022557488300388
2040,AFG,0.0022557488300388
2041,AFG,0.0022557488300388
2042,AFG,0.0022557488300388
2043,AFG,0.0022557488300388
2044,AFG,0.0022557488300388
2045,AFG,0.0022557488300388
2046,AFG,0.0022557488300388
2047,AFG,0.0022557488300388
2048,AFG,0.0022557488300388
2049,AFG,0.0022557488300388
2050,AFG,0.0022557488300388
2019,AGO,0.0019025215291409
2020,AGO,0.0023831945145307
2021,AGO,0.0023831945145307
2022,AGO,0.0023831945145307
2023,AGO,0.0023831945145307
2024,AGO,0.0023831945145307
2025,AGO,0.0023831945145307
2026,AGO,0.0023831945145307
2027,AGO,0.0023831945145307
2028,AGO,0.0023831945145307
2029,AGO,0.0023831945145307
2030,AGO,0.0023831945145307
2031,AGO,0.0023831945145307
2032,AGO,0.0023831945145307
2033,AGO,0.0023831945145307
2034,AGO,0.0023831945145307
2035,AGO,0.0023831945145307
2036,AGO,0.0023831945145307
2037,AGO,0.0023831945145307
2038,AGO,0.0023831945145307
2039,AGO,0.0023831945145307
2040,AGO,0.0023831945145307
2041,AGO,0.0023831945145307
2042,AGO,0.0023831945145307
2043,AGO,0.0023831945145307
2044,AGO,0.0023831945145307
2045,AGO,0.0023831945145307
2046,AGO,0.0023831945145307
2047,AGO,0.0023831945145307
2048,AGO,0.0023831945145307
2049,AGO,0.0023831945145307
2050,AGO,0.0023831945145307
2019,ALB,0.0002195076234529
2020,ALB,0.0001980326678112
2021,ALB,0.0001980326678112
2022,ALB,0.0001980326678112
2023,ALB,0.0001980326678112
2024,ALB,0.0001980326678112
