Item,sisepuede_item
Artificial surfaces (including urban and associated areas),frac_lndu_initial_settlements
Herbaceous crops,frac_lndu_initial_croplands
Woody crops,frac_lndu_initial_croplands
Multiple or layered crops,frac_lndu_initial_croplands
Grassland,frac_lndu_initial_grasslands
Tree-covered areas,frac_lndu_initial_forests
Mangroves,frac_lndu_initial_forests_mangroves
Shrub-covered areas,frac_lndu_initial_grasslands
"Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",frac_lndu_initial_other
Sparsely natural vegetated areas,frac_lndu_initial_other
Terrestrial barren land,frac_lndu_initial_other
Permanent snow and glaciers,frac_lndu_initial_other
Inland water bodies,frac_lndu_initial_wetlands
Coastal water bodies and intertidal areas,
