Year,iso_code3,ef_lndu_conv_forests_mangroves_to_grasslands_gg_co2_ha
2015,AFG,0.128494
2016,AFG,0.128494
2017,AFG,0.128494
2018,AFG,0.128494
2019,AFG,0.128494
2015,AGO,0.087605
2016,AGO,0.087605
2017,AGO,0.087605
2018,AGO,0.087605
2019,AGO,0.087605
2015,ALB,0.175969
2016,ALB,0.175969
2017,ALB,0.175969
2018,ALB,0.175969
2019,ALB,0.175969
2015,ARG,0.13913
2016,ARG,0.13913
2017,ARG,0.13913
2018,ARG,0.13913
2019,ARG,0.13913
2015,AUS,0.116936
2016,AUS,0.116936
2017,AUS,0.116936
2018,AUS,0.116936
2019,AUS,0.116936
2015,AUT,0.177171
2016,AUT,0.177171
2017,AUT,0.177171
2018,AUT,0.177171
2019,AUT,0.177171
2015,AZE,0.256507
2016,AZE,0.256507
2017,AZE,0.256507
2018,AZE,0.256507
2019,AZE,0.256507
2015,BDI,0.0753
2016,BDI,0.0753
2017,BDI,0.0753
2018,BDI,0.0753
2019,BDI,0.0753
2015,BEL,0.169002
2016,BEL,0.169002
2017,BEL,0.169002
2018,BEL,0.169002
2019,BEL,0.169002
2015,BEN,0.079478
2016,BEN,0.079478
2017,BEN,0.079478
2018,BEN,0.079478
2019,BEN,0.079478
2015,BFA,0.089231
2016,BFA,0.089231
2017,BFA,0.089231
2018,BFA,0.089231
2019,BFA,0.089231
2015,BGD,0.219993
2016,BGD,0.219993
2017,BGD,0.219993
2018,BGD,0.219993
2019,BGD,0.219993
2015,BGR,0.192788
2016,BGR,0.192788
2017,BGR,0.192788
2018,BGR,0.192788
2019,BGR,0.192788
2015,BHS,0.123544
2016,BHS,0.123544
2017,BHS,0.123544
2018,BHS,0.123544
2019,BHS,0.123544
2015,BIH,0.186439
2016,BIH,0.186439
2017,BIH,0.186439
2018,BIH,0.186439
2019,BIH,0.186439
2015,BOL,0.14907
2016,BOL,0.14907
2017,BOL,0.14907
2018,BOL,0.14907
2019,BOL,0.14907
2015,BRA,0.197431
2016,BRA,0.197431
2017,BRA,0.197431
2018,BRA,0.197431
2019,BRA,0.197431
2015,BTN,0.277871
2016,BTN,0.277871
2017,BTN,0.277871
2018,BTN,0.277871
2019,BTN,0.277871
2015,CAF,0.080122
2016,CAF,0.080122
2017,CAF,0.080122
2018,CAF,0.080122
2019,CAF,0.080122
2015,CAN,0.142904
2016,CAN,0.142904
2017,CAN,0.142904
2018,CAN,0.142904
2019,CAN,0.142904
2015,CHE,0.159629
2016,CHE,0.159629
2017,CHE,0.159629
2018,CHE,0.159629
2019,CHE,0.159629
2015,CHL,0.214358
2016,CHL,0.214358
2017,CHL,0.214358
2018,CHL,0.214358
2019,CHL,0.214358
2015,CHN,0.21716
2016,CHN,0.21716
2017,CHN,0.21716
2018,CHN,0.21716
2019,CHN,0.21716
2015,CIV,0.083538
2016,CIV,0.083538
2017,CIV,0.083538
2018,CIV,0.083538
2019,CIV,0.083538
2015,CMR,0.117088
2016,CMR,0.117088
2017,CMR,0.117088
2018,CMR,0.117088
2019,CMR,0.117088
2015,COD,0.195993
2016,COD,0.195993
2017,COD,0.195993
2018,COD,0.195993
2019,COD,0.195993
2015,COG,0.165149
2016,COG,0.165149
2017,COG,0.165149
2018,COG,0.165149
2019,COG,0.165149
2015,COL,0.281967
2016,COL,0.281967
2017,COL,0.281967
2018,COL,0.281967
2019,COL,0.281967
2015,CRI,0.273498
2016,CRI,0.273498
2017,CRI,0.273498
2018,CRI,0.273498
2019,CRI,0.273498
2015,CUB,0.138033
2016,CUB,0.138033
2017,CUB,0.138033
2018,CUB,0.138033
2019,CUB,0.138033
2015,CUW,0.135034
2016,CUW,0.135034
2017,CUW,0.135034
2018,CUW,0.135034
2019,CUW,0.135034
2015,CYP,0.121616
2016,CYP,0.121616
2017,CYP,0.121616
2018,CYP,0.121616
2019,CYP,0.121616
2015,CZE,0.208992
2016,CZE,0.208992
2017,CZE,0.208992
2018,CZE,0.208992
2019,CZE,0.208992
2015,DEU,0.172015
2016,DEU,0.172015
2017,DEU,0.172015
2018,DEU,0.172015
2019,DEU,0.172015
2015,DNK,0.169002
2016,DNK,0.169002
2017,DNK,0.169002
2018,DNK,0.169002
2019,DNK,0.169002
2015,DOM,0.254661
2016,DOM,0.254661
2017,DOM,0.254661
2018,DOM,0.254661
2019,DOM,0.254661
2015,DZA,0.065028
2016,DZA,0.065028
2017,DZA,0.065028
2018,DZA,0.065028
2019,DZA,0.065028
2015,ECU,0.259155
2016,ECU,0.259155
2017,ECU,0.259155
2018,ECU,0.259155
2019,ECU,0.259155
2015,ERI,0.079054
2016,ERI,0.079054
2017,ERI,0.079054
2018,ERI,0.079054
2019,ERI,0.079054
2015,ESP,0.158082
2016,ESP,0.158082
2017,ESP,0.158082
2018,ESP,0.158082
2019,ESP,0.158082
2015,EST,0.310366
2016,EST,0.310366
2017,EST,0.310366
2018,EST,0.310366
2019,EST,0.310366
2015,ETH,0.085301
2016,ETH,0.085301
2017,ETH,0.085301
2018,ETH,0.085301
2019,ETH,0.085301
2015,FIN,0.146434
2016,FIN,0.146434
2017,FIN,0.146434
2018,FIN,0.146434
2019,FIN,0.146434
2015,GBR,0.16903
2016,GBR,0.16903
2017,GBR,0.16903
2018,GBR,0.16903
2019,GBR,0.16903
2015,GEO,0.257232
2016,GEO,0.257232
2017,GEO,0.257232
2018,GEO,0.257232
2019,GEO,0.257232
2015,GHA,0.083769
2016,GHA,0.083769
2017,GHA,0.083769
2018,GHA,0.083769
2019,GHA,0.083769
2015,GIN,0.093671
2016,GIN,0.093671
2017,GIN,0.093671
2018,GIN,0.093671
2019,GIN,0.093671
2015,GMB,0.08009
2016,GMB,0.08009
2017,GMB,0.08009
2018,GMB,0.08009
2019,GMB,0.08009
2015,GNB,0.082163
2016,GNB,0.082163
2017,GNB,0.082163
2018,GNB,0.082163
2019,GNB,0.082163
2015,GRC,0.172113
2016,GRC,0.172113
2017,GRC,0.172113
2018,GRC,0.172113
2019,GRC,0.172113
2015,GTM,0.220937
2016,GTM,0.220937
2017,GTM,0.220937
2018,GTM,0.220937
2019,GTM,0.220937
2015,HND,0.187527
2016,HND,0.187527
2017,HND,0.187527
2018,HND,0.187527
2019,HND,0.187527
2015,HRV,0.173028
2016,HRV,0.173028
2017,HRV,0.173028
2018,HRV,0.173028
2019,HRV,0.173028
2015,HUN,0.178301
2016,HUN,0.178301
2017,HUN,0.178301
2018,HUN,0.178301
2019,HUN,0.178301
2015,IDN,0.319682
2016,IDN,0.319682
2017,IDN,0.319682
2018,IDN,0.319682
2019,IDN,0.319682
2015,IND,0.207422
2016,IND,0.207422
2017,IND,0.207422
2018,IND,0.207422
2019,IND,0.207422
2015,IRL,0.169002
2016,IRL,0.169002
2017,IRL,0.169002
2018,IRL,0.169002
2019,IRL,0.169002
2015,IRN,0.099794
2016,IRN,0.099794
2017,IRN,0.099794
2018,IRN,0.099794
2019,IRN,0.099794
2015,IRQ,0.073562
2016,IRQ,0.073562
2017,IRQ,0.073562
2018,IRQ,0.073562
2019,IRQ,0.073562
2015,ISL,0.143841
2016,ISL,0.143841
2017,ISL,0.143841
2018,ISL,0.143841
2019,ISL,0.143841
2015,ISR,0.126165
2016,ISR,0.126165
2017,ISR,0.126165
2018,ISR,0.126165
2019,ISR,0.126165
2015,ITA,0.165982
2016,ITA,0.165982
2017,ITA,0.165982
2018,ITA,0.165982
2019,ITA,0.165982
2015,JAM,0.258804
2016,JAM,0.258804
2017,JAM,0.258804
2018,JAM,0.258804
2019,JAM,0.258804
2015,JPN,0.355175
2016,JPN,0.355175
2017,JPN,0.355175
2018,JPN,0.355175
2019,JPN,0.355175
2015,KAZ,0.1378
2016,KAZ,0.1378
2017,KAZ,0.1378
2018,KAZ,0.1378
2019,KAZ,0.1378
2015,KEN,0.108141
2016,KEN,0.108141
2017,KEN,0.108141
2018,KEN,0.108141
2019,KEN,0.108141
2015,KGZ,0.147857
2016,KGZ,0.147857
2017,KGZ,0.147857
2018,KGZ,0.147857
2019,KGZ,0.147857
2015,KHM,0.068955
2016,KHM,0.068955
2017,KHM,0.068955
2018,KHM,0.068955
2019,KHM,0.068955
2015,LAO,0.248225
2016,LAO,0.248225
2017,LAO,0.248225
2018,LAO,0.248225
2019,LAO,0.248225
2015,LBN,0.119427
2016,LBN,0.119427
2017,LBN,0.119427
2018,LBN,0.119427
2019,LBN,0.119427
2015,LBY,0.0591
2016,LBY,0.0591
2017,LBY,0.0591
2018,LBY,0.0591
2019,LBY,0.0591
2015,LKA,0.141468
2016,LKA,0.141468
2017,LKA,0.141468
2018,LKA,0.141468
2019,LKA,0.141468
2015,LTU,0.309293
2016,LTU,0.309293
2017,LTU,0.309293
2018,LTU,0.309293
2019,LTU,0.309293
2015,LVA,0.310238
2016,LVA,0.310238
2017,LVA,0.310238
2018,LVA,0.310238
2019,LVA,0.310238
2015,MAR,0.099635
2016,MAR,0.099635
2017,MAR,0.099635
2018,MAR,0.099635
2019,MAR,0.099635
2015,MDA,0.285853
2016,MDA,0.285853
2017,MDA,0.285853
2018,MDA,0.285853
2019,MDA,0.285853
2015,MEX,0.128478
2016,MEX,0.128478
2017,MEX,0.128478
2018,MEX,0.128478
2019,MEX,0.128478
2015,MKD,0.183474
2016,MKD,0.183474
2017,MKD,0.183474
2018,MKD,0.183474
2019,MKD,0.183474
2015,MLI,0.074513
2016,MLI,0.074513
2017,MLI,0.074513
2018,MLI,0.074513
2019,MLI,0.074513
2015,MMR,0.300627
2016,MMR,0.300627
2017,MMR,0.300627
2018,MMR,0.300627
2019,MMR,0.300627
2015,MNE,0.194096
2016,MNE,0.194096
2017,MNE,0.194096
2018,MNE,0.194096
2019,MNE,0.194096
2015,MNG,0.123931
2016,MNG,0.123931
2017,MNG,0.123931
2018,MNG,0.123931
2019,MNG,0.123931
2015,MOZ,0.093458
2016,MOZ,0.093458
2017,MOZ,0.093458
2018,MOZ,0.093458
2019,MOZ,0.093458
2015,MWI,0.08222
2016,MWI,0.08222
2017,MWI,0.08222
2018,MWI,0.08222
