Year,iso_code3,yf_agrc_cereals_tonne_ha
2037,HND,15371.641664806328
2038,HND,15617.587931443228
2039,HND,15867.46933834632
2040,HND,16121.348847759862
2041,HND,16379.290429324019
2042,HND,16641.359076193203
2043,HND,16907.620821412296
2044,HND,17178.14275455489
2045,HND,17452.99303862777
2046,HND,17732.240927245814
2047,HND,18015.956782081746
2048,HND,18304.212090595058
2049,HND,18597.079484044578
2050,HND,18894.63275578929
2020,HRV,50262.07922760936
2021,HRV,51066.27249525111
2022,HRV,51883.332855175126
2023,HRV,52713.46618085793
2024,HRV,53556.881639751664
2025,HRV,54413.791745987684
2026,HRV,55284.41241392349
2027,HRV,56168.96301254627
2028,HRV,57067.66642074701
2029,HRV,57980.749083478964
2030,HRV,58908.44106881462
2031,HRV,59850.976125915666
2032,HRV,60808.591743930316
2033,HRV,61781.5292118332
2034,HRV,62770.03367922253
2035,HRV,63774.35421809009
2036,HRV,64794.74388557953
2037,HRV,65831.45978774881
2038,HRV,66884.7631443528
2039,HRV,67954.91935466244
2040,HRV,69042.19806433703
2041,HRV,70146.87323336642
2042,HRV,71269.2232051003
2043,HRV,72409.5307763819
2044,HRV,73568.08326880401
2045,HRV,74745.17260110487
2046,HRV,75941.09536272255
2047,HRV,77156.15288852612
2048,HRV,78390.65133474254
2049,HRV,79644.9017560984
2050,HRV,80919.22018419599
2020,HTI,8048.926977777777
2021,HTI,8177.709809422222
2022,HTI,8308.553166372976
2023,HTI,8441.490017034945
2024,HTI,8576.553857307505
2025,HTI,8713.778719024423
2026,HTI,8853.199178528816
2027,HTI,8994.850365385277
2028,HTI,9138.767971231442
2029,HTI,9284.988258771145
2030,HTI,9433.548070911482
2031,HTI,9584.484840046067
2032,HTI,9737.836597486805
2033,HTI,9893.641983046593
2034,HTI,10051.940254775338
2035,HTI,10212.771298851743
2036,HTI,10376.175639633371
2037,HTI,10542.194449867508
2038,HTI,10710.869561065387
2039,HTI,10882.243474042432
2040,HTI,11056.359369627113
2041,HTI,11233.261119541146
2042,HTI,11412.993297453806
2043,HTI,11595.601190213065
2044,HTI,11781.130809256474
2045,HTI,11969.628902204578
2046,HTI,12161.142964639852
2047,HTI,12355.721252074089
2048,HTI,12553.412792107276
2049,HTI,12754.267396780991
2050,HTI,12958.335675129489
2020,HUN,49285.37824444445
2021,HUN,50073.94429635557
2022,HUN,50875.12740509726
2023,HUN,51689.129443578815
2024,HUN,52516.15551467607
2025,HUN,53356.41400291089
2026,HUN,54210.11662695747
2027,HUN,55077.47849298879
2028,HUN,55958.71814887661
2029,HUN,56854.05763925864
2030,HUN,57763.72256148677
2031,HUN,58687.942122470566
2032,HUN,59626.9491964301
2033,HUN,60580.980383572976
2034,HUN,61550.27606971014
2035,HUN,62535.0804868255
2036,HUN,63535.64177461471
2037,HUN,64552.212043008556
2038,HUN,65585.04743569669
2039,HUN,66634.40819466785
2040,HUN,67700.55872578252
2041,HUN,68783.76766539505
2042,HUN,69884.30794804137
2043,HUN,71002.45687521003
2044,HUN,72138.4961852134
2045,HUN,73292.7121241768
2046,HUN,74465.39551816364
2047,HUN,75656.84184645426
2048,HUN,76867.35131599753
2049,HUN,78097.22893705349
2050,HUN,79346.78460004635
2020,IDN,57418.1957777778
2021,IDN,58336.886910222245
2022,IDN,59270.277100785795
2023,IDN,60218.601534398374
2024,IDN,61182.099158948746
2025,IDN,62161.01274549193
2026,IDN,63155.5889494198
2027,IDN,64166.078372610515
2028,IDN,65192.73562657229
2029,IDN,66235.81939659745
2030,IDN,67295.59250694301
2031,IDN,68372.32198705409
2032,IDN,69466.27913884696
2033,IDN,70577.73960506852
2034,IDN,71706.98343874961
2035,IDN,72854.2951737696
2036,IDN,74019.96389654992
2037,IDN,75204.28331889473
2038,IDN,76407.55185199704
2039,IDN,77630.072681629
2040,IDN,78872.15384453506
2041,IDN,80134.10830604762
2042,IDN,81416.25403894439
2043,IDN,82718.91410356748
2044,IDN,84042.41672922457
2045,IDN,85387.09539689217
2046,IDN,86753.28892324243
2047,IDN,88141.34154601432
2048,IDN,89551.60301075055
2049,IDN,90984.42865892255
2050,IDN,92440.17951746532
2020,IND,23242.6955911111
2021,IND,23614.57872056888
2022,IND,23992.41198009798
2023,IND,24376.290571779547
2024,IND,24766.311220928023
2025,IND,25162.57220046287
