,Nation,iso_code3,Year,deminit_trde_freight_mt_km
0,Aruba,ABW,2021,53012.069785552914
1,Aruba,ABW,2022,53012.069785552914
2,Aruba,ABW,2023,53012.069785552914
3,Aruba,ABW,2024,53012.069785552914
4,Aruba,ABW,2025,53012.069785552914
5,Aruba,ABW,2026,53012.069785552914
6,Aruba,ABW,2027,53012.069785552914
7,Aruba,ABW,2028,53012.069785552914
8,Aruba,ABW,2029,53012.069785552914
9,Aruba,ABW,2030,53012.069785552914
10,Aruba,ABW,2031,53012.069785552914
11,Aruba,ABW,2032,53012.069785552914
12,Aruba,ABW,2033,53012.069785552914
13,Aruba,ABW,2034,53012.069785552914
14,Aruba,ABW,2035,53012.069785552914
15,Aruba,ABW,2036,53012.069785552914
16,Aruba,ABW,2037,53012.069785552914
17,Aruba,ABW,2038,53012.069785552914
18,Aruba,ABW,2039,53012.069785552914
19,Aruba,ABW,2040,53012.069785552914
20,Aruba,ABW,2041,53012.069785552914
21,Aruba,ABW,2042,53012.069785552914
22,Aruba,ABW,2043,53012.069785552914
23,Aruba,ABW,2044,53012.069785552914
24,Aruba,ABW,2045,53012.069785552914
25,Aruba,ABW,2046,53012.069785552914
26,Aruba,ABW,2047,53012.069785552914
27,Aruba,ABW,2048,53012.069785552914
28,Aruba,ABW,2049,53012.069785552914
29,Aruba,ABW,2050,53012.069785552914
30,Afghanistan,AFG,2021,71378.704245393
31,Afghanistan,AFG,2022,71378.704245393
32,Afghanistan,AFG,2023,71378.704245393
33,Afghanistan,AFG,2024,71378.704245393
34,Afghanistan,AFG,2025,71378.704245393
35,Afghanistan,AFG,2026,71378.704245393
36,Afghanistan,AFG,2027,71378.704245393
37,Afghanistan,AFG,2028,71378.704245393
38,Afghanistan,AFG,2029,71378.704245393
39,Afghanistan,AFG,2030,71378.704245393
40,Afghanistan,AFG,2031,71378.704245393
41,Afghanistan,AFG,2032,71378.704245393
42,Afghanistan,AFG,2033,71378.704245393
43,Afghanistan,AFG,2034,71378.704245393
44,Afghanistan,AFG,2035,71378.704245393
45,Afghanistan,AFG,2036,71378.704245393
46,Afghanistan,AFG,2037,71378.704245393
47,Afghanistan,AFG,2038,71378.704245393
48,Afghanistan,AFG,2039,71378.704245393
49,Afghanistan,AFG,2040,71378.704245393
50,Afghanistan,AFG,2041,71378.704245393
51,Afghanistan,AFG,2042,71378.704245393
52,Afghanistan,AFG,2043,71378.704245393
53,Afghanistan,AFG,2044,71378.704245393
54,Afghanistan,AFG,2045,71378.704245393
