Year,Nation,iso_code3,population_gnrl_rural
2021,Aruba,ABW,71154.22206952
2022,Aruba,ABW,71787.00544614
2023,Aruba,ABW,72419.78882276
2024,Aruba,ABW,73052.57219938
2025,Aruba,ABW,73685.355576
2026,Aruba,ABW,74230.79609416799
2027,Aruba,ABW,74776.236612336
2028,Aruba,ABW,75321.677130504
2029,Aruba,ABW,75867.117648672
2030,Aruba,ABW,76412.55816684
2031,Aruba,ABW,76862.526320484
2032,Aruba,ABW,77312.494474128
2033,Aruba,ABW,77762.46262777201
2034,Aruba,ABW,78212.430781416
2035,Aruba,ABW,78662.39893506
2036,Aruba,ABW,79043.055038674
2037,Aruba,ABW,79423.711142288
2038,Aruba,ABW,79804.367245902
2039,Aruba,ABW,80185.02334951599
2040,Aruba,ABW,80565.67945313
2041,Aruba,ABW,80871.758409088
2042,Aruba,ABW,81177.837365046
2043,Aruba,ABW,81483.916321004
2044,Aruba,ABW,81789.995276962
2045,Aruba,ABW,82096.07423292
2046,Aruba,ABW,82336.432779636
2047,Aruba,ABW,82576.791326352
2048,Aruba,ABW,82817.149873068
2049,Aruba,ABW,83057.508419784
2050,Aruba,ABW,83297.86696649999
2021,Afghanistan,AFG,30716406.1301945
2022,Afghanistan,AFG,31397783.9740258
2023,Afghanistan,AFG,32079161.817857
2024,Afghanistan,AFG,32760539.661688298
2025,Afghanistan,AFG,33441917.505519606
2026,Afghanistan,AFG,34156277.3847435
2027,Afghanistan,AFG,34870637.2639674
2028,Afghanistan,AFG,35584997.1431914
2029,Afghanistan,AFG,36299357.022415295
2030,Afghanistan,AFG,37013716.9016392
2031,Afghanistan,AFG,37729485.122652896
2032,Afghanistan,AFG,38445253.3436665
2033,Afghanistan,AFG,39161021.564680204
2034,Afghanistan,AFG,39876789.7856938
2035,Afghanistan,AFG,40592558.006707504
2036,Afghanistan,AFG,41281456.390016295
2037,Afghanistan,AFG,41970354.7733251
2038,Afghanistan,AFG,42659253.156634
2039,Afghanistan,AFG,43348151.5399428
2040,Afghanistan,AFG,44037049.9232516
2041,Afghanistan,AFG,44685651.1952541
2042,Afghanistan,AFG,45334252.4672567
2043,Afghanistan,AFG,45982853.739259206
2044,Afghanistan,AFG,46631455.0112618
2045,Afghanistan,AFG,47280056.283264294
2046,Afghanistan,AFG,47877107.174176596
2047,Afghanistan,AFG,48474158.06508879
2048,Afghanistan,AFG,49071208.956001095
2049,Afghanistan,AFG,49668259.8469133
2050,Afghanistan,AFG,50265310.7378256
2021,Angola,AGO,8395524.4393914
2022,Angola,AGO,8417958.0497253
2023,Angola,AGO,8440391.660059199
2024,Angola,AGO,8462825.2703931
2025,Angola,AGO,8485258.880727
2026,Angola,AGO,8460156.89535314
2027,Angola,AGO,8435054.90997928
2028,Angola,AGO,8409952.92460542
2029,Angola,AGO,8384850.93923156
2030,Angola,AGO,8359748.953857699
2031,Angola,AGO,8284229.00150854
2032,Angola,AGO,8208709.04915938
2033,Angola,AGO,8133189.09681022
2034,Angola,AGO,8057669.14446106
2035,Angola,AGO,7982149.1921119
2036,Angola,AGO,7859681.55541088
2037,Angola,AGO,7737213.91870986
2038,Angola,AGO,7614746.28200884
2039,Angola,AGO,7492278.64530782
2040,Angola,AGO,7369811.008606799
2041,Angola,AGO,7199734.96001434
2042,Angola,AGO,7029658.91142188
2043,Angola,AGO,6859582.86282942
2044,Angola,AGO,6689506.81423696
2045,Angola,AGO,6519430.7656445
2046,Angola,AGO,6304306.28127812
2047,Angola,AGO,6089181.79691174
2048,Angola,AGO,5874057.31254537
2049,Angola,AGO,5658932.82817899
2050,Angola,AGO,5443808.34381261
2021,Albania,ALB,1208848.49187708
2022,Albania,ALB,1178478.20932856
2023,Albania,ALB,1148107.92678005
2024,Albania,ALB,1117737.64423153
2025,Albania,ALB,1087367.36168301
2026,Albania,ALB,1055821.27400142
2027,Albania,ALB,1024275.18631984
2028,Albania,ALB,992729.098638252
2029,Albania,ALB,961183.010956666
2030,Albania,ALB,929636.92327508
2031,Albania,ALB,897252.358301694
2032,Albania,ALB,864867.7933283079
2033,Albania,ALB,832483.228354922
2034,Albania,ALB,800098.6633815359
2035,Albania,ALB,767714.09840815
2036,Albania,ALB,734957.5920432559
2037,Albania,ALB,702201.085678362
2038,Albania,ALB,669444.579313468
2039,Albania,ALB,636688.072948574
2040,Albania,ALB,603931.56658368
2041,Albania,ALB,571243.285723316
2042,Albania,ALB,538555.004862952
2043,Albania,ALB,505866.72400258796
2044,Albania,ALB,473178.443142224
2045,Albania,ALB,440490.16228186
2046,Albania,ALB,408239.00801239203
2047,Albania,ALB,375987.853742924
2048,Albania,ALB,343736.699473456
2049,Albania,ALB,311485.54520398803
2050,Albania,ALB,279234.39093452
2021,United Arab Emirates,ARE,1426180.11362644
2022,United Arab Emirates,ARE,1422087.50280168
2023,United Arab Emirates,ARE,1417994.89197692
2024,United Arab Emirates,ARE,1413902.28115216
2025,United Arab Emirates,ARE,1409809.6703273999
2026,United Arab Emirates,ARE,1397048.86808792
2027,United Arab Emirates,ARE,1384288.06584844
2028,United Arab Emirates,ARE,1371527.26360896
2029,United Arab Emirates,ARE,1358766.46136948
2030,United Arab Emirates,ARE,1346005.6591299998
2031,United Arab Emirates,ARE,1325564.56040964
