,Nation,iso_code3,Year,occrate_trns_passenger_per_vehicle_rail_passenger
134,Belize,BLZ,2008,132.57142857142856
135,Bermuda,BMU,2004,132.57142857142856
136,Bermuda,BMU,2005,132.57142857142856
137,Bermuda,BMU,2006,132.57142857142856
138,Bermuda,BMU,2007,132.57142857142856
139,Bermuda,BMU,2008,132.57142857142856
140,Bolivia,BOL,2004,132.57142857142856
141,Bolivia,BOL,2005,132.57142857142856
142,Bolivia,BOL,2006,132.57142857142856
143,Bolivia,BOL,2007,132.57142857142856
144,Bolivia,BOL,2008,132.57142857142856
145,Brazil,BRA,2004,132.57142857142856
146,Brazil,BRA,2005,132.57142857142856
147,Brazil,BRA,2006,132.57142857142856
148,Brazil,BRA,2007,132.57142857142856
149,Brazil,BRA,2008,132.57142857142856
150,Barbados,BRB,2004,132.57142857142856
151,Barbados,BRB,2005,132.57142857142856
152,Barbados,BRB,2006,132.57142857142856
153,Barbados,BRB,2007,132.57142857142856
154,Barbados,BRB,2008,132.57142857142856
155,Brunei Darussalam,BRN,2004,132.57142857142856
156,Brunei Darussalam,BRN,2005,132.57142857142856
157,Brunei Darussalam,BRN,2006,132.57142857142856
158,Brunei Darussalam,BRN,2007,132.57142857142856
159,Brunei Darussalam,BRN,2008,132.57142857142856
160,Bhutan,BTN,2004,132.57142857142856
161,Bhutan,BTN,2005,132.57142857142856
162,Bhutan,BTN,2006,132.57142857142856
163,Bhutan,BTN,2007,132.57142857142856
164,Bhutan,BTN,2008,132.57142857142856
165,Botswana,BWA,2004,132.57142857142856
166,Botswana,BWA,2005,132.57142857142856
167,Botswana,BWA,2006,132.57142857142856
168,Botswana,BWA,2007,132.57142857142856
169,Botswana,BWA,2008,132.57142857142856
170,Central African Republic,CAF,2004,132.57142857142856
171,Central African Republic,CAF,2005,132.57142857142856
172,Central African Republic,CAF,2006,132.57142857142856
173,Central African Republic,CAF,2007,132.57142857142856
174,Central African Republic,CAF,2008,132.57142857142856
175,Canada,CAN,2004,132.57142857142856
176,Canada,CAN,2005,132.57142857142856
177,Canada,CAN,2006,132.57142857142856
178,Canada,CAN,2007,132.57142857142856
179,Canada,CAN,2008,132.57142857142856
180,Central Europe and the Baltics,CEB,2004,132.57142857142856
181,Central Europe and the Baltics,CEB,2005,132.57142857142856
182,Central Europe and the Baltics,CEB,2006,132.57142857142856
183,Central Europe and the Baltics,CEB,2007,132.57142857142856
184,Central Europe and the Baltics,CEB,2008,132.57142857142856
185,Switzerland,CHE,2004,132.57142857142856
186,Switzerland,CHE,2005,132.57142857142856
187,Switzerland,CHE,2006,132.57142857142856
188,Switzerland,CHE,2007,132.57142857142856
189,Switzerland,CHE,2008,132.57142857142856
190,Channel Islands,CHI,2004,132.57142857142856
191,Channel Islands,CHI,2005,132.57142857142856
192,Channel Islands,CHI,2006,132.57142857142856
193,Channel Islands,CHI,2007,132.57142857142856
194,Channel Islands,CHI,2008,132.57142857142856
195,Chile,CHL,2004,132.57142857142856
196,Chile,CHL,2005,132.57142857142856
197,Chile,CHL,2006,132.57142857142856
198,Chile,CHL,2007,132.57142857142856
199,Chile,CHL,2008,132.57142857142856
200,China,CHN,2004,132.57142857142856
201,China,CHN,2005,132.57142857142856
202,China,CHN,2006,132.57142857142856
203,China,CHN,2007,132.57142857142856
204,China,CHN,2008,132.57142857142856
205,Cote d'Ivoire,CIV,2004,132.57142857142856
206,Cote d'Ivoire,CIV,2005,132.57142857142856
207,Cote d'Ivoire,CIV,2006,132.57142857142856
208,Cote d'Ivoire,CIV,2007,132.57142857142856
209,Cote d'Ivoire,CIV,2008,132.57142857142856
210,Cameroon,CMR,2004,132.57142857142856
211,Cameroon,CMR,2005,132.57142857142856
212,Cameroon,CMR,2006,132.57142857142856
213,Cameroon,CMR,2007,132.57142857142856
214,Cameroon,CMR,2008,132.57142857142856
215,"Congo, Dem. Rep.",COD,2004,132.57142857142856
216,"Congo, Dem. Rep.",COD,2005,132.57142857142856
217,"Congo, Dem. Rep.",COD,2006,132.57142857142856
218,"Congo, Dem. Rep.",COD,2007,132.57142857142856
219,"Congo, Dem. Rep.",COD,2008,132.57142857142856
220,"Congo, Rep.",COG,2004,132.57142857142856
221,"Congo, Rep.",COG,2005,132.57142857142856
222,"Congo, Rep.",COG,2006,132.57142857142856
223,"Congo, Rep.",COG,2007,132.57142857142856
224,"Congo, Rep.",COG,2008,132.57142857142856
225,Colombia,COL,2004,132.57142857142856
226,Colombia,COL,2005,132.57142857142856
227,Colombia,COL,2006,132.57142857142856
228,Colombia,COL,2007,132.57142857142856
229,Colombia,COL,2008,132.57142857142856
230,Comoros,COM,2004,132.57142857142856
231,Comoros,COM,2005,132.57142857142856
232,Comoros,COM,2006,132.57142857142856
233,Comoros,COM,2007,132.57142857142856
234,Comoros,COM,2008,132.57142857142856
235,Cabo Verde,CPV,2004,132.57142857142856
236,Cabo Verde,CPV,2005,132.57142857142856
237,Cabo Verde,CPV,2006,132.57142857142856
238,Cabo Verde,CPV,2007,132.57142857142856
239,Cabo Verde,CPV,2008,132.57142857142856
240,Costa Rica,CRI,2004,132.57142857142856
241,Costa Rica,CRI,2005,132.57142857142856
242,Costa Rica,CRI,2006,132.57142857142856
243,Costa Rica,CRI,2007,132.57142857142856
244,Costa Rica,CRI,2008,132.57142857142856
245,Caribbean small states,CSS,2004,132.57142857142856
246,Caribbean small states,CSS,2005,132.57142857142856
247,Caribbean small states,CSS,2006,132.57142857142856
248,Caribbean small states,CSS,2007,132.57142857142856
249,Caribbean small states,CSS,2008,132.57142857142856
250,Cuba,CUB,2004,132.57142857142856
251,Cuba,CUB,2005,132.57142857142856
252,Cuba,CUB,2006,132.57142857142856
253,Cuba,CUB,2007,132.57142857142856
254,Cuba,CUB,2008,132.57142857142856
255,Curacao,CUW,2004,132.57142857142856
256,Curacao,CUW,2005,132.57142857142856
257,Curacao,CUW,2006,132.57142857142856
258,Curacao,CUW,2007,132.57142857142856
259,Curacao,CUW,2008,132.57142857142856
260,Cayman Islands,CYM,2004,132.57142857142856
261,Cayman Islands,CYM,2005,132.57142857142856
262,Cayman Islands,CYM,2006,132.57142857142856
263,Cayman Islands,CYM,2007,132.57142857142856
264,Cayman Islands,CYM,2008,132.57142857142856
265,Cyprus,CYP,2004,132.57142857142856
266,Cyprus,CYP,2005,132.57142857142856
267,Cyprus,CYP,2006,132.57142857142856
268,Cyprus,CYP,2007,132.57142857142856
269,Cyprus,CYP,2008,132.57142857142856
270,Czechia,CZE,2004,132.57142857142856
271,Czechia,CZE,2005,132.57142857142856
272,Czechia,CZE,2006,132.57142857142856
273,Czechia,CZE,2007,132.57142857142856
274,Czechia,CZE,2008,132.57142857142856
275,Germany,DEU,2004,140.8
276,Germany,DEU,2005,140.8
277,Germany,DEU,2006,140.8
278,Germany,DEU,2007,140.8
279,Germany,DEU,2008,140.8
280,Djibouti,DJI,2004,132.57142857142856
281,Djibouti,DJI,2005,132.57142857142856
282,Djibouti,DJI,2006,132.57142857142856
283,Djibouti,DJI,2007,132.57142857142856
284,Djibouti,DJI,2008,132.57142857142856
285,Dominica,DMA,2004,132.57142857142856
286,Dominica,DMA,2005,132.57142857142856
287,Dominica,DMA,2006,132.57142857142856
288,Dominica,DMA,2007,132.57142857142856
289,Dominica,DMA,2008,132.57142857142856
290,Denmark,DNK,2004,112.0
291,Denmark,DNK,2005,112.0
292,Denmark,DNK,2006,108.80000000000001
293,Denmark,DNK,2007,108.80000000000001
294,Denmark,DNK,2008,108.80000000000001
295,Dominican Republic,DOM,2004,132.57142857142856
296,Dominican Republic,DOM,2005,132.57142857142856
297,Dominican Republic,DOM,2006,132.57142857142856
298,Dominican Republic,DOM,2007,132.57142857142856
299,Dominican Republic,DOM,2008,132.57142857142856
300,Algeria,DZA,2004,132.57142857142856
301,Algeria,DZA,2005,132.57142857142856
302,Algeria,DZA,2006,132.57142857142856
303,Algeria,DZA,2007,132.57142857142856
304,Algeria,DZA,2008,132.57142857142856
305,East Asia & Pacific (excluding high income),EAP,2004,132.57142857142856
306,East Asia & Pacific (excluding high income),EAP,2005,132.57142857142856
307,East Asia & Pacific (excluding high income),EAP,2006,132.57142857142856
308,East Asia & Pacific (excluding high income),EAP,2007,132.57142857142856
309,East Asia & Pacific (excluding high income),EAP,2008,132.57142857142856
310,Early-demographic dividend,EAR,2004,132.57142857142856
311,Early-demographic dividend,EAR,2005,132.57142857142856
