,Nation,Year,frac_scoe_heat_energy_commercial_municipal_coal,frac_scoe_heat_energy_commercial_municipal_diesel,frac_scoe_heat_energy_commercial_municipal_electricity,frac_scoe_heat_energy_commercial_municipal_gasoline,frac_scoe_heat_energy_commercial_municipal_hydrocarbon_gas_liquids,frac_scoe_heat_energy_commercial_municipal_hydrogen,frac_scoe_heat_energy_commercial_municipal_kerosene,frac_scoe_heat_energy_commercial_municipal_natural_gas,frac_scoe_heat_energy_commercial_municipal_solid_biomass
880,Brazil,2011,0.0,0.2951065844024418,0.43971098706188316,0.036888323050305226,0.0,0.0,0.036888323050305226,0.10576828909999021,0.08563749333507438
881,Brazil,2012,0.0,0.26931504758582353,0.46952435979897317,0.03366438094822794,0.0,0.0,0.03366438094822794,0.10836267701599277,0.08546915370275486
882,Brazil,2013,0.0,0.2580868736530902,0.49025893156885886,0.03226085920663627,0.0,0.0,0.03226085920663627,0.10244636726914372,0.08468610909563465
883,Brazil,2014,0.0,0.2581959968806863,0.499766051468677,0.032274499610085786,0.0,0.0,0.032274499610085786,0.09524304652976347,0.08224590590070187
884,Brazil,2015,0.0,0.2533286920198416,0.5283265164041424,0.0316660865024802,0.0,0.0,0.0316660865024802,0.07168653729005307,0.08332608128100251
885,Brazil,2016,0.0,0.25153967974661273,0.5236890726728841,0.03144245996832659,0.0,0.0,0.03144245996832659,0.08160302657047334,0.08028330107337674
886,Brazil,2017,0.0,0.25751435138406187,0.5337604512497085,0.032189293923007734,0.0,0.0,0.032189293923007734,0.06273525721455459,0.08161135230565948
887,Brazil,2018,0.0,0.25371143712967625,0.535277783851149,0.03171392964120953,0.0,0.0,0.03171392964120953,0.06974659466077793,0.07783632507597789
888,Brazil,2019,0.0,0.2529512046061308,0.5437829028488105,0.03161890057576635,0.0,0.0,0.03161890057576635,0.06604694050414402,0.0739811508893821
889,Brazil,2020,0.0,0.2529512046061308,0.5437829028488105,0.03161890057576635,0.0,0.0,0.03161890057576635,0.06604694050414402,0.0739811508893821
890,Brazil,2021,0.0,0.2529512046061308,0.5437829028488105,0.03161890057576635,0.0,0.0,0.03161890057576635,0.06604694050414402,0.0739811508893821
891,Brazil,2022,0.0,0.2529512046061308,0.5437829028488105,0.03161890057576635,0.0,0.0,0.03161890057576635,0.06604694050414402,0.0739811508893821
892,Brazil,2023,0.0,0.2529512046061308,0.5437829028488105,0.03161890057576635,0.0,0.0,0.03161890057576635,0.06604694050414402,0.0739811508893821
893,Brazil,2024,0.0,0.2529512046061308,0.5437829028488105,0.03161890057576635,0.0,0.0,0.03161890057576635,0.06604694050414402,0.0739811508893821
894,Brazil,2025,0.0,0.2529512046061308,0.5437829028488105,0.03161890057576635,0.0,0.0,0.03161890057576635,0.06604694050414402,0.0739811508893821
895,Brazil,2026,0.0,0.2529512046061308,0.5437829028488105,0.03161890057576635,0.0,0.0,0.03161890057576635,0.06604694050414402,0.0739811508893821
896,Brazil,2027,0.0,0.2529512046061308,0.5437829028488105,0.03161890057576635,0.0,0.0,0.03161890057576635,0.06604694050414402,0.0739811508893821
897,Brazil,2028,0.0,0.2529512046061308,0.5437829028488105,0.03161890057576635,0.0,0.0,0.03161890057576635,0.06604694050414402,0.0739811508893821
898,Brazil,2029,0.0,0.2529512046061308,0.5437829028488105,0.03161890057576635,0.0,0.0,0.03161890057576635,0.06604694050414402,0.0739811508893821
899,Brazil,2030,0.0,0.2529512046061308,0.5437829028488105,0.03161890057576635,0.0,0.0,0.03161890057576635,0.06604694050414402,0.0739811508893821
900,Brazil,2031,0.0,0.2529512046061308,0.5437829028488105,0.03161890057576635,0.0,0.0,0.03161890057576635,0.06604694050414402,0.0739811508893821
901,Brazil,2032,0.0,0.2529512046061308,0.5437829028488105,0.03161890057576635,0.0,0.0,0.03161890057576635,0.06604694050414402,0.0739811508893821
902,Brazil,2033,0.0,0.2529512046061308,0.5437829028488105,0.03161890057576635,0.0,0.0,0.03161890057576635,0.06604694050414402,0.0739811508893821
903,Brazil,2034,0.0,0.2529512046061308,0.5437829028488105,0.03161890057576635,0.0,0.0,0.03161890057576635,0.06604694050414402,0.0739811508893821
904,Brazil,2035,0.0,0.2529512046061308,0.5437829028488105,0.03161890057576635,0.0,0.0,0.03161890057576635,0.06604694050414402,0.0739811508893821
905,Brazil,2036,0.0,0.2529512046061308,0.5437829028488105,0.03161890057576635,0.0,0.0,0.03161890057576635,0.06604694050414402,0.0739811508893821
906,Brazil,2037,0.0,0.2529512046061308,0.5437829028488105,0.03161890057576635,0.0,0.0,0.03161890057576635,0.06604694050414402,0.0739811508893821
907,Brazil,2038,0.0,0.2529512046061308,0.5437829028488105,0.03161890057576635,0.0,0.0,0.03161890057576635,0.06604694050414402,0.0739811508893821
908,Brazil,2039,0.0,0.2529512046061308,0.5437829028488105,0.03161890057576635,0.0,0.0,0.03161890057576635,0.06604694050414402,0.0739811508893821
909,Brazil,2040,0.0,0.2529512046061308,0.5437829028488105,0.03161890057576635,0.0,0.0,0.03161890057576635,0.06604694050414402,0.0739811508893821
910,Brazil,2041,0.0,0.2529512046061308,0.5437829028488105,0.03161890057576635,0.0,0.0,0.03161890057576635,0.06604694050414402,0.0739811508893821
911,Brazil,2042,0.0,0.2529512046061308,0.5437829028488105,0.03161890057576635,0.0,0.0,0.03161890057576635,0.06604694050414402,0.0739811508893821
912,Brazil,2043,0.0,0.2529512046061308,0.5437829028488105,0.03161890057576635,0.0,0.0,0.03161890057576635,0.06604694050414402,0.0739811508893821
913,Brazil,2044,0.0,0.2529512046061308,0.5437829028488105,0.03161890057576635,0.0,0.0,0.03161890057576635,0.06604694050414402,0.0739811508893821
