Year,iso_code3,ef_lndu_conv_forests_secondary_to_other_gg_co2_ha
2015,AFG,0.130458
2016,AFG,0.130458
2017,AFG,0.130458
2018,AFG,0.130458
2019,AFG,0.130458
2015,AGO,0.087634
2016,AGO,0.087634
2017,AGO,0.087634
2018,AGO,0.087634
2019,AGO,0.087634
2015,ALB,0.149054
2016,ALB,0.149054
2017,ALB,0.149054
2018,ALB,0.149054
2019,ALB,0.149054
2015,ARG,0.140316
2016,ARG,0.140316
2017,ARG,0.140316
2018,ARG,0.140316
2019,ARG,0.140316
2015,AUS,0.100357
2016,AUS,0.100357
2017,AUS,0.100357
2018,AUS,0.100357
2019,AUS,0.100357
2015,AUT,0.150679
2016,AUT,0.150679
2017,AUT,0.150679
2018,AUT,0.150679
2019,AUT,0.150679
2015,AZE,0.206715
2016,AZE,0.206715
2017,AZE,0.206715
2018,AZE,0.206715
2019,AZE,0.206715
2015,BDI,0.07526
2016,BDI,0.07526
2017,BDI,0.07526
2018,BDI,0.07526
2019,BDI,0.07526
2015,BEL,0.148431
2016,BEL,0.148431
2017,BEL,0.148431
2018,BEL,0.148431
2019,BEL,0.148431
2015,BEN,0.080232
2016,BEN,0.080232
2017,BEN,0.080232
2018,BEN,0.080232
2019,BEN,0.080232
2015,BFA,0.089685
2016,BFA,0.089685
2017,BFA,0.089685
2018,BFA,0.089685
2019,BFA,0.089685
2015,BGD,0.210522
2016,BGD,0.210522
2017,BGD,0.210522
2018,BGD,0.210522
2019,BGD,0.210522
2015,BGR,0.153565
2016,BGR,0.153565
2017,BGR,0.153565
2018,BGR,0.153565
2019,BGR,0.153565
2015,BHS,0.123127
2016,BHS,0.123127
2017,BHS,0.123127
2018,BHS,0.123127
2019,BHS,0.123127
2015,BIH,0.151768
2016,BIH,0.151768
2017,BIH,0.151768
2018,BIH,0.151768
2019,BIH,0.151768
2015,BOL,0.138111
2016,BOL,0.138111
2017,BOL,0.138111
2018,BOL,0.138111
2019,BOL,0.138111
2015,BRA,0.165408
2016,BRA,0.165408
2017,BRA,0.165408
2018,BRA,0.165408
2019,BRA,0.165408
2015,BTN,0.249716
2016,BTN,0.249716
2017,BTN,0.249716
2018,BTN,0.249716
2019,BTN,0.249716
2015,CAF,0.083618
2016,CAF,0.083618
2017,CAF,0.083618
2018,CAF,0.083618
2019,CAF,0.083618
2015,CAN,0.143393
2016,CAN,0.143393
2017,CAN,0.143393
2018,CAN,0.143393
2019,CAN,0.143393
2015,CHE,0.146734
2016,CHE,0.146734
2017,CHE,0.146734
2018,CHE,0.146734
2019,CHE,0.146734
2015,CHL,0.217238
2016,CHL,0.217238
2017,CHL,0.217238
2018,CHL,0.217238
2019,CHL,0.217238
2015,CHN,0.209045
2016,CHN,0.209045
2017,CHN,0.209045
2018,CHN,0.209045
2019,CHN,0.209045
2015,CIV,0.081426
2016,CIV,0.081426
2017,CIV,0.081426
2018,CIV,0.081426
2019,CIV,0.081426
2015,CMR,0.092847
2016,CMR,0.092847
2017,CMR,0.092847
2018,CMR,0.092847
2019,CMR,0.092847
2015,COD,0.131038
2016,COD,0.131038
2017,COD,0.131038
2018,COD,0.131038
2019,COD,0.131038
2015,COG,0.11328
2016,COG,0.11328
2017,COG,0.11328
2018,COG,0.11328
2019,COG,0.11328
2015,COL,0.222211
2016,COL,0.222211
2017,COL,0.222211
2018,COL,0.222211
2019,COL,0.222211
2015,CRI,0.221307
2016,CRI,0.221307
2017,CRI,0.221307
2018,CRI,0.221307
2019,CRI,0.221307
2015,CUB,0.129895
2016,CUB,0.129895
2017,CUB,0.129895
2018,CUB,0.129895
2019,CUB,0.129895
2015,CUW,0.135125
2016,CUW,0.135125
2017,CUW,0.135125
2018,CUW,0.135125
2019,CUW,0.135125
2015,CYP,0.122101
2016,CYP,0.122101
