Year,iso_code3,cost_enfu_fuel_crude_usd_per_m3
2015,ABW,367.3625548236649
2016,ABW,367.3625548236649
2017,ABW,367.3625548236649
2018,ABW,367.3625548236649
2019,ABW,367.3625548236649
2020,ABW,367.3625548236649
2015,AFG,367.3625548236649
2016,AFG,367.3625548236649
2017,AFG,367.3625548236649
2018,AFG,367.3625548236649
2019,AFG,367.3625548236649
2020,AFG,367.3625548236649
2015,AGO,367.3625548236649
2016,AGO,367.3625548236649
2017,AGO,367.3625548236649
2018,AGO,367.3625548236649
2019,AGO,367.3625548236649
2020,AGO,367.3625548236649
2015,ALB,367.3625548236649
2016,ALB,367.3625548236649
2017,ALB,367.3625548236649
2018,ALB,367.3625548236649
2019,ALB,367.3625548236649
2020,ALB,367.3625548236649
2015,AND,367.3625548236649
2016,AND,367.3625548236649
2017,AND,367.3625548236649
2018,AND,367.3625548236649
2019,AND,367.3625548236649
2020,AND,367.3625548236649
2015,ARE,367.3625548236649
2016,ARE,367.3625548236649
2017,ARE,367.3625548236649
2018,ARE,367.3625548236649
2019,ARE,367.3625548236649
2020,ARE,367.3625548236649
2015,ARG,367.3625548236649
2016,ARG,367.3625548236649
2017,ARG,367.3625548236649
2018,ARG,367.3625548236649
2019,ARG,367.3625548236649
2020,ARG,367.3625548236649
2015,ARM,367.3625548236649
2016,ARM,367.3625548236649
2017,ARM,367.3625548236649
2018,ARM,367.3625548236649
2019,ARM,367.3625548236649
2020,ARM,367.3625548236649
2015,ASM,367.3625548236649
2016,ASM,367.3625548236649
2017,ASM,367.3625548236649
2018,ASM,367.3625548236649
2019,ASM,367.3625548236649
2020,ASM,367.3625548236649
2015,ATG,367.3625548236649
2016,ATG,367.3625548236649
2017,ATG,367.3625548236649
2018,ATG,367.3625548236649
2019,ATG,367.3625548236649
2020,ATG,367.3625548236649
2015,AUS,367.3625548236649
2016,AUS,367.3625548236649
2017,AUS,367.3625548236649
2018,AUS,367.3625548236649
2019,AUS,367.3625548236649
2020,AUS,367.3625548236649
2015,AUT,308.7702804342887
2016,AUT,308.7702804342887
2017,AUT,308.7702804342887
2018,AUT,308.7702804342887
2019,AUT,308.7702804342887
2020,AUT,308.7702804342887
2015,AZE,367.3625548236649
2016,AZE,367.3625548236649
2017,AZE,367.3625548236649
2018,AZE,367.3625548236649
2019,AZE,367.3625548236649
2020,AZE,367.3625548236649
2015,BDI,367.3625548236649
2016,BDI,367.3625548236649
2017,BDI,367.3625548236649
2018,BDI,367.3625548236649
2019,BDI,367.3625548236649
2020,BDI,367.3625548236649
2015,BEL,329.96660009957577
2016,BEL,329.96660009957577
2017,BEL,329.96660009957577
2018,BEL,329.96660009957577
2019,BEL,329.96660009957577
2020,BEL,329.96660009957577
2015,BEN,367.3625548236649
2016,BEN,367.3625548236649
2017,BEN,367.3625548236649
2018,BEN,367.3625548236649
2019,BEN,367.3625548236649
2020,BEN,367.3625548236649
2015,BFA,367.3625548236649
2016,BFA,367.3625548236649
2017,BFA,367.3625548236649
2018,BFA,367.3625548236649
2019,BFA,367.3625548236649
2020,BFA,367.3625548236649
2015,BGD,367.3625548236649
2016,BGD,367.3625548236649
2017,BGD,367.3625548236649
2018,BGD,367.3625548236649
2019,BGD,367.3625548236649
2020,BGD,367.3625548236649
2015,BGR,367.3625548236649
2016,BGR,367.3625548236649
2017,BGR,367.3625548236649
2018,BGR,367.3625548236649
2019,BGR,367.3625548236649
2020,BGR,367.3625548236649
2015,BHR,367.3625548236649
2016,BHR,367.3625548236649
2017,BHR,367.3625548236649
2018,BHR,367.3625548236649
2019,BHR,367.3625548236649
2020,BHR,367.3625548236649
2015,BHS,367.3625548236649
2016,BHS,367.3625548236649
2017,BHS,367.3625548236649
2018,BHS,367.3625548236649
2019,BHS,367.3625548236649
2020,BHS,367.3625548236649
2015,BIH,367.3625548236649
2016,BIH,367.3625548236649
2017,BIH,367.3625548236649
2018,BIH,367.3625548236649
2019,BIH,367.3625548236649
2020,BIH,367.3625548236649
2015,BLR,367.3625548236649
2016,BLR,367.3625548236649
2017,BLR,367.3625548236649
2018,BLR,367.3625548236649
2019,BLR,367.3625548236649
2020,BLR,367.3625548236649
2015,BLZ,367.3625548236649
2016,BLZ,367.3625548236649
2017,BLZ,367.3625548236649
2018,BLZ,367.3625548236649
2019,BLZ,367.3625548236649
2020,BLZ,367.3625548236649
2015,BMU,367.3625548236649
2016,BMU,367.3625548236649
2017,BMU,367.3625548236649
2018,BMU,367.3625548236649
2019,BMU,367.3625548236649
2020,BMU,367.3625548236649
2015,BOL,367.3625548236649
2016,BOL,367.3625548236649
2017,BOL,367.3625548236649
2018,BOL,367.3625548236649
2019,BOL,367.3625548236649
2020,BOL,367.3625548236649
2015,BRA,367.3625548236649
2016,BRA,367.3625548236649
2017,BRA,367.3625548236649
2018,BRA,367.3625548236649
2019,BRA,367.3625548236649
2020,BRA,367.3625548236649
2015,BRB,367.3625548236649
2016,BRB,367.3625548236649
2017,BRB,367.3625548236649
2018,BRB,367.3625548236649
2019,BRB,367.3625548236649
2020,BRB,367.3625548236649
2015,BRN,367.3625548236649
2016,BRN,367.3625548236649
2017,BRN,367.3625548236649
2018,BRN,367.3625548236649
2019,BRN,367.3625548236649
2020,BRN,367.3625548236649
2015,BTN,367.3625548236649
2016,BTN,367.3625548236649
2017,BTN,367.3625548236649
2018,BTN,367.3625548236649
2019,BTN,367.3625548236649
2020,BTN,367.3625548236649
2015,BWA,367.3625548236649
2016,BWA,367.3625548236649
2017,BWA,367.3625548236649
2018,BWA,367.3625548236649
2019,BWA,367.3625548236649
2020,BWA,367.3625548236649
2015,CAF,367.3625548236649
2016,CAF,367.3625548236649
