Year,iso_code3,frac_waso_non_recycled_open_dump
2010,ABW,0.6932201072909052
2011,ABW,0.6932201072909052
2012,ABW,0.6932201072909052
2013,ABW,0.6932201072909052
2014,ABW,0.6932201072909052
2015,ABW,0.6932201072909052
2016,ABW,0.6932201072909052
2017,ABW,0.6932201072909052
2018,ABW,0.6932201072909052
2019,ABW,0.6932201072909052
2020,ABW,0.6932201072909052
2010,AFG,0.7901871933363478
2011,AFG,0.7901871933363478
2012,AFG,0.7901871933363478
2013,AFG,0.7901871933363478
2014,AFG,0.7901871933363478
2015,AFG,0.7901871933363478
2016,AFG,0.7901871933363478
2017,AFG,0.7901871933363478
2018,AFG,0.7901871933363478
2019,AFG,0.7901871933363478
2020,AFG,0.7901871933363478
2010,AGO,0.7710673731742846
2011,AGO,0.7710673731742846
2012,AGO,0.7710673731742846
2013,AGO,0.7710673731742846
2014,AGO,0.7710673731742846
2015,AGO,0.7710673731742846
2016,AGO,0.7710673731742846
2017,AGO,0.7710673731742846
2018,AGO,0.7710673731742846
2019,AGO,0.7710673731742846
2020,AGO,0.7710673731742846
2010,ALB,0.7551046508368521
2011,ALB,0.7551046508368521
2012,ALB,0.7551046508368521
2013,ALB,0.7551046508368521
2014,ALB,0.7551046508368521
2015,ALB,0.7551046508368521
2016,ALB,0.7551046508368521
2017,ALB,0.7551046508368521
2018,ALB,0.7551046508368521
2019,ALB,0.7551046508368521
2020,ALB,0.7551046508368521
2010,AND,0.5181188267411873
2011,AND,0.5181188267411873
2012,AND,0.5181188267411873
2013,AND,0.5181188267411873
2014,AND,0.5181188267411873
2015,AND,0.5181188267411873
2016,AND,0.5181188267411873
2017,AND,0.5181188267411873
2018,AND,0.5181188267411873
2019,AND,0.5181188267411873
2020,AND,0.5181188267411873
2010,ARE,0.5877544282654105
2011,ARE,0.5877544282654105
2012,ARE,0.5877544282654105
2013,ARE,0.5877544282654105
2014,ARE,0.5877544282654105
2015,ARE,0.5877544282654105
2016,ARE,0.5877544282654105
2017,ARE,0.5877544282654105
2018,ARE,0.5877544282654105
2019,ARE,0.5877544282654105
2020,ARE,0.5877544282654105
2010,ARG,0.42809055738905094
2011,ARG,0.42809055738905094
2012,ARG,0.42809055738905094
2013,ARG,0.42809055738905094
2014,ARG,0.42809055738905094
2015,ARG,0.42809055738905094
2016,ARG,0.42809055738905094
2017,ARG,0.42809055738905094
2018,ARG,0.42809055738905094
2019,ARG,0.42809055738905094
2020,ARG,0.42809055738905094
2010,ARM,0.8528763317910646
2011,ARM,0.8528763317910646
2012,ARM,0.8528763317910646
2013,ARM,0.8528763317910646
2014,ARM,0.8528763317910646
2015,ARM,0.8528763317910646
2016,ARM,0.8528763317910646
2017,ARM,0.8528763317910646
2018,ARM,0.8528763317910646
2019,ARM,0.8528763317910646
2020,ARM,0.8528763317910646
2010,ASM,0.7635874548510465
2011,ASM,0.7635874548510465
2012,ASM,0.7635874548510465
2013,ASM,0.7635874548510465
2014,ASM,0.7635874548510465
2015,ASM,0.7635874548510465
2016,ASM,0.7635874548510465
2017,ASM,0.7635874548510465
2018,ASM,0.7635874548510465
2019,ASM,0.7635874548510465
