iso_code3,Nation,pop_lvst_initial_cattle_nondairy,Year
AFG,Afghanistan,5568618,2023
AFG,Afghanistan,5568618,2024
AFG,Afghanistan,5568618,2025
AFG,Afghanistan,5568618,2026
AFG,Afghanistan,5568618,2027
AFG,Afghanistan,5568618,2028
AFG,Afghanistan,5568618,2029
AFG,Afghanistan,5568618,2030
AFG,Afghanistan,5568618,2031
AFG,Afghanistan,5568618,2032
AFG,Afghanistan,5568618,2033
AFG,Afghanistan,5568618,2034
AFG,Afghanistan,5568618,2035
AFG,Afghanistan,5568618,2036
AFG,Afghanistan,5568618,2037
AFG,Afghanistan,5568618,2038
AFG,Afghanistan,5568618,2039
AFG,Afghanistan,5568618,2040
AFG,Afghanistan,5568618,2041
AFG,Afghanistan,5568618,2042
AFG,Afghanistan,5568618,2043
AFG,Afghanistan,5568618,2044
AFG,Afghanistan,5568618,2045
AFG,Afghanistan,5568618,2046
AFG,Afghanistan,5568618,2047
AFG,Afghanistan,5568618,2048
AFG,Afghanistan,5568618,2049
AFG,Afghanistan,5568618,2050
ALB,Albania,297656,2023
ALB,Albania,297656,2024
ALB,Albania,297656,2025
ALB,Albania,297656,2026
ALB,Albania,297656,2027
ALB,Albania,297656,2028
ALB,Albania,297656,2029
ALB,Albania,297656,2030
ALB,Albania,297656,2031
ALB,Albania,297656,2032
ALB,Albania,297656,2033
ALB,Albania,297656,2034
ALB,Albania,297656,2035
ALB,Albania,297656,2036
ALB,Albania,297656,2037
ALB,Albania,297656,2038
ALB,Albania,297656,2039
ALB,Albania,297656,2040
ALB,Albania,297656,2041
ALB,Albania,297656,2042
ALB,Albania,297656,2043
ALB,Albania,297656,2044
ALB,Albania,297656,2045
ALB,Albania,297656,2046
ALB,Albania,297656,2047
ALB,Albania,297656,2048
ALB,Albania,297656,2049
ALB,Albania,297656,2050
DZA,Algeria,1738340,2023
DZA,Algeria,1738340,2024
DZA,Algeria,1738340,2025
DZA,Algeria,1738340,2026
DZA,Algeria,1738340,2027
DZA,Algeria,1738340,2028
DZA,Algeria,1738340,2029
DZA,Algeria,1738340,2030
DZA,Algeria,1738340,2031
DZA,Algeria,1738340,2032
DZA,Algeria,1738340,2033
DZA,Algeria,1738340,2034
DZA,Algeria,1738340,2035
DZA,Algeria,1738340,2036
DZA,Algeria,1738340,2037
DZA,Algeria,1738340,2038
