"iso_code3","frac_waso_initial_composition_mun_paper","Year"
"ABW",0.176584763354065,2021
"ABW",0.176584763354065,2022
"ABW",0.176584763354065,2023
"ABW",0.176584763354065,2024
"ABW",0.176584763354065,2025
"ABW",0.176584763354065,2026
"ABW",0.176584763354065,2027
"ABW",0.176584763354065,2028
"ABW",0.176584763354065,2029
"ABW",0.176584763354065,2030
"ABW",0.176584763354065,2031
"ABW",0.176584763354065,2032
"ABW",0.176584763354065,2033
"ABW",0.176584763354065,2034
"ABW",0.176584763354065,2035
"ABW",0.176584763354065,2036
"ABW",0.176584763354065,2037
"ABW",0.176584763354065,2038
"ABW",0.176584763354065,2039
"ABW",0.176584763354065,2040
"ABW",0.176584763354065,2041
"ABW",0.176584763354065,2042
"ABW",0.176584763354065,2043
"ABW",0.176584763354065,2044
"ABW",0.176584763354065,2045
"ABW",0.176584763354065,2046
"ABW",0.176584763354065,2047
"ABW",0.176584763354065,2048
"ABW",0.176584763354065,2049
"ABW",0.176584763354065,2050
"AFG",0.0999152788255276,2021
"AFG",0.0999152788255276,2022
"AFG",0.0999152788255276,2023
"AFG",0.0999152788255276,2024
"AFG",0.0999152788255276,2025
"AFG",0.0999152788255276,2026
"AFG",0.0999152788255276,2027
"AFG",0.0999152788255276,2028
"AFG",0.0999152788255276,2029
"AFG",0.0999152788255276,2030
"AFG",0.0999152788255276,2031
"AFG",0.0999152788255276,2032
"AFG",0.0999152788255276,2033
"AFG",0.0999152788255276,2034
"AFG",0.0999152788255276,2035
"AFG",0.0999152788255276,2036
"AFG",0.0999152788255276,2037
"AFG",0.0999152788255276,2038
"AFG",0.0999152788255276,2039
"AFG",0.0999152788255276,2040
"AFG",0.0999152788255276,2041
"AFG",0.0999152788255276,2042
"AFG",0.0999152788255276,2043
"AFG",0.0999152788255276,2044
"AFG",0.0999152788255276,2045
"AFG",0.0999152788255276,2046
"AFG",0.0999152788255276,2047
"AFG",0.0999152788255276,2048
"AFG",0.0999152788255276,2049
"AFG",0.0999152788255276,2050
"AGO",0.119,2021
"AGO",0.119,2022
"AGO",0.119,2023
"AGO",0.119,2024
"AGO",0.119,2025
"AGO",0.119,2026
"AGO",0.119,2027
"AGO",0.119,2028
"AGO",0.119,2029
"AGO",0.119,2030
"AGO",0.119,2031
"AGO",0.119,2032
"AGO",0.119,2033
"AGO",0.119,2034
"AGO",0.119,2035
"AGO",0.119,2036
"AGO",0.119,2037
"AGO",0.119,2038
"AGO",0.119,2039
"AGO",0.119,2040
"AGO",0.119,2041
"AGO",0.119,2042
"AGO",0.119,2043
"AGO",0.119,2044
"AGO",0.119,2045
"AGO",0.119,2046
"AGO",0.119,2047
"AGO",0.119,2048
"AGO",0.119,2049
"AGO",0.119,2050
"ALB",0.099,2021
"ALB",0.099,2022
"ALB",0.099,2023
"ALB",0.099,2024
"ALB",0.099,2025
"ALB",0.099,2026
"ALB",0.099,2027
"ALB",0.099,2028
"ALB",0.099,2029
"ALB",0.099,2030
"ALB",0.099,2031
"ALB",0.099,2032
"ALB",0.099,2033
"ALB",0.099,2034
"ALB",0.099,2035
"ALB",0.099,2036
"ALB",0.099,2037
"ALB",0.099,2038
"ALB",0.099,2039
"ALB",0.099,2040
"ALB",0.099,2041
"ALB",0.099,2042
"ALB",0.099,2043
"ALB",0.099,2044
"ALB",0.099,2045
"ALB",0.099,2046
"ALB",0.099,2047
"ALB",0.099,2048
"ALB",0.099,2049
"ALB",0.099,2050
"AND",0.351,2021
"AND",0.351,2022
"AND",0.351,2023
"AND",0.351,2024
"AND",0.351,2025
"AND",0.351,2026
"AND",0.351,2027
"AND",0.351,2028
