Nation,iso_code3,Year,nemomod_entc_variable_cost_pp_solar_mm_usd_per_mwh
Afghanistan,ABW,2021,0.680324643
Afghanistan,ABW,2022,0.664786006
Afghanistan,ABW,2023,0.649602273
Afghanistan,ABW,2024,0.634765337
Afghanistan,ABW,2025,0.620267276
Afghanistan,ABW,2026,0.606100352
Afghanistan,ABW,2027,0.592257001
Afghanistan,ABW,2028,0.578729832
Afghanistan,ABW,2029,0.565511625
Afghanistan,ABW,2030,0.552595321
Afghanistan,ABW,2031,0.539974027
Afghanistan,ABW,2032,0.527641003
Afghanistan,ABW,2033,0.515589666
Afghanistan,ABW,2034,0.503813582
Afghanistan,ABW,2035,0.492306463
Afghanistan,ABW,2036,0.481062168
Afghanistan,ABW,2037,0.470074693
Afghanistan,ABW,2038,0.459338172
Afghanistan,ABW,2039,0.448846874
Afghanistan,ABW,2040,0.438595197
Afghanistan,ABW,2041,0.428577669
Afghanistan,ABW,2042,0.418788942
Afghanistan,ABW,2043,0.409223789
Afghanistan,ABW,2044,0.399877105
Afghanistan,ABW,2045,0.390743899
Afghanistan,ABW,2046,0.381819296
Afghanistan,ABW,2047,0.373098531
Afghanistan,ABW,2048,0.364576949
Afghanistan,ABW,2049,0.35625
Afghanistan,ABW,2050,0.348113239
Afghanistan,AFG,2021,0.680324643
Afghanistan,AFG,2022,0.664786006
Afghanistan,AFG,2023,0.649602273
Afghanistan,AFG,2024,0.634765337
Afghanistan,AFG,2025,0.620267276
Afghanistan,AFG,2026,0.606100352
Afghanistan,AFG,2027,0.592257001
Afghanistan,AFG,2028,0.578729832
Afghanistan,AFG,2029,0.565511625
Afghanistan,AFG,2030,0.552595321
Afghanistan,AFG,2031,0.539974027
Afghanistan,AFG,2032,0.527641003
Afghanistan,AFG,2033,0.515589666
Afghanistan,AFG,2034,0.503813582
Afghanistan,AFG,2035,0.492306463
Afghanistan,AFG,2036,0.481062168
Afghanistan,AFG,2037,0.470074693
Afghanistan,AFG,2038,0.459338172
Afghanistan,AFG,2039,0.448846874
Afghanistan,AFG,2040,0.438595197
Afghanistan,AFG,2041,0.428577669
Afghanistan,AFG,2042,0.418788942
Afghanistan,AFG,2043,0.409223789
Afghanistan,AFG,2044,0.399877105
Afghanistan,AFG,2045,0.390743899
Afghanistan,AFG,2046,0.381819296
Afghanistan,AFG,2047,0.373098531
Afghanistan,AFG,2048,0.364576949
Afghanistan,AFG,2049,0.35625
Afghanistan,AFG,2050,0.348113239
Afghanistan,AGO,2021,0.680324643
Afghanistan,AGO,2022,0.664786006
Afghanistan,AGO,2023,0.649602273
Afghanistan,AGO,2024,0.634765337
Afghanistan,AGO,2025,0.620267276
Afghanistan,AGO,2026,0.606100352
Afghanistan,AGO,2027,0.592257001
Afghanistan,AGO,2028,0.578729832
Afghanistan,AGO,2029,0.565511625
Afghanistan,AGO,2030,0.552595321
Afghanistan,AGO,2031,0.539974027
Afghanistan,AGO,2032,0.527641003
Afghanistan,AGO,2033,0.515589666
Afghanistan,AGO,2034,0.503813582
Afghanistan,AGO,2035,0.492306463
Afghanistan,AGO,2036,0.481062168
Afghanistan,AGO,2037,0.470074693
Afghanistan,AGO,2038,0.459338172
Afghanistan,AGO,2039,0.448846874
Afghanistan,AGO,2040,0.438595197
Afghanistan,AGO,2041,0.428577669
Afghanistan,AGO,2042,0.418788942
Afghanistan,AGO,2043,0.409223789
Afghanistan,AGO,2044,0.399877105
Afghanistan,AGO,2045,0.390743899
Afghanistan,AGO,2046,0.381819296
Afghanistan,AGO,2047,0.373098531
Afghanistan,AGO,2048,0.364576949
Afghanistan,AGO,2049,0.35625
Afghanistan,AGO,2050,0.348113239
Afghanistan,AIA,2021,0.680324643
Afghanistan,AIA,2022,0.664786006
Afghanistan,AIA,2023,0.649602273
Afghanistan,AIA,2024,0.634765337
Afghanistan,AIA,2025,0.620267276
Afghanistan,AIA,2026,0.606100352
Afghanistan,AIA,2027,0.592257001
Afghanistan,AIA,2028,0.578729832
Afghanistan,AIA,2029,0.565511625
Afghanistan,AIA,2030,0.552595321
Afghanistan,AIA,2031,0.539974027
Afghanistan,AIA,2032,0.527641003
Afghanistan,AIA,2033,0.515589666
Afghanistan,AIA,2034,0.503813582
Afghanistan,AIA,2035,0.492306463
Afghanistan,AIA,2036,0.481062168
Afghanistan,AIA,2037,0.470074693
Afghanistan,AIA,2038,0.459338172
Afghanistan,AIA,2039,0.448846874
Afghanistan,AIA,2040,0.438595197
Afghanistan,AIA,2041,0.428577669
Afghanistan,AIA,2042,0.418788942
Afghanistan,AIA,2043,0.409223789
Afghanistan,AIA,2044,0.399877105
Afghanistan,AIA,2045,0.390743899
Afghanistan,AIA,2046,0.381819296
Afghanistan,AIA,2047,0.373098531
Afghanistan,AIA,2048,0.364576949
Afghanistan,AIA,2049,0.35625
Afghanistan,AIA,2050,0.348113239
Afghanistan,ALA,2021,0.680324643
Afghanistan,ALA,2022,0.664786006
Afghanistan,ALA,2023,0.649602273
Afghanistan,ALA,2024,0.634765337
Afghanistan,ALA,2025,0.620267276
Afghanistan,ALA,2026,0.606100352
Afghanistan,ALA,2027,0.592257001
Afghanistan,ALA,2028,0.578729832
Afghanistan,ALA,2029,0.565511625
Afghanistan,ALA,2030,0.552595321
