Year,prodinit_ippu_electronics_tonne,iso_code3
2021,3313.716,"ABW"
2022,3472.20097583822,"ABW"
2023,3638.2658069104,"ABW"
2024,3812.27301467994,"ABW"
2025,3994.60245891121,"ABW"
2026,4185.65216690786,"ABW"
2027,4385.83920241109,"ABW"
2028,4595.60057605459,"ABW"
2029,4815.39419936393,"ABW"
2030,5045.69988438272,"ABW"
2031,5287.0203911079,"ABW"
2032,5539.88252502068,"ABW"
2033,5804.83828710908,"ABW"
2034,6082.46607889246,"ABW"
2035,6373.37196507887,"ABW"
2036,6678.19099661131,"ABW"
2037,6997.58859699136,"ABW"
2038,7332.26201490648,"ABW"
2039,7682.94184633198,"ABW"
2040,8050.39362943059,"ABW"
2041,8435.4195157312,"ABW"
2042,8838.86002123497,"ABW"
2043,9261.59586127161,"ABW"
2044,9704.5498731112,"ABW"
2045,10168.6890305287,"ABW"
2046,10655.026554719,"ABW"
2047,11164.6241261706,"ABW"
2048,11698.5942023265,"ABW"
2049,12258.1024460917,"ABW"
2050,12844.3702704893,"ABW"
2021,104008,"AGO"
2022,107875.513870184,"AGO"
2023,111886.840365705,"AGO"
2024,116047.327126391,"AGO"
2025,120362.520642843,"AGO"
2026,124838.173650655,"AGO"
2027,129480.252799589,"AGO"
2028,134294.946607924,"AGO"
2029,139288.673712587,"AGO"
2030,144468.09142606,"AGO"
2031,149840.104611482,"AGO"
2032,155411.874887756,"AGO"
2033,161190.830176961,"AGO"
2034,167184.674606773,"AGO"
2035,173401.398781105,"AGO"
2036,179849.290432663,"AGO"
2037,186536.945471612,"AGO"
2038,193473.279445088,"AGO"
2039,200667.539422819,"AGO"
2040,208129.316324725,"AGO"
2041,215868.557706905,"AGO"
2042,223895.581023074,"AGO"
2043,232221.08737912,"AGO"
2044,240856.175799125,"AGO"
2045,249812.358021864,"AGO"
2046,259101.573847502,"AGO"
2047,268736.207054964,"AGO"
2048,278729.101911184,"AGO"
2049,289093.580294245,"AGO"
2050,299843.459453243,"AGO"
2021,43809.95,"ALB"
2022,45987.4515850021,"ALB"
2023,48273.1823086517,"ALB"
2024,50672.5215224647,"ALB"
2025,53191.115949786,"ALB"
2026,55834.8929750666,"ALB"
2027,58610.0745936631,"ALB"
2028,61523.1920549886,"ALB"
2029,64581.1012334773,"ALB"
2030,67790.9987635379,"ALB"
2031,71160.4389764686,"ALB"
2032,74697.3516791928,"ALB"
2033,78410.0608166582,"ALB"
2034,82307.3040618203,"ALB"
2035,86398.2533793125,"ALB"
2036,90692.536611201,"ALB"
2037,95200.2601356231,"ALB"
2038,99932.0326516368,"ALB"
2039,104898.990146257,"ALB"
2040,110112.822102436,"ALB"
2041,115585.79900967,"ALB"
2042,121330.801241978,"ALB"
2043,127361.349371205,"ALB"
2044,133691.635987003,"ALB"
2045,140336.559098379,"ALB"
2046,147311.757195398,"ALB"
2047,154633.646053578,"ALB"
2048,162319.45736759,"ALB"
2049,170387.279305178,"ALB"
2050,178856.099076742,"ALB"
2021,1509876,"ARE"
2022,1602815.86758514,"ARE"
2023,1701476.61488936,"ARE"
2024,1806210.38858139,"ARE"
2025,1917391.01158994,"ARE"
2026,2035415.31737803,"ARE"
2027,2160704.56634806,"ARE"
2028,2293705.94943315,"ARE"
2029,2434894.18424154,"ARE"
2030,2584773.20945105,"ARE"
2031,2743877.98350136,"ARE"
2032,2912776.3940042,"ARE"
2033,3092071.28468652,"ARE"
2034,3282402.60710145,"ARE"
2035,3484449.70478703,"ARE"
2036,3698933.73802551,"ARE"
2037,3926620.25785779,"ARE"
2038,4168321.93854045,"ARE"
2039,4424901.47819812,"ARE"
2040,4697274.67802447,"ARE"
2041,4986413.71102228,"ARE"
2042,5293350.59194967,"ARE"
2043,5619180.86085752,"ARE"
2044,5965067.49336577,"ARE"
2045,6332245.05163533,"ARE"
2046,6722024.09085155,"ARE"
2047,7135795.83694714,"ARE"
2048,7575037.15226074,"ARE"
2049,8041315.80685463,"ARE"
2050,8536296.07430661,"ARE"
2021,937819.1,"ARG"
2022,926708.14191297,"ARG"
2023,915728.822635186,"ARG"
2024,904879.582555319,"ARG"
2025,894158.88053978,"ARG"
2026,883565.1937138,"ARG"
2027,873097.017245105,"ARG"
2028,862752.864130159,"ARG"
2029,852531.264982931,"ARG"
2030,842430.767826168,"ARG"
2031,832449.937885148,"ARG"
2032,822587.357383863,"ARG"
2033,812841.62534363,"ARG"
2034,803211.357384078,"ARG"
2035,793695.185526498,"ARG"
2036,784291.757999524,"ARG"
2037,774999.73904711,"ARG"
2038,765817.80873879,"ARG"
2039,756744.662782179,"ARG"
2040,747779.0123377,"ARG"
2041,738919.583835503,"ARG"
2042,730165.118794557,"ARG"
2043,721514.37364388,"ARG"
2044,712966.119545892,"ARG"
2045,704519.142221857,"ARG"
2046,696172.241779397,"ARG"
2047,687924.232542046,"ARG"
2048,679773.942880824,"ARG"
2049,671720.215047808,"ARG"
2050,663761.905011676,"ARG"
2021,20176.07,"ARM"
2022,21711.124783774,"ARM"
2023,23362.9710531638,"ARM"
2024,25140.4946481123,"ARM"
2025,27053.2574694164,"ARM"
2026,29111.5489154264,"ARM"
2027,31326.4412322005,"ARM"
2028,33709.8490748628,"ARM"
2029,36274.5936005642,"ARM"
2030,39034.4714378241,"ARM"
2031,42004.3289032632,"ARM"
2032,45200.1418649634,"ARM"
2033,48639.1016820674,"ARM"
2034,52339.7076829153,"ARM"
2035,56321.8666791912,"ARM"
2036,60607.0000513977,"ARM"
2037,65218.1589817092,"ARM"
2038,70180.1484540795,"ARM"
2039,75519.6606886428,"ARM"
2040,81265.4187281962,"ARM"
2041,87448.3309491647,"ARM"
2042,94101.6573282151,"ARM"
2043,101261.188358923,"ARM"
2044,108965.437580947,"ARM"
2045,117255.848757389,"ARM"
2046,126177.018814814,"ARM"
2047,135776.937745211,"ARM"
2048,146107.246760395,"ARM"
2049,157223.516087553,"ARM"
2050,169185.543900302,"ARM"
2021,153.2304,"ASM"
2022,189.279124178472,"ASM"
2023,233.808610104584,"ASM"
2024,288.814027412194,"ASM"
2025,356.75992596141,"ASM"
2026,440.690661435017,"ASM"
2027,544.366799473548,"ASM"
2028,672.43361001597,"ASM"
2029,830.629201333358,"ASM"
2030,1026.04161932255,"ASM"
2031,1267.42643154382,"ASM"
2032,1565.59902554102,"ASM"
2033,1933.91919859946,"ASM"
2034,2388.88975126892,"ASM"
2035,2950.89590498432,"ASM"
2036,3645.11867382237,"ASM"
2037,4502.66311454967,"ASM"
2038,5561.95200686465,"ASM"
2039,6870.44740849097,"ASM"
2040,8486.7772204042,"ASM"
2041,10483.3620441891,"ASM"
2042,12949.6600294064,"ASM"
2043,15996.1750982508,"ASM"
2044,19759.4081383484,"ASM"
2045,24407.9730047795,"ASM"
2046,30150.1513623697,"ASM"
2047,37243.2248673742,"ASM"
2048,46005.0028224065,"ASM"
2049,56828.0618079261,"ASM"
2050,70197.335305294,"ASM"
2021,1576.452,"ATG"
2022,1599.78307026377,"ATG"
2023,1623.45943416137,"ATG"
2024,1647.48620194675,"ATG"
2025,1671.86855950424,"ATG"
2026,1696.61176946786,"ATG"
2027,1721.72117235725,"ATG"
2028,1747.20218773031,"ATG"
2029,1773.06031535294,"ATG"
2030,1799.30113638612,"ATG"
