,Nation,iso_code3,Year,nemomod_entc_capital_cost_pp_hydropower_mm_usd_per_gw
0,Afghanistan,ABW,2021,5054.931451101745
1,Afghanistan,ABW,2022,4939.476657195858
2,Afghanistan,ABW,2023,4826.6588544272
3,Afghanistan,ABW,2024,4716.417813834956
4,Afghanistan,ABW,2025,4608.694682089681
5,Afghanistan,ABW,2026,4503.43195007383
6,Afghanistan,ABW,2027,4400.573422179918
7,Afghanistan,ABW,2028,4300.064186309911
8,Afghanistan,ABW,2029,4201.850584559825
9,Afghanistan,ABW,2030,4105.880184573895
10,Afghanistan,ABW,2031,4012.101751553024
11,Afghanistan,ABW,2032,3920.4652209025357
12,Afghanistan,ABW,2033,3830.921671504681
13,Afghanistan,ABW,2034,3743.423299601583
14,Afghanistan,ABW,2035,3657.923393274703
15,Afghanistan,ABW,2036,3574.376307507199
16,Afghanistan,ABW,2037,3492.7374398158518
17,Afghanistan,ABW,2038,3412.963206439566
18,Afghanistan,ABW,2039,3335.011019071729
19,Afghanistan,ABW,2040,3258.8392621239936
20,Afghanistan,ABW,2041,3184.4072705093627
21,Afghanistan,ABW,2042,3111.6753079327123
22,Afghanistan,ABW,2043,3040.6045456771517
23,Afghanistan,ABW,2044,2971.15704187491
24,Afghanistan,ABW,2045,2903.2957212516753
25,Afghanistan,ABW,2046,2836.9843553335677
26,Afghanistan,ABW,2047,2772.187543106199
27,Afghanistan,ABW,2048,2708.8706921154635
28,Afghanistan,ABW,2049,2647.0
29,Afghanistan,ABW,2050,2586.5424364454493
30,Afghanistan,AFG,2021,5054.931451101745
31,Afghanistan,AFG,2022,4939.476657195858
32,Afghanistan,AFG,2023,4826.6588544272
33,Afghanistan,AFG,2024,4716.417813834956
34,Afghanistan,AFG,2025,4608.694682089681
35,Afghanistan,AFG,2026,4503.43195007383
36,Afghanistan,AFG,2027,4400.573422179918
37,Afghanistan,AFG,2028,4300.064186309911
38,Afghanistan,AFG,2029,4201.850584559825
39,Afghanistan,AFG,2030,4105.880184573895
40,Afghanistan,AFG,2031,4012.101751553024
41,Afghanistan,AFG,2032,3920.4652209025357
42,Afghanistan,AFG,2033,3830.921671504681
43,Afghanistan,AFG,2034,3743.423299601583
44,Afghanistan,AFG,2035,3657.923393274703
45,Afghanistan,AFG,2036,3574.376307507199
46,Afghanistan,AFG,2037,3492.7374398158518
47,Afghanistan,AFG,2038,3412.963206439566
48,Afghanistan,AFG,2039,3335.011019071729
49,Afghanistan,AFG,2040,3258.8392621239936
50,Afghanistan,AFG,2041,3184.4072705093627
51,Afghanistan,AFG,2042,3111.6753079327123
52,Afghanistan,AFG,2043,3040.6045456771517
53,Afghanistan,AFG,2044,2971.15704187491
54,Afghanistan,AFG,2045,2903.2957212516753
55,Afghanistan,AFG,2046,2836.9843553335677
56,Afghanistan,AFG,2047,2772.187543106199
57,Afghanistan,AFG,2048,2708.8706921154635
58,Afghanistan,AFG,2049,2647.0
59,Afghanistan,AFG,2050,2586.5424364454493
60,Afghanistan,AGO,2021,5054.931451101745
61,Afghanistan,AGO,2022,4939.476657195858
62,Afghanistan,AGO,2023,4826.6588544272
63,Afghanistan,AGO,2024,4716.417813834956
64,Afghanistan,AGO,2025,4608.694682089681
65,Afghanistan,AGO,2026,4503.43195007383
66,Afghanistan,AGO,2027,4400.573422179918
67,Afghanistan,AGO,2028,4300.064186309911
68,Afghanistan,AGO,2029,4201.850584559825
69,Afghanistan,AGO,2030,4105.880184573895
70,Afghanistan,AGO,2031,4012.101751553024
71,Afghanistan,AGO,2032,3920.4652209025357
72,Afghanistan,AGO,2033,3830.921671504681
73,Afghanistan,AGO,2034,3743.423299601583
74,Afghanistan,AGO,2035,3657.923393274703
75,Afghanistan,AGO,2036,3574.376307507199
76,Afghanistan,AGO,2037,3492.7374398158518
77,Afghanistan,AGO,2038,3412.963206439566
78,Afghanistan,AGO,2039,3335.011019071729
79,Afghanistan,AGO,2040,3258.8392621239936
80,Afghanistan,AGO,2041,3184.4072705093627
81,Afghanistan,AGO,2042,3111.6753079327123
82,Afghanistan,AGO,2043,3040.6045456771517
83,Afghanistan,AGO,2044,2971.15704187491
84,Afghanistan,AGO,2045,2903.2957212516753
85,Afghanistan,AGO,2046,2836.9843553335677
86,Afghanistan,AGO,2047,2772.187543106199
87,Afghanistan,AGO,2048,2708.8706921154635
88,Afghanistan,AGO,2049,2647.0
89,Afghanistan,AGO,2050,2586.5424364454493
90,Afghanistan,AIA,2021,5054.931451101745
91,Afghanistan,AIA,2022,4939.476657195858
92,Afghanistan,AIA,2023,4826.6588544272
93,Afghanistan,AIA,2024,4716.417813834956
94,Afghanistan,AIA,2025,4608.694682089681
95,Afghanistan,AIA,2026,4503.43195007383
96,Afghanistan,AIA,2027,4400.573422179918
97,Afghanistan,AIA,2028,4300.064186309911
98,Afghanistan,AIA,2029,4201.850584559825
99,Afghanistan,AIA,2030,4105.880184573895
100,Afghanistan,AIA,2031,4012.101751553024
101,Afghanistan,AIA,2032,3920.4652209025357
102,Afghanistan,AIA,2033,3830.921671504681
103,Afghanistan,AIA,2034,3743.423299601583
104,Afghanistan,AIA,2035,3657.923393274703
105,Afghanistan,AIA,2036,3574.376307507199
106,Afghanistan,AIA,2037,3492.7374398158518
107,Afghanistan,AIA,2038,3412.963206439566
108,Afghanistan,AIA,2039,3335.011019071729
109,Afghanistan,AIA,2040,3258.8392621239936
110,Afghanistan,AIA,2041,3184.4072705093627
111,Afghanistan,AIA,2042,3111.6753079327123
112,Afghanistan,AIA,2043,3040.6045456771517
113,Afghanistan,AIA,2044,2971.15704187491
114,Afghanistan,AIA,2045,2903.2957212516753
115,Afghanistan,AIA,2046,2836.9843553335677
116,Afghanistan,AIA,2047,2772.187543106199
117,Afghanistan,AIA,2048,2708.8706921154635
118,Afghanistan,AIA,2049,2647.0
119,Afghanistan,AIA,2050,2586.5424364454493
120,Afghanistan,ALA,2021,5054.931451101745
121,Afghanistan,ALA,2022,4939.476657195858
122,Afghanistan,ALA,2023,4826.6588544272
123,Afghanistan,ALA,2024,4716.417813834956
124,Afghanistan,ALA,2025,4608.694682089681
125,Afghanistan,ALA,2026,4503.43195007383
126,Afghanistan,ALA,2027,4400.573422179918
127,Afghanistan,ALA,2028,4300.064186309911
