Year,iso_code3,ef_lndu_conv_forests_mangroves_to_croplands_gg_co2_ha
2015,AFG,0.131378
2016,AFG,0.131378
2017,AFG,0.131378
2018,AFG,0.131378
2019,AFG,0.131378
2015,AGO,0.090912
2016,AGO,0.090912
2017,AGO,0.090912
2018,AGO,0.090912
2019,AGO,0.090912
2015,ALB,0.18037
2016,ALB,0.18037
2017,ALB,0.18037
2018,ALB,0.18037
2019,ALB,0.18037
2015,ARG,0.142466
2016,ARG,0.142466
2017,ARG,0.142466
2018,ARG,0.142466
2019,ARG,0.142466
2015,AUS,0.119921
2016,AUS,0.119921
2017,AUS,0.119921
2018,AUS,0.119921
2019,AUS,0.119921
2015,AUT,0.180384
2016,AUT,0.180384
2017,AUT,0.180384
2018,AUT,0.180384
2019,AUT,0.180384
2015,AZE,0.260001
2016,AZE,0.260001
2017,AZE,0.260001
2018,AZE,0.260001
2019,AZE,0.260001
2015,BDI,0.078907
2016,BDI,0.078907
2017,BDI,0.078907
2018,BDI,0.078907
2019,BDI,0.078907
2015,BEL,0.173655
2016,BEL,0.173655
2017,BEL,0.173655
2018,BEL,0.173655
2019,BEL,0.173655
2015,BEN,0.083441
2016,BEN,0.083441
2017,BEN,0.083441
2018,BEN,0.083441
2019,BEN,0.083441
2015,BFA,0.092968
2016,BFA,0.092968
2017,BFA,0.092968
2018,BFA,0.092968
2019,BFA,0.092968
2015,BGD,0.223372
2016,BGD,0.223372
2017,BGD,0.223372
2018,BGD,0.223372
2019,BGD,0.223372
2015,BGR,0.196913
2016,BGR,0.196913
2017,BGR,0.196913
2018,BGR,0.196913
2019,BGR,0.196913
2015,BHS,0.12743
2016,BHS,0.12743
2017,BHS,0.12743
2018,BHS,0.12743
2019,BHS,0.12743
2015,BIH,0.190783
2016,BIH,0.190783
2017,BIH,0.190783
2018,BIH,0.190783
2019,BIH,0.190783
2015,BOL,0.152552
2016,BOL,0.152552
2017,BOL,0.152552
2018,BOL,0.152552
2019,BOL,0.152552
2015,BRA,0.201364
2016,BRA,0.201364
2017,BRA,0.201364
2018,BRA,0.201364
2019,BRA,0.201364
2015,BTN,0.280697
2016,BTN,0.280697
2017,BTN,0.280697
2018,BTN,0.280697
2019,BTN,0.280697
2015,CAF,0.084086
2016,CAF,0.084086
2017,CAF,0.084086
2018,CAF,0.084086
2019,CAF,0.084086
2015,CAN,0.145839
2016,CAN,0.145839
2017,CAN,0.145839
2018,CAN,0.145839
2019,CAN,0.145839
2015,CHE,0.163161
2016,CHE,0.163161
2017,CHE,0.163161
