"iso_code3","frac_waso_initial_composition_ind_chemical_industrial","Year"
"ABW",0.844389867569521,2010
"ABW",0.844389867569521,2011
"ABW",0.844389867569521,2012
"ABW",0.844389867569521,2013
"ABW",0.844389867569521,2014
"ABW",0.844389867569521,2015
"ABW",0.844389867569521,2016
"ABW",0.844389867569521,2017
"ABW",0.844389867569521,2018
"ABW",0.844389867569521,2019
"ABW",0.844389867569521,2020
"AFG",0.844389867569521,2010
"AFG",0.844389867569521,2011
"AFG",0.844389867569521,2012
"AFG",0.844389867569521,2013
"AFG",0.844389867569521,2014
"AFG",0.844389867569521,2015
"AFG",0.844389867569521,2016
"AFG",0.844389867569521,2017
"AFG",0.844389867569521,2018
"AFG",0.844389867569521,2019
"AFG",0.844389867569521,2020
"AGO",1,2010
"AGO",1,2011
"AGO",1,2012
"AGO",1,2013
"AGO",1,2014
"AGO",1,2015
"AGO",1,2016
"AGO",1,2017
"AGO",1,2018
"AGO",1,2019
"AGO",1,2020
"ALB",1,2010
"ALB",1,2011
"ALB",1,2012
"ALB",1,2013
"ALB",1,2014
"ALB",1,2015
"ALB",1,2016
"ALB",1,2017
"ALB",1,2018
"ALB",1,2019
"ALB",1,2020
"AND",1,2010
"AND",1,2011
"AND",1,2012
"AND",1,2013
"AND",1,2014
"AND",1,2015
"AND",1,2016
"AND",1,2017
"AND",1,2018
"AND",1,2019
"AND",1,2020
"ARE",0.928245860363283,2010
"ARE",0.928245860363283,2011
"ARE",0.928245860363283,2012
"ARE",0.928245860363283,2013
"ARE",0.928245860363283,2014
"ARE",0.928245860363283,2015
"ARE",0.928245860363283,2016
"ARE",0.928245860363283,2017
"ARE",0.928245860363283,2018
"ARE",0.928245860363283,2019
"ARE",0.928245860363283,2020
"ARG",1,2010
"ARG",1,2011
"ARG",1,2012
"ARG",1,2013
"ARG",1,2014
"ARG",1,2015
"ARG",1,2016
"ARG",1,2017
"ARG",1,2018
"ARG",1,2019
"ARG",1,2020
"ARM",0.999966874981539,2010
"ARM",0.999966874981539,2011
"ARM",0.999966874981539,2012
"ARM",0.999966874981539,2013
"ARM",0.999966874981539,2014
"ARM",0.999966874981539,2015
"ARM",0.999966874981539,2016
"ARM",0.999966874981539,2017
"ARM",0.999966874981539,2018
"ARM",0.999966874981539,2019
"ARM",0.999966874981539,2020
"ASM",0.844389867569521,2010
"ASM",0.844389867569521,2011
"ASM",0.844389867569521,2012
"ASM",0.844389867569521,2013
"ASM",0.844389867569521,2014
"ASM",0.844389867569521,2015
"ASM",0.844389867569521,2016
"ASM",0.844389867569521,2017
"ASM",0.844389867569521,2018
"ASM",0.844389867569521,2019
"ASM",0.844389867569521,2020
"ATG",1,2010
"ATG",1,2011
"ATG",1,2012
"ATG",1,2013
"ATG",1,2014
"ATG",1,2015
"ATG",1,2016
"ATG",1,2017
"ATG",1,2018
"ATG",1,2019
"ATG",1,2020
"AUS",1,2010
"AUS",1,2011
"AUS",1,2012
"AUS",1,2013
"AUS",1,2014
"AUS",1,2015
"AUS",1,2016
"AUS",1,2017
"AUS",1,2018
"AUS",1,2019
"AUS",1,2020
"AUT",0.959357330466456,2010
"AUT",0.959357330466456,2011
"AUT",0.959357330466456,2012
"AUT",0.959357330466456,2013
"AUT",0.959357330466456,2014
"AUT",0.959357330466456,2015
"AUT",0.959357330466456,2016
"AUT",0.959357330466456,2017
"AUT",0.959357330466456,2018
"AUT",0.959357330466456,2019
"AUT",0.959357330466456,2020
"AZE",1,2010
"AZE",1,2011
"AZE",1,2012
"AZE",1,2013
"AZE",1,2014
"AZE",1,2015
"AZE",1,2016
"AZE",1,2017
"AZE",1,2018
"AZE",1,2019
"AZE",1,2020
"BDI",1,2010
"BDI",1,2011
"BDI",1,2012
"BDI",1,2013
"BDI",1,2014
"BDI",1,2015
"BDI",1,2016
"BDI",1,2017
"BDI",1,2018
"BDI",1,2019
"BDI",1,2020
"BEL",0.88113187846101,2010
"BEL",0.88113187846101,2011
"BEL",0.88113187846101,2012
"BEL",0.88113187846101,2013
"BEL",0.88113187846101,2014
"BEL",0.88113187846101,2015
"BEL",0.88113187846101,2016
"BEL",0.88113187846101,2017
"BEL",0.88113187846101,2018
"BEL",0.88113187846101,2019
"BEL",0.88113187846101,2020
"BEN",1,2010
"BEN",1,2011
"BEN",1,2012
"BEN",1,2013
"BEN",1,2014
"BEN",1,2015
"BEN",1,2016
"BEN",1,2017
"BEN",1,2018
"BEN",1,2019
"BEN",1,2020
"BFA",1,2010
"BFA",1,2011
"BFA",1,2012
"BFA",1,2013
"BFA",1,2014
"BFA",1,2015
"BFA",1,2016
"BFA",1,2017
"BFA",1,2018
"BFA",1,2019
"BFA",1,2020
"BGD",0.844389867569521,2010
"BGD",0.844389867569521,2011
"BGD",0.844389867569521,2012
"BGD",0.844389867569521,2013
"BGD",0.844389867569521,2014
"BGD",0.844389867569521,2015
"BGD",0.844389867569521,2016
"BGD",0.844389867569521,2017
"BGD",0.844389867569521,2018
