Year,iso_code3,ef_frst_sequestration_mangroves_kt_co2_ha
2015,AFG,0.004723555893322074
2016,AFG,0.004723555893322074
2017,AFG,0.004723555893322074
2018,AFG,0.004723555893322074
2019,AFG,0.004723555893322074
2015,AGO,0.0022206275343895194
2016,AGO,0.0022206275343895194
2017,AGO,0.0022206275343895194
2018,AGO,0.0022206275343895194
2019,AGO,0.0022206275343895194
2015,ALB,0.0002081088607594936
2016,ALB,0.0002081088607594936
2017,ALB,0.0002081088607594936
2018,ALB,0.0002081088607594936
2019,ALB,0.0002081088607594936
2015,ARG,0.003559756584063866
2016,ARG,0.003559756584063866
2017,ARG,0.003559756584063866
2018,ARG,0.003559756584063866
2019,ARG,0.003559756584063866
2015,AUS,0.004114723743515509
2016,AUS,0.004114723743515509
2017,AUS,0.004114723743515509
2018,AUS,0.004114723743515509
2019,AUS,0.004114723743515509
2015,AUT,0.0023613183962911143
2016,AUT,0.0023613183962911143
2017,AUT,0.0023613183962911143
2018,AUT,0.0023613183962911143
2019,AUT,0.0023613183962911143
2015,AZE,0.003768044609858394
2016,AZE,0.003768044609858394
2017,AZE,0.003768044609858394
2018,AZE,0.003768044609858394
2019,AZE,0.003768044609858394
2015,BDI,0.0015750896057347668
2016,BDI,0.0015750896057347668
2017,BDI,0.0015750896057347668
2018,BDI,0.0015750896057347668
2019,BDI,0.0015750896057347668
2015,BEL,0.0039636666666666666
2016,BEL,0.0039636666666666666
2017,BEL,0.0039636666666666666
2018,BEL,0.0039636666666666666
2019,BEL,0.0039636666666666666
2015,BEN,2.3198717948717947e-06
2016,BEN,2.3198717948717947e-06
2017,BEN,2.3198717948717947e-06
2018,BEN,2.3198717948717947e-06
2019,BEN,2.3198717948717947e-06
2015,BFA,5.850464771655663e-06
2016,BFA,5.850464771655663e-06
2017,BFA,5.850464771655663e-06
2018,BFA,5.850464771655663e-06
2019,BFA,5.850464771655663e-06
2015,BGD,0.002507101185136111
2016,BGD,0.002507101185136111
2017,BGD,0.002507101185136111
2018,BGD,0.002507101185136111
2019,BGD,0.002507101185136111
2015,BGR,0.00371766707847013
2016,BGR,0.00371766707847013
2017,BGR,0.00371766707847013
2018,BGR,0.00371766707847013
