Year,prodinit_ippu_rubber_and_leather_tonne,iso_code3
2021,186.3782,"ABW"
2022,186.021266922802,"ABW"
2023,185.665017408497,"ABW"
2024,185.309450147993,"ABW"
2025,184.954563834705,"ABW"
2026,184.60035716455,"ABW"
2027,184.246828835944,"ABW"
2028,183.893977549794,"ABW"
2029,183.541802009494,"ABW"
2030,183.190300920924,"ABW"
2031,182.83947299244,"ABW"
2032,182.489316934873,"ABW"
2033,182.139831461521,"ABW"
2034,181.791015288149,"ABW"
2035,181.44286713298,"ABW"
2036,181.095385716691,"ABW"
2037,180.748569762409,"ABW"
2038,180.402417995709,"ABW"
2039,180.056929144603,"ABW"
2040,179.712101939541,"ABW"
2041,179.367935113405,"ABW"
2042,179.024427401501,"ABW"
2043,178.68157754156,"ABW"
2044,178.339384273728,"ABW"
2045,177.997846340566,"ABW"
2046,177.656962487042,"ABW"
2047,177.316731460526,"ABW"
2048,176.977152010789,"ABW"
2049,176.638222889996,"ABW"
2050,176.299942852701,"ABW"
2021,6995.027,"AGO"
2022,8009.45290779788,"AGO"
2023,9170.99188927103,"AGO"
2024,10500.9784315218,"AGO"
2025,12023.8409706031,"AGO"
2026,13767.5505791323,"AGO"
2027,15764.1347230376,"AGO"
2028,18050.2655238288,"AGO"
2029,20667.9333312586,"AGO"
2030,23665.2179781754,"AGO"
2031,27097.1718835349,"AGO"
2032,31026.8312239077,"AGO"
2033,35526.3737461029,"AGO"
2034,40678.4444869531,"AGO"
2035,46577.6737503259,"AGO"
2036,53332.4152227016,"AGO"
2037,61066.7361520336,"AGO"
2038,69922.6961443653,"AGO"
2039,80062.9564338428,"AGO"
2040,91673.7675517102,"AGO"
2041,104968.390270092,"AGO"
2042,120191.012654512,"AGO"
2043,137621.235171337,"AGO"
2044,157579.206230054,"AGO"
2045,180431.502487094,"AGO"
2046,206597.861917273,"AGO"
2047,236558.893322088,"AGO"
2048,270864.903878719,"AGO"
2049,310146.006869137,"AGO"
2050,355123.695242336,"AGO"
2021,5276.663,"ALB"
2022,5700.97178492311,"ALB"
2023,6159.40022936644,"ALB"
2024,6654.69197477023,"ALB"
2025,7189.81128518522,"ALB"
2026,7767.9607880516,"ALB"
2027,8392.60064155533,"ALB"
2028,9067.46924327639,"ALB"
2029,9796.60560406772,"ALB"
2030,10584.37352107,"ALB"
2031,11435.4876945348,"ALB"
2032,12355.0419447629,"ALB"
2033,13348.5396980317,"ALB"
2034,14421.9269239678,"ALB"
2035,15581.6277214905,"ALB"
2036,16834.5827663039,"ALB"
2037,18188.2908500412,"ALB"
2038,19650.8537596698,"ALB"
2039,21231.024765752,"ALB"
2040,22938.2610097625,"ALB"
2041,24782.7801039895,"ALB"
2042,26775.6212827687,"ALB"
2043,28928.7114710284,"ALB"
2044,31254.936665562,"ALB"
2045,33768.2190562346,"ALB"
2046,36483.6003486855,"ALB"
2047,39417.3317872048,"ALB"
2048,42586.9714165576,"ALB"
2049,46011.4891648608,"ALB"
2050,49711.3803764172,"ALB"
2021,43471.08,"ARE"
2022,43799.5595697874,"ARE"
2023,44130.5212225542,"ARE"
2024,44463.9837136098,"ARE"
2025,44799.9659399837,"ARE"
2026,45138.4869414967,"ARE"
2027,45479.5659018399,"ARE"
2028,45823.2221496615,"ARE"
2029,46169.4751596624,"ARE"
2030,46518.3445536998,"ARE"
2031,46869.8501018992,"ARE"
2032,47224.0117237745,"ARE"
2033,47580.849489357,"ARE"
2034,47940.3836203328,"ARE"
2035,48302.6344911887,"ARE"
2036,48667.6226303668,"ARE"
2037,49035.3687214277,"ARE"
2038,49405.8936042229,"ARE"
2039,49779.2182760754,"ARE"
2040,50155.36389297,"ARE"
2041,50534.351770752,"ARE"
2042,50916.203386335,"ARE"
2043,51300.9403789183,"ARE"
2044,51688.584551213,"ARE"
2045,52079.1578706773,"ARE"
2046,52472.6824707619,"ARE"
2047,52869.180652164,"ARE"
2048,53268.6748840909,"ARE"
2049,53671.1878055336,"ARE"
2050,54076.7422265495,"ARE"
2021,80388.34,"ARG"
2022,77686.2588581805,"ARG"
2023,75075.0023620369,"ARG"
2024,72551.5176364597,"ARG"
2025,70112.8544221694,"ARG"
2026,67756.1616265067,"ARG"
2027,65478.6839901597,"ARG"
