,Nation,iso_code3,Year,fuelefficiency_trns_public_biofuels_km_per_litre
0,Aruba,ABW,2023,1.874884
1,Aruba,ABW,2024,1.874884
2,Aruba,ABW,2025,1.874884
3,Aruba,ABW,2026,1.874884
4,Aruba,ABW,2027,1.874884
5,Aruba,ABW,2028,1.874884
6,Aruba,ABW,2029,1.874884
7,Aruba,ABW,2030,1.874884
8,Aruba,ABW,2031,1.874884
9,Aruba,ABW,2032,1.874884
10,Aruba,ABW,2033,1.874884
11,Aruba,ABW,2034,1.874884
12,Aruba,ABW,2035,1.874884
13,Aruba,ABW,2036,1.874884
14,Aruba,ABW,2037,1.874884
15,Aruba,ABW,2038,1.874884
16,Aruba,ABW,2039,1.874884
17,Aruba,ABW,2040,1.874884
18,Aruba,ABW,2041,1.874884
19,Aruba,ABW,2042,1.874884
20,Aruba,ABW,2043,1.874884
21,Aruba,ABW,2044,1.874884
22,Aruba,ABW,2045,1.874884
23,Aruba,ABW,2046,1.874884
24,Aruba,ABW,2047,1.874884
25,Aruba,ABW,2048,1.874884
26,Aruba,ABW,2049,1.874884
27,Aruba,ABW,2050,1.874884
28,Africa Eastern and Southern,AFE,2023,1.874884
29,Africa Eastern and Southern,AFE,2024,1.874884
30,Africa Eastern and Southern,AFE,2025,1.874884
31,Africa Eastern and Southern,AFE,2026,1.874884
32,Africa Eastern and Southern,AFE,2027,1.874884
33,Africa Eastern and Southern,AFE,2028,1.874884
34,Africa Eastern and Southern,AFE,2029,1.874884
35,Africa Eastern and Southern,AFE,2030,1.874884
36,Africa Eastern and Southern,AFE,2031,1.874884
37,Africa Eastern and Southern,AFE,2032,1.874884
38,Africa Eastern and Southern,AFE,2033,1.874884
39,Africa Eastern and Southern,AFE,2034,1.874884
40,Africa Eastern and Southern,AFE,2035,1.874884
41,Africa Eastern and Southern,AFE,2036,1.874884
42,Africa Eastern and Southern,AFE,2037,1.874884
43,Africa Eastern and Southern,AFE,2038,1.874884
44,Africa Eastern and Southern,AFE,2039,1.874884
45,Africa Eastern and Southern,AFE,2040,1.874884
46,Africa Eastern and Southern,AFE,2041,1.874884
47,Africa Eastern and Southern,AFE,2042,1.874884
48,Africa Eastern and Southern,AFE,2043,1.874884
49,Africa Eastern and Southern,AFE,2044,1.874884
50,Africa Eastern and Southern,AFE,2045,1.874884
51,Africa Eastern and Southern,AFE,2046,1.874884
52,Africa Eastern and Southern,AFE,2047,1.874884
53,Africa Eastern and Southern,AFE,2048,1.874884
54,Africa Eastern and Southern,AFE,2049,1.874884
55,Africa Eastern and Southern,AFE,2050,1.874884
56,Afghanistan,AFG,2023,1.874884
57,Afghanistan,AFG,2024,1.874884
58,Afghanistan,AFG,2025,1.874884
59,Afghanistan,AFG,2026,1.874884
60,Afghanistan,AFG,2027,1.874884
61,Afghanistan,AFG,2028,1.874884
62,Afghanistan,AFG,2029,1.874884
63,Afghanistan,AFG,2030,1.874884
64,Afghanistan,AFG,2031,1.874884
65,Afghanistan,AFG,2032,1.874884
66,Afghanistan,AFG,2033,1.874884
67,Afghanistan,AFG,2034,1.874884
68,Afghanistan,AFG,2035,1.874884
69,Afghanistan,AFG,2036,1.874884
70,Afghanistan,AFG,2037,1.874884
71,Afghanistan,AFG,2038,1.874884
72,Afghanistan,AFG,2039,1.874884
73,Afghanistan,AFG,2040,1.874884
74,Afghanistan,AFG,2041,1.874884
75,Afghanistan,AFG,2042,1.874884
76,Afghanistan,AFG,2043,1.874884
77,Afghanistan,AFG,2044,1.874884
78,Afghanistan,AFG,2045,1.874884
79,Afghanistan,AFG,2046,1.874884
80,Afghanistan,AFG,2047,1.874884
81,Afghanistan,AFG,2048,1.874884
82,Afghanistan,AFG,2049,1.874884
83,Afghanistan,AFG,2050,1.874884
84,Africa Western and Central,AFW,2023,1.874884
85,Africa Western and Central,AFW,2024,1.874884
86,Africa Western and Central,AFW,2025,1.874884
87,Africa Western and Central,AFW,2026,1.874884
88,Africa Western and Central,AFW,2027,1.874884
89,Africa Western and Central,AFW,2028,1.874884
90,Africa Western and Central,AFW,2029,1.874884
91,Africa Western and Central,AFW,2030,1.874884
92,Africa Western and Central,AFW,2031,1.874884
93,Africa Western and Central,AFW,2032,1.874884
94,Africa Western and Central,AFW,2033,1.874884
95,Africa Western and Central,AFW,2034,1.874884
96,Africa Western and Central,AFW,2035,1.874884
97,Africa Western and Central,AFW,2036,1.874884
98,Africa Western and Central,AFW,2037,1.874884
99,Africa Western and Central,AFW,2038,1.874884
100,Africa Western and Central,AFW,2039,1.874884
101,Africa Western and Central,AFW,2040,1.874884
102,Africa Western and Central,AFW,2041,1.874884
103,Africa Western and Central,AFW,2042,1.874884
104,Africa Western and Central,AFW,2043,1.874884
105,Africa Western and Central,AFW,2044,1.874884
106,Africa Western and Central,AFW,2045,1.874884
107,Africa Western and Central,AFW,2046,1.874884
108,Africa Western and Central,AFW,2047,1.874884
109,Africa Western and Central,AFW,2048,1.874884
110,Africa Western and Central,AFW,2049,1.874884
111,Africa Western and Central,AFW,2050,1.874884
112,Angola,AGO,2023,1.874884
113,Angola,AGO,2024,1.874884
114,Angola,AGO,2025,1.874884
115,Angola,AGO,2026,1.874884
116,Angola,AGO,2027,1.874884
117,Angola,AGO,2028,1.874884
118,Angola,AGO,2029,1.874884
119,Angola,AGO,2030,1.874884
120,Angola,AGO,2031,1.874884
121,Angola,AGO,2032,1.874884
122,Angola,AGO,2033,1.874884
123,Angola,AGO,2034,1.874884
124,Angola,AGO,2035,1.874884
125,Angola,AGO,2036,1.874884
126,Angola,AGO,2037,1.874884
127,Angola,AGO,2038,1.874884
128,Angola,AGO,2039,1.874884
129,Angola,AGO,2040,1.874884
130,Angola,AGO,2041,1.874884
131,Angola,AGO,2042,1.874884
132,Angola,AGO,2043,1.874884
133,Angola,AGO,2044,1.874884
134,Angola,AGO,2045,1.874884
135,Angola,AGO,2046,1.874884
136,Angola,AGO,2047,1.874884
137,Angola,AGO,2048,1.874884
138,Angola,AGO,2049,1.874884
139,Angola,AGO,2050,1.874884
140,Albania,ALB,2023,1.874884
141,Albania,ALB,2024,1.874884
142,Albania,ALB,2025,1.874884
143,Albania,ALB,2026,1.874884
144,Albania,ALB,2027,1.874884
145,Albania,ALB,2028,1.874884
146,Albania,ALB,2029,1.874884
147,Albania,ALB,2030,1.874884
148,Albania,ALB,2031,1.874884
149,Albania,ALB,2032,1.874884
150,Albania,ALB,2033,1.874884
151,Albania,ALB,2034,1.874884
152,Albania,ALB,2035,1.874884
153,Albania,ALB,2036,1.874884
154,Albania,ALB,2037,1.874884
155,Albania,ALB,2038,1.874884
156,Albania,ALB,2039,1.874884
157,Albania,ALB,2040,1.874884
158,Albania,ALB,2041,1.874884
159,Albania,ALB,2042,1.874884
160,Albania,ALB,2043,1.874884
161,Albania,ALB,2044,1.874884
162,Albania,ALB,2045,1.874884
163,Albania,ALB,2046,1.874884
164,Albania,ALB,2047,1.874884
165,Albania,ALB,2048,1.874884
166,Albania,ALB,2049,1.874884
167,Albania,ALB,2050,1.874884
168,Andorra,AND,2023,1.874884
169,Andorra,AND,2024,1.874884
170,Andorra,AND,2025,1.874884
171,Andorra,AND,2026,1.874884
172,Andorra,AND,2027,1.874884
173,Andorra,AND,2028,1.874884
174,Andorra,AND,2029,1.874884
175,Andorra,AND,2030,1.874884
176,Andorra,AND,2031,1.874884
177,Andorra,AND,2032,1.874884
178,Andorra,AND,2033,1.874884
179,Andorra,AND,2034,1.874884
180,Andorra,AND,2035,1.874884
181,Andorra,AND,2036,1.874884
182,Andorra,AND,2037,1.874884
183,Andorra,AND,2038,1.874884
184,Andorra,AND,2039,1.874884
185,Andorra,AND,2040,1.874884
186,Andorra,AND,2041,1.874884
187,Andorra,AND,2042,1.874884
188,Andorra,AND,2043,1.874884
189,Andorra,AND,2044,1.874884
190,Andorra,AND,2045,1.874884
191,Andorra,AND,2046,1.874884
192,Andorra,AND,2047,1.874884
193,Andorra,AND,2048,1.874884
194,Andorra,AND,2049,1.874884
195,Andorra,AND,2050,1.874884
196,Arab World,ARB,2023,1.874884
197,Arab World,ARB,2024,1.874884
198,Arab World,ARB,2025,1.874884
199,Arab World,ARB,2026,1.874884
200,Arab World,ARB,2027,1.874884
201,Arab World,ARB,2028,1.874884
202,Arab World,ARB,2029,1.874884
203,Arab World,ARB,2030,1.874884
204,Arab World,ARB,2031,1.874884
205,Arab World,ARB,2032,1.874884
206,Arab World,ARB,2033,1.874884
207,Arab World,ARB,2034,1.874884
208,Arab World,ARB,2035,1.874884
209,Arab World,ARB,2036,1.874884
210,Arab World,ARB,2037,1.874884
211,Arab World,ARB,2038,1.874884
212,Arab World,ARB,2039,1.874884
213,Arab World,ARB,2040,1.874884
214,Arab World,ARB,2041,1.874884
215,Arab World,ARB,2042,1.874884
216,Arab World,ARB,2043,1.874884
217,Arab World,ARB,2044,1.874884
218,Arab World,ARB,2045,1.874884
219,Arab World,ARB,2046,1.874884
220,Arab World,ARB,2047,1.874884
221,Arab World,ARB,2048,1.874884
222,Arab World,ARB,2049,1.874884
223,Arab World,ARB,2050,1.874884
224,United Arab Emirates,ARE,2023,1.874884
225,United Arab Emirates,ARE,2024,1.874884
226,United Arab Emirates,ARE,2025,1.874884
227,United Arab Emirates,ARE,2026,1.874884
228,United Arab Emirates,ARE,2027,1.874884
229,United Arab Emirates,ARE,2028,1.874884
230,United Arab Emirates,ARE,2029,1.874884
231,United Arab Emirates,ARE,2030,1.874884
232,United Arab Emirates,ARE,2031,1.874884
233,United Arab Emirates,ARE,2032,1.874884
234,United Arab Emirates,ARE,2033,1.874884
235,United Arab Emirates,ARE,2034,1.874884
