Year,iso_code3,cost_enfu_fuel_diesel_usd_per_m3
2015,ABW,1840.4389266888888
2016,ABW,1840.4389266888888
2017,ABW,1840.4389266888888
2018,ABW,1840.4389266888888
2019,ABW,1840.4389266888888
2020,ABW,1840.4389266888888
2015,AFG,1840.4389266888888
2016,AFG,1840.4389266888888
2017,AFG,1840.4389266888888
2018,AFG,1840.4389266888888
2019,AFG,1840.4389266888888
2020,AFG,1840.4389266888888
2015,AGO,1840.4389266888888
2016,AGO,1840.4389266888888
2017,AGO,1840.4389266888888
2018,AGO,1840.4389266888888
2019,AGO,1840.4389266888888
2020,AGO,1840.4389266888888
2015,ALB,1837.991497
2016,ALB,1837.991497
2017,ALB,1837.991497
2018,ALB,1837.991497
2019,ALB,1837.991497
2020,ALB,1837.991497
2015,AND,1840.4389266888888
2016,AND,1840.4389266888888
2017,AND,1840.4389266888888
2018,AND,1840.4389266888888
2019,AND,1840.4389266888888
2020,AND,1840.4389266888888
2015,ARE,905.0
2016,ARE,905.0
2017,ARE,905.0
2018,ARE,905.0
2019,ARE,905.0
2020,ARE,905.0
2015,ARG,1611.428571
2016,ARG,1611.428571
2017,ARG,1611.428571
2018,ARG,1611.428571
2019,ARG,1611.428571
2020,ARG,1611.428571
2015,ARM,2165.714286
2016,ARM,2165.714286
2017,ARM,2165.714286
2018,ARM,2165.714286
2019,ARM,2165.714286
2020,ARM,2165.714286
2015,ASM,1840.4389266888888
2016,ASM,1840.4389266888888
2017,ASM,1840.4389266888888
2018,ASM,1840.4389266888888
2019,ASM,1840.4389266888888
2020,ASM,1840.4389266888888
2015,ATG,1840.4389266888888
2016,ATG,1840.4389266888888
2017,ATG,1840.4389266888888
2018,ATG,1840.4389266888888
2019,ATG,1840.4389266888888
2020,ATG,1840.4389266888888
2015,AUS,930.0
2016,AUS,930.0
2017,AUS,930.0
2018,AUS,930.0
2019,AUS,930.0
2020,AUS,930.0
2015,AUT,1507.5
2016,AUT,1507.5
2017,AUT,1507.5
2018,AUT,1507.5
2019,AUT,1507.5
2020,AUT,1507.5
2015,AZE,1635.0
2016,AZE,1635.0
2017,AZE,1635.0
2018,AZE,1635.0
2019,AZE,1635.0
2020,AZE,1635.0
2015,BDI,1840.4389266888888
2016,BDI,1840.4389266888888
2017,BDI,1840.4389266888888
2018,BDI,1840.4389266888888
2019,BDI,1840.4389266888888
2020,BDI,1840.4389266888888
2015,BEL,1658.75
2016,BEL,1658.75
2017,BEL,1658.75
2018,BEL,1658.75
2019,BEL,1658.75
2020,BEL,1658.75
2015,BEN,1840.4389266888888
2016,BEN,1840.4389266888888
2017,BEN,1840.4389266888888
2018,BEN,1840.4389266888888
2019,BEN,1840.4389266888888
2020,BEN,1840.4389266888888
2015,BFA,1840.4389266888888
2016,BFA,1840.4389266888888
2017,BFA,1840.4389266888888
2018,BFA,1840.4389266888888
2019,BFA,1840.4389266888888
2020,BFA,1840.4389266888888
2015,BGD,2330.0
2016,BGD,2330.0
2017,BGD,2330.0
2018,BGD,2330.0
2019,BGD,2330.0
2020,BGD,2330.0
2015,BGR,3332.857143
2016,BGR,3332.857143
2017,BGR,3332.857143
2018,BGR,3332.857143
2019,BGR,3332.857143
2020,BGR,3332.857143
2015,BHR,500.0
2016,BHR,500.0
2017,BHR,500.0
2018,BHR,500.0
2019,BHR,500.0
2020,BHR,500.0
2015,BHS,1840.4389266888888
2016,BHS,1840.4389266888888
2017,BHS,1840.4389266888888
2018,BHS,1840.4389266888888
2019,BHS,1840.4389266888888
2020,BHS,1840.4389266888888
2015,BIH,1837.991497
2016,BIH,1837.991497
2017,BIH,1837.991497
2018,BIH,1837.991497
2019,BIH,1837.991497
2020,BIH,1837.991497
2015,BLR,2245.0
2016,BLR,2245.0
2017,BLR,2245.0
2018,BLR,2245.0
2019,BLR,2245.0
2020,BLR,2245.0
2015,BLZ,1840.4389266888888
2016,BLZ,1840.4389266888888
2017,BLZ,1840.4389266888888
2018,BLZ,1840.4389266888888
2019,BLZ,1840.4389266888888
2020,BLZ,1840.4389266888888
2015,BMU,1840.4389266888888
2016,BMU,1840.4389266888888
2017,BMU,1840.4389266888888
2018,BMU,1840.4389266888888
2019,BMU,1840.4389266888888
2020,BMU,1840.4389266888888
2015,BOL,1192.0
2016,BOL,1192.0
2017,BOL,1192.0
2018,BOL,1192.0
2019,BOL,1192.0
2020,BOL,1192.0
2015,BRA,1432.8571430000002
2016,BRA,1432.8571430000002
2017,BRA,1432.8571430000002
2018,BRA,1432.8571430000002
2019,BRA,1432.8571430000002
2020,BRA,1432.8571430000002
2015,BRB,1840.4389266888888
2016,BRB,1840.4389266888888
2017,BRB,1840.4389266888888
2018,BRB,1840.4389266888888
2019,BRB,1840.4389266888888
2020,BRB,1840.4389266888888
2015,BRN,1840.4389266888888
