"Nation","iso_code3","Year","nemomod_entc_variable_cost_pp_hydropower_mm_usd_per_gw"
"Afghanistan","ABW",2021,5.05493145110175
"Afghanistan","ABW",2022,4.93947665719586
"Afghanistan","ABW",2023,4.8266588544272
"Afghanistan","ABW",2024,4.71641781383496
"Afghanistan","ABW",2025,4.60869468208968
"Afghanistan","ABW",2026,4.50343195007383
"Afghanistan","ABW",2027,4.40057342217992
"Afghanistan","ABW",2028,4.30006418630991
"Afghanistan","ABW",2029,4.20185058455982
"Afghanistan","ABW",2030,4.1058801845739
"Afghanistan","ABW",2031,4.01210175155302
"Afghanistan","ABW",2032,3.92046522090254
"Afghanistan","ABW",2033,3.83092167150468
"Afghanistan","ABW",2034,3.74342329960158
"Afghanistan","ABW",2035,3.6579233932747
"Afghanistan","ABW",2036,3.5743763075072
"Afghanistan","ABW",2037,3.49273743981585
"Afghanistan","ABW",2038,3.41296320643957
"Afghanistan","ABW",2039,3.33501101907173
"Afghanistan","ABW",2040,3.25883926212399
"Afghanistan","ABW",2041,3.18440727050936
"Afghanistan","ABW",2042,3.11167530793271
"Afghanistan","ABW",2043,3.04060454567715
"Afghanistan","ABW",2044,2.97115704187491
"Afghanistan","ABW",2045,2.90329572125168
"Afghanistan","ABW",2046,2.83698435533357
"Afghanistan","ABW",2047,2.7721875431062
"Afghanistan","ABW",2048,2.70887069211546
"Afghanistan","ABW",2049,2.647
"Afghanistan","ABW",2050,2.58654243644545
"Afghanistan","AFG",2021,5.05493145110175
"Afghanistan","AFG",2022,4.93947665719586
"Afghanistan","AFG",2023,4.8266588544272
"Afghanistan","AFG",2024,4.71641781383496
"Afghanistan","AFG",2025,4.60869468208968
"Afghanistan","AFG",2026,4.50343195007383
"Afghanistan","AFG",2027,4.40057342217992
"Afghanistan","AFG",2028,4.30006418630991
"Afghanistan","AFG",2029,4.20185058455982
"Afghanistan","AFG",2030,4.1058801845739
"Afghanistan","AFG",2031,4.01210175155302
"Afghanistan","AFG",2032,3.92046522090254
"Afghanistan","AFG",2033,3.83092167150468
"Afghanistan","AFG",2034,3.74342329960158
"Afghanistan","AFG",2035,3.6579233932747
"Afghanistan","AFG",2036,3.5743763075072
"Afghanistan","AFG",2037,3.49273743981585
"Afghanistan","AFG",2038,3.41296320643957
"Afghanistan","AFG",2039,3.33501101907173
"Afghanistan","AFG",2040,3.25883926212399
"Afghanistan","AFG",2041,3.18440727050936
"Afghanistan","AFG",2042,3.11167530793271
"Afghanistan","AFG",2043,3.04060454567715
"Afghanistan","AFG",2044,2.97115704187491
"Afghanistan","AFG",2045,2.90329572125168
"Afghanistan","AFG",2046,2.83698435533357
"Afghanistan","AFG",2047,2.7721875431062
"Afghanistan","AFG",2048,2.70887069211546
"Afghanistan","AFG",2049,2.647
"Afghanistan","AFG",2050,2.58654243644545
"Afghanistan","AGO",2021,5.05493145110175
"Afghanistan","AGO",2022,4.93947665719586
"Afghanistan","AGO",2023,4.8266588544272
"Afghanistan","AGO",2024,4.71641781383496
"Afghanistan","AGO",2025,4.60869468208968
"Afghanistan","AGO",2026,4.50343195007383
"Afghanistan","AGO",2027,4.40057342217992
"Afghanistan","AGO",2028,4.30006418630991
"Afghanistan","AGO",2029,4.20185058455982
"Afghanistan","AGO",2030,4.1058801845739
"Afghanistan","AGO",2031,4.01210175155302
"Afghanistan","AGO",2032,3.92046522090254
"Afghanistan","AGO",2033,3.83092167150468
"Afghanistan","AGO",2034,3.74342329960158
"Afghanistan","AGO",2035,3.6579233932747
"Afghanistan","AGO",2036,3.5743763075072
"Afghanistan","AGO",2037,3.49273743981585
"Afghanistan","AGO",2038,3.41296320643957
"Afghanistan","AGO",2039,3.33501101907173
"Afghanistan","AGO",2040,3.25883926212399
"Afghanistan","AGO",2041,3.18440727050936
"Afghanistan","AGO",2042,3.11167530793271
"Afghanistan","AGO",2043,3.04060454567715
"Afghanistan","AGO",2044,2.97115704187491
"Afghanistan","AGO",2045,2.90329572125168
"Afghanistan","AGO",2046,2.83698435533357
"Afghanistan","AGO",2047,2.7721875431062
"Afghanistan","AGO",2048,2.70887069211546
"Afghanistan","AGO",2049,2.647
"Afghanistan","AGO",2050,2.58654243644545
"Afghanistan","AIA",2021,5.05493145110175
"Afghanistan","AIA",2022,4.93947665719586
"Afghanistan","AIA",2023,4.8266588544272
"Afghanistan","AIA",2024,4.71641781383496
"Afghanistan","AIA",2025,4.60869468208968
"Afghanistan","AIA",2026,4.50343195007383
"Afghanistan","AIA",2027,4.40057342217992
"Afghanistan","AIA",2028,4.30006418630991
"Afghanistan","AIA",2029,4.20185058455982
"Afghanistan","AIA",2030,4.1058801845739
"Afghanistan","AIA",2031,4.01210175155302
"Afghanistan","AIA",2032,3.92046522090254
"Afghanistan","AIA",2033,3.83092167150468
"Afghanistan","AIA",2034,3.74342329960158
"Afghanistan","AIA",2035,3.6579233932747
"Afghanistan","AIA",2036,3.5743763075072
"Afghanistan","AIA",2037,3.49273743981585
"Afghanistan","AIA",2038,3.41296320643957
"Afghanistan","AIA",2039,3.33501101907173
"Afghanistan","AIA",2040,3.25883926212399
"Afghanistan","AIA",2041,3.18440727050936
"Afghanistan","AIA",2042,3.11167530793271
"Afghanistan","AIA",2043,3.04060454567715
"Afghanistan","AIA",2044,2.97115704187491
"Afghanistan","AIA",2045,2.90329572125168
"Afghanistan","AIA",2046,2.83698435533357
"Afghanistan","AIA",2047,2.7721875431062
"Afghanistan","AIA",2048,2.70887069211546
"Afghanistan","AIA",2049,2.647
"Afghanistan","AIA",2050,2.58654243644545
"Afghanistan","ALA",2021,5.05493145110175
"Afghanistan","ALA",2022,4.93947665719586
"Afghanistan","ALA",2023,4.8266588544272
"Afghanistan","ALA",2024,4.71641781383496
"Afghanistan","ALA",2025,4.60869468208968
"Afghanistan","ALA",2026,4.50343195007383
"Afghanistan","ALA",2027,4.40057342217992
"Afghanistan","ALA",2028,4.30006418630991
"Afghanistan","ALA",2029,4.20185058455982
"Afghanistan","ALA",2030,4.1058801845739
"Afghanistan","ALA",2031,4.01210175155302
"Afghanistan","ALA",2032,3.92046522090254
"Afghanistan","ALA",2033,3.83092167150468
"Afghanistan","ALA",2034,3.74342329960158
"Afghanistan","ALA",2035,3.6579233932747
"Afghanistan","ALA",2036,3.5743763075072
"Afghanistan","ALA",2037,3.49273743981585
"Afghanistan","ALA",2038,3.41296320643957
"Afghanistan","ALA",2039,3.33501101907173
"Afghanistan","ALA",2040,3.25883926212399
"Afghanistan","ALA",2041,3.18440727050936
"Afghanistan","ALA",2042,3.11167530793271
"Afghanistan","ALA",2043,3.04060454567715
"Afghanistan","ALA",2044,2.97115704187491
"Afghanistan","ALA",2045,2.90329572125168
"Afghanistan","ALA",2046,2.83698435533357
"Afghanistan","ALA",2047,2.7721875431062
"Afghanistan","ALA",2048,2.70887069211546
"Afghanistan","ALA",2049,2.647
"Afghanistan","ALA",2050,2.58654243644545
"Afghanistan","ALB",2021,5.05493145110175
"Afghanistan","ALB",2022,4.93947665719586
"Afghanistan","ALB",2023,4.8266588544272
"Afghanistan","ALB",2024,4.71641781383496
"Afghanistan","ALB",2025,4.60869468208968
"Afghanistan","ALB",2026,4.50343195007383
"Afghanistan","ALB",2027,4.40057342217992
"Afghanistan","ALB",2028,4.30006418630991
"Afghanistan","ALB",2029,4.20185058455982
"Afghanistan","ALB",2030,4.1058801845739
"Afghanistan","ALB",2031,4.01210175155302
"Afghanistan","ALB",2032,3.92046522090254
"Afghanistan","ALB",2033,3.83092167150468
"Afghanistan","ALB",2034,3.74342329960158
"Afghanistan","ALB",2035,3.6579233932747
"Afghanistan","ALB",2036,3.5743763075072
"Afghanistan","ALB",2037,3.49273743981585
"Afghanistan","ALB",2038,3.41296320643957
"Afghanistan","ALB",2039,3.33501101907173
"Afghanistan","ALB",2040,3.25883926212399
"Afghanistan","ALB",2041,3.18440727050936
"Afghanistan","ALB",2042,3.11167530793271
"Afghanistan","ALB",2043,3.04060454567715
"Afghanistan","ALB",2044,2.97115704187491
"Afghanistan","ALB",2045,2.90329572125168
"Afghanistan","ALB",2046,2.83698435533357
"Afghanistan","ALB",2047,2.7721875431062
"Afghanistan","ALB",2048,2.70887069211546
"Afghanistan","ALB",2049,2.647
"Afghanistan","ALB",2050,2.58654243644545
"Afghanistan","AND",2021,5.05493145110175
"Afghanistan","AND",2022,4.93947665719586
"Afghanistan","AND",2023,4.8266588544272
"Afghanistan","AND",2024,4.71641781383496
"Afghanistan","AND",2025,4.60869468208968
"Afghanistan","AND",2026,4.50343195007383
"Afghanistan","AND",2027,4.40057342217992
"Afghanistan","AND",2028,4.30006418630991
"Afghanistan","AND",2029,4.20185058455982
