Year,iso_code3,cost_enfu_fuel_electricity_usd_per_mmbtu
2015,ABW,60.6868329613944
2016,ABW,60.6868329613944
2017,ABW,60.6868329613944
2018,ABW,60.6868329613944
2019,ABW,60.6868329613944
2020,ABW,60.6868329613944
2015,AFG,60.6868329613944
2016,AFG,60.6868329613944
2017,AFG,60.6868329613944
2018,AFG,60.6868329613944
2019,AFG,60.6868329613944
2020,AFG,60.6868329613944
2015,AGO,60.6868329613944
2016,AGO,60.6868329613944
2017,AGO,60.6868329613944
2018,AGO,60.6868329613944
2019,AGO,60.6868329613944
2020,AGO,60.6868329613944
2015,ALB,97.77915086672796
2016,ALB,97.77915086672796
2017,ALB,97.77915086672796
2018,ALB,97.77915086672796
2019,ALB,97.77915086672796
2020,ALB,97.77915086672796
2015,AND,60.6868329613944
2016,AND,60.6868329613944
2017,AND,60.6868329613944
2018,AND,60.6868329613944
2019,AND,60.6868329613944
2020,AND,60.6868329613944
2015,ARE,60.6868329613944
2016,ARE,60.6868329613944
2017,ARE,60.6868329613944
2018,ARE,60.6868329613944
2019,ARE,60.6868329613944
2020,ARE,60.6868329613944
2015,ARG,23.486563664363118
2016,ARG,23.486563664363118
2017,ARG,23.486563664363118
2018,ARG,23.486563664363118
2019,ARG,23.486563664363118
2020,ARG,23.486563664363118
2015,ARM,47.812849014214365
2016,ARM,47.812849014214365
2017,ARM,47.812849014214365
2018,ARM,47.812849014214365
2019,ARM,47.812849014214365
2020,ARM,47.812849014214365
2015,ASM,60.6868329613944
2016,ASM,60.6868329613944
2017,ASM,60.6868329613944
2018,ASM,60.6868329613944
2019,ASM,60.6868329613944
2020,ASM,60.6868329613944
2015,ATG,60.6868329613944
2016,ATG,60.6868329613944
2017,ATG,60.6868329613944
2018,ATG,60.6868329613944
2019,ATG,60.6868329613944
2020,ATG,60.6868329613944
2015,AUS,57.90667503110419
2016,AUS,57.90667503110419
2017,AUS,57.90667503110419
2018,AUS,57.90667503110419
2019,AUS,57.90667503110419
2020,AUS,57.90667503110419
2015,AUT,59.97576492011194
2016,AUT,59.97576492011194
2017,AUT,59.97576492011194
2018,AUT,59.97576492011194
2019,AUT,59.97576492011194
2020,AUT,59.97576492011194
2015,AZE,52.75593072525275
2016,AZE,52.75593072525275
2017,AZE,52.75593072525275
2018,AZE,52.75593072525275
2019,AZE,52.75593072525275
2020,AZE,52.75593072525275
2015,BDI,60.6868329613944
2016,BDI,60.6868329613944
2017,BDI,60.6868329613944
2018,BDI,60.6868329613944
2019,BDI,60.6868329613944
2020,BDI,60.6868329613944
2015,BEL,62.50330349543547
2016,BEL,62.50330349543547
2017,BEL,62.50330349543547
2018,BEL,62.50330349543547
2019,BEL,62.50330349543547
2020,BEL,62.50330349543547
2015,BEN,60.6868329613944
2016,BEN,60.6868329613944
2017,BEN,60.6868329613944
2018,BEN,60.6868329613944
2019,BEN,60.6868329613944
2020,BEN,60.6868329613944
2015,BFA,60.6868329613944
2016,BFA,60.6868329613944
2017,BFA,60.6868329613944
