Year,iso_code3,cost_enfu_fuel_hydrogen_usd_per_mmbtu
2040,ARM,132.0657626
2041,ARM,132.0657626
2042,ARM,132.0657626
2043,ARM,132.0657626
2044,ARM,132.0657626
2045,ARM,132.0657626
2046,ARM,132.0657626
2047,ARM,132.0657626
2048,ARM,132.0657626
2049,ARM,132.0657626
2050,ARM,132.0657626
2021,ASM,120.89914942397824
2022,ASM,120.89914942397824
2023,ASM,120.89914942397824
2024,ASM,120.89914942397824
2025,ASM,120.89914942397824
2026,ASM,120.89914942397824
2027,ASM,120.89914942397824
2028,ASM,120.89914942397824
2029,ASM,120.89914942397824
2030,ASM,120.89914942397824
2031,ASM,120.89914942397824
2032,ASM,120.89914942397824
2033,ASM,120.89914942397824
2034,ASM,120.89914942397824
2035,ASM,120.89914942397824
2036,ASM,120.89914942397824
2037,ASM,120.89914942397824
2038,ASM,120.89914942397824
2039,ASM,120.89914942397824
2040,ASM,120.89914942397824
2041,ASM,120.89914942397824
2042,ASM,120.89914942397824
2043,ASM,120.89914942397824
2044,ASM,120.89914942397824
2045,ASM,120.89914942397824
2046,ASM,120.89914942397824
2047,ASM,120.89914942397824
2048,ASM,120.89914942397824
2049,ASM,120.89914942397824
2050,ASM,120.89914942397824
2021,ATG,120.89914942397824
2022,ATG,120.89914942397824
2023,ATG,120.89914942397824
2024,ATG,120.89914942397824
2025,ATG,120.89914942397824
2026,ATG,120.89914942397824
2027,ATG,120.89914942397824
2028,ATG,120.89914942397824
2029,ATG,120.89914942397824
2030,ATG,120.89914942397824
2031,ATG,120.89914942397824
2032,ATG,120.89914942397824
2033,ATG,120.89914942397824
2034,ATG,120.89914942397824
2035,ATG,120.89914942397824
2036,ATG,120.89914942397824
2037,ATG,120.89914942397824
2038,ATG,120.89914942397824
2039,ATG,120.89914942397824
2040,ATG,120.89914942397824
2041,ATG,120.89914942397824
2042,ATG,120.89914942397824
2043,ATG,120.89914942397824
2044,ATG,120.89914942397824
2045,ATG,120.89914942397824
2046,ATG,120.89914942397824
2047,ATG,120.89914942397824
2048,ATG,120.89914942397824
2049,ATG,120.89914942397824
2050,ATG,120.89914942397824
2021,AUS,55.1508043
2022,AUS,55.1508043
2023,AUS,55.1508043
2024,AUS,55.1508043
2025,AUS,55.1508043
2026,AUS,55.1508043
2027,AUS,55.1508043
2028,AUS,55.1508043
2029,AUS,55.1508043
2030,AUS,55.1508043
2031,AUS,55.1508043
2032,AUS,55.1508043
2033,AUS,55.1508043
2034,AUS,55.1508043
2035,AUS,55.1508043
2036,AUS,55.1508043
2037,AUS,55.1508043
2038,AUS,55.1508043
2039,AUS,55.1508043
2040,AUS,55.1508043
2041,AUS,55.1508043
2042,AUS,55.1508043
2043,AUS,55.1508043
2044,AUS,55.1508043
2045,AUS,55.1508043
2046,AUS,55.1508043
2047,AUS,55.1508043
2048,AUS,55.1508043
2049,AUS,55.1508043
2050,AUS,55.1508043
2021,AUT,95.77479184
2022,AUT,95.77479184
2023,AUT,95.77479184
2024,AUT,95.77479184
2025,AUT,95.77479184
2026,AUT,95.77479184
2027,AUT,95.77479184
2028,AUT,95.77479184
2029,AUT,95.77479184
2030,AUT,95.77479184
2031,AUT,95.77479184
2032,AUT,95.77479184
2033,AUT,95.77479184
2034,AUT,95.77479184
2035,AUT,95.77479184
2036,AUT,95.77479184
2037,AUT,95.77479184
2038,AUT,95.77479184
2039,AUT,95.77479184
2040,AUT,95.77479184
2041,AUT,95.77479184
2042,AUT,95.77479184
2043,AUT,95.77479184
2044,AUT,95.77479184
2045,AUT,95.77479184
2046,AUT,95.77479184
2047,AUT,95.77479184
2048,AUT,95.77479184
2049,AUT,95.77479184
2050,AUT,95.77479184
2021,AZE,112.2725837
2022,AZE,112.2725837
2023,AZE,112.2725837
2024,AZE,112.2725837
2025,AZE,112.2725837
2026,AZE,112.2725837
2027,AZE,112.2725837
2028,AZE,112.2725837
2029,AZE,112.2725837
2030,AZE,112.2725837
2031,AZE,112.2725837
2032,AZE,112.2725837
2033,AZE,112.2725837
2034,AZE,112.2725837
2035,AZE,112.2725837
2036,AZE,112.2725837
2037,AZE,112.2725837
2038,AZE,112.2725837
2039,AZE,112.2725837
2040,AZE,112.2725837
2041,AZE,112.2725837
2042,AZE,112.2725837
2043,AZE,112.2725837
2044,AZE,112.2725837
2045,AZE,112.2725837
2046,AZE,112.2725837
2047,AZE,112.2725837
2048,AZE,112.2725837
2049,AZE,112.2725837
2050,AZE,112.2725837
2021,BDI,120.89914942397824
2022,BDI,120.89914942397824
2023,BDI,120.89914942397824
2024,BDI,120.89914942397824
2025,BDI,120.89914942397824
2026,BDI,120.89914942397824
2027,BDI,120.89914942397824
2028,BDI,120.89914942397824
2029,BDI,120.89914942397824
2030,BDI,120.89914942397824
2031,BDI,120.89914942397824
2032,BDI,120.89914942397824
2033,BDI,120.89914942397824
2034,BDI,120.89914942397824
2035,BDI,120.89914942397824
2036,BDI,120.89914942397824
2037,BDI,120.89914942397824
2038,BDI,120.89914942397824
2039,BDI,120.89914942397824
2040,BDI,120.89914942397824
2041,BDI,120.89914942397824
2042,BDI,120.89914942397824
2043,BDI,120.89914942397824
2044,BDI,120.89914942397824
2045,BDI,120.89914942397824
2046,BDI,120.89914942397824
2047,BDI,120.89914942397824
2048,BDI,120.89914942397824
2049,BDI,120.89914942397824
2050,BDI,120.89914942397824
2021,BEL,111.2140971
2022,BEL,111.2140971
2023,BEL,111.2140971
2024,BEL,111.2140971
2025,BEL,111.2140971
2026,BEL,111.2140971
2027,BEL,111.2140971
2028,BEL,111.2140971
2029,BEL,111.2140971
2030,BEL,111.2140971
2031,BEL,111.2140971
2032,BEL,111.2140971
2033,BEL,111.2140971
2034,BEL,111.2140971
2035,BEL,111.2140971
2036,BEL,111.2140971
2037,BEL,111.2140971
2038,BEL,111.2140971
2039,BEL,111.2140971
2040,BEL,111.2140971
2041,BEL,111.2140971
2042,BEL,111.2140971
2043,BEL,111.2140971
2044,BEL,111.2140971
2045,BEL,111.2140971
2046,BEL,111.2140971
2047,BEL,111.2140971
2048,BEL,111.2140971
2049,BEL,111.2140971
2050,BEL,111.2140971
2021,BEN,120.89914942397824
2022,BEN,120.89914942397824
2023,BEN,120.89914942397824
2024,BEN,120.89914942397824
2025,BEN,120.89914942397824
2026,BEN,120.89914942397824
2027,BEN,120.89914942397824
2028,BEN,120.89914942397824
2029,BEN,120.89914942397824
2030,BEN,120.89914942397824
2031,BEN,120.89914942397824
2032,BEN,120.89914942397824
2033,BEN,120.89914942397824
2034,BEN,120.89914942397824
2035,BEN,120.89914942397824
2036,BEN,120.89914942397824
2037,BEN,120.89914942397824
2038,BEN,120.89914942397824
2039,BEN,120.89914942397824
2040,BEN,120.89914942397824
2041,BEN,120.89914942397824
2042,BEN,120.89914942397824
2043,BEN,120.89914942397824
2044,BEN,120.89914942397824
2045,BEN,120.89914942397824
2046,BEN,120.89914942397824
2047,BEN,120.89914942397824
2048,BEN,120.89914942397824
2049,BEN,120.89914942397824
2050,BEN,120.89914942397824
2021,BFA,120.89914942397824
2022,BFA,120.89914942397824
2023,BFA,120.89914942397824
2024,BFA,120.89914942397824
2025,BFA,120.89914942397824
2026,BFA,120.89914942397824
2027,BFA,120.89914942397824
2028,BFA,120.89914942397824
2029,BFA,120.89914942397824
2030,BFA,120.89914942397824
2031,BFA,120.89914942397824
2032,BFA,120.89914942397824
2033,BFA,120.89914942397824
2034,BFA,120.89914942397824
2035,BFA,120.89914942397824
2036,BFA,120.89914942397824
2037,BFA,120.89914942397824
2038,BFA,120.89914942397824
2039,BFA,120.89914942397824
2040,BFA,120.89914942397824
2041,BFA,120.89914942397824
2042,BFA,120.89914942397824
2043,BFA,120.89914942397824
2044,BFA,120.89914942397824
2045,BFA,120.89914942397824
2046,BFA,120.89914942397824
2047,BFA,120.89914942397824
2048,BFA,120.89914942397824
2049,BFA,120.89914942397824
2050,BFA,120.89914942397824
2021,BGD,200.8934658
2022,BGD,200.8934658
2023,BGD,200.8934658
2024,BGD,200.8934658
2025,BGD,200.8934658
2026,BGD,200.8934658
2027,BGD,200.8934658
2028,BGD,200.8934658
2029,BGD,200.8934658
2030,BGD,200.8934658
2031,BGD,200.8934658
2032,BGD,200.8934658
2033,BGD,200.8934658
2034,BGD,200.8934658
2035,BGD,200.8934658
2036,BGD,200.8934658
2037,BGD,200.8934658
2038,BGD,200.8934658
2039,BGD,200.8934658
2040,BGD,200.8934658
2041,BGD,200.8934658
2042,BGD,200.8934658
2043,BGD,200.8934658
2044,BGD,200.8934658
2045,BGD,200.8934658
2046,BGD,200.8934658
2047,BGD,200.8934658
2048,BGD,200.8934658
2049,BGD,200.8934658
2050,BGD,200.8934658
2021,BGR,194.4695468
