"iso_code3","frac_waso_initial_composition_mun_other","Year"
"ARM",0.0348,2043
"ARM",0.0348,2044
"ARM",0.0348,2045
"ARM",0.0348,2046
"ARM",0.0348,2047
"ARM",0.0348,2048
"ARM",0.0348,2049
"ARM",0.0348,2050
"ASM",0.0512,2021
"ASM",0.0512,2022
"ASM",0.0512,2023
"ASM",0.0512,2024
"ASM",0.0512,2025
"ASM",0.0512,2026
"ASM",0.0512,2027
"ASM",0.0512,2028
"ASM",0.0512,2029
"ASM",0.0512,2030
"ASM",0.0512,2031
"ASM",0.0512,2032
"ASM",0.0512,2033
"ASM",0.0512,2034
"ASM",0.0512,2035
"ASM",0.0512,2036
"ASM",0.0512,2037
"ASM",0.0512,2038
"ASM",0.0512,2039
"ASM",0.0512,2040
"ASM",0.0512,2041
"ASM",0.0512,2042
"ASM",0.0512,2043
"ASM",0.0512,2044
"ASM",0.0512,2045
"ASM",0.0512,2046
"ASM",0.0512,2047
"ASM",0.0512,2048
"ASM",0.0512,2049
"ASM",0.0512,2050
"ATG",0.024,2021
"ATG",0.024,2022
"ATG",0.024,2023
"ATG",0.024,2024
"ATG",0.024,2025
"ATG",0.024,2026
"ATG",0.024,2027
"ATG",0.024,2028
"ATG",0.024,2029
"ATG",0.024,2030
"ATG",0.024,2031
"ATG",0.024,2032
"ATG",0.024,2033
"ATG",0.024,2034
"ATG",0.024,2035
"ATG",0.024,2036
"ATG",0.024,2037
"ATG",0.024,2038
"ATG",0.024,2039
"ATG",0.024,2040
"ATG",0.024,2041
"ATG",0.024,2042
"ATG",0.024,2043
"ATG",0.024,2044
"ATG",0.024,2045
"ATG",0.024,2046
"ATG",0.024,2047
"ATG",0.024,2048
"ATG",0.024,2049
"ATG",0.024,2050
"AUS",0.00692,2021
"AUS",0.00692,2022
"AUS",0.00692,2023
"AUS",0.00692,2024
"AUS",0.00692,2025
"AUS",0.00692,2026
"AUS",0.00692,2027
"AUS",0.00692,2028
"AUS",0.00692,2029
"AUS",0.00692,2030
"AUS",0.00692,2031
"AUS",0.00692,2032
"AUS",0.00692,2033
"AUS",0.00692,2034
"AUS",0.00692,2035
"AUS",0.00692,2036
"AUS",0.00692,2037
"AUS",0.00692,2038
"AUS",0.00692,2039
"AUS",0.00692,2040
"AUS",0.00692,2041
"AUS",0.00692,2042
"AUS",0.00692,2043
"AUS",0.00692,2044
"AUS",0.00692,2045
"AUS",0.00692,2046
"AUS",0.00692,2047
"AUS",0.00692,2048
"AUS",0.00692,2049
"AUS",0.00692,2050
"AUT",0.037,2021
"AUT",0.037,2022
"AUT",0.037,2023
"AUT",0.037,2024
"AUT",0.037,2025
"AUT",0.037,2026
"AUT",0.037,2027
"AUT",0.037,2028
"AUT",0.037,2029
"AUT",0.037,2030
"AUT",0.037,2031
"AUT",0.037,2032
"AUT",0.037,2033
"AUT",0.037,2034
"AUT",0.037,2035
"AUT",0.037,2036
"AUT",0.037,2037
"AUT",0.037,2038
"AUT",0.037,2039
"AUT",0.037,2040
"AUT",0.037,2041
"AUT",0.037,2042
"AUT",0.037,2043
"AUT",0.037,2044
"AUT",0.037,2045
"AUT",0.037,2046
"AUT",0.037,2047
"AUT",0.037,2048
"AUT",0.037,2049
"AUT",0.037,2050
"AZE",0.02746,2021
"AZE",0.02746,2022
"AZE",0.02746,2023
"AZE",0.02746,2024
"AZE",0.02746,2025
"AZE",0.02746,2026
"AZE",0.02746,2027
"AZE",0.02746,2028
"AZE",0.02746,2029
"AZE",0.02746,2030
"AZE",0.02746,2031
"AZE",0.02746,2032
"AZE",0.02746,2033
"AZE",0.02746,2034
"AZE",0.02746,2035
"AZE",0.02746,2036
"AZE",0.02746,2037
"AZE",0.02746,2038
"AZE",0.02746,2039
"AZE",0.02746,2040
"AZE",0.02746,2041
"AZE",0.02746,2042
"AZE",0.02746,2043
"AZE",0.02746,2044
"AZE",0.02746,2045
"AZE",0.02746,2046
"AZE",0.02746,2047
"AZE",0.02746,2048
"AZE",0.02746,2049
"AZE",0.02746,2050
"BDI",0.0064,2021
"BDI",0.0064,2022
"BDI",0.0064,2023
