Year,iso_code3,cost_enfu_fuel_kerosene_usd_per_m3
2019,MNE,274.0889068
2020,MNE,274.0889068
2015,MNG,274.0889068
2016,MNG,274.0889068
2017,MNG,274.0889068
2018,MNG,274.0889068
2019,MNG,274.0889068
2020,MNG,274.0889068
2015,MNP,274.0889068
2016,MNP,274.0889068
2017,MNP,274.0889068
2018,MNP,274.0889068
2019,MNP,274.0889068
2020,MNP,274.0889068
2015,MOZ,274.0889068
2016,MOZ,274.0889068
2017,MOZ,274.0889068
2018,MOZ,274.0889068
2019,MOZ,274.0889068
2020,MOZ,274.0889068
2015,MRT,274.0889068
2016,MRT,274.0889068
2017,MRT,274.0889068
2018,MRT,274.0889068
2019,MRT,274.0889068
2020,MRT,274.0889068
2015,MUS,1440.182857
2016,MUS,1440.182857
2017,MUS,1440.182857
2018,MUS,1440.182857
2019,MUS,1440.182857
2020,MUS,1440.182857
2015,MWI,274.0889068
2016,MWI,274.0889068
2017,MWI,274.0889068
2018,MWI,274.0889068
2019,MWI,274.0889068
2020,MWI,274.0889068
2015,MYS,274.0889068
2016,MYS,274.0889068
2017,MYS,274.0889068
2018,MYS,274.0889068
2019,MYS,274.0889068
2020,MYS,274.0889068
2015,NAM,274.0889068
2016,NAM,274.0889068
2017,NAM,274.0889068
2018,NAM,274.0889068
2019,NAM,274.0889068
2020,NAM,274.0889068
2015,NCL,274.0889068
2016,NCL,274.0889068
2017,NCL,274.0889068
2018,NCL,274.0889068
2019,NCL,274.0889068
2020,NCL,274.0889068
2015,NER,274.0889068
2016,NER,274.0889068
2017,NER,274.0889068
2018,NER,274.0889068
2019,NER,274.0889068
2020,NER,274.0889068
2015,NGA,0.67
2016,NGA,0.67
2017,NGA,0.67
2018,NGA,0.67
2019,NGA,0.67
2020,NGA,0.67
2015,NIC,274.0889068
2016,NIC,274.0889068
2017,NIC,274.0889068
2018,NIC,274.0889068
2019,NIC,274.0889068
2020,NIC,274.0889068
2015,NLD,274.0889068
2016,NLD,274.0889068
2017,NLD,274.0889068
2018,NLD,274.0889068
2019,NLD,274.0889068
2020,NLD,274.0889068
2015,NOR,274.0889068
2016,NOR,274.0889068
2017,NOR,274.0889068
2018,NOR,274.0889068
2019,NOR,274.0889068
2020,NOR,274.0889068
2015,NPL,274.0889068
2016,NPL,274.0889068
2017,NPL,274.0889068
2018,NPL,274.0889068
2019,NPL,274.0889068
2020,NPL,274.0889068
2015,NRU,274.0889068
2016,NRU,274.0889068
2017,NRU,274.0889068
2018,NRU,274.0889068
2019,NRU,274.0889068
2020,NRU,274.0889068
2015,NZL,274.0889068
