,Nation,iso_code3,Year,cost_enfu_fuel_biomass_usd_per_m3
0,Aruba,ABW,2023,40.921
1,Aruba,ABW,2024,40.921
2,Aruba,ABW,2025,40.921
3,Aruba,ABW,2026,40.921
4,Aruba,ABW,2027,40.921
5,Aruba,ABW,2028,40.921
6,Aruba,ABW,2029,40.921
7,Aruba,ABW,2030,40.921
8,Aruba,ABW,2031,40.921
9,Aruba,ABW,2032,40.921
10,Aruba,ABW,2033,40.921
11,Aruba,ABW,2034,40.921
12,Aruba,ABW,2035,40.921
13,Aruba,ABW,2036,40.921
14,Aruba,ABW,2037,40.921
15,Aruba,ABW,2038,40.921
16,Aruba,ABW,2039,40.921
17,Aruba,ABW,2040,40.921
18,Aruba,ABW,2041,40.921
19,Aruba,ABW,2042,40.921
20,Aruba,ABW,2043,40.921
21,Aruba,ABW,2044,40.921
22,Aruba,ABW,2045,40.921
23,Aruba,ABW,2046,40.921
24,Aruba,ABW,2047,40.921
25,Aruba,ABW,2048,40.921
26,Aruba,ABW,2049,40.921
27,Aruba,ABW,2050,40.921
28,Africa Eastern and Southern,AFE,2023,40.921
29,Africa Eastern and Southern,AFE,2024,40.921
30,Africa Eastern and Southern,AFE,2025,40.921
31,Africa Eastern and Southern,AFE,2026,40.921
32,Africa Eastern and Southern,AFE,2027,40.921
33,Africa Eastern and Southern,AFE,2028,40.921
34,Africa Eastern and Southern,AFE,2029,40.921
35,Africa Eastern and Southern,AFE,2030,40.921
36,Africa Eastern and Southern,AFE,2031,40.921
37,Africa Eastern and Southern,AFE,2032,40.921
38,Africa Eastern and Southern,AFE,2033,40.921
39,Africa Eastern and Southern,AFE,2034,40.921
40,Africa Eastern and Southern,AFE,2035,40.921
41,Africa Eastern and Southern,AFE,2036,40.921
42,Africa Eastern and Southern,AFE,2037,40.921
43,Africa Eastern and Southern,AFE,2038,40.921
44,Africa Eastern and Southern,AFE,2039,40.921
45,Africa Eastern and Southern,AFE,2040,40.921
46,Africa Eastern and Southern,AFE,2041,40.921
47,Africa Eastern and Southern,AFE,2042,40.921
48,Africa Eastern and Southern,AFE,2043,40.921
49,Africa Eastern and Southern,AFE,2044,40.921
50,Africa Eastern and Southern,AFE,2045,40.921
51,Africa Eastern and Southern,AFE,2046,40.921
52,Africa Eastern and Southern,AFE,2047,40.921
53,Africa Eastern and Southern,AFE,2048,40.921
54,Africa Eastern and Southern,AFE,2049,40.921
55,Africa Eastern and Southern,AFE,2050,40.921
56,Afghanistan,AFG,2023,40.921
57,Afghanistan,AFG,2024,40.921
58,Afghanistan,AFG,2025,40.921
59,Afghanistan,AFG,2026,40.921
60,Afghanistan,AFG,2027,40.921
61,Afghanistan,AFG,2028,40.921
62,Afghanistan,AFG,2029,40.921
63,Afghanistan,AFG,2030,40.921
64,Afghanistan,AFG,2031,40.921
65,Afghanistan,AFG,2032,40.921
66,Afghanistan,AFG,2033,40.921
67,Afghanistan,AFG,2034,40.921
68,Afghanistan,AFG,2035,40.921
69,Afghanistan,AFG,2036,40.921
70,Afghanistan,AFG,2037,40.921
71,Afghanistan,AFG,2038,40.921
72,Afghanistan,AFG,2039,40.921
73,Afghanistan,AFG,2040,40.921
74,Afghanistan,AFG,2041,40.921
75,Afghanistan,AFG,2042,40.921
76,Afghanistan,AFG,2043,40.921
77,Afghanistan,AFG,2044,40.921
78,Afghanistan,AFG,2045,40.921
79,Afghanistan,AFG,2046,40.921
80,Afghanistan,AFG,2047,40.921
81,Afghanistan,AFG,2048,40.921
82,Afghanistan,AFG,2049,40.921
83,Afghanistan,AFG,2050,40.921
84,Africa Western and Central,AFW,2023,40.921
85,Africa Western and Central,AFW,2024,40.921
86,Africa Western and Central,AFW,2025,40.921
87,Africa Western and Central,AFW,2026,40.921
88,Africa Western and Central,AFW,2027,40.921
89,Africa Western and Central,AFW,2028,40.921
90,Africa Western and Central,AFW,2029,40.921
91,Africa Western and Central,AFW,2030,40.921
92,Africa Western and Central,AFW,2031,40.921
93,Africa Western and Central,AFW,2032,40.921
94,Africa Western and Central,AFW,2033,40.921
95,Africa Western and Central,AFW,2034,40.921
96,Africa Western and Central,AFW,2035,40.921
97,Africa Western and Central,AFW,2036,40.921
98,Africa Western and Central,AFW,2037,40.921
99,Africa Western and Central,AFW,2038,40.921
100,Africa Western and Central,AFW,2039,40.921
101,Africa Western and Central,AFW,2040,40.921
102,Africa Western and Central,AFW,2041,40.921
103,Africa Western and Central,AFW,2042,40.921
104,Africa Western and Central,AFW,2043,40.921
105,Africa Western and Central,AFW,2044,40.921
106,Africa Western and Central,AFW,2045,40.921
107,Africa Western and Central,AFW,2046,40.921
108,Africa Western and Central,AFW,2047,40.921
109,Africa Western and Central,AFW,2048,40.921
110,Africa Western and Central,AFW,2049,40.921
111,Africa Western and Central,AFW,2050,40.921
112,Angola,AGO,2023,40.921
113,Angola,AGO,2024,40.921
114,Angola,AGO,2025,40.921
115,Angola,AGO,2026,40.921
116,Angola,AGO,2027,40.921
117,Angola,AGO,2028,40.921
118,Angola,AGO,2029,40.921
119,Angola,AGO,2030,40.921
120,Angola,AGO,2031,40.921
121,Angola,AGO,2032,40.921
122,Angola,AGO,2033,40.921
123,Angola,AGO,2034,40.921
124,Angola,AGO,2035,40.921
125,Angola,AGO,2036,40.921
126,Angola,AGO,2037,40.921
127,Angola,AGO,2038,40.921
128,Angola,AGO,2039,40.921
129,Angola,AGO,2040,40.921
130,Angola,AGO,2041,40.921
131,Angola,AGO,2042,40.921
132,Angola,AGO,2043,40.921
133,Angola,AGO,2044,40.921
134,Angola,AGO,2045,40.921
135,Angola,AGO,2046,40.921
136,Angola,AGO,2047,40.921
137,Angola,AGO,2048,40.921
138,Angola,AGO,2049,40.921
139,Angola,AGO,2050,40.921
140,Albania,ALB,2023,40.921
141,Albania,ALB,2024,40.921
142,Albania,ALB,2025,40.921
143,Albania,ALB,2026,40.921
144,Albania,ALB,2027,40.921
145,Albania,ALB,2028,40.921
146,Albania,ALB,2029,40.921
147,Albania,ALB,2030,40.921
148,Albania,ALB,2031,40.921
149,Albania,ALB,2032,40.921
150,Albania,ALB,2033,40.921
151,Albania,ALB,2034,40.921
152,Albania,ALB,2035,40.921
153,Albania,ALB,2036,40.921
154,Albania,ALB,2037,40.921
155,Albania,ALB,2038,40.921
156,Albania,ALB,2039,40.921
157,Albania,ALB,2040,40.921
158,Albania,ALB,2041,40.921
159,Albania,ALB,2042,40.921
160,Albania,ALB,2043,40.921
161,Albania,ALB,2044,40.921
162,Albania,ALB,2045,40.921
163,Albania,ALB,2046,40.921
164,Albania,ALB,2047,40.921
165,Albania,ALB,2048,40.921
166,Albania,ALB,2049,40.921
167,Albania,ALB,2050,40.921
168,Andorra,AND,2023,40.921
169,Andorra,AND,2024,40.921
170,Andorra,AND,2025,40.921
171,Andorra,AND,2026,40.921
172,Andorra,AND,2027,40.921
173,Andorra,AND,2028,40.921
174,Andorra,AND,2029,40.921
175,Andorra,AND,2030,40.921
176,Andorra,AND,2031,40.921
177,Andorra,AND,2032,40.921
178,Andorra,AND,2033,40.921
179,Andorra,AND,2034,40.921
180,Andorra,AND,2035,40.921
181,Andorra,AND,2036,40.921
182,Andorra,AND,2037,40.921
183,Andorra,AND,2038,40.921
184,Andorra,AND,2039,40.921
185,Andorra,AND,2040,40.921
186,Andorra,AND,2041,40.921
187,Andorra,AND,2042,40.921
188,Andorra,AND,2043,40.921
189,Andorra,AND,2044,40.921
190,Andorra,AND,2045,40.921
191,Andorra,AND,2046,40.921
192,Andorra,AND,2047,40.921
193,Andorra,AND,2048,40.921
194,Andorra,AND,2049,40.921
195,Andorra,AND,2050,40.921
196,Arab World,ARB,2023,40.921
197,Arab World,ARB,2024,40.921
198,Arab World,ARB,2025,40.921
199,Arab World,ARB,2026,40.921
200,Arab World,ARB,2027,40.921
201,Arab World,ARB,2028,40.921
202,Arab World,ARB,2029,40.921
203,Arab World,ARB,2030,40.921
204,Arab World,ARB,2031,40.921
205,Arab World,ARB,2032,40.921
206,Arab World,ARB,2033,40.921
207,Arab World,ARB,2034,40.921
208,Arab World,ARB,2035,40.921
209,Arab World,ARB,2036,40.921
210,Arab World,ARB,2037,40.921
211,Arab World,ARB,2038,40.921
212,Arab World,ARB,2039,40.921
213,Arab World,ARB,2040,40.921
214,Arab World,ARB,2041,40.921
215,Arab World,ARB,2042,40.921
216,Arab World,ARB,2043,40.921
217,Arab World,ARB,2044,40.921
218,Arab World,ARB,2045,40.921
219,Arab World,ARB,2046,40.921
220,Arab World,ARB,2047,40.921
221,Arab World,ARB,2048,40.921
222,Arab World,ARB,2049,40.921
223,Arab World,ARB,2050,40.921
224,United Arab Emirates,ARE,2023,40.921
225,United Arab Emirates,ARE,2024,40.921
226,United Arab Emirates,ARE,2025,40.921
227,United Arab Emirates,ARE,2026,40.921
228,United Arab Emirates,ARE,2027,40.921
229,United Arab Emirates,ARE,2028,40.921
230,United Arab Emirates,ARE,2029,40.921
231,United Arab Emirates,ARE,2030,40.921
232,United Arab Emirates,ARE,2031,40.921
233,United Arab Emirates,ARE,2032,40.921
234,United Arab Emirates,ARE,2033,40.921
235,United Arab Emirates,ARE,2034,40.921
236,United Arab Emirates,ARE,2035,40.921
237,United Arab Emirates,ARE,2036,40.921
238,United Arab Emirates,ARE,2037,40.921
239,United Arab Emirates,ARE,2038,40.921
240,United Arab Emirates,ARE,2039,40.921
241,United Arab Emirates,ARE,2040,40.921
242,United Arab Emirates,ARE,2041,40.921
243,United Arab Emirates,ARE,2042,40.921
244,United Arab Emirates,ARE,2043,40.921
245,United Arab Emirates,ARE,2044,40.921
246,United Arab Emirates,ARE,2045,40.921
247,United Arab Emirates,ARE,2046,40.921
248,United Arab Emirates,ARE,2047,40.921
249,United Arab Emirates,ARE,2048,40.921
250,United Arab Emirates,ARE,2049,40.921
251,United Arab Emirates,ARE,2050,40.921
252,Argentina,ARG,2023,40.921
253,Argentina,ARG,2024,40.921
254,Argentina,ARG,2025,40.921
255,Argentina,ARG,2026,40.921
256,Argentina,ARG,2027,40.921
257,Argentina,ARG,2028,40.921
258,Argentina,ARG,2029,40.921
259,Argentina,ARG,2030,40.921
260,Argentina,ARG,2031,40.921
261,Argentina,ARG,2032,40.921
262,Argentina,ARG,2033,40.921
263,Argentina,ARG,2034,40.921
264,Argentina,ARG,2035,40.921
265,Argentina,ARG,2036,40.921
266,Argentina,ARG,2037,40.921
267,Argentina,ARG,2038,40.921
268,Argentina,ARG,2039,40.921
269,Argentina,ARG,2040,40.921
270,Argentina,ARG,2041,40.921
271,Argentina,ARG,2042,40.921
272,Argentina,ARG,2043,40.921
273,Argentina,ARG,2044,40.921
274,Argentina,ARG,2045,40.921
275,Argentina,ARG,2046,40.921
276,Argentina,ARG,2047,40.921
277,Argentina,ARG,2048,40.921
278,Argentina,ARG,2049,40.921
279,Argentina,ARG,2050,40.921
280,Armenia,ARM,2023,40.921
281,Armenia,ARM,2024,40.921
282,Armenia,ARM,2025,40.921
283,Armenia,ARM,2026,40.921
284,Armenia,ARM,2027,40.921
285,Armenia,ARM,2028,40.921
286,Armenia,ARM,2029,40.921
287,Armenia,ARM,2030,40.921
288,Armenia,ARM,2031,40.921
289,Armenia,ARM,2032,40.921
290,Armenia,ARM,2033,40.921
291,Armenia,ARM,2034,40.921
292,Armenia,ARM,2035,40.921
293,Armenia,ARM,2036,40.921
294,Armenia,ARM,2037,40.921
295,Armenia,ARM,2038,40.921
296,Armenia,ARM,2039,40.921
297,Armenia,ARM,2040,40.921
298,Armenia,ARM,2041,40.921
299,Armenia,ARM,2042,40.921
300,Armenia,ARM,2043,40.921
301,Armenia,ARM,2044,40.921
302,Armenia,ARM,2045,40.921
303,Armenia,ARM,2046,40.921
304,Armenia,ARM,2047,40.921
305,Armenia,ARM,2048,40.921
306,Armenia,ARM,2049,40.921
307,Armenia,ARM,2050,40.921
308,American Samoa,ASM,2023,40.921
309,American Samoa,ASM,2024,40.921
310,American Samoa,ASM,2025,40.921
311,American Samoa,ASM,2026,40.921
312,American Samoa,ASM,2027,40.921
313,American Samoa,ASM,2028,40.921
314,American Samoa,ASM,2029,40.921
315,American Samoa,ASM,2030,40.921
316,American Samoa,ASM,2031,40.921
317,American Samoa,ASM,2032,40.921
318,American Samoa,ASM,2033,40.921
319,American Samoa,ASM,2034,40.921
320,American Samoa,ASM,2035,40.921
321,American Samoa,ASM,2036,40.921
322,American Samoa,ASM,2037,40.921
323,American Samoa,ASM,2038,40.921
324,American Samoa,ASM,2039,40.921
325,American Samoa,ASM,2040,40.921
326,American Samoa,ASM,2041,40.921
327,American Samoa,ASM,2042,40.921
328,American Samoa,ASM,2043,40.921
329,American Samoa,ASM,2044,40.921
330,American Samoa,ASM,2045,40.921
331,American Samoa,ASM,2046,40.921
332,American Samoa,ASM,2047,40.921
333,American Samoa,ASM,2048,40.921
334,American Samoa,ASM,2049,40.921
335,American Samoa,ASM,2050,40.921
336,Antigua and Barbuda,ATG,2023,40.921
337,Antigua and Barbuda,ATG,2024,40.921
338,Antigua and Barbuda,ATG,2025,40.921
339,Antigua and Barbuda,ATG,2026,40.921
340,Antigua and Barbuda,ATG,2027,40.921
341,Antigua and Barbuda,ATG,2028,40.921
342,Antigua and Barbuda,ATG,2029,40.921
343,Antigua and Barbuda,ATG,2030,40.921
344,Antigua and Barbuda,ATG,2031,40.921
345,Antigua and Barbuda,ATG,2032,40.921
346,Antigua and Barbuda,ATG,2033,40.921
347,Antigua and Barbuda,ATG,2034,40.921
348,Antigua and Barbuda,ATG,2035,40.921
349,Antigua and Barbuda,ATG,2036,40.921
350,Antigua and Barbuda,ATG,2037,40.921
351,Antigua and Barbuda,ATG,2038,40.921
352,Antigua and Barbuda,ATG,2039,40.921
353,Antigua and Barbuda,ATG,2040,40.921
354,Antigua and Barbuda,ATG,2041,40.921
355,Antigua and Barbuda,ATG,2042,40.921
356,Antigua and Barbuda,ATG,2043,40.921
357,Antigua and Barbuda,ATG,2044,40.921
358,Antigua and Barbuda,ATG,2045,40.921
359,Antigua and Barbuda,ATG,2046,40.921
360,Antigua and Barbuda,ATG,2047,40.921
361,Antigua and Barbuda,ATG,2048,40.921
362,Antigua and Barbuda,ATG,2049,40.921
363,Antigua and Barbuda,ATG,2050,40.921
364,Australia,AUS,2023,40.921
365,Australia,AUS,2024,40.921
366,Australia,AUS,2025,40.921
367,Australia,AUS,2026,40.921
368,Australia,AUS,2027,40.921
369,Australia,AUS,2028,40.921
370,Australia,AUS,2029,40.921
371,Australia,AUS,2030,40.921
372,Australia,AUS,2031,40.921
373,Australia,AUS,2032,40.921
374,Australia,AUS,2033,40.921
375,Australia,AUS,2034,40.921
376,Australia,AUS,2035,40.921
377,Australia,AUS,2036,40.921
378,Australia,AUS,2037,40.921
379,Australia,AUS,2038,40.921
380,Australia,AUS,2039,40.921
381,Australia,AUS,2040,40.921
382,Australia,AUS,2041,40.921
383,Australia,AUS,2042,40.921
384,Australia,AUS,2043,40.921
385,Australia,AUS,2044,40.921
386,Australia,AUS,2045,40.921
387,Australia,AUS,2046,40.921
388,Australia,AUS,2047,40.921
389,Australia,AUS,2048,40.921
390,Australia,AUS,2049,40.921
391,Australia,AUS,2050,40.921
392,Austria,AUT,2023,40.921
393,Austria,AUT,2024,40.921
394,Austria,AUT,2025,40.921
395,Austria,AUT,2026,40.921
396,Austria,AUT,2027,40.921
397,Austria,AUT,2028,40.921
398,Austria,AUT,2029,40.921
399,Austria,AUT,2030,40.921
400,Austria,AUT,2031,40.921
401,Austria,AUT,2032,40.921
402,Austria,AUT,2033,40.921
403,Austria,AUT,2034,40.921
404,Austria,AUT,2035,40.921
405,Austria,AUT,2036,40.921
406,Austria,AUT,2037,40.921
407,Austria,AUT,2038,40.921
408,Austria,AUT,2039,40.921
409,Austria,AUT,2040,40.921
410,Austria,AUT,2041,40.921
411,Austria,AUT,2042,40.921
412,Austria,AUT,2043,40.921
413,Austria,AUT,2044,40.921
414,Austria,AUT,2045,40.921
415,Austria,AUT,2046,40.921
416,Austria,AUT,2047,40.921
417,Austria,AUT,2048,40.921
418,Austria,AUT,2049,40.921
419,Austria,AUT,2050,40.921
420,Azerbaijan,AZE,2023,40.921
421,Azerbaijan,AZE,2024,40.921
422,Azerbaijan,AZE,2025,40.921
423,Azerbaijan,AZE,2026,40.921
424,Azerbaijan,AZE,2027,40.921
425,Azerbaijan,AZE,2028,40.921
426,Azerbaijan,AZE,2029,40.921
427,Azerbaijan,AZE,2030,40.921
428,Azerbaijan,AZE,2031,40.921
429,Azerbaijan,AZE,2032,40.921
430,Azerbaijan,AZE,2033,40.921
431,Azerbaijan,AZE,2034,40.921
432,Azerbaijan,AZE,2035,40.921
433,Azerbaijan,AZE,2036,40.921
434,Azerbaijan,AZE,2037,40.921
435,Azerbaijan,AZE,2038,40.921
436,Azerbaijan,AZE,2039,40.921
437,Azerbaijan,AZE,2040,40.921
438,Azerbaijan,AZE,2041,40.921
439,Azerbaijan,AZE,2042,40.921
440,Azerbaijan,AZE,2043,40.921
441,Azerbaijan,AZE,2044,40.921
442,Azerbaijan,AZE,2045,40.921
443,Azerbaijan,AZE,2046,40.921
444,Azerbaijan,AZE,2047,40.921
445,Azerbaijan,AZE,2048,40.921
446,Azerbaijan,AZE,2049,40.921
447,Azerbaijan,AZE,2050,40.921
448,Burundi,BDI,2023,40.921
449,Burundi,BDI,2024,40.921
450,Burundi,BDI,2025,40.921
451,Burundi,BDI,2026,40.921
452,Burundi,BDI,2027,40.921
453,Burundi,BDI,2028,40.921
454,Burundi,BDI,2029,40.921
455,Burundi,BDI,2030,40.921
456,Burundi,BDI,2031,40.921
457,Burundi,BDI,2032,40.921
458,Burundi,BDI,2033,40.921
459,Burundi,BDI,2034,40.921
460,Burundi,BDI,2035,40.921
461,Burundi,BDI,2036,40.921
462,Burundi,BDI,2037,40.921
463,Burundi,BDI,2038,40.921
464,Burundi,BDI,2039,40.921
465,Burundi,BDI,2040,40.921
466,Burundi,BDI,2041,40.921
467,Burundi,BDI,2042,40.921
468,Burundi,BDI,2043,40.921
469,Burundi,BDI,2044,40.921
470,Burundi,BDI,2045,40.921
471,Burundi,BDI,2046,40.921
