,Nation,iso_code3,Year,consumpinit_scoe_gj_per_hh_residential_elec_appliances
9,Afghanistan,AFG,2020,17.587665709225753
10,Afghanistan,AFG,2021,18.18840752804098
11,Afghanistan,AFG,2022,18.789146070397706
12,Afghanistan,AFG,2023,19.389887919237886
13,Afghanistan,AFG,2024,20.630434188083672
14,Afghanistan,AFG,2025,21.87097695368245
15,Afghanistan,AFG,2026,23.111523254392264
16,Afghanistan,AFG,2027,24.352069626281295
17,Afghanistan,AFG,2028,25.59261215560145
18,Afghanistan,AFG,2029,27.24317562393753
19,Afghanistan,AFG,2030,28.893735088240852
20,Afghanistan,AFG,2031,30.544294463650747
21,Afghanistan,AFG,2032,32.194853755789175
22,Afghanistan,AFG,2033,33.84541760569599
23,Afghanistan,AFG,2034,36.07943610719639
24,Afghanistan,AFG,2035,38.31345457309707
25,Afghanistan,AFG,2036,40.54747300547742
26,Afghanistan,AFG,2037,42.78149140625801
27,Afghanistan,AFG,2038,45.015509777215414
28,Afghanistan,AFG,2039,48.01003832006375
29,Afghanistan,AFG,2040,51.004561005149604
30,Afghanistan,AFG,2041,53.99908978629568
31,Afghanistan,AFG,2042,56.99361221055129
32,Afghanistan,AFG,2043,59.98814121426611
33,Afghanistan,AFG,2044,63.95694427138861
34,Afghanistan,AFG,2045,67.9257399920851
35,Afghanistan,AFG,2046,71.89454300590099
36,Afghanistan,AFG,2047,75.86334615495565
37,Afghanistan,AFG,2048,79.83214943310335
38,Afghanistan,AFG,2049,79.83214943310335
39,Afghanistan,AFG,2050,79.83214943310335
49,Albania,ALB,2020,27.84029749384834
50,Albania,ALB,2021,28.761269612483787
51,Albania,ALB,2022,29.682207454699043
52,Albania,ALB,2023,30.60317978184682
53,Albania,ALB,2024,31.509920740608454
54,Albania,ALB,2025,32.41662469512406
55,Albania,ALB,2026,33.32336665331004
56,Albania,ALB,2027,34.23006951789997
57,Albania,ALB,2028,35.1368124735675
58,Albania,ALB,2029,36.06140707270119
59,Albania,ALB,2030,36.986001525904626
60,Albania,ALB,2031,37.91059583300911
61,Albania,ALB,2032,38.83518999384526
62,Albania,ALB,2033,39.75978400824391
63,Albania,ALB,2034,40.74251184504559
64,Albania,ALB,2035,41.72523933153108
65,Albania,ALB,2036,42.70796646643261
66,Albania,ALB,2037,43.69074477058143
67,Albania,ALB,2038,44.67347242105671
68,Albania,ALB,2039,45.6938236425744
69,Albania,ALB,2040,46.714174210718674
70,Albania,ALB,2041,47.7345241217021
71,Albania,ALB,2042,48.754931381043086
72,Albania,ALB,2043,49.775281295122156
73,Albania,ALB,2044,50.77139303379368
74,Albania,ALB,2045,51.76744356287377
75,Albania,ALB,2046,52.76355559307886
76,Albania,ALB,2047,53.7596684498817
77,Albania,ALB,2048,54.75571601879695
78,Albania,ALB,2049,54.75571601879695
79,Albania,ALB,2050,54.75571601879695
89,Algeria,DZA,2020,72.54228185666697
90,Algeria,DZA,2021,73.25504264221269
91,Algeria,DZA,2022,73.96780343017545
92,Algeria,DZA,2023,74.68056422048103
93,Algeria,DZA,2024,77.38034412701926
94,Algeria,DZA,2025,80.08012418991954
95,Algeria,DZA,2026,82.77989461453112
96,Algeria,DZA,2027,85.47967474204559
97,Algeria,DZA,2028,88.17945501853173
98,Algeria,DZA,2029,90.39424063986475
99,Algeria,DZA,2030,92.60903673826996
100,Algeria,DZA,2031,94.82382224077547
101,Algeria,DZA,2032,97.03860759586637
102,Algeria,DZA,2033,99.25340396802031
103,Algeria,DZA,2034,101.24399315235249
104,Algeria,DZA,2035,103.23459362601473
105,Algeria,DZA,2036,105.22519422524785
106,Algeria,DZA,2037,107.2157831719083
107,Algeria,DZA,2038,109.20638386658852
108,Algeria,DZA,2039,111.58113776594122
109,Algeria,DZA,2040,113.95589159389495
110,Algeria,DZA,2041,116.33064535152005
111,Algeria,DZA,2042,118.70539903986486
112,Algeria,DZA,2043,121.08016555472193
113,Algeria,DZA,2044,124.06079415381963
114,Algeria,DZA,2045,127.04142264303468
115,Algeria,DZA,2046,130.02205102355398
116,Algeria,DZA,2047,133.00267929654802
117,Algeria,DZA,2048,135.98332168619297
118,Algeria,DZA,2049,135.98332168619297
119,Algeria,DZA,2050,135.98332168619297
129,Angola,AGO,2020,37.799060798906794
130,Angola,AGO,2021,38.779996581485634
131,Angola,AGO,2022,39.760939570679994
132,Angola,AGO,2023,40.74187534898857
133,Angola,AGO,2024,41.18117617014678
134,Angola,AGO,2025,41.62046988422001
135,Angola,AGO,2026,42.059770671188204
136,Angola,AGO,2027,42.49907140345215
137,Angola,AGO,2028,42.9383652639045
138,Angola,AGO,2029,43.06992014098231
139,Angola,AGO,2030,43.2014750210149
140,Angola,AGO,2031,43.33302990383503
141,Angola,AGO,2032,43.46458478928743
142,Angola,AGO,2033,43.59613967722859
143,Angola,AGO,2034,43.972446299568304
144,Angola,AGO,2035,44.34875287726542
145,Angola,AGO,2036,44.72505328224322
146,Angola,AGO,2037,45.10135982843957
147,Angola,AGO,2038,45.47766030495256
