"iso_code3","frac_waso_initial_composition_mun_yard","Year"
"ABW",0.117627772644519,2010
"ABW",0.117627772644519,2011
"ABW",0.117627772644519,2012
"ABW",0.117627772644519,2013
"ABW",0.117627772644519,2014
"ABW",0.117627772644519,2015
"ABW",0.117627772644519,2016
"ABW",0.117627772644519,2017
"ABW",0.117627772644519,2018
"ABW",0.117627772644519,2019
"ABW",0.117627772644519,2020
"AFG",0.130865190686367,2010
"AFG",0.130865190686367,2011
"AFG",0.130865190686367,2012
"AFG",0.130865190686367,2013
"AFG",0.130865190686367,2014
"AFG",0.130865190686367,2015
"AFG",0.130865190686367,2016
"AFG",0.130865190686367,2017
"AFG",0.130865190686367,2018
"AFG",0.130865190686367,2019
"AFG",0.130865190686367,2020
"AGO",0.129087514975912,2010
"AGO",0.129087514975912,2011
"AGO",0.129087514975912,2012
"AGO",0.129087514975912,2013
"AGO",0.129087514975912,2014
"AGO",0.129087514975912,2015
"AGO",0.129087514975912,2016
"AGO",0.129087514975912,2017
"AGO",0.129087514975912,2018
"AGO",0.129087514975912,2019
"AGO",0.129087514975912,2020
"ALB",0.129662426114815,2010
"ALB",0.129662426114815,2011
"ALB",0.129662426114815,2012
"ALB",0.129662426114815,2013
"ALB",0.129662426114815,2014
"ALB",0.129662426114815,2015
"ALB",0.129662426114815,2016
"ALB",0.129662426114815,2017
"ALB",0.129662426114815,2018
"ALB",0.129662426114815,2019
"ALB",0.129662426114815,2020
"AND",0.112964215063587,2010
"AND",0.112964215063587,2011
"AND",0.112964215063587,2012
"AND",0.112964215063587,2013
"AND",0.112964215063587,2014
"AND",0.112964215063587,2015
"AND",0.112964215063587,2016
"AND",0.112964215063587,2017
"AND",0.112964215063587,2018
"AND",0.112964215063587,2019
"AND",0.112964215063587,2020
"ARE",0.0978881021834638,2010
"ARE",0.0978881021834638,2011
"ARE",0.0978881021834638,2012
"ARE",0.0978881021834638,2013
"ARE",0.0978881021834638,2014
"ARE",0.0978881021834638,2015
"ARE",0.0978881021834638,2016
"ARE",0.0978881021834638,2017
"ARE",0.0978881021834638,2018
"ARE",0.0978881021834638,2019
"ARE",0.0978881021834638,2020
"ARG",0.0995,2010
"ARG",0.0995,2011
"ARG",0.0995,2012
"ARG",0.0995,2013
"ARG",0.0995,2014
"ARG",0.0995,2015
"ARG",0.0995,2016
"ARG",0.0995,2017
"ARG",0.0995,2018
"ARG",0.0995,2019
"ARG",0.0995,2020
"ARM",0.131202332048701,2010
"ARM",0.131202332048701,2011
