,Nation,iso_code3,Year,occrateinit_gnrl_occupancy
0,Aruba,ABW,2021,2.89
1,Aruba,ABW,2022,2.89
2,Aruba,ABW,2023,2.89
3,Aruba,ABW,2024,2.89
4,Aruba,ABW,2025,2.89
5,Aruba,ABW,2026,2.89
6,Aruba,ABW,2027,2.89
7,Aruba,ABW,2028,2.89
8,Aruba,ABW,2029,2.89
9,Aruba,ABW,2030,2.89
10,Aruba,ABW,2031,2.89
11,Aruba,ABW,2032,2.89
12,Aruba,ABW,2033,2.89
13,Aruba,ABW,2034,2.89
14,Aruba,ABW,2035,2.89
15,Aruba,ABW,2036,2.89
16,Aruba,ABW,2037,2.89
17,Aruba,ABW,2038,2.89
18,Aruba,ABW,2039,2.89
19,Aruba,ABW,2040,2.89
20,Aruba,ABW,2041,2.89
21,Aruba,ABW,2042,2.89
22,Aruba,ABW,2043,2.89
23,Aruba,ABW,2044,2.89
24,Aruba,ABW,2045,2.89
25,Aruba,ABW,2046,2.89
26,Aruba,ABW,2047,2.89
27,Aruba,ABW,2048,2.89
28,Aruba,ABW,2049,2.89
29,Aruba,ABW,2050,2.89
30,Africa Eastern and Southern,AFE,2021,4.181218872870249
31,Africa Eastern and Southern,AFE,2022,4.181218872870249
32,Africa Eastern and Southern,AFE,2023,4.181218872870249
33,Africa Eastern and Southern,AFE,2024,4.181218872870249
34,Africa Eastern and Southern,AFE,2025,4.181218872870249
35,Africa Eastern and Southern,AFE,2026,4.181218872870249
36,Africa Eastern and Southern,AFE,2027,4.181218872870249
37,Africa Eastern and Southern,AFE,2028,4.181218872870249
38,Africa Eastern and Southern,AFE,2029,4.181218872870249
39,Africa Eastern and Southern,AFE,2030,4.181218872870249
40,Africa Eastern and Southern,AFE,2031,4.181218872870249
41,Africa Eastern and Southern,AFE,2032,4.181218872870249
42,Africa Eastern and Southern,AFE,2033,4.181218872870249
43,Africa Eastern and Southern,AFE,2034,4.181218872870249
44,Africa Eastern and Southern,AFE,2035,4.181218872870249
45,Africa Eastern and Southern,AFE,2036,4.181218872870249
46,Africa Eastern and Southern,AFE,2037,4.181218872870249
47,Africa Eastern and Southern,AFE,2038,4.181218872870249
48,Africa Eastern and Southern,AFE,2039,4.181218872870249
49,Africa Eastern and Southern,AFE,2040,4.181218872870249
50,Africa Eastern and Southern,AFE,2041,4.181218872870249
51,Africa Eastern and Southern,AFE,2042,4.181218872870249
52,Africa Eastern and Southern,AFE,2043,4.181218872870249
53,Africa Eastern and Southern,AFE,2044,4.181218872870249
54,Africa Eastern and Southern,AFE,2045,4.181218872870249
55,Africa Eastern and Southern,AFE,2046,4.181218872870249
56,Africa Eastern and Southern,AFE,2047,4.181218872870249
57,Africa Eastern and Southern,AFE,2048,4.181218872870249
58,Africa Eastern and Southern,AFE,2049,4.181218872870249
59,Africa Eastern and Southern,AFE,2050,4.181218872870249
60,Afghanistan,AFG,2021,7.895
61,Afghanistan,AFG,2022,7.895
62,Afghanistan,AFG,2023,7.895
63,Afghanistan,AFG,2024,7.895
64,Afghanistan,AFG,2025,7.895
65,Afghanistan,AFG,2026,7.895
66,Afghanistan,AFG,2027,7.895
67,Afghanistan,AFG,2028,7.895
68,Afghanistan,AFG,2029,7.895
69,Afghanistan,AFG,2030,7.895
70,Afghanistan,AFG,2031,7.895
71,Afghanistan,AFG,2032,7.895
72,Afghanistan,AFG,2033,7.895
73,Afghanistan,AFG,2034,7.895
74,Afghanistan,AFG,2035,7.895
75,Afghanistan,AFG,2036,7.895
76,Afghanistan,AFG,2037,7.895
77,Afghanistan,AFG,2038,7.895
78,Afghanistan,AFG,2039,7.895
79,Afghanistan,AFG,2040,7.895
80,Afghanistan,AFG,2041,7.895
81,Afghanistan,AFG,2042,7.895
82,Afghanistan,AFG,2043,7.895
83,Afghanistan,AFG,2044,7.895
84,Afghanistan,AFG,2045,7.895
85,Afghanistan,AFG,2046,7.895
86,Afghanistan,AFG,2047,7.895
87,Afghanistan,AFG,2048,7.895
88,Afghanistan,AFG,2049,7.895
89,Afghanistan,AFG,2050,7.895
90,Africa Western and Central,AFW,2021,4.181218872870249
91,Africa Western and Central,AFW,2022,4.181218872870249
92,Africa Western and Central,AFW,2023,4.181218872870249
93,Africa Western and Central,AFW,2024,4.181218872870249
94,Africa Western and Central,AFW,2025,4.181218872870249
95,Africa Western and Central,AFW,2026,4.181218872870249
96,Africa Western and Central,AFW,2027,4.181218872870249
97,Africa Western and Central,AFW,2028,4.181218872870249
98,Africa Western and Central,AFW,2029,4.181218872870249
99,Africa Western and Central,AFW,2030,4.181218872870249
100,Africa Western and Central,AFW,2031,4.181218872870249
101,Africa Western and Central,AFW,2032,4.181218872870249
102,Africa Western and Central,AFW,2033,4.181218872870249
103,Africa Western and Central,AFW,2034,4.181218872870249
104,Africa Western and Central,AFW,2035,4.181218872870249
105,Africa Western and Central,AFW,2036,4.181218872870249
106,Africa Western and Central,AFW,2037,4.181218872870249
107,Africa Western and Central,AFW,2038,4.181218872870249
108,Africa Western and Central,AFW,2039,4.181218872870249
109,Africa Western and Central,AFW,2040,4.181218872870249
110,Africa Western and Central,AFW,2041,4.181218872870249
111,Africa Western and Central,AFW,2042,4.181218872870249
