iso_code3,Nation,Year,yf_agrc_fruits_tonne_ha
AFG,Afghanistan,2020,7.328938461538462
AFG,Afghanistan,2021,7.328938461538462
AFG,Afghanistan,2022,7.328938461538462
AFG,Afghanistan,2023,7.328938461538462
AFG,Afghanistan,2024,7.328938461538462
AFG,Afghanistan,2025,7.328938461538462
AFG,Afghanistan,2026,7.328938461538462
AFG,Afghanistan,2027,7.328938461538462
AFG,Afghanistan,2028,7.328938461538462
AFG,Afghanistan,2029,7.328938461538462
AFG,Afghanistan,2030,7.328938461538462
AFG,Afghanistan,2031,7.328938461538462
AFG,Afghanistan,2032,7.328938461538462
AFG,Afghanistan,2033,7.328938461538462
AFG,Afghanistan,2034,7.328938461538462
AFG,Afghanistan,2035,7.328938461538462
AFG,Afghanistan,2036,7.328938461538462
AFG,Afghanistan,2037,7.328938461538462
AFG,Afghanistan,2038,7.328938461538462
AFG,Afghanistan,2039,7.328938461538462
AFG,Afghanistan,2040,7.328938461538462
AFG,Afghanistan,2041,7.328938461538462
AFG,Afghanistan,2042,7.328938461538462
AFG,Afghanistan,2043,7.328938461538462
AFG,Afghanistan,2044,7.328938461538462
AFG,Afghanistan,2045,7.328938461538462
AFG,Afghanistan,2046,7.328938461538462
AFG,Afghanistan,2047,7.328938461538462
AFG,Afghanistan,2048,7.328938461538462
AFG,Afghanistan,2049,7.328938461538462
AFG,Afghanistan,2050,7.328938461538462
AGO,Angola,2020,13.211400000000001
AGO,Angola,2021,13.211400000000001
AGO,Angola,2022,13.211400000000001
AGO,Angola,2023,13.211400000000001
AGO,Angola,2024,13.211400000000001
AGO,Angola,2025,13.211400000000001
AGO,Angola,2026,13.211400000000001
AGO,Angola,2027,13.211400000000001
AGO,Angola,2028,13.211400000000001
AGO,Angola,2029,13.211400000000001
AGO,Angola,2030,13.211400000000001
AGO,Angola,2031,13.211400000000001
AGO,Angola,2032,13.211400000000001
AGO,Angola,2033,13.211400000000001
AGO,Angola,2034,13.211400000000001
AGO,Angola,2035,13.211400000000001
AGO,Angola,2036,13.211400000000001
AGO,Angola,2037,13.211400000000001
