,Nation,iso_code3,Year,occrate_trns_passenger_per_vehicle_road_light
0,Aruba,ABW,1995,1.6808
1,Aruba,ABW,1996,1.6808
2,Aruba,ABW,1997,1.6808
3,Aruba,ABW,1998,1.6808
4,Aruba,ABW,1999,1.6808
5,Aruba,ABW,2000,1.6808
6,Aruba,ABW,2001,1.6808
7,Aruba,ABW,2002,1.6808
8,Aruba,ABW,2003,1.6808
9,Aruba,ABW,2004,1.6808
10,Aruba,ABW,2005,1.6808
11,Aruba,ABW,2006,1.6808
12,Aruba,ABW,2007,1.6808
13,Africa Eastern and Southern,AFE,1995,1.6808
14,Africa Eastern and Southern,AFE,1996,1.6808
15,Africa Eastern and Southern,AFE,1997,1.6808
16,Africa Eastern and Southern,AFE,1998,1.6808
17,Africa Eastern and Southern,AFE,1999,1.6808
18,Africa Eastern and Southern,AFE,2000,1.6808
19,Africa Eastern and Southern,AFE,2001,1.6808
20,Africa Eastern and Southern,AFE,2002,1.6808
21,Africa Eastern and Southern,AFE,2003,1.6808
22,Africa Eastern and Southern,AFE,2004,1.6808
23,Africa Eastern and Southern,AFE,2005,1.6808
24,Africa Eastern and Southern,AFE,2006,1.6808
25,Africa Eastern and Southern,AFE,2007,1.6808
26,Afghanistan,AFG,1995,1.6808
27,Afghanistan,AFG,1996,1.6808
28,Afghanistan,AFG,1997,1.6808
29,Afghanistan,AFG,1998,1.6808
30,Afghanistan,AFG,1999,1.6808
31,Afghanistan,AFG,2000,1.6808
32,Afghanistan,AFG,2001,1.6808
33,Afghanistan,AFG,2002,1.6808
34,Afghanistan,AFG,2003,1.6808
35,Afghanistan,AFG,2004,1.6808
36,Afghanistan,AFG,2005,1.6808
37,Afghanistan,AFG,2006,1.6808
38,Afghanistan,AFG,2007,1.6808
39,Africa Western and Central,AFW,1995,1.6808
40,Africa Western and Central,AFW,1996,1.6808
41,Africa Western and Central,AFW,1997,1.6808
42,Africa Western and Central,AFW,1998,1.6808
43,Africa Western and Central,AFW,1999,1.6808
44,Africa Western and Central,AFW,2000,1.6808
45,Africa Western and Central,AFW,2001,1.6808
46,Africa Western and Central,AFW,2002,1.6808
47,Africa Western and Central,AFW,2003,1.6808
48,Africa Western and Central,AFW,2004,1.6808
49,Africa Western and Central,AFW,2005,1.6808
50,Africa Western and Central,AFW,2006,1.6808
51,Africa Western and Central,AFW,2007,1.6808
52,Angola,AGO,1995,1.6808
53,Angola,AGO,1996,1.6808
54,Angola,AGO,1997,1.6808
55,Angola,AGO,1998,1.6808
56,Angola,AGO,1999,1.6808
57,Angola,AGO,2000,1.6808
58,Angola,AGO,2001,1.6808
59,Angola,AGO,2002,1.6808
60,Angola,AGO,2003,1.6808
61,Angola,AGO,2004,1.6808
62,Angola,AGO,2005,1.6808
63,Angola,AGO,2006,1.6808
64,Angola,AGO,2007,1.6808
65,Albania,ALB,1995,1.6808
66,Albania,ALB,1996,1.6808
67,Albania,ALB,1997,1.6808
68,Albania,ALB,1998,1.6808
69,Albania,ALB,1999,1.6808
70,Albania,ALB,2000,1.6808
71,Albania,ALB,2001,1.6808
72,Albania,ALB,2002,1.6808
73,Albania,ALB,2003,1.6808
74,Albania,ALB,2004,1.6808
75,Albania,ALB,2005,1.6808
76,Albania,ALB,2006,1.6808
77,Albania,ALB,2007,1.6808
78,Andorra,AND,1995,1.6808
79,Andorra,AND,1996,1.6808
80,Andorra,AND,1997,1.6808
81,Andorra,AND,1998,1.6808
82,Andorra,AND,1999,1.6808
83,Andorra,AND,2000,1.6808
84,Andorra,AND,2001,1.6808
85,Andorra,AND,2002,1.6808
86,Andorra,AND,2003,1.6808
87,Andorra,AND,2004,1.6808
88,Andorra,AND,2005,1.6808
89,Andorra,AND,2006,1.6808
90,Andorra,AND,2007,1.6808
91,Arab World,ARB,1995,1.6808
92,Arab World,ARB,1996,1.6808
93,Arab World,ARB,1997,1.6808
94,Arab World,ARB,1998,1.6808
95,Arab World,ARB,1999,1.6808
96,Arab World,ARB,2000,1.6808
97,Arab World,ARB,2001,1.6808
98,Arab World,ARB,2002,1.6808
99,Arab World,ARB,2003,1.6808
100,Arab World,ARB,2004,1.6808
101,Arab World,ARB,2005,1.6808
102,Arab World,ARB,2006,1.6808
103,Arab World,ARB,2007,1.6808
104,United Arab Emirates,ARE,1995,1.6808
105,United Arab Emirates,ARE,1996,1.6808
106,United Arab Emirates,ARE,1997,1.6808
107,United Arab Emirates,ARE,1998,1.6808
108,United Arab Emirates,ARE,1999,1.6808
109,United Arab Emirates,ARE,2000,1.6808
110,United Arab Emirates,ARE,2001,1.6808
111,United Arab Emirates,ARE,2002,1.6808
112,United Arab Emirates,ARE,2003,1.6808
113,United Arab Emirates,ARE,2004,1.6808
114,United Arab Emirates,ARE,2005,1.6808
115,United Arab Emirates,ARE,2006,1.6808
116,United Arab Emirates,ARE,2007,1.6808
117,Argentina,ARG,1995,1.6808
118,Argentina,ARG,1996,1.6808
119,Argentina,ARG,1997,1.6808
120,Argentina,ARG,1998,1.6808
121,Argentina,ARG,1999,1.6808
122,Argentina,ARG,2000,1.6808
123,Argentina,ARG,2001,1.6808
124,Argentina,ARG,2002,1.6808
125,Argentina,ARG,2003,1.6808
126,Argentina,ARG,2004,1.6808
127,Argentina,ARG,2005,1.6808
128,Argentina,ARG,2006,1.6808
129,Argentina,ARG,2007,1.6808
130,Armenia,ARM,1995,1.6808
131,Armenia,ARM,1996,1.6808
132,Armenia,ARM,1997,1.6808
133,Armenia,ARM,1998,1.6808
134,Armenia,ARM,1999,1.6808
135,Armenia,ARM,2000,1.6808
136,Armenia,ARM,2001,1.6808
137,Armenia,ARM,2002,1.6808
138,Armenia,ARM,2003,1.6808
139,Armenia,ARM,2004,1.6808
140,Armenia,ARM,2005,1.6808
141,Armenia,ARM,2006,1.6808
142,Armenia,ARM,2007,1.6808
143,American Samoa,ASM,1995,1.6808
144,American Samoa,ASM,1996,1.6808
145,American Samoa,ASM,1997,1.6808
146,American Samoa,ASM,1998,1.6808
147,American Samoa,ASM,1999,1.6808
148,American Samoa,ASM,2000,1.6808
149,American Samoa,ASM,2001,1.6808
150,American Samoa,ASM,2002,1.6808
151,American Samoa,ASM,2003,1.6808
152,American Samoa,ASM,2004,1.6808
153,American Samoa,ASM,2005,1.6808
154,American Samoa,ASM,2006,1.6808
155,American Samoa,ASM,2007,1.6808
156,Antigua and Barbuda,ATG,1995,1.6808
157,Antigua and Barbuda,ATG,1996,1.6808
158,Antigua and Barbuda,ATG,1997,1.6808
159,Antigua and Barbuda,ATG,1998,1.6808
160,Antigua and Barbuda,ATG,1999,1.6808
161,Antigua and Barbuda,ATG,2000,1.6808
162,Antigua and Barbuda,ATG,2001,1.6808
163,Antigua and Barbuda,ATG,2002,1.6808
164,Antigua and Barbuda,ATG,2003,1.6808
165,Antigua and Barbuda,ATG,2004,1.6808
166,Antigua and Barbuda,ATG,2005,1.6808
167,Antigua and Barbuda,ATG,2006,1.6808
168,Antigua and Barbuda,ATG,2007,1.6808
169,Australia,AUS,1995,1.6808
170,Australia,AUS,1996,1.6808
171,Australia,AUS,1997,1.6808
172,Australia,AUS,1998,1.6808
173,Australia,AUS,1999,1.6808
174,Australia,AUS,2000,1.6808
175,Australia,AUS,2001,1.6808
176,Australia,AUS,2002,1.6808
177,Australia,AUS,2003,1.6808
178,Australia,AUS,2004,1.6808
179,Australia,AUS,2005,1.6808
180,Australia,AUS,2006,1.6808
181,Australia,AUS,2007,1.6808
182,Austria,AUT,1995,1.6808
183,Austria,AUT,1996,1.6808
184,Austria,AUT,1997,1.6808
185,Austria,AUT,1998,1.6808
186,Austria,AUT,1999,1.6808
187,Austria,AUT,2000,1.6808
