,Nation,iso_code3,Year,nemomod_entc_capital_cost_pp_biomass_mm_usd_per_gw
0,Afghanistan,ABW,2021,968.2093863651623
1,Afghanistan,ABW,2022,946.0954534183227
2,Afghanistan,ABW,2023,924.4866033980319
3,Afghanistan,ABW,2024,903.371300194304
4,Afghanistan,ABW,2025,882.7382711822698
5,Afghanistan,ABW,2026,862.5765012041677
6,Afghanistan,ABW,2027,842.8752266887868
7,Afghanistan,ABW,2028,823.6239299052229
8,Afghanistan,ABW,2029,804.8123333478771
9,Afghanistan,ABW,2030,786.4303942497035
10,Afghanistan,ABW,2031,768.4682992207719
11,Afghanistan,ABW,2032,750.9164590092881
12,Afghanistan,ABW,2033,733.7655033822717
13,Afghanistan,ABW,2034,717.0062761231592
14,Afghanistan,ABW,2035,700.6298301436624
15,Afghanistan,ABW,2036,684.6274227072723
16,Afghanistan,ABW,2037,668.9905107618574
17,Afghanistan,ABW,2038,653.7107463788666
18,Afghanistan,ABW,2039,638.7799722967007
19,Afghanistan,ABW,2040,624.1902175658726
20,Afghanistan,ABW,2041,609.9336932936332
21,Afghanistan,ABW,2042,596.0027884857897
22,Afghanistan,ABW,2043,582.3900659834968
23,Afghanistan,ABW,2044,569.0882584928521
24,Afghanistan,ABW,2045,556.0902647051754
25,Afghanistan,ABW,2046,543.3891455059006
26,Afghanistan,ABW,2047,530.9781202700577
27,Afghanistan,ABW,2048,518.850563242365
28,Afghanistan,ABW,2049,507.0
29,Afghanistan,ABW,2050,495.4201039961627
30,Afghanistan,AFG,2021,968.2093863651623
31,Afghanistan,AFG,2022,946.0954534183227
32,Afghanistan,AFG,2023,924.4866033980319
33,Afghanistan,AFG,2024,903.371300194304
34,Afghanistan,AFG,2025,882.7382711822698
35,Afghanistan,AFG,2026,862.5765012041677
36,Afghanistan,AFG,2027,842.8752266887868
37,Afghanistan,AFG,2028,823.6239299052229
38,Afghanistan,AFG,2029,804.8123333478771
39,Afghanistan,AFG,2030,786.4303942497035
40,Afghanistan,AFG,2031,768.4682992207719
41,Afghanistan,AFG,2032,750.9164590092881
42,Afghanistan,AFG,2033,733.7655033822717
43,Afghanistan,AFG,2034,717.0062761231592
44,Afghanistan,AFG,2035,700.6298301436624
45,Afghanistan,AFG,2036,684.6274227072723
46,Afghanistan,AFG,2037,668.9905107618574
47,Afghanistan,AFG,2038,653.7107463788666
48,Afghanistan,AFG,2039,638.7799722967007
49,Afghanistan,AFG,2040,624.1902175658726
50,Afghanistan,AFG,2041,609.9336932936332
51,Afghanistan,AFG,2042,596.0027884857897
52,Afghanistan,AFG,2043,582.3900659834968
53,Afghanistan,AFG,2044,569.0882584928521
54,Afghanistan,AFG,2045,556.0902647051754
55,Afghanistan,AFG,2046,543.3891455059006
56,Afghanistan,AFG,2047,530.9781202700577
57,Afghanistan,AFG,2048,518.850563242365
58,Afghanistan,AFG,2049,507.0
59,Afghanistan,AFG,2050,495.4201039961627
60,Afghanistan,AGO,2021,968.2093863651623
61,Afghanistan,AGO,2022,946.0954534183227
62,Afghanistan,AGO,2023,924.4866033980319
63,Afghanistan,AGO,2024,903.371300194304
64,Afghanistan,AGO,2025,882.7382711822698
65,Afghanistan,AGO,2026,862.5765012041677
66,Afghanistan,AGO,2027,842.8752266887868
67,Afghanistan,AGO,2028,823.6239299052229
68,Afghanistan,AGO,2029,804.8123333478771
69,Afghanistan,AGO,2030,786.4303942497035
70,Afghanistan,AGO,2031,768.4682992207719
71,Afghanistan,AGO,2032,750.9164590092881
72,Afghanistan,AGO,2033,733.7655033822717
73,Afghanistan,AGO,2034,717.0062761231592
74,Afghanistan,AGO,2035,700.6298301436624
75,Afghanistan,AGO,2036,684.6274227072723
76,Afghanistan,AGO,2037,668.9905107618574
