Year,iso_code3,cost_enfu_fuel_biofuels_usd_per_m3
2021,ABW,521.090317
2022,ABW,521.090317
2023,ABW,521.090317
2024,ABW,521.090317
2025,ABW,521.090317
2026,ABW,521.090317
2027,ABW,521.090317
2028,ABW,521.090317
2029,ABW,521.090317
2030,ABW,521.090317
2031,ABW,521.090317
2032,ABW,521.090317
2033,ABW,521.090317
2034,ABW,521.090317
2035,ABW,521.090317
2036,ABW,521.090317
2037,ABW,521.090317
2038,ABW,521.090317
2039,ABW,521.090317
2040,ABW,521.090317
2041,ABW,521.090317
2042,ABW,521.090317
2043,ABW,521.090317
2044,ABW,521.090317
2045,ABW,521.090317
2046,ABW,521.090317
2047,ABW,521.090317
2048,ABW,521.090317
2049,ABW,521.090317
2050,ABW,521.090317
2021,AFG,521.090317
2022,AFG,521.090317
2023,AFG,521.090317
2024,AFG,521.090317
2025,AFG,521.090317
2026,AFG,521.090317
2027,AFG,521.090317
2028,AFG,521.090317
2029,AFG,521.090317
2030,AFG,521.090317
2031,AFG,521.090317
2032,AFG,521.090317
2033,AFG,521.090317
2034,AFG,521.090317
2035,AFG,521.090317
2036,AFG,521.090317
2037,AFG,521.090317
2038,AFG,521.090317
2039,AFG,521.090317
2040,AFG,521.090317
2041,AFG,521.090317
2042,AFG,521.090317
2043,AFG,521.090317
2044,AFG,521.090317
2045,AFG,521.090317
2046,AFG,521.090317
2047,AFG,521.090317
2048,AFG,521.090317
2049,AFG,521.090317
2050,AFG,521.090317
2021,AGO,521.090317
2022,AGO,521.090317
2023,AGO,521.090317
2024,AGO,521.090317
2025,AGO,521.090317
2026,AGO,521.090317
2027,AGO,521.090317
2028,AGO,521.090317
2029,AGO,521.090317
2030,AGO,521.090317
2031,AGO,521.090317
2032,AGO,521.090317
2033,AGO,521.090317
2034,AGO,521.090317
2035,AGO,521.090317
2036,AGO,521.090317
2037,AGO,521.090317
2038,AGO,521.090317
2039,AGO,521.090317
2040,AGO,521.090317
2041,AGO,521.090317
2042,AGO,521.090317
2043,AGO,521.090317
2044,AGO,521.090317
2045,AGO,521.090317
2046,AGO,521.090317
2047,AGO,521.090317
2048,AGO,521.090317
2049,AGO,521.090317
2050,AGO,521.090317
2021,ALB,521.090317
2022,ALB,521.090317
2023,ALB,521.090317
2024,ALB,521.090317
2025,ALB,521.090317
2026,ALB,521.090317
2027,ALB,521.090317
2028,ALB,521.090317
2029,ALB,521.090317
2030,ALB,521.090317
2031,ALB,521.090317
2032,ALB,521.090317
2033,ALB,521.090317
2034,ALB,521.090317
2035,ALB,521.090317
2036,ALB,521.090317
2037,ALB,521.090317
2038,ALB,521.090317
2039,ALB,521.090317
2040,ALB,521.090317
2041,ALB,521.090317
2042,ALB,521.090317
2043,ALB,521.090317
2044,ALB,521.090317
2045,ALB,521.090317
