"Nation","iso_code3","Year","nemomod_entc_fixed_cost_pp_solar_mm_usd_per_gw"
"Afghanistan","ABW",2021,6.80324642786172
"Afghanistan","ABW",2022,6.64786006469975
"Afghanistan","ABW",2023,6.49602273097729
"Afghanistan","ABW",2024,6.34765336674992
"Afghanistan","ABW",2025,6.20267276348488
"Afghanistan","ABW",2026,6.06100352177485
"Afghanistan","ABW",2027,5.92257001001736
"Afghanistan","ABW",2028,5.78729832403818
"Afghanistan","ABW",2029,5.65511624763671
"Afghanistan","ABW",2030,5.52595321403268
"Afghanistan","ABW",2031,5.39974026819329
"Afghanistan","ABW",2032,5.27641003002089
"Afghanistan","ABW",2033,5.15589665838135
"Afghanistan","ABW",2034,5.03813581595415
"Afghanistan","ABW",2035,4.9230646348852
"Afghanistan","ABW",2036,4.81062168322418
"Afghanistan","ABW",2037,4.70074693212844
"Afghanistan","ABW",2038,4.593381723816
"Afghanistan","ABW",2039,4.48846874025049
"Afghanistan","ABW",2040,4.38595197254126
"Afghanistan","ABW",2041,4.28577669104254
"Afghanistan","ABW",2042,4.18788941613536
"Afghanistan","ABW",2043,4.09223788967694
"Afghanistan","ABW",2044,3.99877104710214
"Afghanistan","ABW",2045,3.90743899016211
"Afghanistan","ABW",2046,3.81819296028554
"Afghanistan","ABW",2047,3.73098531254848
"Afghanistan","ABW",2048,3.64576949023851
"Afghanistan","ABW",2049,3.5625
"Afghanistan","ABW",2050,3.481132387547
"Afghanistan","AFG",2021,6.80324642786172
"Afghanistan","AFG",2022,6.64786006469975
"Afghanistan","AFG",2023,6.49602273097729
"Afghanistan","AFG",2024,6.34765336674992
"Afghanistan","AFG",2025,6.20267276348488
"Afghanistan","AFG",2026,6.06100352177485
"Afghanistan","AFG",2027,5.92257001001736
"Afghanistan","AFG",2028,5.78729832403818
"Afghanistan","AFG",2029,5.65511624763671
"Afghanistan","AFG",2030,5.52595321403268
"Afghanistan","AFG",2031,5.39974026819329
